dates,satname,nzd0400-0000,nzd0400-0001,nzd0400-0002,nzd0400-0003,nzd0400-0004,nzd0400-0005,nzd0400-0006,nzd0400-0007,nzd0400-0008,nzd0400-0009,nzd0400-0010,nzd0400-0011,nzd0400-0012,nzd0400-0013,nzd0400-0014,nzd0400-0015,nzd0400-0016,nzd0400-0017,nzd0400-0018,nzd0400-0019,nzd0400-0020,nzd0400-0021,nzd0400-0022,nzd0400-0023,nzd0400-0024,nzd0400-0025,nzd0400-0026,nzd0400-0027,nzd0400-0028,nzd0400-0029,nzd0400-0030,nzd0400-0031,nzd0400-0032,nzd0400-0033,nzd0400-0034,nzd0400-0035,nzd0400-0036,nzd0400-0037,nzd0400-0038,nzd0400-0039,nzd0400-0040,nzd0400-0041,nzd0400-0042,nzd0400-0043,nzd0400-0044,nzd0400-0045,nzd0400-0046,nzd0400-0047,nzd0400-0048,nzd0400-0049,nzd0400-0050,nzd0400-0051,nzd0400-0052,nzd0400-0053,nzd0400-0054,nzd0400-0055,nzd0400-0056,nzd0400-0057,nzd0400-0058,nzd0400-0059,nzd0400-0060,nzd0400-0061,nzd0400-0062,nzd0400-0063,nzd0400-0064,nzd0400-0065,nzd0400-0066,nzd0400-0067,nzd0400-0068,nzd0400-0069,nzd0400-0070,nzd0400-0071,nzd0400-0072,nzd0400-0073,nzd0400-0074,nzd0400-0075,nzd0400-0076,nzd0400-0077,nzd0400-0078,nzd0400-0079,nzd0400-0080,nzd0400-0081,nzd0400-0082,nzd0400-0083,nzd0400-0084,nzd0400-0085,nzd0400-0086,nzd0400-0087,nzd0400-0088,nzd0400-0089,nzd0400-0090,nzd0400-0091,nzd0400-0092,nzd0400-0093,nzd0400-0094,nzd0400-0095,nzd0400-0096,nzd0400-0097,nzd0400-0098,nzd0400-0099,nzd0400-0100,nzd0400-0101,nzd0400-0102,nzd0400-0103,nzd0400-0104,nzd0400-0105,nzd0400-0106,nzd0400-0107,nzd0400-0108,nzd0400-0109,nzd0400-0110,nzd0400-0111,nzd0400-0112,nzd0400-0113,nzd0400-0114,nzd0400-0115,nzd0400-0116,nzd0400-0117
2000-06-25 22:05:31+00:00,L7,77.32,71.21,289.19,350.60,385.19,407.21,397.44,347.89,,319.66,298.05,298.39,307.00,314.82,320.99,318.42,306.90,300.24,307.41,293.99,303.96,295.39,308.00,322.43,343.74,349.35,349.49,365.33,363.02,366.81,371.72,380.53,374.95,374.13,367.23,361.98,351.48,348.59,342.21,337.73,334.99,339.77,338.03,345.84,346.77,340.27,346.78,343.06,343.69,342.34,334.01,332.20,329.23,333.39,326.77,327.25,326.68,310.33,298.01,293.45,296.73,304.69,306.01,311.55,310.49,314.35,323.84,315.31,317.52,328.07,348.14,361.08,369.64,373.62,377.26,376.56,384.40,376.09,377.99,374.64,383.41,386.42,381.38,381.65,395.19,396.67,396.68,401.40,399.23,392.73,394.96,401.79,401.88,399.64,408.54,410.44,415.63,412.59,407.46,407.98,404.17,416.12,419.33,417.37,415.59,417.92,417.59,411.76,410.75,404.57,399.71,391.20,383.44,381.81,377.53,387.69,375.73,365.96
2000-07-11 22:05:17+00:00,L7,571.05,598.07,,583.03,632.99,370.26,,,,,,,,,,,,,,444.27,,,,,,,,,,,,,,,,,,,,,,,,,,425.85,,,353.38,369.64,582.62,630.80,101.78,338.15,343.79,394.68,434.74,,,208.49,,,,,,,169.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.71,134.08,166.34
2000-08-03 22:11:07+00:00,L7,,,,,,,,,,,,,,,,,319.01,311.77,307.95,312.69,310.37,312.82,320.85,327.60,331.12,339.15,342.71,348.71,369.19,378.26,389.18,364.12,344.24,344.67,346.79,351.11,359.13,358.32,348.73,340.58,339.95,337.93,338.67,338.20,339.32,339.83,341.16,340.77,335.02,329.76,321.52,315.24,313.18,312.84,308.19,317.22,321.45,304.99,304.02,302.32,303.76,308.45,306.76,309.63,292.67,294.55,311.71,316.19,333.57,329.72,327.07,331.35,351.15,363.34,363.78,357.89,365.74,372.30,373.56,374.15,375.53,383.68,372.24,371.82,377.03,381.73,381.96,380.79,385.32,381.41,378.99,378.02,384.46,396.16,398.09,398.89,392.12,392.52,391.44,390.87,391.66,393.94,395.96,394.91,392.64,388.92,386.85,382.54,394.76,397.82,385.65,381.78,374.93,,,,,
2000-08-19 22:11:01+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.50,343.32,343.71,340.02,341.61,349.96,362.14,352.13,332.98,329.56,331.64,330.86,334.07,329.28,330.42,327.31,325.17,321.94,319.63,316.17,310.28,310.45,309.99,310.25,311.10,311.57,294.94,,,,,,,,,,,,,,,347.53,357.99,361.66,368.78,355.53,357.94,361.82,368.24,375.27,378.74,377.09,369.81,363.54,357.65,366.32,372.06,367.69,360.61,364.45,367.13,375.83,387.79,389.62,391.14,389.36,386.61,386.17,384.41,383.59,385.25,388.39,385.05,383.16,385.25,380.84,381.58,389.92,386.00,378.12,374.32,,,,,,
2000-09-13 22:04:25+00:00,L7,,,259.83,292.45,313.25,324.57,322.45,308.72,306.84,292.38,276.43,270.03,271.59,281.81,286.17,288.67,291.97,282.49,269.03,265.26,262.15,268.44,277.11,289.15,295.26,306.63,312.70,311.84,318.21,324.84,328.50,324.07,303.62,307.89,311.07,313.59,313.78,311.26,310.34,297.24,288.23,284.09,288.75,295.58,295.60,293.44,291.34,277.57,282.13,279.30,272.54,272.50,271.95,273.27,272.26,279.53,280.22,258.29,248.53,252.39,253.28,248.88,255.27,,233.04,244.35,255.57,265.62,274.74,278.54,286.94,288.85,297.27,266.37,,321.25,326.27,329.47,331.38,327.57,326.34,332.94,331.99,330.83,338.31,338.61,346.19,346.12,334.90,339.71,340.42,340.30,345.20,343.15,349.29,352.31,351.94,343.08,342.27,341.73,339.86,346.17,348.48,350.58,349.50,357.43,354.53,351.94,353.82,347.53,346.17,346.93,340.70,342.31,343.50,340.26,322.34,308.86
2000-09-20 22:10:27+00:00,L7,81.92,268.42,299.36,328.71,349.59,350.70,353.71,346.22,345.03,348.08,340.30,336.05,327.08,332.82,339.66,341.58,344.77,329.68,314.50,298.68,293.88,301.17,308.08,321.59,326.18,330.49,340.44,350.01,356.75,362.66,373.10,352.26,335.03,336.11,341.00,346.52,352.58,344.10,339.37,327.53,323.95,320.49,324.49,324.55,319.67,324.12,323.74,314.81,305.44,300.95,296.02,295.33,304.29,298.79,294.81,301.44,300.02,286.48,284.01,287.94,285.13,285.35,288.76,295.77,302.11,299.81,300.26,309.28,320.03,319.10,318.51,324.91,330.63,343.34,348.10,359.64,361.01,363.04,364.19,366.35,371.83,372.56,371.05,367.27,375.19,367.77,371.11,372.81,368.97,373.61,378.91,378.15,376.72,381.58,378.78,377.46,380.81,382.24,381.25,379.12,382.29,387.18,392.26,393.41,388.31,390.56,382.45,385.02,400.71,392.84,379.46,377.66,365.56,370.83,367.35,363.20,356.57,336.00
2000-11-07 22:10:17+00:00,L7,,280.56,346.48,346.46,344.49,343.57,343.92,338.81,331.99,325.56,314.31,313.89,303.75,287.08,286.52,298.25,306.28,306.34,303.09,299.13,296.53,292.37,291.34,296.82,306.62,311.07,324.84,339.33,341.43,340.93,346.46,329.68,318.58,319.60,318.63,322.09,326.84,327.46,333.40,329.15,319.92,311.14,302.57,300.51,296.91,299.53,297.79,292.74,285.00,280.53,279.26,279.91,287.29,291.11,288.10,285.94,290.12,275.67,276.25,275.50,277.12,277.82,280.06,283.56,289.70,290.24,277.71,292.64,301.62,305.20,310.77,319.35,323.16,330.59,324.89,333.20,342.97,343.32,346.06,349.37,350.05,347.04,340.46,344.41,343.38,348.93,348.11,352.90,352.77,352.69,351.70,350.71,358.13,363.32,363.00,365.62,363.98,362.68,359.69,357.00,355.74,360.28,365.28,366.57,362.89,363.74,360.09,361.10,370.55,366.90,351.14,344.99,338.64,338.96,349.14,340.94,327.49,316.83
2000-12-02 22:04:09+00:00,L7,403.23,419.92,432.83,434.08,407.52,380.74,359.73,357.26,348.90,343.10,346.90,336.57,337.66,341.04,340.73,328.96,317.17,311.59,315.17,320.18,323.47,316.44,315.99,315.00,319.86,325.69,333.84,347.16,356.32,365.25,372.74,332.49,317.86,320.17,327.05,329.27,341.69,350.71,349.20,337.04,324.71,327.57,319.92,318.18,314.24,311.82,310.35,309.09,309.79,306.98,296.43,295.65,299.83,298.53,293.93,297.63,306.20,300.45,294.79,293.45,294.67,297.58,299.15,299.75,302.33,308.16,306.76,314.13,324.10,334.88,337.94,343.23,345.80,346.00,349.34,355.83,356.99,359.60,363.49,365.71,364.73,362.48,362.22,356.75,353.58,360.91,369.27,372.69,371.14,371.79,371.73,369.00,376.49,378.92,374.56,378.80,380.67,381.17,375.46,378.63,376.92,382.33,381.09,383.22,379.50,377.99,370.10,379.27,390.03,375.25,369.61,358.10,358.63,366.61,367.57,363.33,346.39,341.55
2001-01-10 22:10:27+00:00,L7,,318.75,349.61,350.18,348.63,353.35,341.92,326.06,322.42,319.48,316.82,312.98,309.75,303.22,299.47,297.36,301.40,296.55,302.25,301.14,291.59,289.80,293.64,304.01,308.81,311.18,319.39,324.33,336.42,341.28,350.66,316.42,306.25,310.56,312.10,318.25,328.61,326.42,319.17,308.43,299.89,299.92,300.71,299.70,298.66,297.70,302.97,299.11,292.56,290.64,288.12,276.73,270.30,268.38,277.50,283.91,285.65,265.17,271.05,268.79,273.57,283.98,278.65,283.15,281.01,269.49,293.18,306.19,317.07,324.69,325.76,322.29,316.90,317.38,,331.47,333.91,338.77,346.20,346.16,346.21,344.37,343.73,342.96,341.83,341.97,344.53,346.16,343.63,341.10,341.84,350.83,357.44,361.72,364.69,368.57,370.87,368.92,366.80,362.65,361.11,364.62,363.60,358.43,358.01,361.21,359.97,363.97,365.23,369.00,358.67,354.92,352.53,353.39,352.75,345.04,332.88,324.34
2001-03-08 22:04:08+00:00,L7,,332.92,361.83,365.65,356.09,340.16,333.06,320.72,314.18,315.08,313.36,305.98,291.91,277.25,283.86,282.38,287.82,293.58,295.94,296.70,295.88,294.41,294.33,298.42,302.10,304.73,315.75,328.41,339.96,352.10,361.21,,305.11,308.43,306.26,305.11,298.80,297.03,294.95,292.56,291.44,294.88,293.05,293.92,295.74,293.97,293.78,289.64,286.48,280.46,272.21,267.17,261.37,266.51,269.77,278.92,281.13,262.46,262.42,260.54,261.56,263.42,269.85,272.20,256.34,263.30,272.14,292.48,295.24,303.66,314.36,316.27,320.14,,,328.37,338.83,349.70,350.30,351.88,352.58,351.16,347.82,345.14,340.35,338.54,341.69,341.00,342.61,342.27,344.55,350.80,355.57,358.10,357.84,359.29,358.59,358.11,361.99,360.27,359.62,358.46,360.03,357.04,361.14,360.08,359.83,355.76,354.61,355.91,349.32,343.94,341.88,341.77,346.93,344.90,329.99,324.00
