dates,nzd0400-0000,nzd0400-0001,nzd0400-0002,nzd0400-0003,nzd0400-0004,nzd0400-0005,nzd0400-0006,nzd0400-0007,nzd0400-0008,nzd0400-0009,nzd0400-0010,nzd0400-0011,nzd0400-0012,nzd0400-0013,nzd0400-0014,nzd0400-0015,nzd0400-0016,nzd0400-0017,nzd0400-0018,nzd0400-0019,nzd0400-0020,nzd0400-0021,nzd0400-0022,nzd0400-0023,nzd0400-0024,nzd0400-0025,nzd0400-0026,nzd0400-0027,nzd0400-0028,nzd0400-0029,nzd0400-0030,nzd0400-0031,nzd0400-0032,nzd0400-0033,nzd0400-0034,nzd0400-0035,nzd0400-0036,nzd0400-0037,nzd0400-0038,nzd0400-0039,nzd0400-0040,nzd0400-0041,nzd0400-0042,nzd0400-0043,nzd0400-0044,nzd0400-0045,nzd0400-0046,nzd0400-0047,nzd0400-0048,nzd0400-0049,nzd0400-0050,nzd0400-0051,nzd0400-0052,nzd0400-0053,nzd0400-0054,nzd0400-0055,nzd0400-0056,nzd0400-0057,nzd0400-0058,nzd0400-0059,nzd0400-0060,nzd0400-0061,nzd0400-0062,nzd0400-0063,nzd0400-0064,nzd0400-0065,nzd0400-0066,nzd0400-0067,nzd0400-0068,nzd0400-0069,nzd0400-0070,nzd0400-0071,nzd0400-0072,nzd0400-0073,nzd0400-0074,nzd0400-0075,nzd0400-0076,nzd0400-0077,nzd0400-0078,nzd0400-0079,nzd0400-0080,nzd0400-0081,nzd0400-0082,nzd0400-0083,nzd0400-0084,nzd0400-0085,nzd0400-0086,nzd0400-0087,nzd0400-0088,nzd0400-0089,nzd0400-0090,nzd0400-0091,nzd0400-0092,nzd0400-0093,nzd0400-0094,nzd0400-0095,nzd0400-0096,nzd0400-0097,nzd0400-0098,nzd0400-0099,nzd0400-0100,nzd0400-0101,nzd0400-0102,nzd0400-0103,nzd0400-0104,nzd0400-0105,nzd0400-0106,nzd0400-0107,nzd0400-0108,nzd0400-0109,nzd0400-0110,nzd0400-0111,nzd0400-0112,nzd0400-0113,nzd0400-0114,nzd0400-0115,nzd0400-0116,nzd0400-0117,satname
1999-08-17 22:12:50+00:00,,,,,,,,,,,,,,,,,296.43,300.21,307.90,309.08,307.36,312.66,330.13,351.43,357.58,366.90,374.04,376.31,378.72,374.86,373.53,358.55,347.23,346.77,339.05,331.63,333.99,338.01,335.81,328.30,325.05,331.66,329.10,327.36,312.12,314.45,311.66,305.33,302.19,303.29,302.77,299.29,305.96,303.14,298.06,299.55,303.93,281.66,287.38,282.81,279.23,,,,,,,,,,,,,,,,,,349.55,347.86,356.56,359.04,356.04,354.49,354.92,362.41,361.96,360.94,363.81,373.06,372.69,368.32,367.40,372.58,372.59,373.71,367.78,370.78,374.01,384.00,380.89,374.04,373.43,373.35,370.32,381.28,370.82,367.50,376.59,376.34,367.49,370.05,365.80,371.37,374.09,,,,L7
1999-08-26 22:06:44+00:00,,,278.76,290.01,304.83,309.37,306.13,306.64,294.15,272.17,267.47,272.30,274.90,279.58,291.67,298.43,312.78,316.80,319.67,319.85,327.71,335.21,346.16,355.29,370.71,376.16,378.54,384.71,390.90,393.29,390.24,376.06,362.27,358.42,351.92,346.74,351.64,354.13,345.58,339.88,335.50,343.35,347.73,344.01,341.32,337.75,329.68,321.36,319.77,314.24,315.05,316.36,314.37,320.48,314.44,318.82,318.91,299.26,296.83,289.76,295.49,301.62,304.30,301.98,306.75,314.79,318.78,327.35,309.61,329.92,344.29,347.72,345.07,327.54,347.58,354.78,361.81,366.02,368.26,367.38,362.56,371.14,371.91,371.05,368.15,372.73,376.35,383.49,382.28,384.96,384.49,385.38,391.58,396.58,397.05,399.93,399.16,404.38,396.89,394.94,389.93,393.23,399.70,392.23,392.57,394.22,389.75,390.80,407.43,401.45,399.07,394.23,393.19,398.30,398.32,390.48,375.05,366.23,L7
1999-10-13 22:06:48+00:00,,298.59,278.96,282.81,284.17,283.06,278.19,274.14,274.77,277.23,270.45,257.78,247.76,251.93,261.18,274.13,286.91,296.41,301.43,306.31,312.05,320.01,330.55,347.38,351.66,360.98,366.02,370.59,374.83,390.11,391.88,368.51,347.38,339.63,328.80,325.68,319.32,320.93,322.76,318.53,316.83,319.95,318.10,316.44,318.31,319.25,317.33,320.55,311.53,313.13,310.58,308.61,306.90,302.46,300.76,306.34,305.85,288.15,276.21,281.50,282.33,281.63,283.70,288.40,293.02,291.39,296.62,306.68,323.32,312.84,318.32,325.37,331.49,341.21,347.35,339.20,336.87,339.60,345.68,345.49,351.97,348.06,357.43,357.26,361.24,362.36,363.37,365.63,364.44,365.47,368.88,373.43,375.61,381.27,386.72,390.43,388.81,381.19,379.87,378.05,378.27,376.99,374.27,372.43,372.50,374.11,372.27,371.85,380.68,374.77,370.88,371.26,364.91,371.70,370.95,369.01,354.35,350.67,L7
1999-11-21 22:12:47+00:00,,275.05,304.97,297.72,294.09,283.51,273.03,269.95,274.69,261.56,262.69,271.28,265.48,271.54,282.33,290.64,301.46,299.82,308.74,319.09,324.06,333.11,341.05,350.69,354.01,354.13,355.52,365.15,371.59,377.26,379.66,366.14,349.92,335.82,328.58,334.71,333.94,337.87,323.80,323.60,331.12,328.65,332.07,328.76,323.66,329.20,322.45,310.01,313.30,313.23,317.19,315.74,311.06,303.87,295.53,301.30,299.46,286.49,281.79,276.23,277.19,280.99,279.44,280.20,263.70,271.54,299.58,301.52,302.07,312.89,324.06,327.74,333.53,317.19,,350.08,352.60,355.70,353.81,352.59,350.99,351.15,359.19,360.80,370.89,374.95,375.95,380.01,373.82,364.71,361.62,365.98,368.84,380.99,385.66,387.00,389.27,382.85,378.59,377.67,378.05,385.47,392.33,388.39,387.17,382.15,381.74,383.29,399.68,391.40,388.81,382.30,,,386.87,383.05,364.66,354.69,L7
1999-12-07 22:12:53+00:00,,304.95,338.17,328.61,297.44,285.54,272.47,277.01,272.64,259.64,260.18,262.77,253.76,261.41,272.09,273.80,295.09,299.67,318.61,322.52,325.32,331.56,332.89,343.57,348.46,348.64,348.32,357.42,363.37,373.88,384.84,370.39,352.82,343.23,337.70,338.13,335.30,337.33,329.94,322.79,319.55,321.65,324.27,323.15,322.34,319.88,321.32,326.26,319.87,316.23,314.93,308.82,305.66,300.27,295.64,302.46,308.12,285.30,277.04,279.15,279.58,279.60,277.16,275.30,273.17,282.25,297.57,301.57,303.62,309.70,317.24,321.60,328.73,329.58,325.68,344.18,350.37,356.27,356.14,352.66,350.65,362.56,362.03,361.20,360.20,366.42,368.93,372.11,369.92,365.15,364.10,363.47,367.52,379.88,382.51,390.15,392.64,387.94,385.95,389.92,382.20,384.16,382.23,378.48,374.99,374.48,374.99,377.68,389.69,385.73,381.30,374.95,378.26,381.64,379.96,377.70,364.36,351.71,L7
2000-01-17 22:06:35+00:00,,339.73,348.25,339.72,319.09,309.23,294.28,278.57,269.34,260.01,254.78,251.67,252.64,260.41,276.94,292.11,299.76,300.34,310.76,316.87,326.10,335.79,347.50,357.00,350.30,352.80,356.19,365.05,367.75,374.83,382.55,358.88,346.88,339.21,334.79,340.32,341.26,342.00,334.53,334.79,332.56,335.22,338.84,336.16,330.61,328.69,328.39,319.27,309.53,304.63,308.80,306.10,310.17,308.74,304.71,307.06,303.47,286.77,288.47,289.31,292.68,287.06,286.82,287.36,289.24,292.31,302.67,307.31,312.29,311.77,321.77,328.01,335.83,334.17,339.67,352.34,354.43,359.20,358.84,360.63,359.88,364.95,364.21,363.37,363.33,362.02,369.69,371.18,371.07,369.77,372.79,374.51,377.87,383.54,383.03,387.72,392.51,391.59,388.68,387.61,382.42,381.32,384.09,378.80,378.66,379.94,375.06,377.01,385.66,376.41,373.65,374.74,369.59,377.57,375.14,369.27,353.51,354.91,L7
2000-02-18 22:06:29+00:00,,300.62,,,,,292.33,292.54,293.51,266.24,264.89,270.07,261.92,265.09,278.57,285.91,304.07,303.46,309.39,320.30,331.46,333.24,340.40,346.76,350.02,355.72,352.77,364.91,373.67,377.51,385.15,372.53,357.05,349.86,338.62,341.11,342.85,341.65,334.58,330.21,328.32,325.78,329.13,329.36,323.91,322.81,320.29,310.79,306.51,305.26,309.57,300.90,304.37,304.11,302.79,312.30,313.69,297.62,292.10,288.33,290.09,294.22,293.37,,268.14,283.27,309.11,313.17,315.37,315.91,316.10,319.54,334.08,332.87,336.33,349.38,349.29,358.76,357.77,360.80,360.45,367.05,370.16,363.11,,,,,,,,,,,,,,390.34,,,400.14,383.98,387.69,382.35,384.45,381.43,,390.20,,,,,,,,,,,L7
2000-03-21 22:06:25+00:00,,295.36,314.97,322.76,322.88,303.42,291.38,278.78,279.64,272.81,270.58,277.93,281.06,277.80,282.75,294.01,301.92,290.17,292.87,296.59,296.54,302.89,310.38,323.11,341.84,352.81,350.39,358.45,364.95,368.84,375.23,362.38,347.83,345.22,346.48,345.38,338.10,332.28,329.97,324.52,325.68,322.10,325.02,326.38,326.98,330.37,332.36,324.22,309.80,302.42,300.14,295.11,294.50,300.51,293.88,299.36,300.50,278.58,271.69,275.72,280.06,283.23,280.85,285.26,294.74,299.07,294.18,314.21,313.90,316.21,320.86,325.23,340.09,348.44,342.35,356.14,357.96,360.32,358.91,360.99,363.31,363.06,364.19,358.28,357.75,361.92,364.05,367.14,365.99,364.24,364.89,365.83,376.18,383.60,384.73,382.82,374.61,369.86,371.49,376.12,371.28,369.23,373.70,370.38,371.07,374.48,373.09,373.23,377.68,371.29,368.90,364.60,360.35,366.24,368.28,364.08,350.21,347.12,L7
2000-04-13 22:12:18+00:00,,285.24,300.33,306.35,305.79,307.67,292.85,283.02,280.69,275.89,272.71,274.70,279.23,285.84,296.11,306.87,307.82,299.70,292.36,294.00,298.38,298.63,314.80,326.76,342.66,355.81,365.61,370.07,367.16,363.57,373.70,358.80,348.52,346.68,349.02,346.80,341.33,337.43,331.51,330.36,323.17,320.02,319.71,325.24,331.03,327.82,325.70,331.40,327.17,325.66,320.06,307.26,296.84,295.05,287.66,296.13,298.64,275.29,279.69,281.18,286.06,287.48,289.68,292.76,291.05,298.94,309.75,316.34,325.55,314.86,322.42,332.63,342.47,349.45,352.88,359.57,363.45,367.37,369.97,374.36,370.52,370.74,374.58,375.02,379.06,371.11,368.41,361.40,365.88,365.39,365.32,370.87,377.89,380.68,382.82,391.70,394.34,392.12,383.37,381.32,377.65,374.82,374.78,372.05,371.75,377.35,382.44,380.92,380.39,373.77,366.88,367.56,366.86,372.44,371.93,372.20,364.09,356.95,L7
2000-05-24 22:05:46+00:00,100.32,273.32,300.42,335.48,,,,291.42,285.72,291.63,297.85,290.13,291.43,295.12,304.73,306.89,308.20,305.27,297.94,298.21,306.09,309.18,315.56,322.16,330.75,340.15,347.55,349.49,365.52,384.22,392.34,392.85,375.56,341.37,339.34,339.92,340.88,335.41,342.61,337.66,333.52,332.68,328.87,326.86,322.40,319.87,319.65,318.57,300.97,302.58,301.91,315.10,320.35,319.51,322.85,310.54,311.55,285.96,280.61,282.62,280.67,280.53,274.73,280.06,286.51,284.04,275.67,,,,,,,,,328.56,330.64,341.12,345.01,333.46,331.56,342.90,346.00,335.12,,337.12,356.64,359.18,358.78,345.61,345.25,351.49,344.30,354.64,363.15,370.93,381.19,386.61,388.54,396.35,396.69,384.61,381.37,382.27,387.87,,,,,368.79,360.64,357.25,352.85,356.28,362.19,371.44,366.59,352.95,L7
2000-06-25 22:05:31+00:00,71.13,,278.36,338.78,,394.21,,334.89,,308.83,286.23,283.95,294.00,303.00,309.17,307.59,296.07,291.57,298.12,283.99,292.14,283.57,297.17,310.61,331.92,337.53,339.49,353.51,351.20,354.99,358.72,367.53,361.95,362.31,356.40,350.16,339.66,335.59,330.39,325.91,323.17,327.95,326.21,335.01,334.95,329.44,335.95,330.06,331.87,331.51,321.01,320.38,317.41,320.39,315.94,315.43,314.86,298.51,286.19,282.62,284.91,291.69,293.01,299.73,296.05,299.91,307.59,299.06,303.08,313.63,333.70,346.64,355.20,357.37,362.82,363.56,372.58,363.09,366.17,361.64,371.59,373.42,366.94,367.21,380.75,382.23,382.24,386.96,386.23,379.73,383.14,390.96,390.06,386.64,395.54,397.44,401.19,398.15,394.46,394.98,391.17,401.68,403.08,402.93,401.15,404.92,404.59,398.76,394.50,391.57,385.27,378.20,370.44,367.37,363.09,373.25,362.73,349.71,L7
2000-07-11 22:05:17+00:00,,,,,,376.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.65,,,,,343.95,348.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-03 22:11:07+00:00,,,,,,,,,,,,,,,,,310.68,305.10,300.81,305.00,301.28,303.73,312.52,318.51,322.03,330.06,335.02,339.62,360.10,369.17,379.18,354.12,334.24,335.58,338.46,342.02,350.04,348.32,339.64,331.49,330.86,328.84,329.58,329.87,330.23,331.50,332.83,330.77,325.93,321.43,311.52,306.15,304.09,302.84,299.86,308.13,312.36,295.90,294.93,293.99,294.67,298.45,296.76,300.54,281.56,283.44,299.21,303.69,322.46,318.61,315.96,320.24,340.04,350.84,352.67,347.89,356.65,362.30,364.47,364.15,366.44,373.68,361.13,360.71,365.92,370.62,370.85,369.68,375.32,371.41,369.90,369.69,375.37,386.16,388.09,388.89,381.01,381.41,381.44,380.87,381.66,382.83,383.46,383.80,381.53,378.92,376.85,372.54,382.26,387.82,374.54,371.78,364.93,,,,,,L7
2000-08-19 22:11:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.30,335.12,336.26,333.19,334.16,342.51,353.94,344.68,325.53,322.11,324.19,323.41,327.24,321.83,323.59,320.48,316.97,314.49,312.80,307.97,302.83,303.00,301.79,303.42,303.65,304.12,287.49,,,,,,,,,,,,,,,338.42,347.74,352.55,360.58,348.08,349.74,354.37,360.04,367.82,370.54,367.98,360.70,354.43,348.54,357.21,362.95,359.49,352.41,357.00,360.30,368.38,379.59,381.42,382.94,380.25,377.50,377.97,376.21,375.39,376.14,378.14,375.94,374.05,377.05,372.64,373.38,379.67,377.80,369.01,366.12,,,,,,,L7
2000-09-13 22:04:25+00:00,,,277.33,311.54,339.50,345.57,339.95,329.72,333.09,309.88,295.52,293.36,292.59,300.90,305.26,306.17,309.47,296.49,284.03,281.41,281.24,287.53,294.61,308.24,314.35,325.72,328.85,330.93,337.30,343.93,349.50,345.07,324.62,326.98,328.57,332.68,332.87,332.26,329.43,316.33,307.32,303.18,307.84,313.08,314.69,310.94,308.84,298.57,301.22,296.80,293.54,291.59,291.04,294.27,289.76,298.62,299.31,277.38,267.62,269.89,272.37,269.88,276.27,,256.37,267.68,281.82,291.87,298.07,301.87,310.27,312.18,320.60,292.62,,342.25,345.36,350.47,350.47,348.57,345.43,353.94,355.32,354.16,361.64,361.94,369.52,369.45,355.90,360.71,359.51,357.80,364.29,364.15,370.29,373.31,375.27,366.41,363.27,362.73,360.86,369.50,374.73,373.91,372.83,378.43,375.53,372.94,380.07,368.53,369.50,367.93,361.70,365.64,366.83,363.59,343.34,335.11,L7
2000-09-20 22:10:27+00:00,73.35,258.42,284.36,312.35,327.09,332.70,338.71,328.22,322.53,333.08,323.94,316.05,309.08,316.46,323.30,326.58,329.77,317.68,301.64,284.83,277.52,284.81,293.08,305.23,309.82,314.13,326.59,333.65,340.39,346.30,355.10,334.26,317.03,319.75,326.00,330.16,336.22,326.10,323.01,311.17,307.59,304.13,308.13,309.55,303.31,309.12,308.74,296.81,289.08,285.95,278.02,278.97,287.93,280.79,279.81,285.08,283.66,270.12,267.65,272.94,268.77,267.35,270.76,279.41,282.11,279.81,277.76,286.78,300.03,299.10,298.51,304.91,310.63,320.84,328.10,341.64,344.65,345.04,347.83,348.35,355.47,354.56,351.05,347.27,355.19,347.77,351.11,352.81,350.97,355.61,362.55,363.15,360.36,363.58,360.78,359.46,360.81,362.24,363.25,361.12,364.29,367.18,369.76,373.41,368.31,372.56,364.45,367.02,378.21,374.84,359.46,359.66,347.56,350.83,347.35,343.20,338.57,313.50,L7
2000-11-07 22:10:17+00:00,,284.56,,,353.49,350.77,349.92,346.01,340.99,331.56,320.86,321.89,310.95,293.63,293.07,304.25,312.28,311.14,308.23,304.67,303.08,298.92,297.34,303.37,313.17,317.62,330.38,345.88,347.98,347.48,353.66,336.88,325.78,326.15,324.63,328.64,333.39,334.66,339.95,335.70,326.47,317.69,309.12,306.51,303.46,305.53,303.79,299.94,291.55,286.53,286.46,286.46,293.84,298.31,294.10,292.49,296.67,282.22,282.80,281.50,283.67,285.02,287.26,290.11,297.70,298.24,286.71,301.64,309.62,313.20,318.77,327.35,331.16,339.59,332.89,340.40,349.52,350.52,352.61,356.57,356.60,354.24,348.46,352.41,351.38,356.93,356.11,360.90,359.97,359.89,358.25,356.71,364.68,370.52,370.20,372.82,371.98,370.68,366.89,364.20,362.94,368.28,374.28,374.57,370.89,370.94,367.29,368.30,379.55,374.10,359.14,352.19,345.84,346.96,357.14,348.94,334.69,325.83,L7
