dates,nzd0051-0000,nzd0051-0001,nzd0051-0002,nzd0051-0003,nzd0051-0004,nzd0051-0005,nzd0051-0006,nzd0051-0007,satname
1999-08-17 22:10:26+00:00,368.60,376.35,384.58,391.00,390.70,396.48,398.52,393.13,L7
1999-08-26 22:04:21+00:00,367.64,376.91,385.43,390.17,390.80,396.00,397.59,390.38,L7
1999-09-27 22:04:25+00:00,369.87,378.88,385.67,391.86,392.35,396.26,399.91,389.94,L7
1999-10-04 22:10:38+00:00,370.96,379.06,384.85,393.23,392.37,396.87,399.65,397.60,L7
1999-11-14 22:04:18+00:00,372.80,380.47,386.41,395.38,393.07,398.11,400.62,397.35,L7
2000-02-09 22:10:19+00:00,372.87,380.66,387.33,396.77,394.21,398.88,401.20,398.29,L7
2000-04-13 22:09:54+00:00,379.63,385.10,392.23,402.76,397.71,400.20,401.57,400.46,L7
2000-05-15 22:09:42+00:00,376.30,383.12,388.76,398.98,394.21,394.59,395.76,397.97,L7
2000-05-24 22:03:22+00:00,376.71,383.38,389.50,399.56,393.93,395.88,397.41,395.85,L7
2000-08-03 22:08:44+00:00,378.32,385.39,389.95,399.80,394.66,396.77,398.21,396.30,L7
2000-08-12 22:02:30+00:00,380.03,385.33,389.19,398.54,392.35,395.16,396.05,394.63,L7
2000-08-19 22:08:38+00:00,378.97,383.94,389.00,396.80,392.12,395.00,395.20,393.26,L7
2000-09-04 22:08:22+00:00,378.44,384.74,388.72,397.48,392.34,395.03,395.11,393.25,L7
2000-09-13 22:02:02+00:00,377.80,383.61,388.54,396.66,391.54,393.92,394.05,391.72,L7
2001-01-03 22:01:48+00:00,379.19,385.06,390.11,397.26,392.65,395.18,393.84,391.67,L7
2001-01-26 22:08:07+00:00,379.76,385.98,390.41,397.55,392.65,395.18,393.84,391.67,L7
2001-03-08 22:01:45+00:00,380.13,384.69,391.89,396.62,391.35,392.55,391.39,388.90,L7
2001-03-24 22:01:35+00:00,383.12,387.74,393.05,397.58,394.08,394.53,394.15,391.52,L7
2001-06-03 22:07:16+00:00,382.82,386.58,391.32,397.21,392.04,393.44,392.87,391.52,L7
2001-06-19 22:07:05+00:00,382.32,385.84,390.00,396.84,390.50,392.73,392.14,391.52,L7
2001-08-15 22:00:14+00:00,379.51,382.88,386.55,393.47,387.52,389.66,390.14,392.05,L7
2001-08-31 22:00:05+00:00,380.53,384.22,387.20,394.35,386.55,388.75,390.23,391.02,L7
2001-09-07 22:06:11+00:00,383.74,387.08,387.42,395.67,387.11,390.23,391.97,393.29,L7
2001-12-05 21:59:55+00:00,383.16,386.68,385.55,394.08,385.49,389.36,391.60,393.87,L7
2001-12-21 22:00:05+00:00,383.10,387.55,387.09,394.17,386.90,390.50,392.77,393.42,L7
2002-01-22 22:00:16+00:00,384.77,388.93,389.05,396.20,388.60,392.42,393.84,393.69,L7
2002-02-23 22:00:19+00:00,389.25,390.38,390.44,398.15,390.09,393.81,394.86,392.62,L7
2002-03-27 22:00:13+00:00,386.73,388.36,389.67,396.24,390.39,393.46,392.89,391.25,L7
2002-04-28 22:00:14+00:00,386.49,387.81,390.31,397.13,390.72,392.92,393.39,391.50,L7
2002-06-15 21:59:55+00:00,387.20,388.29,392.71,398.34,391.58,393.98,395.29,391.20,L7
2002-07-01 21:59:51+00:00,387.76,390.00,393.30,397.16,390.82,393.30,395.36,391.18,L7
2002-07-17 21:59:44+00:00,386.00,388.94,392.36,396.58,390.47,392.97,395.12,391.18,L7
2002-10-12 22:05:14+00:00,382.25,387.24,391.95,396.81,390.55,392.46,397.09,391.41,L7
2002-10-28 22:05:22+00:00,382.22,387.87,391.22,397.71,390.17,393.23,397.08,391.37,L7
2003-01-09 21:59:45+00:00,381.85,386.10,389.96,400.05,391.64,393.20,394.63,391.50,L7
2003-01-16 22:06:02+00:00,383.97,387.28,388.76,398.68,390.42,391.94,391.78,389.10,L7
2003-02-01 22:06:10+00:00,378.84,382.89,387.39,396.23,388.81,388.63,390.45,388.09,L7
2003-04-06 22:06:21+00:00,379.50,384.73,388.00,397.21,389.37,389.62,391.83,389.65,L7
2003-04-22 22:06:19+00:00,380.49,384.58,386.93,394.59,388.29,388.95,390.14,388.76,L7
2003-05-24 22:06:17+00:00,379.59,383.15,385.91,391.79,387.33,387.68,389.74,387.99,L7
2003-07-28 21:48:04+00:00,378.37,382.14,385.20,389.58,387.55,387.12,391.51,388.31,L5
