dates,satname,nzd0051-0000,nzd0051-0001,nzd0051-0002,nzd0051-0003,nzd0051-0004,nzd0051-0005,nzd0051-0006,nzd0051-0007
1999-08-17 22:10:26+00:00,L7,365.66,373.57,382.41,388.62,387.92,393.70,394.67,390.01
1999-08-26 22:04:21+00:00,L7,365.03,375.91,385.06,388.01,389.34,393.95,394.51,385.89
1999-09-27 22:04:25+00:00,L7,362.69,371.81,377.54,385.81,384.45,385.78,389.32,376.68
1999-10-04 22:10:38+00:00,L7,383.52,388.38,389.25,404.84,401.21,407.49,411.03,430.42
1999-11-14 22:04:18+00:00,L7,376.50,382.70,389.98,401.04,392.44,399.62,399.70,392.49
2000-02-09 22:10:19+00:00,L7,362.63,371.60,384.08,395.13,389.92,392.75,390.30,391.71
2000-04-13 22:09:54+00:00,L7,393.39,394.99,397.94,406.97,404.78,402.22,406.39,410.42
2000-05-15 22:09:42+00:00,L7,375.82,385.54,386.43,397.23,390.71,391.57,394.42,394.91
2000-05-24 22:03:22+00:00,L7,375.82,382.16,390.17,399.57,391.07,397.76,399.61,387.24
2000-08-03 22:08:44+00:00,L7,373.83,383.08,383.62,391.89,387.28,389.98,387.09,386.48
2000-08-12 22:02:30+00:00,L7,386.48,385.75,391.59,401.24,392.80,399.14,399.48,399.60
2000-08-19 22:08:38+00:00,L7,365.40,369.21,381.97,381.42,383.18,386.43,380.23,377.67
2000-09-04 22:08:22+00:00,L7,372.78,387.20,385.19,399.55,391.33,392.87,391.29,390.52
2000-09-13 22:02:02+00:00,L7,370.43,372.94,385.15,388.58,383.15,383.39,382.76,377.94
2001-01-03 22:01:48+00:00,L7,389.28,396.16,400.58,407.15,402.15,403.26,400.01,399.81
2001-01-26 22:08:07+00:00,L7,372.93,381.88,384.68,391.01,,,,
2001-03-08 22:01:45+00:00,L7,376.22,376.78,388.55,390.30,387.41,389.67,389.54,387.46
2001-03-24 22:01:35+00:00,L7,380.17,383.01,388.10,390.64,389.25,387.23,388.14,383.42
2001-06-03 22:07:16+00:00,L7,388.34,388.30,389.38,401.15,392.26,396.51,397.78,
2001-06-19 22:07:05+00:00,L7,385.79,387.77,387.81,399.86,390.00,395.52,397.09,
2001-08-15 22:00:14+00:00,L7,383.25,393.87,390.93,398.55,394.02,394.72,399.40,409.02
2001-08-31 22:00:05+00:00,L7,389.40,394.51,393.20,401.80,385.24,387.77,395.59,391.92
2001-09-07 22:06:11+00:00,L7,389.23,388.01,385.25,393.17,384.90,392.64,391.83,389.92
2001-12-05 21:59:55+00:00,L7,371.75,372.71,373.27,380.00,376.74,379.62,378.86,382.10
2001-12-21 22:00:05+00:00,L7,377.61,384.66,389.69,393.91,389.62,393.77,392.62,389.61
2002-01-22 22:00:16+00:00,L7,396.08,398.62,400.99,408.76,399.85,404.81,403.07,398.21
2002-02-23 22:00:19+00:00,L7,405.99,398.64,396.21,406.90,399.12,399.17,400.09,398.20
2002-03-27 22:00:13+00:00,L7,380.09,385.15,386.61,389.94,384.62,387.95,387.06,385.87
2002-04-28 22:00:14+00:00,L7,374.58,374.95,385.63,392.91,382.26,380.09,381.91,381.37
2002-06-15 21:59:55+00:00,L7,378.17,377.59,389.25,388.92,383.91,387.99,393.00,382.54
2002-07-01 21:59:51+00:00,L7,383.16,397.05,394.84,388.67,387.16,391.81,395.98,391.86
2002-07-17 21:59:44+00:00,L7,380.42,387.25,390.39,397.13,393.01,395.67,400.13,
2002-10-12 22:05:14+00:00,L7,381.17,386.38,389.47,405.26,393.39,393.72,396.45,389.97
2002-10-28 22:05:22+00:00,L7,383.69,386.87,388.86,404.96,389.17,392.74,394.01,391.11
2003-01-09 21:59:45+00:00,L7,382.47,384.25,391.39,393.15,391.32,391.01,388.41,388.55
2003-01-16 22:06:02+00:00,L7,,,382.21,387.91,383.80,386.28,382.73,382.27
2003-02-01 22:06:10+00:00,L7,356.52,363.16,376.76,380.84,375.83,368.85,376.04,376.66
2003-04-06 22:06:21+00:00,L7,374.93,385.33,385.73,396.32,385.39,387.78,389.34,389.81
2003-04-22 22:06:19+00:00,L7,386.03,385.51,382.96,389.38,386.77,389.59,386.16,384.53
2003-05-24 22:06:17+00:00,L7,387.32,387.37,388.75,394.76,391.10,392.79,402.24,
2003-07-28 21:48:04+00:00,L5,376.84,379.63,384.22,378.32,388.96,386.89,390.36,384.23
2003-08-28 22:05:57+00:00,L7,,,,,,,,
2003-08-29 21:48:38+00:00,L5,386.46,393.25,387.99,392.14,387.91,390.15,387.72,387.58
2003-09-30 21:49:06+00:00,L5,381.86,382.77,385.72,389.53,385.13,386.81,387.21,386.25
2003-11-16 22:06:11+00:00,L7,,,,,,,,
2003-12-18 22:06:24+00:00,L7,395.82,394.25,400.21,409.30,407.63,404.68,419.36,
2003-12-19 21:50:03+00:00,L5,400.64,400.44,405.29,412.42,407.80,409.85,407.45,411.44
2003-12-26 21:56:18+00:00,L5,,,,,387.54,390.85,389.34,399.58
2004-01-19 22:06:35+00:00,L7,390.26,390.17,395.46,406.46,408.20,,,
2004-03-07 22:06:48+00:00,L7,370.12,379.10,385.88,387.51,385.88,387.59,386.18,385.07
2004-03-23 22:06:52+00:00,L7,373.65,375.43,383.60,387.05,384.37,389.41,387.53,
2004-04-01 22:00:40+00:00,L7,382.93,389.64,391.91,402.51,394.94,399.49,401.48,398.97
2004-04-16 21:57:19+00:00,L5,379.76,386.68,388.40,398.17,394.40,397.58,399.19,395.23
2004-04-17 22:00:33+00:00,L7,380.04,380.57,390.83,,,,,
2004-05-03 22:00:35+00:00,L7,380.49,379.85,387.37,394.85,387.49,391.82,388.92,390.10
2004-05-18 21:58:14+00:00,L5,385.24,392.25,396.49,399.84,398.78,401.67,402.76,391.12
2004-05-26 22:06:45+00:00,L7,,,,,,,408.37,408.28
2004-06-11 22:06:38+00:00,L7,389.66,389.73,395.07,405.06,397.49,401.16,403.18,
