dates,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021,satname
2000-01-26 21:59:38+00:00,357.40777777777777,345.7,331.2557142857143,357.4,323.2477777777778,311.27,313.5,302.54,296.3177777777778,293.11,289.33,287.92285714285714,298.3277777777778,301.24,369.9157142857143,363.7266666666667,388.32,379.3857142857143,347.9833333333333,320.78,333.6638095238095,351.0084615384616,L7
2000-03-14 21:59:23+00:00,337.32222222222225,341.97,336.39,337.89,330.96222222222224,326.55,285.2663636363636,315.0263636363636,322.84222222222223,316.31,316.4063636363636,313.61,325.4222222222222,333.19,342.28,350.7033333333333,362.0,350.14,366.3366666666667,352.82,362.6733333333333,381.58538461538467,L7
2000-03-30 21:59:21+00:00,344.8411111111111,344.4,342.98857142857145,337.57,332.95111111111106,329.38,326.33909090909094,326.84909090909093,324.1611111111111,324.03,323.81909090909096,320.87428571428575,326.6511111111111,334.38,336.02857142857147,347.1766666666667,355.7,359.72857142857146,359.1633333333333,360.29,371.83238095238096,379.5792307692308,L7
2000-08-05 21:57:56+00:00,323.95111111111106,,,,297.9711111111111,294.71,295.05454545454546,309.70454545454544,293.4311111111111,289.8,,,,,,,,,,,,,L7
2000-09-22 21:57:17+00:00,349.2633333333333,344.74,335.57714285714286,333.44,329.9133333333333,324.53,323.9190909090909,331.25909090909096,,,,,,,,,,,313.73,,,,L7
2000-11-25 21:57:10+00:00,341.6366666666667,334.84,338.1042857142857,327.62,325.43666666666667,319.81,318.9718181818182,318.1818181818182,320.0766666666667,324.68,313.3418181818182,309.7571428571428,320.12666666666667,327.05,332.7742857142857,339.98,343.44,344.6042857142857,334.15,345.38,344.41285714285715,358.7769230769231,L7
2001-01-12 21:57:18+00:00,331.1933333333333,329.71000000000004,326.3771428571428,326.62,326.0833333333333,325.0,312.81363636363636,317.43363636363637,318.6433333333333,319.45,313.0236363636364,312.61857142857144,324.7233333333333,334.97,343.1171428571428,341.27,346.27,349.95714285714286,349.07,350.66,355.2914285714286,368.4423076923077,L7
2001-02-13 21:57:15+00:00,353.4033333333333,346.62,325.75428571428574,344.96000000000004,340.74333333333334,318.22,,337.36636363636364,321.5933333333333,307.37,309.2063636363636,312.3071428571428,314.4033333333333,339.18,347.9842857142857,356.72,366.8,351.26428571428573,359.36,345.14,354.79285714285714,363.7407692307692,L7
2001-07-07 21:56:12+00:00,,,,,,,319.4409090909091,319.7709090909091,313.86,316.13,314.7709090909091,,,,,,,,,,,,L7
2001-09-09 21:55:24+00:00,392.4611111111111,,342.81,382.3,352.0911111111111,,,,,,,,,,,379.7966666666667,397.18,,361.3433333333333,348.58,389.7266666666667,,L7
2001-09-25 21:55:16+00:00,,,,,,,,,,,302.0709090909091,307.94142857142856,325.54555555555555,333.52,347.0028571428572,353.8833333333333,367.78,360.95285714285717,369.69666666666666,342.88,,,L7
