dates,satname,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021
2000-01-26 21:59:38+00:00,L7,369.63,356.70,346.97,368.40,335.47,322.27,323.50,312.54,308.54,306.86,299.33,295.78,310.55,314.99,385.63,382.06,402.07,395.10,357.15,334.53,344.14,359.47
2000-03-14 21:59:23+00:00,L7,345.10,348.97,346.39,344.89,338.74,333.55,291.63,321.39,330.62,325.06,322.77,318.61,333.20,341.94,352.28,362.37,370.75,360.14,372.17,361.57,369.34,386.97
2000-03-30 21:59:21+00:00,L7,343.73,343.40,341.56,336.57,331.84,328.38,325.43,325.94,323.05,322.78,322.91,320.16,325.54,333.13,334.60,345.51,354.45,358.30,358.33,359.04,370.88,378.81
2000-08-05 21:57:56+00:00,L7,336.84,,242.11,295.81,310.86,306.31,305.60,320.25,306.32,304.30,231.91,,,,,,,,,,,
2000-09-22 21:57:17+00:00,L7,357.93,352.54,346.72,341.24,338.58,332.33,331.01,338.35,,,,,,,,,,,320.23,282.23,242.72,257.05
2000-11-25 21:57:10+00:00,L7,316.97,312.64,306.39,305.42,300.77,297.61,298.79,298.00,295.41,296.93,293.16,293.90,295.46,299.30,301.06,302.98,315.69,312.89,315.65,317.63,323.27,341.70
2001-01-12 21:57:18+00:00,L7,325.86,324.91,319.52,321.82,320.75,320.20,308.45,313.07,313.31,313.45,308.66,309.19,319.39,328.97,336.26,333.27,340.27,343.10,345.07,344.66,350.72,364.75
2001-02-13 21:57:15+00:00,L7,366.07,358.02,342.04,356.36,353.41,329.62,369.42,347.73,334.26,321.62,319.57,320.45,327.07,353.43,364.27,375.72,381.05,367.55,368.86,359.39,365.65,372.51
2001-06-21 21:56:17+00:00,L7,,,,,,225.22,201.52,186.91,177.88,189.48,170.04,172.77,190.57,221.61,234.94,221.76,222.68,203.84,164.24,256.22,231.58,254.85
2001-07-07 21:56:12+00:00,L7,232.22,234.76,231.87,219.79,189.56,206.72,306.35,306.68,297.86,298.13,301.68,196.96,208.69,223.89,234.68,229.42,229.14,227.45,213.41,253.90,262.54,274.25
