dates,nzd0034-0000,nzd0034-0001,nzd0034-0002,nzd0034-0003,nzd0034-0004,nzd0034-0005,nzd0034-0006,satname
1999-07-25 22:04:15+00:00,,,369.41,374.49,374.69,387.21,384.58,L7
1999-08-26 22:04:21+00:00,422.94,390.39,385.76,373.68,380.24,378.98,377.77,L7
1999-09-27 22:04:25+00:00,383.95,385.25,374.37,386.43,380.38,385.43,377.75,L7
1999-11-14 22:04:18+00:00,424.27,376.56,370.43,379.49,385.94,389.28,378.83,L7
2000-02-09 22:10:19+00:00,386.95,391.99,381.25,390.01,392.20,398.81,390.18,L7
2000-04-13 22:09:54+00:00,387.79,393.81,385.48,395.52,395.10,403.27,382.83,L7
2000-04-29 22:09:53+00:00,391.30,393.97,390.87,394.39,397.58,408.31,385.46,L7
2000-05-24 22:03:22+00:00,380.41,386.83,385.14,388.48,389.61,397.46,,L7
2000-08-03 22:08:44+00:00,,370.31,381.98,379.77,387.24,397.71,378.98,L7
2000-08-12 22:02:30+00:00,,373.37,368.70,369.02,374.97,390.43,382.31,L7
2000-09-04 22:08:22+00:00,358.35,361.48,365.65,360.05,370.65,375.49,367.95,L7
2001-01-26 22:08:07+00:00,385.76,394.75,387.69,394.34,388.88,401.31,392.42,L7
2001-03-08 22:01:45+00:00,,,372.15,374.52,,,,L7
2001-03-24 22:01:35+00:00,372.76,382.40,380.76,397.07,404.35,404.20,397.17,L7
2001-06-03 22:07:16+00:00,372.56,,379.83,372.80,381.76,392.06,,L7
2001-06-19 22:07:05+00:00,374.03,,373.11,371.54,384.07,383.03,,L7
2001-06-28 22:00:45+00:00,423.24,381.11,,,,391.14,390.71,L7
2001-08-15 22:00:14+00:00,422.04,375.10,375.27,382.74,383.61,388.81,391.65,L7
2001-08-31 22:00:05+00:00,427.45,370.32,365.74,373.19,377.56,383.43,374.32,L7
2001-10-18 21:59:42+00:00,450.37,385.27,379.25,394.01,397.38,402.01,385.55,L7
2001-12-12 22:06:14+00:00,352.54,365.07,363.00,364.68,368.69,,,L7
2001-12-28 22:06:14+00:00,361.70,376.51,370.57,372.12,372.82,383.62,380.94,L7
2002-01-22 22:00:16+00:00,393.11,394.34,389.86,390.60,389.89,401.34,390.90,L7
2002-02-14 22:06:29+00:00,371.82,384.60,378.67,382.88,390.90,397.46,391.75,L7
2002-03-27 22:00:13+00:00,372.98,373.08,375.89,369.56,387.38,390.81,383.45,L7
2002-04-12 22:00:13+00:00,370.04,373.22,376.43,375.19,388.96,393.82,386.27,L7
2002-06-15 21:59:55+00:00,362.71,,379.68,382.97,383.25,392.72,388.54,L7
2002-06-22 22:06:03+00:00,396.07,,384.36,384.74,383.44,388.40,,L7
2002-08-09 22:05:46+00:00,443.26,385.52,379.75,382.52,386.63,391.92,388.19,L7
2002-08-18 21:59:33+00:00,418.48,396.98,378.24,383.89,405.24,400.42,387.32,L7
2002-10-28 22:05:22+00:00,385.45,395.08,385.55,379.95,392.30,390.42,392.33,L7
2002-11-13 22:05:30+00:00,412.54,388.04,389.04,389.86,390.98,405.75,406.45,L7
2002-11-22 21:59:33+00:00,385.00,394.58,395.37,390.42,398.12,402.17,394.21,L7
2003-01-09 21:59:45+00:00,387.12,389.60,388.53,388.43,391.11,399.41,390.62,L7
2003-04-06 22:06:21+00:00,351.97,386.04,382.53,383.11,388.64,394.56,389.51,L7
2003-04-22 22:06:19+00:00,364.50,,367.80,374.87,394.65,398.25,385.86,L7
2003-05-08 22:06:20+00:00,367.50,,370.87,378.17,391.20,395.82,392.76,L7
2003-05-24 22:06:17+00:00,,,370.18,367.46,381.17,397.05,,L7
2003-08-29 21:48:38+00:00,,383.85,384.44,383.07,395.76,398.03,391.43,L5
2003-09-30 21:49:06+00:00,,390.57,393.27,397.02,401.80,401.40,393.19,L5
2003-12-18 22:06:24+00:00,388.59,394.50,388.07,384.81,389.16,392.76,386.44,L7
2003-12-19 21:50:03+00:00,396.69,404.19,395.68,390.23,395.75,398.81,397.02,L5
2004-01-19 22:06:35+00:00,394.74,396.43,391.75,390.46,390.50,396.52,395.05,L7
2004-03-07 22:06:48+00:00,,,,381.98,384.80,395.83,391.33,L7
2004-03-23 22:06:52+00:00,387.50,392.89,386.04,401.19,405.83,395.06,388.77,L7
2004-04-01 22:00:40+00:00,,,393.76,388.63,392.19,394.54,390.27,L7
2004-04-16 21:57:19+00:00,382.28,385.27,386.65,384.74,,,,L5
2004-04-17 22:00:33+00:00,381.21,383.94,383.23,385.38,385.82,394.36,386.88,L7
2004-06-11 22:06:38+00:00,384.22,,389.16,390.56,389.45,402.06,,L7
2004-06-12 21:52:47+00:00,420.26,397.12,390.93,391.09,390.89,397.90,389.00,L5
