dates,satname,nzd0353-0000,nzd0353-0001,nzd0353-0002,nzd0353-0003,nzd0353-0004,nzd0353-0005,nzd0353-0006,nzd0353-0007,nzd0353-0008,nzd0353-0009,nzd0353-0010,nzd0353-0011,nzd0353-0012,nzd0353-0013,nzd0353-0014,nzd0353-0015,nzd0353-0016,nzd0353-0017,nzd0353-0018,nzd0353-0019,nzd0353-0020,nzd0353-0021,nzd0353-0022,nzd0353-0023,nzd0353-0024,nzd0353-0025,nzd0353-0026,nzd0353-0027,nzd0353-0028,nzd0353-0029,nzd0353-0030,nzd0353-0031,nzd0353-0032,nzd0353-0033,nzd0353-0034,nzd0353-0035,nzd0353-0036,nzd0353-0037,nzd0353-0038,nzd0353-0039,nzd0353-0040,nzd0353-0041,nzd0353-0042,nzd0353-0043,nzd0353-0044,nzd0353-0045,nzd0353-0046,nzd0353-0047,nzd0353-0048,nzd0353-0049,nzd0353-0050,nzd0353-0051,nzd0353-0052,nzd0353-0053,nzd0353-0054,nzd0353-0055,nzd0353-0056,nzd0353-0057,nzd0353-0058,nzd0353-0059,nzd0353-0060,nzd0353-0061,nzd0353-0062,nzd0353-0063,nzd0353-0064,nzd0353-0065,nzd0353-0066,nzd0353-0067,nzd0353-0068,nzd0353-0069,nzd0353-0070,nzd0353-0071,nzd0353-0072,nzd0353-0073,nzd0353-0074,nzd0353-0075,nzd0353-0076,nzd0353-0077,nzd0353-0078,nzd0353-0079,nzd0353-0080,nzd0353-0081,nzd0353-0082,nzd0353-0083,nzd0353-0084,nzd0353-0085,nzd0353-0086,nzd0353-0087,nzd0353-0088,nzd0353-0089,nzd0353-0090,nzd0353-0091,nzd0353-0092,nzd0353-0093,nzd0353-0094,nzd0353-0095,nzd0353-0096,nzd0353-0097,nzd0353-0098,nzd0353-0099,nzd0353-0100,nzd0353-0101,nzd0353-0102,nzd0353-0103,nzd0353-0104,nzd0353-0105,nzd0353-0106,nzd0353-0107,nzd0353-0108,nzd0353-0109,nzd0353-0110,nzd0353-0111,nzd0353-0112,nzd0353-0113,nzd0353-0114,nzd0353-0115,nzd0353-0116,nzd0353-0117,nzd0353-0118,nzd0353-0119,nzd0353-0120,nzd0353-0121,nzd0353-0122,nzd0353-0123,nzd0353-0124,nzd0353-0125,nzd0353-0126,nzd0353-0127,nzd0353-0128,nzd0353-0129,nzd0353-0130,nzd0353-0131,nzd0353-0132,nzd0353-0133,nzd0353-0134,nzd0353-0135,nzd0353-0136,nzd0353-0137,nzd0353-0138,nzd0353-0139,nzd0353-0140,nzd0353-0141,nzd0353-0142,nzd0353-0143,nzd0353-0144,nzd0353-0145,nzd0353-0146,nzd0353-0147,nzd0353-0148,nzd0353-0149,nzd0353-0150,nzd0353-0151,nzd0353-0152,nzd0353-0153,nzd0353-0154,nzd0353-0155,nzd0353-0156,nzd0353-0157,nzd0353-0158,nzd0353-0159,nzd0353-0160,nzd0353-0161,nzd0353-0162
1999-08-28 21:53:59+00:00,L7,339.63,336.76,335.05,329.36,327.33,326.93,328.95,335.23,327.31,329.66,327.05,324.10,333.68,335.57,333.14,337.19,339.96,344.33,340.32,345.39,340.10,349.58,337.06,342.20,340.33,338.15,336.23,324.43,329.71,325.82,340.70,340.91,335.29,332.95,326.21,325.33,332.10,327.06,334.77,327.31,319.60,314.05,310.08,315.16,316.87,323.64,326.35,308.82,274.22,312.06,333.13,329.12,325.67,317.97,313.69,307.56,304.97,303.71,305.95,304.91,307.60,310.43,311.03,308.47,307.56,312.02,308.18,308.07,308.64,304.41,307.77,306.75,307.03,307.22,312.22,319.76,316.80,313.03,313.03,302.14,303.35,298.85,290.43,287.49,267.38,274.37,275.73,274.14,273.37,271.54,281.38,280.00,269.42,268.62,274.44,280.70,276.58,282.03,280.06,296.20,288.69,287.99,288.28,279.44,294.04,290.46,295.83,299.52,303.43,310.26,318.85,323.42,320.31,333.56,343.60,342.71,342.56,339.41,353.65,355.93,370.12,372.96,377.45,387.02,386.87,381.52,375.58,370.95,365.40,355.13,352.54,348.56,347.97,344.63,347.83,347.33,181.37,,,,,,,,,,,,,315.95,307.44,311.40,319.25,326.54,351.46,,380.95,338.13,323.59,323.51,325.55,314.97,315.99
1999-09-29 21:54:04+00:00,L7,327.50,321.48,322.73,318.80,318.91,314.64,308.24,310.52,311.57,311.70,310.26,310.15,318.77,318.70,323.68,323.67,331.69,330.79,320.43,321.63,325.40,324.14,320.83,309.69,308.02,308.37,309.59,318.07,317.09,319.05,318.26,318.26,313.43,316.00,317.23,312.98,310.86,307.94,309.18,309.58,315.31,310.24,302.34,312.55,306.92,304.50,315.27,305.08,297.65,295.63,226.98,279.76,303.24,297.69,292.71,289.65,290.51,298.11,295.78,297.07,302.83,295.85,301.49,292.56,284.51,301.88,297.05,302.88,300.31,290.54,298.30,296.97,295.66,287.96,301.12,304.05,305.86,299.60,289.60,288.24,285.98,277.22,270.05,263.36,267.41,262.21,268.79,263.92,263.09,264.98,263.58,260.15,258.94,263.62,253.14,266.95,272.06,284.04,283.19,276.99,278.24,281.13,280.74,279.56,283.65,290.20,287.43,297.48,300.27,307.40,313.28,313.50,320.14,321.93,327.60,328.90,339.14,339.91,344.82,353.98,358.31,367.71,362.75,377.38,368.83,368.28,367.95,356.55,354.33,346.73,347.83,343.42,338.88,335.17,333.41,333.09,328.60,326.76,319.22,319.58,315.54,311.39,298.06,290.09,285.42,287.70,286.75,284.50,295.77,292.75,285.11,297.11,310.01,309.90,307.34,316.37,316.83,324.76,329.37,329.98,332.98,331.06,344.13
1999-12-09 22:00:09+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.38,319.12,313.88,317.81,321.43,324.03,325.20,316.18,323.58,317.04,321.23,315.88,320.95,320.97,313.25,316.55,315.29,309.88,318.68,294.88,294.46,297.58,292.31,290.87,296.58,295.69,294.38,296.14,301.66,299.99,306.19,299.62,307.26,298.15,305.13,305.91,309.77,305.14,294.76,302.00,296.16,296.38,294.07,294.51,288.46,301.91,308.74,308.64,301.48,295.61,279.88,279.62,273.34,275.47,274.85,274.20,275.53,273.60,268.38,269.98,269.54,270.33,267.60,269.58,272.64,280.47,278.08,280.62,275.25,279.06,281.37,278.43,282.78,280.85,280.48,284.24,294.27,284.47,297.10,301.55,303.18,301.18,305.58,323.34,324.45,329.29,334.19,341.45,346.49,351.08,356.52,358.83,367.85,376.48,380.14,366.54,368.45,368.33,358.90,351.14,345.84,342.04,337.01,340.57,338.73,330.72,324.65,321.89,324.26,316.94,319.92,296.71,292.70,290.86,293.62,295.00,293.21,291.91,291.88,300.53,307.20,305.63,304.59,313.05,320.52,320.57,329.05,320.26,321.07,321.85,326.90,327.26,329.22,341.62
2000-01-19 21:53:49+00:00,L7,322.63,317.72,320.40,314.90,319.01,314.72,315.56,317.61,312.68,313.40,309.35,315.39,314.50,319.15,319.02,322.82,330.67,335.28,337.79,334.28,345.67,341.96,343.98,342.55,337.05,338.38,335.07,330.36,331.65,327.28,328.03,330.46,330.76,324.73,322.01,316.05,310.62,305.66,307.07,313.12,313.20,304.75,300.61,305.90,308.84,324.33,329.60,323.52,334.76,325.59,315.10,303.61,305.70,306.19,306.59,304.90,304.30,298.44,300.35,300.16,300.01,301.28,301.65,301.89,300.93,306.43,304.73,307.65,308.52,310.27,311.30,309.85,309.44,310.96,310.55,315.97,319.15,313.93,310.90,300.08,296.89,295.48,290.23,285.60,284.30,281.22,272.46,270.37,269.82,274.15,276.27,271.84,277.15,269.10,276.01,277.89,279.62,281.85,279.64,285.21,283.43,288.75,288.30,285.81,293.25,295.93,300.10,310.94,309.65,311.18,319.94,322.51,317.75,327.83,328.80,336.30,342.67,353.94,354.84,360.80,371.54,376.01,386.33,385.40,378.31,380.19,,,,,,,,,,,,,,,,,,,,298.41,299.50,304.12,312.56,317.81,314.65,319.64,327.03,326.05,335.09,342.83,345.78,344.33,349.22,350.08,345.86,346.76,360.34
2000-01-26 22:00:02+00:00,L7,312.21,315.78,310.36,308.99,314.45,307.18,305.33,305.38,307.10,304.52,313.52,310.49,315.28,315.19,318.67,315.52,320.51,323.22,317.06,320.92,319.87,323.01,316.63,321.74,320.06,315.62,306.74,309.72,319.38,316.62,310.51,308.09,316.68,310.90,309.00,310.49,313.66,305.59,303.86,300.45,306.74,297.00,296.17,297.66,297.67,309.09,317.61,316.54,222.07,,293.93,290.72,281.73,279.94,274.06,280.74,286.32,277.87,272.24,283.72,288.58,294.32,288.49,282.18,294.62,283.82,294.01,282.83,287.87,290.41,290.21,289.11,295.30,289.93,288.55,294.22,292.29,296.02,291.15,285.84,272.06,273.18,270.47,266.43,266.15,259.95,259.13,253.44,263.66,258.36,259.00,262.33,257.81,263.00,260.27,262.06,260.43,264.05,259.35,267.39,257.94,266.17,275.01,272.86,266.92,276.07,275.73,275.44,279.42,286.96,300.70,314.09,315.50,310.15,319.26,322.16,328.56,337.45,329.22,344.67,343.90,359.43,368.06,360.59,360.51,352.01,358.93,349.53,344.37,335.71,339.48,331.69,327.85,324.05,309.87,316.46,310.88,317.62,303.91,291.57,292.07,289.16,285.01,280.62,271.57,274.42,286.85,281.26,283.64,286.68,285.69,295.24,299.68,295.92,292.44,309.32,309.92,299.58,306.32,314.51,316.96,317.88,335.49
2000-02-11 21:59:57+00:00,L7,324.87,324.69,322.05,316.04,318.38,318.11,319.99,317.66,318.41,320.46,323.41,321.61,322.64,322.63,324.00,332.22,330.49,330.86,330.79,334.38,332.84,334.89,333.66,333.98,328.65,329.68,324.73,319.72,316.03,317.14,319.43,317.09,321.22,325.55,325.59,323.38,320.11,319.64,317.85,314.04,312.27,311.14,306.57,311.75,312.73,315.88,323.27,323.87,322.35,323.18,305.86,303.92,305.11,302.48,299.66,302.96,303.23,302.36,305.36,305.93,304.05,300.40,305.79,307.76,308.00,308.95,307.47,305.27,303.85,303.19,297.52,299.29,293.84,303.32,302.03,310.53,307.45,306.73,302.31,300.66,294.77,289.87,287.29,275.82,272.19,267.39,269.11,272.42,270.82,271.00,269.70,272.29,273.04,272.00,272.39,274.76,275.85,279.61,282.32,284.91,285.00,282.00,284.52,288.00,289.12,292.88,298.76,295.29,301.30,303.21,311.50,316.33,317.27,324.60,330.77,337.83,334.59,343.48,349.95,359.98,364.50,374.27,379.91,381.03,379.94,380.48,371.39,363.90,357.81,353.29,343.97,338.73,336.73,341.07,337.68,335.77,325.77,323.15,318.36,320.82,312.59,307.10,304.72,296.70,292.82,292.10,293.66,297.52,300.25,305.37,301.00,304.19,311.55,320.24,321.59,327.29,327.99,325.37,325.37,329.78,326.15,326.95,337.44
2000-02-27 21:59:52+00:00,L7,333.96,326.00,319.69,315.18,311.91,318.62,320.52,328.22,315.84,318.92,322.49,324.48,325.06,324.54,326.04,327.50,324.93,331.90,332.96,332.43,336.54,334.13,332.38,335.48,330.72,329.06,330.09,320.91,320.24,323.16,320.85,315.99,324.87,327.27,330.64,322.35,321.05,321.43,322.16,313.56,309.94,309.33,311.95,316.00,312.45,320.75,316.72,313.43,306.74,308.42,314.76,307.89,302.27,306.34,304.26,300.57,304.04,305.52,303.49,304.77,302.96,307.43,299.70,299.81,307.04,305.83,298.65,302.39,298.45,303.01,300.61,290.40,295.23,292.96,295.16,301.33,304.73,308.15,298.70,288.55,288.20,285.23,280.23,268.81,271.57,266.46,273.37,271.94,257.72,267.30,255.94,267.42,260.38,262.96,265.46,276.28,278.20,280.17,285.24,282.87,282.98,282.12,280.70,281.92,289.06,293.39,298.18,302.07,309.68,310.77,313.27,318.32,315.38,323.16,327.39,336.89,342.89,341.41,346.87,351.11,363.19,372.01,384.73,384.51,380.54,378.10,371.61,360.41,356.72,355.84,351.30,345.55,344.63,334.73,332.40,327.53,327.85,326.13,330.99,325.53,320.87,308.91,305.59,298.82,281.11,288.48,279.46,284.53,288.61,297.86,287.79,289.42,299.49,308.60,322.59,328.63,331.70,317.71,322.90,326.61,324.26,326.54,338.89
2000-03-14 21:59:47+00:00,L7,320.62,312.82,316.95,311.95,314.97,312.49,317.09,312.23,314.06,306.69,312.73,312.72,313.45,307.18,319.77,315.96,325.88,325.59,321.04,320.13,322.79,325.18,320.16,324.15,317.86,320.17,317.25,315.71,310.18,313.20,310.75,321.19,320.23,315.39,314.62,314.66,316.44,310.60,309.49,308.03,298.23,282.27,292.24,292.96,305.23,292.87,312.22,311.63,319.18,311.12,303.47,295.52,291.38,292.69,285.53,281.83,284.08,287.74,286.43,294.68,286.55,294.06,289.30,292.31,299.81,297.96,299.79,290.68,294.92,294.78,294.75,292.16,290.79,289.85,299.86,301.41,305.12,298.11,,,,,,260.35,257.80,258.53,258.86,258.46,265.94,261.48,265.37,264.03,259.58,255.68,253.12,261.58,263.44,262.81,270.73,265.61,267.57,274.07,276.40,282.90,281.92,287.34,287.36,283.70,289.56,288.84,300.28,303.98,305.00,316.64,327.64,341.63,347.27,336.53,338.98,347.55,357.99,372.70,372.53,373.66,365.21,367.20,363.01,355.80,345.01,338.41,342.09,337.34,331.29,318.79,317.68,318.54,315.08,317.84,306.57,303.80,304.01,296.41,292.68,289.06,284.88,288.22,290.72,289.01,300.65,289.96,299.05,301.61,304.82,306.06,306.79,313.17,316.25,321.37,312.88,320.69,328.16,,
2000-03-30 21:59:45+00:00,L7,340.10,334.02,334.72,334.33,333.64,335.34,334.91,332.67,332.15,334.71,335.54,336.34,333.53,334.81,331.99,333.66,342.26,340.95,340.73,344.05,343.21,343.14,339.80,345.06,340.26,334.71,332.91,328.09,330.00,332.76,337.53,335.50,335.44,336.86,333.13,333.98,329.51,326.94,321.41,326.79,325.99,323.04,322.91,324.77,323.47,325.86,320.41,316.60,304.48,288.80,314.23,307.35,303.18,304.90,304.95,301.50,304.94,302.04,306.05,306.20,306.48,299.60,306.71,307.48,309.85,309.38,311.15,308.92,302.50,304.29,304.45,306.19,308.74,307.49,311.27,311.79,318.69,310.44,306.47,301.58,293.52,293.75,284.49,283.96,281.83,281.87,281.44,278.95,279.65,277.76,275.70,277.22,273.26,279.41,277.28,284.54,287.63,283.65,283.85,286.06,287.75,285.82,290.16,293.32,293.37,296.42,293.83,303.93,307.52,317.17,320.42,321.64,326.66,335.91,339.69,344.48,350.37,354.44,360.16,364.61,369.81,376.55,382.59,387.64,371.54,377.48,371.10,371.15,360.62,351.81,349.82,350.97,346.96,346.19,346.33,341.90,338.03,330.56,330.41,326.38,321.56,316.50,308.95,307.28,297.76,302.16,304.38,313.38,311.84,315.46,312.18,317.65,312.38,313.80,321.38,325.81,336.63,330.03,334.46,333.91,337.11,338.59,345.35
2000-04-15 21:59:31+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.22,342.09,343.03,333.27,329.74,329.95,326.83,333.96,321.18,321.63,313.50,318.71,304.86,339.24,340.87,329.46,319.13,306.22,309.59,306.57,309.46,303.13,313.24,310.18,313.98,316.26,320.56,328.06,316.93,322.45,316.52,317.62,318.73,307.00,304.35,305.14,311.97,316.71,307.49,325.99,314.99,321.54,313.40,305.71,303.09,292.28,289.56,288.82,284.38,280.25,273.82,276.35,277.82,277.95,274.79,270.51,256.14,260.47,262.36,261.88,262.23,255.82,,,,,,,,,,261.70,272.21,,,274.53,289.02,293.45,291.13,313.52,,,341.47,341.64,357.97,370.98,376.52,382.74,367.54,370.82,364.73,357.50,349.25,350.49,350.50,357.99,357.67,361.35,354.77,353.14,345.70,346.03,341.47,337.43,338.48,328.69,324.75,311.72,308.76,310.63,311.65,312.27,315.85,315.20,313.29,321.20,327.95,333.96,341.15,344.68,343.67,341.38,342.41,343.24,343.87,356.11,363.57
