dates,satname,nzd0075-0000,nzd0075-0001,nzd0075-0002,nzd0075-0003,nzd0075-0004,nzd0075-0005,nzd0075-0006,nzd0075-0007,nzd0075-0008,nzd0075-0009,nzd0075-0010,nzd0075-0011,nzd0075-0012,nzd0075-0013,nzd0075-0014,nzd0075-0015,nzd0075-0016,nzd0075-0017,nzd0075-0018
1999-08-26 22:04:44+00:00,L7,387.49,,366.59,362.98,368.27,370.98,385.89,375.54,372.50,382.72,393.44,387.01,389.22,386.20,385.07,393.17,390.31,382.79,371.02
1999-09-27 22:04:48+00:00,L7,366.82,370.77,363.70,365.58,381.02,365.24,373.67,376.72,369.23,371.60,376.24,373.34,375.17,372.65,369.81,376.85,380.23,370.81,355.52
1999-11-14 22:04:42+00:00,L7,371.07,372.91,364.25,368.00,381.96,371.90,378.54,385.15,378.22,373.71,385.51,373.05,376.82,370.09,370.91,375.03,376.70,372.53,364.25
2000-01-01 22:04:37+00:00,L7,381.61,379.63,378.03,377.67,399.27,377.41,395.56,387.08,381.37,381.68,390.47,381.39,384.70,385.87,388.16,391.21,389.99,376.84,364.67
2000-01-17 22:04:35+00:00,L7,381.02,382.62,378.57,382.35,405.42,380.97,397.33,389.28,379.36,378.90,384.35,379.24,384.28,384.28,389.39,393.41,390.38,379.75,368.38
2000-05-24 22:03:46+00:00,L7,373.69,380.84,369.59,370.21,388.22,368.19,380.20,382.63,380.09,374.79,379.83,376.70,379.78,379.74,380.94,384.85,382.19,374.84,364.91
2000-07-11 22:03:17+00:00,L7,381.05,396.22,392.10,389.26,407.13,382.94,395.90,397.39,390.25,385.52,391.37,390.01,394.42,390.32,394.81,403.16,398.95,391.38,371.60
2000-08-12 22:02:54+00:00,L7,370.91,381.75,378.64,382.66,396.44,370.36,388.89,390.34,390.09,381.29,391.85,391.39,396.12,389.91,387.66,399.06,392.37,381.47,363.40
2000-09-13 22:02:26+00:00,L7,363.67,374.13,369.70,374.45,389.92,362.55,376.01,376.71,376.81,375.03,379.40,378.30,377.28,377.59,380.83,385.88,383.18,374.15,358.06
2000-10-15 22:01:56+00:00,L7,359.77,367.11,363.12,369.59,370.65,358.10,366.85,368.24,,,,,,,,,,372.20,349.51
2001-01-03 22:02:12+00:00,L7,375.06,377.28,372.41,383.29,397.75,377.39,390.75,390.03,384.89,378.63,385.13,376.80,383.24,383.73,387.41,396.24,389.50,378.62,369.56
2001-06-12 22:01:24+00:00,L7,357.36,366.03,362.14,363.02,380.66,359.02,373.20,,373.89,370.77,375.90,372.03,375.31,373.62,377.84,384.77,377.60,368.96,358.50
