dates,nzd0320-0000,nzd0320-0001,nzd0320-0002,nzd0320-0003,nzd0320-0004,nzd0320-0005,nzd0320-0006,nzd0320-0007,nzd0320-0008,nzd0320-0009,nzd0320-0010,nzd0320-0011,nzd0320-0012,nzd0320-0013,nzd0320-0014,nzd0320-0015,nzd0320-0016,nzd0320-0017,nzd0320-0018,nzd0320-0019,nzd0320-0020,nzd0320-0021,nzd0320-0022,nzd0320-0023,satname
1999-08-17 22:12:02+00:00,391.74,387.26,380.20,392.71,423.73,401.51,373.54,421.22,,,413.74,395.43,381.28,365.00,353.68,358.36,362.80,358.42,378.90,398.43,398.33,377.51,374.53,374.11,L7
1999-08-26 22:05:56+00:00,407.41,398.62,406.28,402.11,390.29,392.72,387.69,387.44,382.34,384.30,389.44,389.18,386.70,383.41,363.74,353.78,361.08,355.15,380.08,402.96,404.44,392.76,367.06,385.90,L7
1999-09-27 22:06:00+00:00,396.34,386.33,383.84,385.54,393.81,399.59,353.72,356.06,362.55,376.17,372.93,372.30,374.73,371.93,355.55,340.36,346.70,337.96,360.70,391.72,395.77,365.80,350.80,370.56,L7
1999-10-13 22:06:00+00:00,389.10,383.41,380.39,385.09,394.41,400.65,393.20,384.22,363.22,371.60,365.09,366.73,368.80,366.56,349.63,347.00,348.63,339.92,,406.65,399.71,391.57,344.67,368.76,L7
1999-12-16 22:05:57+00:00,369.09,367.78,365.40,376.22,393.47,388.68,406.14,390.77,376.99,379.31,392.57,404.72,399.50,386.70,366.12,373.79,383.42,386.16,376.51,394.70,395.87,375.18,356.54,363.41,L7
2000-02-18 22:05:41+00:00,383.18,376.81,386.99,390.16,398.17,409.99,386.83,,351.15,385.97,375.75,378.47,378.75,381.29,359.97,355.00,357.38,354.54,387.89,402.80,390.70,364.76,359.53,375.82,L7
2000-02-25 22:11:49+00:00,385.98,373.83,375.63,384.80,395.48,425.01,419.98,416.17,,419.27,,,413.39,396.60,,392.08,376.50,391.27,393.09,409.94,406.88,385.02,376.58,383.05,L7
2000-03-05 22:05:36+00:00,377.46,365.79,372.74,375.35,386.15,388.74,353.93,336.13,343.15,367.99,370.71,372.78,371.36,363.97,348.10,340.53,348.05,344.76,373.07,393.42,383.04,353.75,352.46,372.10,L7
2000-03-21 22:05:37+00:00,369.67,365.99,371.82,377.30,385.41,389.34,392.26,375.14,364.34,364.29,358.62,364.03,365.02,358.25,339.35,330.23,337.87,335.81,361.70,385.17,380.87,365.66,356.17,362.85,L7
2000-04-13 22:11:30+00:00,382.42,373.12,373.28,387.74,398.05,399.74,390.67,394.17,389.37,368.74,379.14,387.85,384.69,376.34,359.93,359.18,361.51,353.83,,414.66,406.32,396.20,376.77,387.53,L7
2000-05-15 22:11:18+00:00,,,,,399.87,391.60,384.00,381.09,375.00,371.55,,,,,,,,,,,,,,361.84,L7
2000-05-24 22:04:58+00:00,386.25,365.71,355.87,367.26,382.99,381.67,,372.90,350.43,370.57,380.96,386.83,381.31,368.22,349.76,339.47,352.58,364.54,,402.47,399.23,383.48,385.83,382.34,L7
2000-11-23 22:09:30+00:00,423.91,410.49,415.27,412.17,403.71,379.57,354.49,355.06,353.27,364.90,372.42,372.54,375.19,373.43,357.25,345.16,358.56,354.20,374.06,393.69,386.82,366.11,356.29,371.22,L7
2000-12-02 22:03:21+00:00,394.84,400.06,396.73,403.22,415.72,414.38,400.62,393.58,396.45,381.30,362.49,370.65,371.78,368.09,350.80,342.48,354.56,365.68,379.30,392.94,394.62,375.24,368.44,376.40,L7
2000-12-18 22:03:25+00:00,387.51,380.51,374.49,381.27,393.65,388.32,375.41,388.45,389.38,379.58,374.04,373.98,377.49,372.95,370.73,360.72,364.29,365.83,379.64,399.87,397.23,376.81,359.23,373.56,L7
2001-01-03 22:03:24+00:00,391.47,384.93,375.87,380.24,388.70,390.87,400.55,400.10,388.58,390.97,381.77,380.96,377.74,,,,,,,,,,,,L7
