dates,nzd0320-0000,nzd0320-0001,nzd0320-0002,nzd0320-0003,nzd0320-0004,nzd0320-0005,nzd0320-0006,nzd0320-0007,nzd0320-0008,nzd0320-0009,nzd0320-0010,nzd0320-0011,nzd0320-0012,nzd0320-0013,nzd0320-0014,nzd0320-0015,nzd0320-0016,nzd0320-0017,nzd0320-0018,nzd0320-0019,nzd0320-0020,nzd0320-0021,nzd0320-0022,nzd0320-0023,satname
1999-08-17 22:12:02+00:00,391.74,387.26,380.20,392.71,423.73,401.51,373.54,421.22,,,413.74,395.43,381.28,365.00,353.68,358.36,362.80,358.42,378.90,398.43,398.33,377.51,374.53,374.11,L7
1999-08-26 22:05:56+00:00,399.58,392.94,393.24,397.41,407.01,397.12,380.62,404.33,382.34,384.30,401.59,392.31,383.99,374.21,358.71,356.07,361.94,356.78,379.49,400.69,401.38,385.13,370.79,380.00,L7
1999-09-27 22:06:00+00:00,398.50,390.74,390.11,393.45,402.61,397.94,371.65,388.24,372.44,380.24,392.04,385.64,380.90,373.45,357.66,350.83,356.86,350.51,373.23,397.70,399.51,378.69,364.13,376.86,L7
1999-10-13 22:06:00+00:00,396.15,388.90,387.68,391.36,400.56,398.62,377.04,387.24,369.37,377.36,385.30,380.91,377.88,371.73,355.65,349.88,354.80,347.86,373.23,399.94,399.56,381.91,359.26,374.83,L7
1999-12-16 22:05:57+00:00,390.74,384.68,383.22,388.33,399.14,396.63,382.86,387.94,371.27,377.85,386.75,385.67,382.20,374.72,357.74,354.66,360.53,355.52,374.05,398.89,398.82,380.56,358.72,372.55,L7
2000-02-18 22:05:41+00:00,389.02,382.59,384.58,387.82,394.03,398.33,385.52,379.62,367.25,379.47,379.16,382.28,381.70,377.98,359.00,353.99,359.44,354.75,376.29,399.77,397.30,378.01,355.72,372.89,L7
2000-02-25 22:11:49+00:00,384.74,377.63,378.45,384.36,395.07,404.78,391.97,386.81,363.48,386.46,376.58,380.56,387.03,380.62,357.82,361.65,362.53,361.97,379.55,401.16,397.79,376.47,357.62,372.32,L7
2000-03-05 22:05:36+00:00,383.53,375.66,377.50,382.86,393.58,402.11,385.63,376.67,359.41,383.38,375.41,379.00,384.42,377.84,355.87,358.13,360.11,359.10,378.25,399.87,395.33,372.68,356.76,372.28,L7
2000-03-21 22:05:37+00:00,381.55,374.28,376.69,382.07,392.41,400.29,386.58,376.41,360.23,380.66,372.61,376.51,381.65,375.04,353.12,354.14,356.94,355.77,375.49,397.77,393.26,371.68,356.68,370.94,L7
2000-04-13 22:11:30+00:00,377.97,370.55,374.31,381.93,392.79,400.25,391.63,382.48,365.00,380.93,375.36,381.57,385.45,377.19,354.69,358.47,360.79,361.06,378.45,400.12,393.95,373.43,363.01,374.13,L7
2000-05-15 22:11:18+00:00,377.97,370.55,374.31,381.93,393.80,399.01,390.54,382.24,366.67,379.59,375.36,381.57,385.45,377.19,354.69,358.47,360.79,361.06,378.45,400.12,393.95,373.43,363.01,372.37,L7
2000-05-24 22:04:58+00:00,379.15,369.86,371.68,379.83,392.45,396.85,390.54,380.91,364.35,378.46,376.29,382.45,384.86,375.91,353.87,355.75,359.62,361.56,378.45,400.45,394.70,374.86,366.27,373.62,L7
2000-11-23 22:09:30+00:00,423.91,410.49,415.27,412.17,403.71,379.57,354.49,355.06,353.27,364.90,372.42,372.54,375.19,373.43,357.25,345.16,358.56,354.20,374.06,393.69,386.82,366.11,356.29,371.22,L7
2000-12-02 22:03:21+00:00,409.38,405.27,406.00,407.70,409.72,396.98,377.56,374.32,374.86,373.10,367.46,371.60,373.49,370.76,354.02,343.82,356.56,359.94,376.68,393.31,390.72,370.68,362.37,373.81,L7
2000-12-18 22:03:25+00:00,402.09,397.02,395.50,398.89,404.36,394.09,376.84,379.03,379.70,375.26,369.65,372.39,374.82,371.49,359.59,349.45,359.14,361.90,377.67,395.50,392.89,372.72,361.32,373.73,L7
2001-01-03 22:03:24+00:00,399.43,394.00,390.59,394.23,400.44,393.28,382.77,384.30,381.92,379.19,372.68,374.53,375.55,371.49,359.59,349.45,359.14,361.90,377.67,395.50,392.89,372.72,361.32,373.73,L7
2001-01-10 22:09:39+00:00,400.96,394.65,391.46,394.22,401.05,396.91,387.34,387.23,384.19,379.85,374.41,374.92,377.04,374.90,361.59,352.85,360.51,360.80,382.17,399.69,396.51,376.08,362.88,375.72,L7
2001-01-19 22:03:31+00:00,398.57,392.73,388.35,391.51,398.33,395.02,386.69,386.90,383.76,379.96,373.23,373.79,376.21,374.11,360.44,353.56,360.39,359.81,382.17,402.73,398.88,381.29,361.79,374.73,L7
2001-01-26 22:09:42+00:00,398.57,392.73,388.35,385.43,398.33,395.02,386.69,386.90,383.76,379.96,373.23,373.79,376.21,374.11,360.44,353.56,360.39,359.81,382.17,402.73,398.88,381.29,362.68,380.37,L7
2001-02-20 22:03:24+00:00,397.62,390.45,385.86,384.11,396.44,393.78,387.05,387.72,385.78,382.56,375.33,375.06,375.87,373.80,360.28,355.43,361.81,362.01,383.10,404.21,399.44,384.22,364.60,379.94,L7
