dates,satname,nzd0320-0000,nzd0320-0001,nzd0320-0002,nzd0320-0003,nzd0320-0004,nzd0320-0005,nzd0320-0006,nzd0320-0007,nzd0320-0008,nzd0320-0009,nzd0320-0010,nzd0320-0011,nzd0320-0012,nzd0320-0013,nzd0320-0014,nzd0320-0015,nzd0320-0016,nzd0320-0017,nzd0320-0018,nzd0320-0019,nzd0320-0020,nzd0320-0021,nzd0320-0022,nzd0320-0023
1999-08-17 22:12:02+00:00,L7,406.83,399.12,395.29,406.54,437.56,418.11,394.29,441.97,446.17,452.68,437.45,416.18,397.88,380.09,368.77,376.80,383.55,376.86,406.57,422.14,419.08,410.71,398.24,397.82
1999-08-26 22:05:56+00:00,L7,380.32,377.33,379.19,377.28,365.46,362.92,350.44,350.19,339.77,334.63,346.87,351.93,356.90,356.32,336.65,320.67,323.83,322.04,330.41,360.39,367.19,333.16,324.49,343.33
1999-09-27 22:06:00+00:00,L7,377.79,371.76,365.29,368.54,376.81,379.19,328.22,330.56,333.41,342.17,343.79,346.80,354.33,353.38,337.00,317.69,321.20,315.29,326.70,362.58,370.27,325.00,321.66,341.42
1999-10-13 22:06:00+00:00,L7,388.01,382.55,379.30,384.09,393.41,399.45,391.70,382.72,361.51,369.60,363.38,365.23,367.60,365.47,348.54,345.67,347.13,338.59,,404.94,398.21,389.17,342.96,367.05
1999-12-16 22:05:57+00:00,L7,386.91,381.78,383.22,392.55,409.80,408.28,430.64,415.27,404.99,411.98,420.57,429.22,419.10,404.52,383.94,395.57,407.92,407.94,409.18,422.70,420.37,414.38,384.54,391.41
2000-02-18 22:05:41+00:00,L7,352.82,352.95,356.63,362.33,370.34,376.59,345.08,304.44,303.44,330.30,328.04,336.72,345.35,350.93,329.61,317.89,315.63,317.43,332.22,355.09,348.95,297.96,311.82,328.11
2000-02-25 22:11:49+00:00,L7,400.16,384.97,389.81,397.80,408.48,440.61,439.48,435.67,440.09,445.27,438.65,439.29,428.99,410.78,416.48,409.41,396.00,408.60,419.09,432.23,426.38,416.22,398.87,405.34
2000-03-05 22:05:36+00:00,L7,350.73,344.79,346.01,350.85,361.65,359.34,317.18,299.38,301.15,318.99,328.71,336.03,341.96,337.24,321.37,307.86,311.30,312.09,324.07,351.42,346.29,294.95,310.46,330.10
2000-03-21 22:05:37+00:00,L7,347.85,348.85,350.00,357.30,365.41,365.34,362.26,345.14,330.05,324.29,324.33,334.03,341.02,336.43,317.53,303.56,307.87,309.14,321.70,350.88,350.87,317.66,321.88,328.56
2000-04-13 22:11:30+00:00,L7,385.15,375.26,376.01,390.24,400.55,402.74,394.42,397.92,393.66,373.74,383.43,391.60,387.69,379.07,362.66,362.51,365.26,357.16,,418.95,410.07,402.20,381.06,391.82
2000-05-15 22:11:18+00:00,L7,,,,,381.70,369.80,356.75,353.84,343.86,335.22,,,,,,,,,,,,,,330.70
2000-05-24 22:04:58+00:00,L7,397.70,374.71,367.32,377.76,393.49,394.27,,388.65,368.43,391.57,398.96,402.58,393.91,379.67,361.21,353.47,368.33,378.54,,420.47,414.98,408.68,403.83,400.34
2000-11-23 22:09:30+00:00,L7,404.64,395.35,396.00,394.50,386.04,358.37,327.99,328.56,322.98,329.57,342.13,346.04,353.99,354.16,337.98,321.60,332.06,330.64,338.73,363.40,360.32,323.71,326.00,340.93
2000-12-02 22:03:21+00:00,L7,409.57,411.63,411.46,416.72,429.22,430.58,420.87,413.83,419.59,408.30,385.63,390.90,387.98,382.82,365.53,360.48,374.81,383.68,406.30,416.08,414.87,407.64,391.58,399.54
2000-12-18 22:03:25+00:00,L7,406.24,395.22,393.22,398.44,410.82,408.92,401.16,414.20,418.81,413.91,403.47,399.73,398.09,391.68,389.46,383.61,390.04,388.72,413.97,429.30,422.98,418.01,388.66,402.99
2001-01-03 22:03:24+00:00,L7,406.56,396.79,390.96,394.07,402.53,407.47,421.30,420.85,412.29,418.64,405.48,401.71,394.34,,,,,,,,,,,
2001-01-10 22:09:39+00:00,L7,379.45,375.54,367.31,368.85,378.15,381.01,367.61,360.97,349.83,331.81,337.90,338.49,352.60,357.49,339.95,329.27,326.63,323.71,345.00,368.82,369.36,325.36,324.15,338.27
2001-01-19 22:03:31+00:00,L7,383.72,380.83,369.89,375.30,382.06,382.35,379.43,381.25,377.03,375.22,362.77,364.14,368.85,368.03,352.90,352.83,355.93,352.31,,410.35,404.36,395.71,352.86,366.22
2001-01-26 22:09:42+00:00,L7,,,,337.29,,,,304.30,306.51,,,,144.83,,,,,234.70,,,,,347.13,388.54
2001-02-20 22:03:24+00:00,L7,372.63,361.64,351.64,357.18,367.42,365.15,362.74,366.10,367.62,362.78,357.63,356.17,352.66,352.96,340.25,341.24,342.41,349.43,351.52,381.31,375.74,356.48,345.79,347.10
2001-03-15 22:09:27+00:00,L7,399.29,379.40,381.29,374.39,393.05,,,394.01,396.36,400.35,397.13,398.47,402.47,390.71,383.17,379.35,404.89,378.45,407.69,434.75,431.42,406.82,378.42,397.23
2001-03-31 22:09:19+00:00,L7,409.56,376.45,362.92,373.38,388.50,394.08,391.92,401.85,391.09,422.82,426.80,428.75,437.13,419.55,406.69,412.69,418.53,406.64,434.78,440.42,436.19,428.69,396.97,407.61
2001-05-27 22:02:48+00:00,L7,394.18,386.00,357.95,358.91,,366.46,,364.61,405.40,418.26,421.66,424.80,410.63,382.76,380.04,387.30,382.05,385.11,,426.93,422.96,418.69,,
2001-06-19 22:08:41+00:00,L7,377.12,372.32,365.23,342.99,367.47,357.62,,350.12,345.03,345.69,346.36,355.99,367.60,367.23,350.67,332.91,333.16,332.76,337.28,372.70,382.11,349.88,342.03,347.68
2001-06-28 22:02:21+00:00,L7,382.95,374.24,356.31,361.24,371.40,365.98,409.50,390.78,400.10,425.56,423.23,412.50,404.23,389.13,374.71,365.34,361.54,353.13,400.31,426.64,425.77,424.73,401.12,409.88
2001-07-05 22:08:33+00:00,L7,376.00,358.09,342.72,354.91,364.33,360.70,345.30,344.39,338.79,343.37,347.08,355.96,367.20,364.22,342.20,325.39,327.09,327.27,335.77,368.01,375.17,332.81,334.65,344.85
2001-07-14 22:02:21+00:00,L7,393.84,385.11,392.16,396.47,423.09,429.52,,417.34,428.37,421.30,418.75,417.57,415.11,405.16,401.52,405.61,407.07,395.30,406.60,427.87,426.88,418.95,395.00,401.46
2001-08-31 22:01:41+00:00,L7,367.31,350.01,321.29,339.42,360.54,350.66,335.01,333.19,323.42,330.36,338.63,349.21,357.30,356.28,340.84,325.97,330.65,326.20,333.90,366.10,374.08,321.06,323.88,345.34
2001-09-23 22:07:39+00:00,L7,397.25,386.75,376.05,371.85,387.24,388.14,420.27,414.56,396.63,399.67,389.43,386.34,399.24,385.37,353.13,329.23,310.50,295.50,,398.30,417.83,419.01,,384.31
2001-10-02 22:01:16+00:00,L7,376.80,360.25,348.92,346.46,360.63,351.64,337.06,335.45,323.78,325.56,335.74,344.96,358.80,358.92,340.63,323.43,326.21,325.36,339.19,368.70,377.23,322.22,322.04,347.53
2001-11-03 22:01:22+00:00,L7,376.72,361.31,353.27,326.30,361.23,359.54,340.51,335.71,325.23,326.39,340.64,344.21,353.31,350.68,333.11,322.07,326.99,320.77,334.68,368.07,370.85,,317.66,343.14
2001-12-21 22:01:41+00:00,L7,403.98,389.64,400.40,436.29,451.13,463.53,453.93,430.08,443.16,444.53,443.23,446.43,419.86,386.87,379.37,395.63,397.35,387.29,415.66,426.99,425.94,416.87,391.70,402.22
2001-12-28 22:07:49+00:00,L7,,,,,,,320.51,310.18,308.49,317.36,338.09,329.86,341.74,336.35,,,,,,,,,,
2002-01-29 22:07:57+00:00,L7,400.03,377.88,384.77,385.85,359.40,355.32,343.26,334.01,330.85,332.81,341.41,346.60,362.93,360.93,340.14,316.66,323.08,316.95,334.79,357.62,355.21,302.55,310.62,333.29
2002-03-02 22:08:08+00:00,L7,,,,,387.91,379.60,367.07,372.75,397.35,387.67,378.25,377.59,382.77,379.39,356.22,352.36,362.91,350.37,,430.38,421.96,412.08,355.36,385.07
2002-04-03 22:07:57+00:00,L7,411.87,405.21,392.75,400.22,420.30,440.07,424.70,420.54,420.47,418.84,424.62,434.51,435.40,416.74,412.70,426.03,418.12,427.25,424.09,435.21,434.27,424.47,418.35,415.08
2002-05-30 22:01:37+00:00,L7,415.97,401.31,391.47,394.43,391.52,388.45,,413.20,374.47,386.23,381.20,374.90,390.70,379.09,361.03,357.34,366.18,356.51,,422.08,417.05,413.49,400.38,392.58
2002-07-08 22:07:36+00:00,L7,378.17,363.60,361.23,351.26,,340.41,,332.44,319.45,328.90,346.12,348.97,356.29,354.94,335.95,316.48,327.31,327.39,333.59,368.39,375.14,309.52,322.67,341.94
2002-07-24 22:07:26+00:00,L7,383.92,373.20,358.80,340.40,297.75,329.66,325.10,319.84,317.22,323.99,341.66,345.15,353.77,356.80,339.80,321.36,329.23,323.51,334.01,365.64,364.67,320.44,316.35,341.05
2002-08-02 22:01:13+00:00,L7,442.75,432.89,417.06,417.59,384.09,426.39,427.21,430.30,420.18,422.78,434.95,432.03,406.91,394.09,378.71,380.65,377.37,365.79,396.50,416.80,421.96,414.62,358.29,392.04
2002-08-09 22:07:21+00:00,L7,380.60,363.09,329.09,297.88,296.97,333.90,323.69,321.32,316.58,326.71,338.70,337.63,349.46,344.06,323.20,312.11,318.31,312.28,324.94,353.45,356.18,,299.97,324.53
2002-08-18 22:01:09+00:00,L7,406.57,389.84,382.42,369.64,357.64,361.62,350.33,350.62,346.69,348.71,347.07,361.39,364.59,370.31,355.89,334.28,341.00,330.25,,395.03,391.58,,327.58,349.52
2002-08-25 22:07:12+00:00,L7,,530.74,,,,,,488.74,527.56,653.32,628.97,617.76,,,,,,,,595.75,400.57,,,
2002-10-28 22:06:58+00:00,L7,439.35,429.98,418.44,431.10,455.56,443.79,456.95,445.20,439.67,441.30,408.30,388.17,427.29,407.68,375.76,382.76,389.90,375.56,431.91,438.78,434.04,428.31,384.45,419.71
2002-11-13 22:07:06+00:00,L7,415.46,405.37,397.48,400.77,413.61,418.42,405.60,412.28,409.55,406.95,390.48,377.60,391.52,378.07,359.07,359.05,368.92,358.73,408.89,421.40,414.22,410.96,370.98,393.69
2002-12-15 22:07:26+00:00,L7,,,,,,,,367.52,234.68,209.50,279.15,,,,,,,,,,,,,
2003-03-05 22:07:55+00:00,L7,384.65,381.41,370.37,371.88,388.59,385.98,387.37,389.74,389.11,383.25,377.63,376.43,379.70,376.00,359.96,367.82,360.81,357.68,,409.28,407.78,391.50,352.88,363.37
2003-03-14 22:01:44+00:00,L7,379.21,374.78,360.96,364.19,373.63,374.30,375.00,377.24,383.56,381.68,379.21,377.39,371.76,371.25,361.37,366.19,359.30,367.65,382.97,,,,,
2003-03-21 22:07:51+00:00,L7,391.28,381.35,371.43,366.95,382.26,384.69,386.85,390.77,398.86,393.59,391.06,387.35,389.39,382.48,372.58,376.49,372.51,384.27,404.86,416.90,408.17,399.72,368.83,386.48
2003-04-15 22:01:45+00:00,L7,369.48,350.57,354.39,343.36,351.41,359.34,366.68,367.59,369.56,366.38,359.28,346.31,349.97,346.95,342.22,344.89,339.98,346.57,346.85,355.68,348.24,322.92,318.01,332.54
2003-05-24 22:07:53+00:00,L7,391.87,383.65,388.19,386.87,403.84,396.48,389.64,398.81,397.99,394.67,402.13,394.48,412.05,404.63,395.13,393.65,381.30,377.49,397.69,422.35,413.46,409.23,386.46,391.76
2003-07-20 22:01:32+00:00,L7,405.90,397.50,388.25,381.01,403.30,395.87,,388.81,356.13,393.89,414.59,115.40,77.62,,,376.32,397.82,397.53,,432.38,427.96,422.87,403.22,404.27
2003-09-05 21:56:31+00:00,L5,388.55,378.25,378.21,362.06,377.34,383.90,385.86,373.60,352.28,355.60,349.52,353.08,361.93,367.08,344.56,333.22,344.21,335.60,,399.05,389.59,377.41,344.10,355.68
2003-10-23 21:57:12+00:00,L5,369.83,358.26,354.11,359.01,317.92,353.37,345.61,339.31,324.47,323.79,336.12,344.59,344.59,338.78,326.05,313.81,316.92,309.16,318.39,339.13,342.55,304.83,311.39,331.76
2003-11-09 22:01:30+00:00,L7,383.07,380.97,380.02,384.43,371.49,360.86,352.17,346.94,327.90,323.51,341.02,342.48,354.87,352.01,,,,316.96,330.03,362.73,364.38,307.80,314.37,336.17
2003-12-03 21:51:31+00:00,L5,406.56,401.74,394.47,406.84,409.52,405.04,387.67,375.11,356.50,347.19,340.83,346.00,365.71,368.17,347.29,337.40,348.42,343.22,,407.92,387.38,374.84,338.42,354.80
2003-12-10 21:57:41+00:00,L5,400.89,387.13,390.72,401.16,413.92,405.10,381.68,370.60,356.59,345.60,348.70,350.22,360.51,348.13,331.46,315.29,319.85,322.37,330.34,368.93,370.00,344.65,318.78,338.87
2004-01-04 21:51:46+00:00,L5,390.89,384.65,388.17,395.40,408.78,,357.29,357.18,354.16,339.91,339.97,330.68,341.73,342.25,330.12,322.41,319.94,316.51,328.01,376.52,372.56,333.07,331.78,346.66
2004-01-12 22:01:55+00:00,L7,,,394.96,404.74,425.03,422.77,406.76,378.19,391.93,404.36,390.21,367.45,379.82,395.95,358.28,376.56,378.15,,,,,403.89,376.07,387.69
