,dates,nzd0198-0000,nzd0198-0001,nzd0198-0002,nzd0198-0003,nzd0198-0004,nzd0198-0005,nzd0198-0006,nzd0198-0007,nzd0198-0008,nzd0198-0009,nzd0198-0010,nzd0198-0011,nzd0198-0012,nzd0198-0013,nzd0198-0014,nzd0198-0015,nzd0198-0016,nzd0198-0017
0,1999-09-13 21:52:41+00:00,,,,,,153.23371975880818,162.34614632107946,168.55435737179184,159.61642567911846,,,,,,,,,150.1627167625749
1,1999-09-29 21:52:52+00:00,181.62474434565044,177.6465351919465,173.69862202411184,177.17217342153774,177.02461476656063,180.64956054550663,186.1608418001778,190.67561820873436,178.42938182475297,184.0373999645095,172.51809444803868,176.88042844842445,182.3438028038118,178.71972221036995,183.08686008937778,173.94973965282531,173.58855086141125,178.17894208650816
2,1999-10-15 21:52:49+00:00,177.17585229494395,171.55488556784977,167.6434077888318,165.11199409703403,167.18746361836884,171.32294091673006,174.4742955545014,176.73989715579003,170.34173759799057,165.38684481110766,160.19520792848905,158.24587011098157,169.5884434889889,175.55615401530497,166.0031291597205,159.50450381065477,163.49240188081754,167.37041914971678
3,1999-12-25 21:58:52+00:00,166.75104223084756,163.50072989927483,161.98591596597257,161.99240002641884,173.10657803206823,174.41877576034437,176.4442667868841,174.86363112525004,165.85865361238416,168.23293119935875,163.6816465798943,167.62234464634875,170.86498704978362,167.8889591080551,162.88276771607806,169.51402031899852,170.22232634988436,177.3600988562151
4,2000-01-19 21:52:37+00:00,179.52380107626865,167.4857570604836,165.3447822586421,172.5777672956977,176.31432179550688,175.3661801137931,179.1441035718581,181.01932296921933,171.98992582613386,177.75539720376253,172.91037469410315,171.0340751895439,175.61638670301772,177.83158918212857,178.0688082938177,170.27262854146622,170.37306490061883,177.6420542919508
5,2000-02-04 21:52:37+00:00,189.43769356913472,181.94425836537837,181.09155535453277,183.9699445697372,187.261199285193,188.8569941747523,193.1117823895766,197.7937705116633,187.61421277461537,190.79753060876652,186.72908375160657,184.21084436225516,186.43053417738054,190.97381197865076,188.201825907584,180.87956101585118,185.06374735445684,190.67653132396575
6,2000-02-20 21:52:29+00:00,174.8452758231061,158.49545564542728,164.10314954050975,168.56407884588629,173.35926533154532,176.37676682033015,178.4884947835316,180.45188814961352,176.1336826860891,172.89375877107227,170.5149828872138,169.03113647211129,178.6392149711608,183.52972236513068,180.41585946909086,177.7390193141213,170.89107388972445,176.7376384713024
7,2000-03-14 21:58:35+00:00,184.02182237599797,178.70119646733178,177.5302140285799,178.01279976691282,184.49841518501674,186.22401535350758,190.47170139925285,194.5096405316791,186.87408033992045,189.29161882682553,183.88813135126497,183.18457335169785,185.29548720135912,188.91693501599053,185.75051176918535,173.75317790604416,170.57362291227955,176.7596653528484
8,2000-03-30 21:58:33+00:00,188.3846855295373,178.63834664609962,173.5768299519701,173.56460237287612,174.86774282500357,176.29041710344217,178.39577894863436,187.0126376431805,180.95300527162732,182.86545882453422,175.07929415481257,180.1866589867762,184.64055177249944,187.04494251444484,184.93324442231327,177.56141316003158,175.36479747938975,174.47579929121534
9,2000-05-01 21:58:18+00:00,202.1713220341241,192.61525774050725,175.76378046165078,182.33320875882,181.26627000447493,189.2485959688559,189.79456040681973,190.76840944868493,186.7338131921284,188.42994995078348,182.77414502327997,184.78073821921728,187.83666170938858,188.89506525868046,179.57336849517702,171.30245317719042,169.99317310574577,172.16246036119958
10,2000-05-17 21:58:07+00:00,,,,173.20679195374018,174.93192276476947,177.56977522317237,181.26064397679644,184.6002623548587,179.42711058270982,178.9123950418622,174.92648308003655,174.5594980427079,175.75962453660273,177.23350088581023,175.3117573141949,169.26898522709428,165.3572327744156,170.15669690360107
11,2000-05-26 21:51:48+00:00,188.9103332098994,185.38391805123854,176.9566956486701,176.68277181646224,175.45938724708404,180.80366278064565,185.23464990982617,187.64432168277017,178.1866953742521,184.5073363837535,178.5833269610894,182.54502026002473,181.70903920616226,179.92342349299028,176.35452789523717,165.61009835714876,165.1251723477806,166.4323278542735
