,dates,chi0411-0000,chi0411-0001,chi0411-0002,chi0411-0003,chi0411-0004,chi0411-0005,chi0411-0006,chi0411-0007,chi0411-0008,chi0411-0009,chi0411-0010,chi0411-0011,chi0411-0012
0,1985-03-05 14:11:29+00:00,228.1434980385632,174.03147524068265,175.10997418476552,207.42536466008042,214.66449631500967,182.4941589001685,190.40847804558726,191.69851375874234,185.04910079040687,195.33803573777746,182.25409864816615,195.5978961491485,192.5258606983918
1,1986-02-04 14:07:59+00:00,222.4966903412448,179.08906016838498,178.2097637294999,201.71856647703035,211.11529834240648,190.3409006709015,188.40844443039376,188.58847655448363,180.61328051486635,192.23514971284834,189.898963374837,197.17109642752493,199.2682835320771
2,1986-08-15 14:02:41+00:00,240.6836721340289,180.85969601204792,196.1038178090402,211.81666341628608,217.82979720617743,194.71638215397041,195.4189492741351,,159.88253151151798,161.18375926790065,168.48143869876617,186.0684450354408,168.40168372518048
3,1986-09-16 14:01:33+00:00,249.11865561319112,189.17549770177013,193.90986735322448,214.13469998373813,224.17090134017204,189.06900855758707,181.42141018514604,152.47614162561206,167.7015226895826,162.6916969859805,164.9852954434295,179.7322058215295,178.46782595238037
4,1986-10-18 14:00:32+00:00,229.93448692254978,177.68826616268356,176.1631447711802,204.29278343710686,206.51177328846057,184.95361324522068,184.19460818385485,170.74170960288586,169.88138353245873,168.46563583387479,178.28170490947045,181.77142437916825,174.28135087058286
5,1986-11-03 13:59:58+00:00,212.80334223467815,178.1693350918841,179.1090816306866,199.63542842420344,214.1763961311651,190.7306055152037,191.0624187168365,184.03462571382013,171.40385306220205,161.69039636854473,168.22812644420492,191.3096435279297,172.01949532936064
6,1986-12-21 14:00:01+00:00,216.67286914987932,176.30931538321758,168.678408722443,192.15614956341233,199.63763169460063,182.43443859470867,187.70068014822016,184.59500188131022,189.9991030503038,199.95112316941464,194.86543492477065,200.715685756012,199.4280180564543
7,1987-01-06 14:00:30+00:00,218.49248659470064,175.887028936859,170.1722773252437,191.80527335010308,198.87950749403265,183.4183875423012,181.09033756617816,173.81301606686026,188.50030038086982,183.2920463629914,184.29638377049645,183.64996718842264,183.50166058985198
8,1987-01-22 14:00:58+00:00,219.65991160604776,177.39527981385834,172.09025750597243,193.40174700859717,209.80027692814522,191.9945118805596,193.84763610238372,191.73952282521543,196.1996523766226,196.43669359624585,195.5124757043736,193.04737661602107,190.28197710291676
9,1987-02-07 14:01:33+00:00,222.69533534217805,185.95475956819197,180.72452370960278,202.85846544232157,218.84992643152998,205.68783539586423,208.2454380413592,210.24859101517103,205.9211305444813,210.61710275874415,223.8552440136174,206.64611468313933,216.59246678136327
