dates,nzd0428-0000,nzd0428-0001,nzd0428-0002,nzd0428-0003,nzd0428-0004,nzd0428-0005,nzd0428-0006,nzd0428-0007,nzd0428-0008,nzd0428-0009,nzd0428-0010,nzd0428-0011,nzd0428-0012,nzd0428-0013,nzd0428-0014,nzd0428-0015,nzd0428-0016,nzd0428-0017,nzd0428-0018,nzd0428-0019,nzd0428-0020,nzd0428-0021,nzd0428-0022,nzd0428-0023,nzd0428-0024,nzd0428-0025,nzd0428-0026,nzd0428-0027,nzd0428-0028,nzd0428-0029,nzd0428-0030,satname
2002-01-29 22:08:45+00:00,360.06,373.21,391.18,396.17,394.65,419.57,433.43,427.80,432.26,435.13,440.75,437.93,428.38,421.01,414.64,403.13,396.05,384.98,381.29,378.86,372.89,375.25,364.62,362.65,352.71,366.68,366.94,369.29,387.97,400.30,398.21,L7
2002-02-14 22:08:53+00:00,369.93,375.05,392.91,394.94,408.23,426.56,433.96,434.99,426.45,431.12,428.16,432.99,425.34,413.55,408.54,400.51,391.47,387.36,379.66,373.03,368.52,365.67,359.23,353.79,355.98,352.77,355.35,363.40,369.28,374.57,380.04,L7
2002-03-02 22:08:56+00:00,351.06,366.28,378.74,383.47,397.29,403.71,420.85,414.41,414.07,410.33,401.04,406.98,403.85,390.06,384.18,375.00,367.96,358.92,364.51,356.08,349.16,343.43,346.76,342.60,344.49,352.70,352.63,347.52,,,,L7
2002-04-03 22:08:45+00:00,382.56,387.20,391.62,398.52,401.24,415.14,420.32,411.87,400.73,401.24,405.49,409.81,402.46,401.07,394.25,389.38,383.56,374.18,377.08,373.34,371.15,364.71,372.38,371.16,381.00,385.18,392.28,,392.38,378.84,390.26,L7
2002-06-06 22:08:34+00:00,390.80,377.21,391.67,392.32,389.92,396.25,400.79,397.09,390.92,391.90,388.29,385.72,389.72,381.17,375.70,371.14,363.23,359.52,359.59,,,,,,,,,,,,,L7
2002-09-10 22:07:55+00:00,386.66,395.18,396.28,391.04,379.74,375.00,385.00,379.16,373.36,379.39,392.13,390.66,385.32,370.52,371.77,371.81,354.62,356.14,353.99,343.51,344.92,344.20,343.53,343.04,347.37,345.93,348.32,349.88,339.00,,,L7
2002-12-31 22:08:20+00:00,380.31,367.29,386.10,383.62,379.84,382.27,393.57,397.67,402.25,410.10,414.40,414.67,405.18,397.74,383.52,380.25,368.43,367.96,359.30,350.71,341.65,342.64,332.00,331.71,331.94,337.53,337.81,346.76,347.00,352.45,335.08,L7
2003-02-01 22:08:33+00:00,,,,,,,,,,,,,,,,,357.37,,,,,,,,,,,299.06,293.50,,,L7
2003-08-20 21:57:03+00:00,373.33,375.86,380.68,372.34,366.69,,,,,,,,,,,,,,,,,330.63,323.66,319.89,,,,,,,,L5
2003-08-28 22:08:21+00:00,368.73,365.41,383.67,379.10,377.12,377.63,,,386.94,392.35,398.35,400.94,387.99,372.95,359.05,351.75,340.83,338.81,334.22,331.25,330.58,,,,,,,,,,,L7
