,dates,per0038-0000,per0038-0001,per0038-0002,per0038-0003,per0038-0004,per0038-0005,per0038-0006,per0038-0007,per0038-0008,per0038-0009,per0038-0010,per0038-0011,per0038-0012,per0038-0013,per0038-0014,per0038-0015,per0038-0016,per0038-0017
0,1985-03-27 15:04:27+00:00,241.53104636779307,225.277446876265,204.74875407761093,196.24718786131805,194.25881196035752,196.22065428749565,206.20189535208127,200.2634728541838,190.56286448655948,182.72891442381473,,196.2286977140604,191.55767800011796,,,,132.84120996523637,121.12244909302824
1,1985-10-05 15:03:08+00:00,211.84099785746633,212.8152993495736,195.03267950978636,175.61883181784037,168.4331460349127,166.74889132768485,178.01306318011558,172.9987007205406,173.7340987939005,165.14250109309646,146.58635723740827,154.9721550480766,151.0205875471361,116.41702316884894,100.07481631122111,85.59178829981855,94.14856830140532,100.56397919462499
2,1985-12-08 15:02:09+00:00,207.44108578921217,201.68303759932812,188.3011985570326,179.86624202021156,169.02772429411272,172.78432415696756,182.35564935153113,183.3100255211311,172.61490957069935,166.66654855407498,159.8495591148326,157.6569188693655,155.4479951327714,127.19324671184826,102.57938036696245,90.28694136507885,100.27193351720025,100.71998781779757
3,1986-01-09 15:01:34+00:00,218.02505718855912,202.61518301130607,184.12531119230903,181.88885970002937,188.90872243334397,197.80906502507466,,196.50925888941478,185.71515570902199,183.99001077029882,,184.16557604489913,168.71801548563442,144.64231890340983,,,,128.0009898309318
4,1986-11-09 14:52:45+00:00,212.32766180220355,199.10603564136176,183.93582435584722,180.00709310957728,167.9895363565245,174.50685406653042,181.62323642928774,179.34606610227786,170.4583658366936,169.48073631636996,173.892924859565,165.12251873439092,159.43037214777732,134.1476864875545,115.04044980841975,108.90093743233092,102.4395485697487,111.45550953382589
5,1986-12-11 14:52:44+00:00,215.0980122627927,196.16696728566325,184.7147450077081,180.33308816733316,183.1780970842724,188.28442496549283,199.16526252565617,187.80493201738759,180.4547621945203,181.64003227515065,192.89454544704842,180.28953501074506,180.43140391614313,152.68319273859245,134.4684560314736,127.4732725281485,127.79004976243579,124.25338938586886
6,1989-12-19 14:57:25+00:00,205.37797349865343,196.34131115755892,190.00807041640894,185.43695732322814,178.49046052261042,183.27675860049854,196.0052082873894,187.18059899120692,184.28790358800046,182.26280509314248,195.36944605508637,185.1146423505434,187.24629265391354,167.18737565833092,143.67201840436334,141.23981616095867,135.50294587496228,133.56282051829334
7,1990-01-20 14:56:25+00:00,204.45471654057758,189.88219490652494,180.87192402972738,186.56183708389193,188.0818034351581,185.07221699452376,201.13068395252992,192.514335125428,179.95977407719838,176.66392646559754,197.67497774669968,185.4157481701104,189.7952294055306,175.28088840044177,162.45377276000147,145.97746686161835,144.60794981231209,139.6448890098246
8,1990-02-21 14:55:23+00:00,208.74645436067826,187.67045406155472,184.1755550072618,176.6061874044994,174.170513589961,181.33247038191814,191.39093311055493,185.82738982332714,180.08924431741573,168.6545948504715,178.88448875551157,188.47508464914705,199.033504904756,172.52537432865748,147.99974016598182,135.20810909925123,131.53268827219622,126.24549164601378
9,1991-03-12 14:55:24+00:00,197.3245122270694,185.70000327831795,179.11804958315872,174.18028499360085,177.4273614914047,181.97692747422929,194.94531547031445,187.13698143069644,182.03514496230213,176.31004853437034,174.45340315805302,182.28307980867248,191.65126335911975,169.43635862256008,166.96982840556564,155.15159397562425,152.13417438904946,146.11858732985203
10,1991-03-28 14:55:37+00:00,195.95634767401583,183.82487864966114,174.00926157540002,173.02581493140514,174.7470544297648,185.37989607667114,198.30093981384115,185.780903494335,183.30104234882708,177.91090792370807,181.64562449272296,187.31271806592162,193.9579667446128,168.7304261861728,162.5264268622538,153.2895604464129,148.30335421589288,143.0602373048564
11,1991-04-13 14:55:59+00:00,206.40649829563858,197.50222021290122,190.75529090155462,188.32542193573542,190.86863147183024,197.86161459414035,206.849057054235,197.40183569523128,193.56818792806067,186.53418166304633,195.07944153884577,205.53942001238323,211.69611132049008,193.81221652281278,179.86778280154564,165.86881059395733,154.93213389659638,147.79194579024625
12,1991-04-29 14:56:14+00:00,202.95184776025337,192.57300276894256,187.12211877830845,176.70449502884128,179.1850498751227,182.59822351857153,194.27792068847674,190.19207933053383,182.4460758419925,181.62271427784074,196.8119562365196,194.15206972221,206.64356384752887,185.16016352138155,170.2658081607563,160.90275081161633,151.3035814777645,144.7233463566776
