dates,nzd0604-0000,nzd0604-0001,nzd0604-0002,nzd0604-0003,nzd0604-0004,nzd0604-0005,nzd0604-0006,nzd0604-0007,nzd0604-0008,nzd0604-0009,nzd0604-0010,satname
2000-01-10 21:58:52+00:00,280.18,257.28,233.65,235.74,228.77,248.57,289.69,,,,306.20,L7
2000-02-11 21:58:45+00:00,290.19,257.28,236.88,241.84,231.44,253.98,309.31,,,,301.74,L7
2000-03-30 21:58:33+00:00,304.42,257.28,234.07,241.84,231.44,253.98,309.31,,,,301.74,L7
2000-05-17 21:58:07+00:00,301.96,254.77,238.30,241.84,236.00,258.62,327.23,369.19,368.51,,298.33,L7
2000-08-05 21:57:08+00:00,306.09,251.70,240.01,242.86,235.19,256.67,334.28,370.62,351.69,300.38,301.00,L7
2001-03-01 21:56:21+00:00,300.59,247.45,239.61,236.15,222.01,243.09,309.21,368.32,329.92,303.89,312.01,L7
2001-03-17 21:56:16+00:00,282.00,230.63,226.00,225.49,210.52,222.60,303.25,350.37,332.71,303.89,288.18,L7
2001-06-21 21:55:29+00:00,277.95,235.43,231.91,229.97,217.91,225.46,298.49,344.24,328.22,303.89,285.93,L7
2001-08-08 21:55:01+00:00,274.74,238.87,230.87,227.63,216.91,226.92,296.81,334.88,328.22,304.15,288.61,L7
2001-09-09 21:54:36+00:00,275.67,240.88,234.34,234.19,223.66,232.12,292.68,323.73,327.37,304.42,290.44,L7
2001-12-30 21:54:37+00:00,287.35,253.36,238.63,240.26,228.34,239.73,270.68,300.56,244.57,304.42,308.00,L7
2002-01-15 21:54:47+00:00,286.40,254.89,236.84,235.06,224.74,238.73,274.22,310.31,261.78,320.60,307.75,L7
2002-02-16 21:54:54+00:00,293.50,256.78,239.87,239.88,228.34,241.22,275.26,315.28,269.20,335.42,312.01,L7
2002-06-24 21:54:28+00:00,298.25,256.34,238.53,241.89,218.01,229.87,275.26,329.48,281.76,335.42,304.21,L7
2002-08-27 21:54:00+00:00,306.87,254.62,239.09,250.80,217.27,236.10,291.67,353.61,319.44,311.66,301.39,L7
