dates,satname,nzd0218-0000,nzd0218-0001,nzd0218-0002,nzd0218-0003,nzd0218-0004,nzd0218-0005,nzd0218-0006,nzd0218-0007,nzd0218-0008,nzd0218-0009,nzd0218-0010,nzd0218-0011,nzd0218-0012,nzd0218-0013,nzd0218-0014,nzd0218-0015,nzd0218-0016,nzd0218-0017,nzd0218-0018,nzd0218-0019,nzd0218-0020,nzd0218-0021,nzd0218-0022,nzd0218-0023,nzd0218-0024
1999-08-05 21:46:35+00:00,L7,340.76,337.55,337.00,332.06,338.08,342.18,334.46,340.39,331.54,337.80,332.08,328.81,326.43,327.21,325.94,318.95,302.42,304.44,306.71,318.02,327.45,347.34,342.43,340.45,341.78
1999-08-21 21:46:33+00:00,L7,353.36,369.08,367.93,356.93,366.86,372.03,362.21,350.34,346.99,355.99,353.36,355.16,364.32,366.76,362.40,346.19,334.30,326.08,328.68,340.82,360.41,372.15,380.46,364.15,356.56
1999-09-22 21:46:36+00:00,L7,380.16,383.03,381.33,369.68,368.82,370.10,360.30,373.94,368.16,358.43,350.92,344.94,348.27,361.48,364.88,361.36,341.67,330.93,335.82,333.96,341.42,357.96,366.80,361.89,359.83
1999-10-24 21:46:32+00:00,L7,388.96,393.43,391.47,382.63,384.52,388.57,387.15,388.49,385.15,371.97,363.06,356.97,373.37,374.02,365.62,349.25,341.97,333.55,331.90,341.01,348.63,355.17,357.00,344.27,352.93
2000-04-01 21:46:10+00:00,L7,377.13,371.17,367.36,370.77,370.33,377.70,387.53,381.15,383.73,375.74,360.13,350.21,352.68,347.59,351.14,334.05,334.67,330.42,331.62,339.98,352.16,354.32,366.19,360.00,355.43
2000-05-19 21:45:43+00:00,L7,353.98,355.62,351.28,340.39,342.91,343.12,337.11,347.90,345.34,338.69,330.38,326.31,321.44,319.27,321.01,316.33,309.84,314.48,313.83,323.10,325.64,337.18,335.45,339.09,329.65
2000-06-04 21:45:32+00:00,L7,329.41,326.71,317.74,307.28,308.90,309.20,307.59,317.32,314.37,315.67,310.02,307.23,296.94,293.87,296.45,295.14,289.65,292.70,294.78,,,,306.84,318.23,307.79
2000-07-06 21:45:15+00:00,L7,340.05,,,,,,,,,,,,,,451.59,,,,472.79,,338.17,379.49,361.84,345.21,320.87
2000-08-07 21:44:45+00:00,L7,341.06,335.49,338.05,328.95,330.94,324.63,321.18,334.71,330.36,332.06,325.12,323.06,320.98,319.36,317.39,311.58,312.32,317.46,322.04,328.76,330.64,332.37,336.26,329.39,325.97
2001-01-14 21:44:09+00:00,L7,339.22,341.31,333.76,332.17,330.31,331.24,312.79,329.29,327.80,324.53,328.81,328.24,319.00,326.11,320.11,318.36,312.44,302.09,305.60,319.63,343.07,348.10,333.10,335.89,332.76
2001-04-04 21:43:43+00:00,L7,364.50,365.54,369.55,353.38,354.73,357.18,361.79,370.17,374.51,371.49,354.59,344.27,357.64,374.46,370.16,376.57,368.70,358.75,376.80,345.65,347.13,358.83,374.01,373.66,362.64
2001-04-20 21:43:46+00:00,L7,355.07,358.89,360.69,349.91,353.36,353.81,362.57,376.96,372.56,360.41,361.17,360.29,362.71,350.92,353.12,346.37,342.33,339.44,347.04,362.13,368.07,368.72,381.17,368.36,356.31
2001-05-22 21:43:30+00:00,L7,347.64,335.92,340.60,338.80,344.59,348.53,345.00,350.34,351.36,343.80,338.35,342.45,348.82,335.83,332.66,329.38,331.46,337.39,331.80,338.44,351.57,362.08,369.89,358.51,348.11
2001-07-25 21:42:54+00:00,L7,325.77,317.85,313.06,310.34,312.82,315.74,308.01,318.19,314.13,315.42,307.88,301.36,295.71,291.86,292.27,290.65,284.34,288.59,295.64,301.96,,,317.97,331.44,330.49
2001-08-10 21:42:36+00:00,L7,337.90,335.84,338.05,326.01,329.53,331.72,324.44,333.24,332.37,328.01,319.58,314.28,307.69,304.71,309.09,296.33,295.80,302.07,305.88,315.61,322.41,325.65,335.71,339.75,333.82
2001-08-26 21:42:25+00:00,L7,349.53,345.39,338.02,332.28,333.51,336.62,336.92,346.64,341.39,334.69,328.08,322.12,315.73,312.79,306.66,310.07,306.35,307.19,304.06,307.04,318.33,326.40,324.46,329.29,329.43
2001-09-11 21:42:14+00:00,L7,361.30,354.43,348.35,338.38,343.13,351.91,351.60,362.32,356.89,350.89,345.78,334.39,334.57,321.59,313.71,309.66,310.74,310.19,316.46,322.83,328.42,335.43,337.35,,
2001-09-27 21:42:05+00:00,L7,417.44,406.20,390.45,399.53,392.28,391.11,389.32,386.69,400.59,401.77,391.49,372.77,377.57,376.04,367.99,353.64,354.73,348.24,356.21,369.12,381.45,384.90,380.27,361.88,355.73
