dates,satname,nzd0313-0000,nzd0313-0001,nzd0313-0002,nzd0313-0003,nzd0313-0004,nzd0313-0005,nzd0313-0006,nzd0313-0007,nzd0313-0008,nzd0313-0009,nzd0313-0010,nzd0313-0011,nzd0313-0012,nzd0313-0013,nzd0313-0014,nzd0313-0015,nzd0313-0016,nzd0313-0017,nzd0313-0018,nzd0313-0019,nzd0313-0020,nzd0313-0021,nzd0313-0022,nzd0313-0023,nzd0313-0024,nzd0313-0025,nzd0313-0026,nzd0313-0027,nzd0313-0028,nzd0313-0029,nzd0313-0030,nzd0313-0031,nzd0313-0032,nzd0313-0033,nzd0313-0034,nzd0313-0035,nzd0313-0036,nzd0313-0037,nzd0313-0038,nzd0313-0039,nzd0313-0040,nzd0313-0041,nzd0313-0042,nzd0313-0043,nzd0313-0044,nzd0313-0045,nzd0313-0046,nzd0313-0047,nzd0313-0048,nzd0313-0049,nzd0313-0050,nzd0313-0051,nzd0313-0052,nzd0313-0053,nzd0313-0054,nzd0313-0055,nzd0313-0056,nzd0313-0057,nzd0313-0058,nzd0313-0059,nzd0313-0060,nzd0313-0061,nzd0313-0062,nzd0313-0063,nzd0313-0064,nzd0313-0065,nzd0313-0066,nzd0313-0067,nzd0313-0068,nzd0313-0069,nzd0313-0070,nzd0313-0071,nzd0313-0072,nzd0313-0073,nzd0313-0074,nzd0313-0075,nzd0313-0076,nzd0313-0077,nzd0313-0078,nzd0313-0079,nzd0313-0080,nzd0313-0081,nzd0313-0082,nzd0313-0083,nzd0313-0084,nzd0313-0085,nzd0313-0086,nzd0313-0087,nzd0313-0088,nzd0313-0089,nzd0313-0090,nzd0313-0091,nzd0313-0092,nzd0313-0093,nzd0313-0094,nzd0313-0095,nzd0313-0096,nzd0313-0097,nzd0313-0098,nzd0313-0099,nzd0313-0100,nzd0313-0101,nzd0313-0102,nzd0313-0103,nzd0313-0104,nzd0313-0105,nzd0313-0106,nzd0313-0107,nzd0313-0108,nzd0313-0109,nzd0313-0110,nzd0313-0111,nzd0313-0112,nzd0313-0113,nzd0313-0114,nzd0313-0115,nzd0313-0116,nzd0313-0117,nzd0313-0118,nzd0313-0119,nzd0313-0120,nzd0313-0121,nzd0313-0122,nzd0313-0123,nzd0313-0124,nzd0313-0125,nzd0313-0126,nzd0313-0127,nzd0313-0128,nzd0313-0129,nzd0313-0130,nzd0313-0131,nzd0313-0132,nzd0313-0133,nzd0313-0134,nzd0313-0135,nzd0313-0136,nzd0313-0137,nzd0313-0138,nzd0313-0139,nzd0313-0140,nzd0313-0141,nzd0313-0142,nzd0313-0143,nzd0313-0144,nzd0313-0145,nzd0313-0146,nzd0313-0147,nzd0313-0148,nzd0313-0149,nzd0313-0150,nzd0313-0151,nzd0313-0152,nzd0313-0153,nzd0313-0154,nzd0313-0155,nzd0313-0156,nzd0313-0157,nzd0313-0158,nzd0313-0159,nzd0313-0160,nzd0313-0161,nzd0313-0162,nzd0313-0163,nzd0313-0164,nzd0313-0165,nzd0313-0166,nzd0313-0167,nzd0313-0168,nzd0313-0169,nzd0313-0170,nzd0313-0171,nzd0313-0172,nzd0313-0173
1999-08-26 22:05:56+00:00,L7,281.36,268.41,250.46,239.24,233.05,233.51,232.50,231.56,234.65,228.41,230.11,223.75,221.75,211.84,213.84,213.20,213.43,221.52,227.43,228.46,243.70,248.64,250.56,247.63,252.00,260.00,269.00,276.57,287.90,296.46,311.21,318.17,329.62,334.96,342.65,357.08,366.01,376.77,388.52,391.30,404.85,410.24,428.95,436.13,452.59,457.83,467.50,469.29,470.52,477.76,476.19,476.09,485.11,480.48,475.07,471.45,479.49,476.05,469.40,462.55,456.57,445.22,441.70,429.09,427.48,420.66,414.81,426.55,430.00,446.57,451.39,468.21,468.40,484.14,483.11,491.12,500.95,508.34,514.41,521.17,516.18,527.58,528.27,534.63,534.48,534.13,537.04,536.86,541.01,541.37,541.45,536.30,535.84,526.23,527.29,526.49,518.24,519.63,511.21,499.47,494.42,477.24,467.75,450.32,437.13,421.42,403.00,383.93,376.10,370.48,357.39,351.25,344.03,332.89,314.49,311.87,300.93,300.02,289.21,289.85,281.10,291.49,292.65,292.75,292.80,299.92,304.53,,,,300.71,301.09,301.92,297.35,300.24,302.81,304.41,304.19,308.22,305.41,309.95,313.11,318.06,315.86,318.92,,,,335.44,335.97,,352.45,353.69,361.61,365.03,370.42,380.08,,,,388.55,395.81,393.14,400.18,403.77,400.71,395.83,401.38,398.08,396.58,397.75,397.88,396.35,390.87
1999-09-27 22:06:00+00:00,L7,286.70,279.50,267.30,248.05,235.85,227.05,226.57,227.91,231.45,232.10,236.18,226.38,234.77,226.52,228.26,224.05,224.68,224.33,225.96,230.22,243.77,250.98,260.55,267.57,272.34,274.84,288.36,292.20,295.41,310.58,319.00,324.04,337.19,339.38,356.19,359.94,370.70,383.51,391.46,406.84,411.78,419.19,432.85,442.07,456.55,460.32,472.30,472.76,475.19,474.54,476.74,478.28,487.09,485.10,483.82,482.76,480.60,477.90,474.44,471.54,462.71,454.04,451.70,436.77,438.18,425.61,426.63,434.69,444.88,452.98,460.86,470.26,482.68,493.42,488.72,491.43,503.10,508.29,519.51,524.14,526.88,535.44,534.15,538.96,541.15,543.10,543.41,544.51,537.18,541.75,544.28,540.15,535.94,533.00,526.40,529.33,518.73,517.76,507.27,499.30,494.09,483.60,471.43,453.17,442.72,425.62,413.02,397.37,390.78,375.34,370.99,359.40,347.25,333.53,332.11,316.58,307.15,302.72,296.64,293.35,289.64,287.27,293.01,294.58,293.13,301.18,305.92,306.79,300.93,303.71,297.19,303.80,303.15,305.41,301.49,307.54,295.57,305.07,308.33,306.55,308.75,316.60,319.95,314.99,316.84,,,,346.19,339.28,346.70,357.38,362.25,364.17,375.94,374.91,381.51,386.63,392.44,382.87,391.65,399.19,402.76,397.94,407.95,410.76,405.15,403.68,406.37,398.74,399.42,391.72,394.63,399.34
1999-11-30 22:05:47+00:00,L7,377.20,385.28,381.73,373.96,360.07,348.50,331.05,319.83,310.53,297.18,301.56,309.63,326.47,336.48,328.95,330.52,337.87,337.97,333.14,342.27,354.45,370.53,378.10,389.28,390.11,401.15,404.35,413.35,424.90,440.07,447.53,459.71,469.89,481.01,488.63,505.26,,,,,,,,,,,,,598.52,580.99,567.26,596.77,582.18,581.32,584.04,597.72,595.51,588.32,577.95,578.79,576.76,575.31,572.42,568.06,562.14,560.57,560.60,575.90,579.63,596.97,602.25,,621.87,596.26,600.88,588.83,585.62,624.67,,619.60,619.65,611.27,617.33,626.14,630.08,634.92,643.22,,,,,,,640.50,636.84,627.02,626.38,615.46,609.85,610.04,600.95,596.40,582.89,565.11,557.85,540.76,530.83,516.90,513.59,504.50,497.63,486.32,472.64,467.98,459.93,455.10,451.80,447.31,439.83,439.68,439.98,434.82,419.19,422.20,422.68,420.00,418.70,427.00,421.12,423.66,405.21,412.26,417.49,426.41,416.75,421.06,414.55,414.13,410.21,407.71,420.64,429.23,436.01,436.42,439.17,,,,475.61,474.56,,492.22,509.00,504.76,510.38,512.95,518.18,513.22,516.69,518.95,528.46,524.07,532.06,542.21,538.80,525.63,551.84,550.65,541.64,535.73,527.45,516.27,515.29,517.53
1999-12-16 22:05:57+00:00,L7,355.07,362.21,372.89,369.27,366.94,348.80,329.42,328.16,319.13,307.84,298.58,308.02,322.81,331.04,342.85,333.11,343.48,340.43,338.20,339.68,351.67,365.58,376.75,389.32,390.93,392.00,405.80,416.29,432.10,437.43,449.51,461.95,472.12,481.35,493.00,506.86,515.92,514.31,526.75,541.86,545.91,553.87,,575.62,,,567.13,557.28,,606.50,616.04,568.79,573.30,572.86,574.49,571.15,574.10,572.13,576.19,563.36,567.56,563.31,557.48,561.69,554.56,552.16,548.46,563.95,579.63,595.00,586.84,608.34,626.99,639.79,639.41,635.10,640.54,638.81,639.61,637.84,622.08,607.50,614.81,625.26,633.26,636.28,633.64,,,,,,,640.49,641.69,626.33,621.66,611.49,615.82,599.85,600.58,592.52,574.19,557.60,551.42,539.70,529.96,517.01,513.82,502.01,488.17,481.77,475.71,465.82,454.56,456.75,442.05,442.50,435.13,439.41,432.05,434.70,423.94,426.00,424.53,431.18,428.00,409.99,405.27,412.24,411.54,411.07,419.91,422.17,413.50,413.80,424.27,416.16,407.83,408.80,411.16,416.11,430.16,439.30,454.06,446.92,465.76,469.45,475.44,485.42,486.64,493.65,500.85,493.01,503.73,489.92,496.27,504.93,511.19,514.36,513.49,511.53,520.47,536.96,547.81,550.61,548.54,546.38,539.78,539.74,529.04,518.65,496.17,489.34
2000-03-05 22:05:36+00:00,L7,260.20,249.31,243.80,239.96,237.23,228.93,211.64,208.54,205.51,208.81,198.72,201.54,207.43,210.58,203.73,201.31,202.70,200.64,201.84,211.70,219.55,220.70,222.52,241.88,250.29,260.81,263.52,270.24,286.30,292.08,295.51,312.72,318.44,319.57,323.47,333.75,342.40,359.10,366.03,380.89,384.88,396.36,403.47,411.57,428.63,440.27,443.29,440.81,440.53,447.49,451.61,457.28,459.99,457.28,461.64,464.36,462.40,454.62,447.29,449.22,441.76,431.46,429.99,426.63,417.61,408.96,403.92,407.93,418.79,427.17,436.68,449.92,460.41,470.75,474.64,481.04,481.86,492.50,493.01,501.85,506.20,506.04,502.72,509.84,521.51,524.13,542.19,542.15,534.02,543.41,526.54,530.03,529.73,514.72,505.78,510.03,508.76,501.85,509.73,496.44,473.67,470.84,454.17,439.52,426.24,421.32,397.94,380.41,366.70,359.26,333.80,331.14,317.73,314.93,304.32,307.05,294.44,284.33,280.69,275.66,274.34,281.03,278.47,275.12,277.14,275.58,281.76,280.73,272.12,274.16,275.19,273.75,278.16,286.13,285.04,283.88,283.68,279.11,284.75,289.22,294.03,297.95,303.10,303.10,311.25,297.15,305.76,314.21,320.31,325.84,326.15,343.14,345.52,353.09,360.46,366.82,370.69,375.39,370.87,360.37,363.84,373.68,378.24,382.22,380.31,381.83,384.77,380.38,380.55,383.04,380.96,379.77,374.01,371.56
2000-03-21 22:05:37+00:00,L7,293.63,272.71,257.95,248.22,246.67,237.43,241.69,227.36,220.92,217.80,206.03,208.09,204.60,209.70,212.51,225.83,232.62,241.63,243.04,254.20,260.16,275.05,281.83,296.94,300.75,306.95,306.53,318.37,321.13,333.83,340.84,348.06,357.75,365.68,368.06,367.02,383.17,385.68,387.38,394.60,404.68,412.88,425.85,436.70,445.73,452.91,459.13,460.92,460.73,461.14,466.64,467.04,471.30,472.79,469.68,468.32,473.72,475.17,474.73,472.18,465.12,452.76,446.52,429.10,431.52,423.46,413.71,419.54,427.66,446.56,450.18,469.67,468.10,485.10,482.42,497.97,498.37,506.83,517.22,522.31,533.70,536.58,526.18,532.71,540.61,537.55,537.42,545.50,549.26,549.50,547.33,551.76,558.11,553.67,551.59,544.27,,,,,,,,,,,,,,,,,,,,,,327.69,308.01,334.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:04:58+00:00,L7,343.06,341.64,339.14,328.05,322.04,316.54,312.11,310.34,311.58,310.61,301.23,300.13,286.92,290.62,282.69,293.67,310.08,316.56,326.07,324.51,329.24,337.62,348.83,337.07,332.35,337.80,354.71,359.80,374.84,379.78,400.87,409.89,416.72,439.11,469.15,462.86,475.32,502.74,501.41,526.40,549.35,558.27,571.38,588.66,602.84,,549.66,558.77,577.27,578.82,574.90,568.82,553.43,548.85,555.54,564.30,558.41,557.46,557.80,561.28,537.72,532.37,535.21,524.02,520.20,517.52,495.32,505.88,532.89,548.77,561.65,580.49,596.16,573.29,582.91,591.23,593.81,594.94,586.47,629.50,,605.18,632.91,635.24,636.08,631.44,626.25,617.07,,644.01,634.26,634.71,592.85,590.95,592.49,598.50,601.54,594.17,591.21,570.95,568.49,565.45,544.59,521.79,514.47,516.32,506.93,488.37,480.98,464.13,466.18,457.93,460.21,443.97,438.75,433.88,440.88,425.62,416.83,414.34,403.82,408.76,409.69,417.02,421.99,423.54,427.81,424.14,411.21,398.84,405.30,410.74,403.05,407.03,409.96,415.63,422.35,431.74,412.23,409.09,400.30,421.22,408.35,,,,,,,,,443.36,438.87,447.10,,,,,,,,,,,,,,544.32,523.46,510.02,499.52,478.99,486.37,
2000-08-12 22:04:05+00:00,L7,,,,,,,,,,,,,,,210.53,211.25,224.10,223.26,,,,,,,,,,296.17,311.21,317.93,317.04,322.99,338.28,347.85,356.22,362.50,375.71,381.80,392.20,401.23,408.07,420.50,429.49,435.68,449.94,459.38,463.33,468.57,466.72,471.64,473.05,470.02,468.56,468.44,468.19,466.80,461.48,458.90,458.94,457.68,455.55,450.44,446.47,438.34,430.50,423.38,423.79,426.62,440.87,450.82,459.47,462.33,474.38,478.60,491.56,491.78,500.49,505.35,506.34,514.21,517.29,519.23,522.74,527.77,526.78,529.33,532.79,535.58,530.21,534.61,531.97,532.18,533.34,524.94,524.21,522.64,513.31,507.28,500.57,495.14,490.04,474.18,460.43,446.20,438.12,421.64,413.27,404.84,398.66,385.48,377.34,363.01,353.79,341.95,335.47,331.45,321.26,310.36,311.71,314.34,311.38,308.08,303.47,,,,,,,,,,,,291.50,295.76,290.23,297.34,302.41,298.85,,,,,,,,,,,,,360.86,357.04,,,,,,,,,,,,,,,,,,,,
2000-09-13 22:03:38+00:00,L7,255.37,249.82,242.54,239.00,233.46,228.22,217.15,214.84,205.17,209.84,200.76,199.99,193.95,194.35,178.07,192.55,201.48,206.78,209.97,217.01,218.60,227.27,227.68,,,,,281.82,289.75,297.74,303.52,314.17,319.68,331.59,332.36,349.61,359.73,365.90,372.16,379.13,386.71,401.25,404.21,,,,,,445.43,456.73,450.11,453.98,459.35,453.37,452.07,,,449.09,441.81,439.80,431.51,439.82,432.70,423.47,420.72,413.52,400.40,406.00,415.21,427.54,437.45,447.68,456.37,466.84,474.34,468.73,478.21,484.22,491.22,498.36,502.36,502.78,505.41,505.95,511.45,504.38,512.79,511.08,511.35,,,516.62,511.79,506.63,500.19,505.34,495.05,496.50,478.24,476.73,462.97,454.64,438.25,431.86,415.83,404.76,376.90,366.33,374.24,370.41,351.58,342.00,328.90,319.09,313.42,310.92,304.90,297.58,297.29,295.01,292.81,286.65,285.96,283.22,286.71,287.58,286.87,,,,286.38,285.09,282.92,284.55,277.15,280.45,279.31,287.36,284.27,285.26,289.65,294.41,292.50,295.21,301.58,,,,,326.43,,339.95,337.88,348.84,353.80,352.83,360.01,358.90,,,384.53,376.85,382.10,387.42,389.56,384.98,387.66,387.05,,380.28,379.81,374.38,363.91,358.37
2000-10-15 22:03:08+00:00,L7,268.29,254.93,243.24,240.14,231.58,225.55,224.92,216.52,214.72,200.37,199.50,191.24,188.81,188.15,177.93,184.80,191.81,200.35,214.83,222.62,222.54,221.42,226.33,242.07,239.66,248.86,251.12,260.48,283.02,285.98,296.16,310.49,312.90,313.70,324.64,332.32,341.58,349.22,360.00,378.02,390.38,404.01,412.13,424.52,428.51,434.45,445.70,441.70,453.30,453.03,447.80,445.33,456.48,449.80,447.12,441.88,445.22,445.11,439.51,432.08,427.47,422.99,423.74,411.65,407.81,399.03,390.32,399.82,411.50,425.06,435.00,445.63,452.24,466.58,477.05,483.11,482.00,490.33,488.66,496.09,503.76,507.24,500.18,503.67,507.91,509.15,509.91,514.18,509.31,,,509.00,507.36,497.88,491.74,485.77,485.05,474.80,,,,446.64,436.36,,,,,,,357.32,342.66,334.04,329.91,,307.38,304.94,294.57,294.10,287.65,290.37,280.74,284.22,275.26,277.83,278.90,277.95,280.23,277.03,,,,278.30,,,,277.34,274.93,273.89,283.62,281.78,284.83,,,282.39,295.80,,,,,311.86,,328.99,,343.99,346.00,355.57,355.65,360.89,365.94,,366.27,378.67,381.54,384.02,383.27,386.43,389.11,387.97,,373.17,377.95,377.09,374.78,375.13
