dates,nzd0313-0000,nzd0313-0001,nzd0313-0002,nzd0313-0003,nzd0313-0004,nzd0313-0005,nzd0313-0006,nzd0313-0007,nzd0313-0008,nzd0313-0009,nzd0313-0010,nzd0313-0011,nzd0313-0012,nzd0313-0013,nzd0313-0014,nzd0313-0015,nzd0313-0016,nzd0313-0017,nzd0313-0018,nzd0313-0019,nzd0313-0020,nzd0313-0021,nzd0313-0022,nzd0313-0023,nzd0313-0024,nzd0313-0025,nzd0313-0026,nzd0313-0027,nzd0313-0028,nzd0313-0029,nzd0313-0030,nzd0313-0031,nzd0313-0032,nzd0313-0033,nzd0313-0034,nzd0313-0035,nzd0313-0036,nzd0313-0037,nzd0313-0038,nzd0313-0039,nzd0313-0040,nzd0313-0041,nzd0313-0042,nzd0313-0043,nzd0313-0044,nzd0313-0045,nzd0313-0046,nzd0313-0047,nzd0313-0048,nzd0313-0049,nzd0313-0050,nzd0313-0051,nzd0313-0052,nzd0313-0053,nzd0313-0054,nzd0313-0055,nzd0313-0056,nzd0313-0057,nzd0313-0058,nzd0313-0059,nzd0313-0060,nzd0313-0061,nzd0313-0062,nzd0313-0063,nzd0313-0064,nzd0313-0065,nzd0313-0066,nzd0313-0067,nzd0313-0068,nzd0313-0069,nzd0313-0070,nzd0313-0071,nzd0313-0072,nzd0313-0073,nzd0313-0074,nzd0313-0075,nzd0313-0076,nzd0313-0077,nzd0313-0078,nzd0313-0079,nzd0313-0080,nzd0313-0081,nzd0313-0082,nzd0313-0083,nzd0313-0084,nzd0313-0085,nzd0313-0086,nzd0313-0087,nzd0313-0088,nzd0313-0089,nzd0313-0090,nzd0313-0091,nzd0313-0092,nzd0313-0093,nzd0313-0094,nzd0313-0095,nzd0313-0096,nzd0313-0097,nzd0313-0098,nzd0313-0099,nzd0313-0100,nzd0313-0101,nzd0313-0102,nzd0313-0103,nzd0313-0104,nzd0313-0105,nzd0313-0106,nzd0313-0107,nzd0313-0108,nzd0313-0109,nzd0313-0110,nzd0313-0111,nzd0313-0112,nzd0313-0113,nzd0313-0114,nzd0313-0115,nzd0313-0116,nzd0313-0117,nzd0313-0118,nzd0313-0119,nzd0313-0120,nzd0313-0121,nzd0313-0122,nzd0313-0123,nzd0313-0124,nzd0313-0125,nzd0313-0126,nzd0313-0127,nzd0313-0128,nzd0313-0129,nzd0313-0130,nzd0313-0131,nzd0313-0132,nzd0313-0133,nzd0313-0134,nzd0313-0135,nzd0313-0136,nzd0313-0137,nzd0313-0138,nzd0313-0139,nzd0313-0140,nzd0313-0141,nzd0313-0142,nzd0313-0143,nzd0313-0144,nzd0313-0145,nzd0313-0146,nzd0313-0147,nzd0313-0148,nzd0313-0149,nzd0313-0150,nzd0313-0151,nzd0313-0152,nzd0313-0153,nzd0313-0154,nzd0313-0155,nzd0313-0156,nzd0313-0157,nzd0313-0158,nzd0313-0159,nzd0313-0160,nzd0313-0161,nzd0313-0162,nzd0313-0163,nzd0313-0164,nzd0313-0165,nzd0313-0166,nzd0313-0167,nzd0313-0168,nzd0313-0169,nzd0313-0170,nzd0313-0171,nzd0313-0172,nzd0313-0173,satname
1999-08-26 22:05:56+00:00,340.96,328.01,310.06,298.84,292.65,293.11,292.10,306.06,309.15,302.91,304.61,298.25,296.25,286.34,288.34,287.70,287.93,296.02,301.93,302.96,318.20,323.14,325.06,322.13,326.50,334.50,343.50,351.07,362.40,370.96,385.71,392.67,404.12,409.46,417.15,431.58,440.51,451.27,463.02,465.80,479.35,484.74,503.45,510.63,527.09,532.33,542.00,543.79,545.02,552.26,550.69,550.59,559.61,554.98,549.57,545.95,553.99,550.55,543.90,537.05,531.07,519.72,516.20,503.59,501.98,495.16,489.31,501.05,504.50,521.07,525.89,542.71,542.90,558.64,557.61,565.62,560.55,567.94,574.01,580.77,575.78,587.18,587.87,594.23,594.08,593.73,596.64,596.46,590.68,600.97,601.05,595.90,595.44,585.83,586.89,586.09,577.84,579.23,570.81,559.07,568.92,551.74,542.25,524.82,511.63,495.92,477.50,458.43,450.60,444.98,431.89,425.75,418.53,407.39,388.99,386.37,375.43,374.52,363.71,364.35,355.60,365.99,367.15,367.25,367.30,374.42,379.03,,,,375.21,375.59,376.42,371.85,374.74,377.31,378.91,378.69,382.72,379.91,384.45,387.61,392.56,390.36,393.42,,,,409.94,410.47,,426.95,428.19,436.11,439.53,444.92,454.58,,,,463.05,470.31,467.64,474.68,478.27,475.21,470.33,475.88,472.58,471.08,472.25,472.38,470.85,465.37,L7
1999-09-27 22:06:00+00:00,338.83,328.75,313.68,298.44,289.25,285.08,284.34,298.24,301.55,298.75,301.64,293.56,296.76,287.68,289.55,287.12,287.56,291.42,295.19,297.84,312.24,318.31,324.06,326.10,330.67,335.92,347.18,352.88,360.15,372.02,383.61,389.61,401.90,405.67,417.92,427.01,436.86,448.64,458.49,467.57,476.81,483.22,499.40,507.60,523.07,527.58,538.40,539.52,541.36,544.65,544.97,545.68,554.60,551.29,547.95,545.61,548.55,545.47,540.42,535.54,528.14,518.13,515.20,501.43,501.33,491.63,489.22,499.12,505.94,518.28,524.62,537.74,544.04,557.28,554.41,559.77,556.83,563.12,571.76,577.45,576.33,586.31,586.01,591.60,592.62,593.41,595.02,595.49,584.76,596.36,597.66,593.02,590.69,584.41,581.64,582.71,573.29,573.50,564.04,554.18,562.75,548.92,538.09,520.25,508.43,492.02,476.51,459.15,451.94,441.41,432.69,423.82,414.14,401.71,391.80,382.73,372.54,369.87,361.42,360.10,353.87,357.88,361.33,362.16,361.47,369.05,373.73,369.29,363.43,366.21,367.45,370.94,371.03,369.88,369.37,373.68,368.49,373.13,376.77,374.48,377.85,383.36,387.50,383.93,386.38,,,,409.31,406.12,409.20,423.41,426.47,431.39,438.99,441.17,449.29,449.13,454.94,445.37,458.60,466.00,466.45,467.56,474.36,474.24,468.99,471.03,470.73,466.16,467.09,463.30,463.99,463.61,L7
1999-11-30 22:05:47+00:00,337.35,333.33,322.10,309.35,298.59,291.95,285.64,287.60,286.71,280.40,283.78,281.09,288.83,286.11,284.85,283.76,286.49,289.11,290.01,294.82,308.47,317.88,324.24,329.33,332.65,339.83,348.40,355.21,363.90,376.87,387.08,395.14,406.73,412.95,423.66,435.26,436.86,448.64,458.49,467.57,476.81,483.22,499.40,507.60,523.07,527.58,538.40,539.52,542.58,538.93,534.56,544.88,545.96,543.47,542.14,545.14,546.37,541.92,535.10,532.13,526.51,519.36,516.44,505.81,503.77,496.78,495.18,506.88,512.67,526.67,532.67,537.74,552.15,552.44,552.07,551.63,552.16,569.37,571.76,577.24,576.50,580.36,582.18,588.84,590.84,592.98,596.82,595.49,584.76,596.36,597.66,593.02,590.69,588.84,585.78,583.21,576.72,573.22,565.04,558.54,557.65,546.91,535.19,517.37,507.07,490.43,476.78,460.57,454.66,444.61,436.50,426.82,415.81,405.97,396.68,389.02,381.13,377.85,369.73,368.79,364.74,365.69,362.78,364.34,364.04,368.20,370.88,371.39,365.52,368.19,362.20,366.88,368.69,370.89,367.33,371.64,366.01,368.96,370.09,367.72,374.28,380.81,385.84,383.59,386.14,,,,413.58,411.10,409.20,428.52,436.15,438.01,444.95,447.26,454.42,454.43,459.06,455.41,464.05,467.52,470.49,474.61,478.01,473.53,478.77,479.74,476.53,471.52,469.37,463.12,463.26,463.75,L7
1999-12-16 22:05:57+00:00,331.48,330.25,324.50,314.03,305.38,295.87,286.29,284.87,281.94,274.38,274.61,274.94,284.45,284.47,286.48,283.22,287.87,289.06,289.18,293.16,306.40,316.93,324.49,331.45,334.35,340.00,349.88,357.60,368.08,379.13,389.81,398.97,410.20,417.18,428.12,440.28,446.04,453.36,464.08,475.17,482.68,489.60,499.40,513.11,523.07,527.58,530.81,528.28,542.58,542.95,542.06,537.98,539.92,537.94,537.36,538.77,540.42,536.60,532.50,527.06,523.90,517.47,513.83,506.90,503.59,497.75,495.62,508.27,516.53,530.88,533.34,544.10,557.99,561.40,561.03,559.62,552.16,576.43,580.64,582.09,577.60,576.85,580.04,587.65,591.14,593.51,595.73,595.49,584.76,596.36,597.66,593.02,590.69,591.46,589.45,583.69,577.65,572.49,567.44,558.57,555.51,545.44,532.07,514.55,505.28,489.88,477.20,461.80,456.57,446.08,436.55,427.69,417.91,408.06,398.27,393.07,383.48,381.14,373.20,373.57,368.69,370.07,365.20,366.88,366.28,371.07,372.29,367.09,361.61,365.70,361.66,365.06,368.62,370.84,366.00,369.30,367.70,367.89,366.65,365.12,370.62,376.76,384.05,384.64,390.25,395.42,414.26,417.95,416.17,416.81,422.17,431.93,439.45,438.89,446.77,445.05,452.01,454.09,459.27,457.89,463.54,465.65,470.11,477.32,482.58,479.93,483.34,483.52,479.47,475.70,471.42,464.13,458.61,457.27,L7
2000-03-05 22:05:36+00:00,326.89,326.18,323.53,314.91,307.12,295.42,281.77,279.99,275.53,270.36,267.63,270.27,281.75,285.03,284.82,281.12,286.06,284.72,283.66,289.84,301.24,310.82,318.36,330.89,334.79,341.07,349.38,356.90,368.55,378.91,386.76,398.48,408.28,414.20,424.20,435.33,439.34,448.64,457.75,472.86,477.19,486.14,488.41,506.09,512.84,520.55,523.91,519.95,533.75,536.25,536.79,534.15,534.51,533.01,534.87,537.87,537.03,532.12,527.84,524.60,521.07,514.90,511.77,507.16,502.00,495.70,493.78,504.49,514.61,526.90,530.53,539.17,556.86,558.93,559.79,557.98,546.73,573.17,574.44,577.96,575.80,572.16,574.35,582.15,588.60,591.71,597.72,599.53,582.43,598.78,591.61,591.29,589.04,589.28,584.78,580.28,575.98,568.74,567.77,558.51,551.20,544.72,529.54,512.72,503.43,490.72,476.81,461.80,455.10,444.15,431.52,423.53,412.21,404.44,396.61,392.75,382.74,378.09,371.95,370.90,367.88,368.33,362.53,363.35,363.25,365.86,367.47,365.00,358.74,362.32,356.16,359.10,363.55,368.91,363.07,365.45,363.39,362.49,361.65,361.94,367.52,373.85,381.18,382.33,389.20,385.28,399.01,405.08,413.26,415.15,416.16,430.47,438.28,437.63,446.50,445.02,450.54,453.92,456.67,453.01,458.24,460.99,467.26,473.71,477.59,476.08,481.45,479.15,475.96,473.19,468.09,460.48,453.90,453.32,L7
2000-03-21 22:05:37+00:00,331.52,326.76,321.69,312.85,306.31,295.10,285.03,283.56,278.71,273.95,269.41,271.93,280.42,284.06,284.46,284.16,289.47,290.20,289.64,296.81,307.12,317.77,325.15,330.89,334.79,348.35,354.91,356.90,373.17,384.00,391.68,402.50,412.28,418.60,427.07,435.77,442.92,450.52,457.78,470.92,476.69,485.45,491.06,506.37,513.97,521.50,525.34,522.82,533.12,535.33,536.86,534.83,535.97,535.07,535.93,538.06,538.47,534.83,531.32,528.22,523.98,516.58,512.82,505.65,502.00,495.35,491.86,501.60,511.32,524.94,528.56,539.42,553.21,558.26,558.41,560.07,548.74,571.18,574.24,578.11,578.66,576.33,576.00,583.54,590.28,592.16,596.94,600.32,587.04,601.15,595.65,596.91,597.53,593.44,589.42,584.36,575.98,568.74,567.77,558.51,551.20,544.72,529.54,512.72,503.43,490.72,476.81,461.80,455.10,444.15,431.52,423.53,412.21,404.44,396.61,392.75,382.74,382.11,373.26,377.81,367.88,368.33,362.53,363.35,363.25,365.86,367.47,365.00,358.74,362.32,356.16,359.10,363.55,368.91,363.07,365.45,363.39,362.49,361.65,361.94,367.52,373.85,381.18,382.33,389.20,385.28,399.01,405.08,413.26,415.15,416.16,430.47,438.28,437.63,446.50,445.02,450.54,453.92,456.67,453.01,458.24,460.99,467.26,473.71,477.59,476.08,481.45,479.15,475.96,473.19,468.09,460.48,453.90,453.32,L7
2000-05-24 22:04:58+00:00,328.15,324.55,321.42,314.21,308.91,298.36,287.50,281.75,276.43,271.35,264.12,268.38,272.55,278.58,277.05,279.79,288.25,290.35,291.36,297.37,305.91,316.80,324.51,325.39,326.92,351.10,355.92,350.92,370.75,379.54,389.75,401.37,409.88,420.24,431.36,438.05,446.20,457.46,462.39,477.94,477.49,486.70,488.91,506.96,511.43,520.84,521.80,521.44,535.76,537.89,538.19,534.64,530.94,529.52,531.98,536.07,535.73,532.44,529.69,527.87,520.68,513.94,511.22,504.80,500.11,495.43,487.30,497.54,510.62,525.79,530.42,544.11,557.61,555.94,558.95,561.73,553.12,573.87,572.68,584.54,579.11,575.63,581.11,588.16,594.63,595.18,598.86,600.11,591.14,610.84,601.24,604.03,592.10,590.39,588.00,583.55,578.38,569.54,570.45,558.12,546.92,542.30,524.96,507.00,498.50,490.52,477.41,461.67,454.77,443.48,432.44,425.29,417.57,409.18,400.39,399.19,393.29,388.39,379.00,383.71,373.55,375.83,368.82,371.09,372.58,373.58,375.07,371.47,363.43,363.23,360.31,362.95,365.65,371.44,367.31,369.59,372.21,360.80,364.75,364.70,367.53,377.13,380.41,383.94,392.49,385.28,399.01,405.08,414.79,419.61,419.64,429.09,434.56,435.49,449.19,447.56,452.71,455.51,457.25,455.56,459.60,460.76,467.92,478.13,479.97,477.02,486.05,483.47,482.36,478.13,470.24,459.42,453.96,450.48,L7
2000-08-12 22:04:05+00:00,330.83,319.75,312.16,303.94,300.51,292.83,287.01,288.58,285.84,285.57,275.16,276.42,272.82,276.80,267.99,273.64,283.00,286.15,296.82,303.30,309.48,317.62,324.23,313.97,315.82,358.13,359.27,339.40,364.00,371.53,379.19,389.04,398.42,408.68,419.85,422.16,434.77,447.96,452.38,466.40,463.04,473.75,483.44,491.82,505.27,514.69,519.48,522.89,526.94,530.40,532.17,531.41,528.95,527.46,529.39,531.57,529.63,527.16,525.32,525.71,515.66,507.38,505.17,495.15,490.58,483.95,474.81,480.62,495.68,508.95,517.62,531.23,540.39,542.56,548.51,556.13,551.13,557.40,558.26,574.47,570.13,574.26,578.64,583.89,588.75,588.11,592.16,592.58,580.39,610.84,592.52,594.67,586.01,578.57,576.02,576.36,565.74,558.97,558.37,545.38,541.40,534.16,517.06,499.84,490.28,483.76,470.05,455.21,446.11,433.62,423.11,414.69,407.91,397.62,390.18,388.13,382.86,377.62,369.94,375.45,360.51,363.29,361.21,370.57,374.06,374.06,379.29,376.94,366.16,361.00,364.75,366.75,365.11,371.08,359.50,362.42,362.75,348.73,363.80,363.05,371.66,384.08,380.23,381.10,389.25,375.15,383.76,392.21,398.31,403.84,404.15,417.75,412.42,416.41,438.46,444.82,448.69,453.39,448.87,438.37,441.84,451.68,456.24,460.22,458.31,459.83,462.77,458.38,476.50,471.03,464.74,453.88,454.69,449.56,L7
2000-09-13 22:03:38+00:00,327.62,318.32,310.14,302.02,297.66,291.00,287.25,288.68,283.72,283.92,273.84,273.90,266.32,269.39,260.07,269.95,281.19,286.18,297.53,303.07,307.17,317.81,323.95,308.07,303.35,377.45,377.03,341.26,363.36,371.44,379.69,387.90,397.23,410.18,420.57,424.62,437.61,448.15,452.41,464.47,461.65,473.38,481.68,492.94,504.58,512.89,518.87,524.25,526.66,531.21,530.30,529.09,527.28,524.99,525.50,527.97,526.04,524.28,522.44,521.86,511.60,507.97,504.35,492.86,489.86,483.59,472.43,478.63,493.28,507.55,516.31,529.17,537.88,540.08,546.93,551.55,549.02,554.13,556.61,572.39,567.25,572.24,578.11,581.72,585.03,581.98,583.61,583.61,571.50,613.36,593.72,590.12,580.32,575.35,573.42,573.99,559.57,555.58,546.27,537.21,535.83,526.76,509.76,495.28,484.81,476.24,461.03,448.51,446.63,435.34,427.03,416.31,409.63,397.00,391.21,387.42,384.35,379.44,372.58,378.79,364.67,363.16,361.71,371.62,375.85,377.06,378.84,395.14,382.21,369.84,367.34,369.41,364.49,367.29,354.87,359.28,359.30,349.85,361.64,359.73,366.48,379.32,371.93,367.21,373.58,,,,,398.43,,413.15,407.87,412.99,425.80,424.83,432.01,430.90,,,456.53,448.85,454.10,459.42,461.56,456.98,459.66,459.05,494.46,466.65,461.16,448.19,446.64,430.37,L7
2000-10-15 22:03:08+00:00,314.64,307.86,300.71,294.80,288.09,282.50,277.13,279.40,275.99,272.44,266.00,262.62,255.39,256.54,247.18,255.44,266.74,271.61,282.46,286.88,288.96,294.27,299.78,301.82,298.25,,,334.44,349.58,355.23,364.27,374.26,381.77,392.94,405.47,411.70,422.96,434.79,441.32,456.07,451.22,464.75,471.44,478.35,487.48,495.16,508.73,512.18,520.55,524.93,521.34,519.41,519.33,514.99,515.61,513.49,510.87,512.51,509.39,507.58,497.94,496.28,494.41,484.25,479.68,473.24,462.33,469.46,484.99,497.92,508.27,518.91,529.66,531.20,541.34,543.59,541.53,546.61,546.07,562.44,552.74,561.51,568.21,571.06,573.45,571.48,573.34,572.38,554.40,620.81,588.71,576.03,564.24,558.00,555.06,555.96,551.64,546.09,546.27,537.21,535.83,520.10,504.78,495.28,484.81,476.24,461.03,448.51,446.63,429.21,419.31,409.12,403.08,397.00,383.63,380.17,375.28,366.79,363.25,363.39,357.06,356.80,353.47,358.19,361.37,361.86,363.80,395.14,382.21,369.84,367.34,356.88,364.49,367.29,354.87,352.17,351.58,342.36,355.51,353.62,357.09,379.32,371.93,351.55,361.44,,,,,381.89,,402.93,407.87,409.12,412.65,416.95,420.58,422.64,419.44,,438.15,440.51,444.57,448.47,449.16,448.46,451.13,450.26,494.46,453.32,451.26,442.32,440.52,429.50,L7
2000-11-16 22:03:20+00:00,327.47,319.02,300.71,298.33,290.66,285.48,277.72,278.72,277.04,273.93,267.66,267.76,263.22,256.54,256.15,255.44,266.74,271.61,282.46,293.45,297.65,294.27,299.78,301.82,298.25,345.47,366.08,341.50,354.07,358.43,368.80,378.72,386.17,401.26,405.47,411.70,422.96,434.79,441.32,456.07,451.22,464.75,471.44,478.35,487.48,495.16,508.73,512.18,520.55,524.93,521.34,519.41,519.33,514.99,515.61,513.49,510.87,512.51,509.39,507.58,497.94,496.28,494.41,484.25,479.68,473.24,462.33,469.46,484.99,497.92,508.27,518.91,529.66,531.20,546.52,548.47,547.58,546.61,551.93,566.33,561.53,565.13,575.96,576.86,579.61,577.90,581.28,578.63,570.12,618.88,593.19,583.87,564.24,562.17,563.62,559.03,554.38,548.12,548.24,539.47,534.52,511.97,504.78,496.30,484.81,476.24,461.03,448.51,446.63,429.21,419.31,409.12,403.08,397.00,383.63,380.17,375.28,366.79,364.67,363.98,357.76,357.90,354.58,359.71,362.32,360.87,359.42,375.15,365.74,356.50,361.53,354.45,354.67,363.81,351.49,349.17,350.15,345.31,354.51,355.13,356.65,369.80,370.56,357.99,361.44,,,,,381.89,,402.93,407.87,409.12,412.65,416.95,420.58,422.64,427.78,452.75,442.12,441.01,449.14,452.26,452.69,451.32,451.37,452.08,480.70,455.26,449.96,441.37,442.99,426.64,L7
2001-01-03 22:03:24+00:00,337.42,330.04,293.09,309.24,298.50,295.11,285.11,277.85,284.27,277.90,274.60,272.73,272.65,254.00,265.25,252.37,261.96,266.30,275.15,302.78,303.02,287.10,289.75,295.57,293.16,355.79,357.22,348.05,362.44,368.32,376.43,383.39,391.27,404.73,405.41,404.31,415.17,421.81,430.95,442.29,451.22,464.75,471.44,478.35,487.48,495.16,502.77,503.39,511.32,516.63,513.15,512.61,517.63,513.37,522.59,520.89,501.60,517.72,511.93,499.35,494.34,503.25,498.67,480.65,488.04,479.27,471.12,466.98,489.02,490.64,500.14,508.05,527.34,526.84,550.74,552.89,552.80,538.23,549.09,556.33,561.53,560.91,567.52,568.06,571.30,570.31,575.84,574.82,570.12,602.87,584.77,576.96,562.43,560.77,562.20,554.97,558.23,547.53,546.57,540.42,538.33,515.05,501.18,497.47,484.48,481.13,452.58,443.08,448.46,436.76,422.94,402.52,393.70,388.02,384.57,371.94,372.86,369.27,363.77,362.93,358.82,358.98,356.46,360.52,362.12,360.33,346.28,355.17,349.26,343.17,365.99,345.36,344.99,369.74,341.67,348.36,347.05,345.31,351.92,354.25,357.91,372.70,376.82,365.68,374.64,414.31,397.73,416.34,411.75,399.50,,410.86,406.87,409.70,418.96,426.10,436.35,422.64,427.19,451.43,447.06,449.06,453.00,456.64,459.77,460.83,460.71,452.90,463.56,452.97,449.79,446.96,445.01,432.18,L7
2001-01-19 22:03:31+00:00,333.89,329.09,300.76,308.33,298.00,292.78,282.17,275.11,280.72,275.90,273.24,270.63,270.40,255.87,264.37,254.70,261.90,266.44,274.90,298.77,298.87,288.24,293.05,297.87,298.94,340.64,344.72,344.79,360.02,366.67,375.78,382.28,389.52,402.94,404.51,406.56,416.27,423.55,433.69,446.37,455.14,464.92,472.31,481.51,492.01,498.52,503.59,504.66,511.47,517.96,518.24,519.00,523.77,521.20,526.30,525.00,506.58,518.89,514.52,500.43,498.13,503.48,497.00,482.34,487.49,478.17,471.83,466.98,489.42,489.90,500.88,509.50,527.94,527.30,548.08,552.13,553.69,542.72,551.78,557.12,563.93,564.61,569.72,570.56,574.10,573.74,579.00,579.18,575.19,601.66,582.52,577.74,567.75,560.72,562.13,556.73,557.52,548.45,545.99,538.04,536.71,516.28,503.43,498.12,486.47,481.49,456.09,444.41,447.25,437.02,420.87,403.23,398.33,395.50,384.57,369.53,371.46,368.83,365.12,363.66,360.89,359.62,356.09,360.45,360.99,360.53,349.98,353.30,352.74,350.00,363.15,348.07,344.58,363.77,343.41,348.88,348.04,347.77,354.58,356.31,360.87,375.81,373.56,367.14,379.38,402.96,386.33,402.24,401.23,398.82,392.74,410.60,410.53,412.83,420.23,429.37,441.82,425.89,428.11,448.74,446.18,451.06,456.13,460.64,464.28,463.49,459.31,450.96,458.95,455.63,452.13,446.61,445.08,430.89,L7
