dates,nzd0481-0000,nzd0481-0001,nzd0481-0002,nzd0481-0003,nzd0481-0004,nzd0481-0005,nzd0481-0006,nzd0481-0007,nzd0481-0008,satname
2005-06-23 22:04:01+00:00,290.05,340.36,345.13,341.00,357.18,360.16,368.62,377.92,380.25,L7
2005-06-30 22:09:47+00:00,314.52,,,,,,,,378.50,L7
2005-07-08 22:08:03+00:00,292.12,330.27,349.39,339.34,347.99,,,,,L5
2005-07-09 22:03:38+00:00,,356.43,361.12,352.16,360.88,367.84,381.57,,,L7
2005-08-26 22:03:51+00:00,335.83,346.02,350.82,341.31,341.26,355.12,,,379.96,L7
2005-09-27 22:03:16+00:00,343.39,353.09,355.35,359.74,358.73,,,369.76,375.62,L7
2005-10-05 22:02:41+00:00,337.93,344.19,343.31,335.73,338.80,345.84,354.59,349.63,358.82,L5
2005-11-06 22:02:46+00:00,347.42,351.91,348.90,346.36,343.13,360.13,357.51,358.18,384.94,L5
2006-02-01 22:10:37+00:00,332.84,342.25,342.92,332.43,336.99,342.50,356.90,361.13,,L5
2006-02-17 22:10:58+00:00,,,,,,,,,344.50,L5
2006-02-26 22:04:59+00:00,346.24,351.00,355.20,347.40,345.17,354.33,359.68,364.14,378.20,L5
2006-03-22 22:04:42+00:00,347.74,353.64,356.73,347.14,335.98,354.94,360.44,366.59,375.80,L7
2006-05-17 22:06:45+00:00,319.65,340.11,343.58,332.28,345.15,357.46,360.73,359.88,377.93,L5
2006-06-26 22:04:08+00:00,281.35,345.96,352.11,343.81,349.49,359.74,369.07,364.71,,L7
2006-07-04 22:07:05+00:00,,,,,329.22,343.21,341.51,330.74,342.22,L5
2006-07-12 22:04:25+00:00,,333.62,341.45,338.29,343.15,352.60,355.65,359.51,,L7
2006-07-19 22:10:08+00:00,301.64,333.73,331.70,322.82,338.83,343.92,,,,L7
2006-07-27 22:13:34+00:00,,,,,,,,,353.06,L5
2006-07-28 22:03:54+00:00,329.36,344.76,355.84,353.84,355.32,365.47,,,383.82,L7
2006-08-05 22:07:55+00:00,318.80,337.00,348.53,337.18,,,366.19,359.65,368.62,L5
2006-08-21 22:07:43+00:00,340.61,355.99,359.02,353.38,359.68,368.13,373.30,368.25,376.13,L5
2006-08-29 22:04:14+00:00,340.99,354.74,354.76,351.95,351.74,367.27,363.63,,,L7
2006-09-14 22:04:09+00:00,341.95,354.06,,,346.97,354.92,355.94,355.45,369.33,L7
2006-10-08 22:08:40+00:00,338.78,341.96,346.79,334.29,340.04,345.01,348.04,351.83,355.77,L5
2006-10-24 22:08:26+00:00,346.00,350.55,351.08,340.38,347.57,354.50,357.27,352.56,363.62,L5
2006-12-11 22:09:16+00:00,348.54,355.93,355.63,340.11,,,,,,L5
2007-02-13 22:09:34+00:00,333.17,343.97,341.08,331.36,328.76,345.93,357.64,362.99,368.05,L5
2007-03-09 22:04:43+00:00,351.48,,,,353.27,364.33,364.26,365.97,376.94,L7
2007-04-17 22:10:53+00:00,,,,,,,331.10,327.59,348.31,L7
2007-05-03 22:10:49+00:00,,,341.00,344.14,345.22,356.11,,,,L7
2007-05-12 22:04:35+00:00,334.88,350.96,,,362.43,370.80,368.29,,385.93,L7
2007-07-06 22:10:37+00:00,,,,,,,362.21,366.63,374.17,L7
2007-07-15 22:04:48+00:00,,352.04,358.40,350.68,,,368.57,366.47,381.38,L7
2007-08-07 22:10:28+00:00,,,,345.20,352.56,358.45,353.84,351.97,370.32,L7
2007-08-23 22:10:22+00:00,335.78,351.95,348.43,347.03,,,,,,L7
2007-09-01 22:04:07+00:00,334.94,344.96,350.80,349.49,352.43,350.09,,,377.19,L7
2007-09-09 22:07:21+00:00,342.44,345.07,349.40,341.23,345.09,351.47,354.49,356.31,364.63,L5
2007-09-16 22:13:28+00:00,336.56,347.57,356.25,348.76,347.92,350.58,355.25,371.94,386.45,L5
2007-10-02 22:13:18+00:00,326.56,336.65,336.49,330.81,324.49,336.35,355.21,372.40,413.31,L5
2007-11-04 22:04:37+00:00,349.05,351.42,360.71,354.36,353.12,350.41,358.14,353.48,358.68,L7
2007-11-20 22:04:46+00:00,354.37,362.79,366.71,362.09,361.03,359.06,354.25,348.39,364.00,L7
2007-12-06 22:04:28+00:00,351.22,355.94,358.11,348.10,,,365.13,365.26,373.94,L7
2008-01-07 22:04:34+00:00,346.61,354.29,354.21,341.30,344.00,353.96,354.49,359.42,363.98,L7
2008-02-16 22:05:09+00:00,346.11,349.90,347.58,345.73,347.91,357.53,362.57,359.50,367.77,L5
2008-03-11 22:04:44+00:00,,,,,338.85,354.45,358.07,361.94,367.14,L7
2008-04-12 22:04:44+00:00,335.13,344.06,352.39,345.20,343.95,,,366.83,375.65,L7
2008-04-19 22:10:30+00:00,,,,,,,,,374.13,L7
2008-05-05 22:10:26+00:00,313.11,,,,,,,,,L7
2008-05-14 22:04:36+00:00,329.52,354.03,,,360.83,356.80,368.54,370.60,378.19,L7
2008-06-22 22:10:03+00:00,300.30,337.22,349.02,342.01,345.74,346.72,349.05,351.69,354.79,L7
2008-08-09 22:09:35+00:00,,,,,,,362.53,354.26,364.52,L7
2008-08-18 22:03:44+00:00,318.94,341.17,348.45,,,367.04,363.56,360.39,369.12,L7
2008-10-05 22:03:18+00:00,348.32,356.68,361.60,358.54,353.04,358.33,363.56,366.84,366.95,L7
2008-11-14 21:57:28+00:00,340.57,347.75,351.20,338.63,342.76,352.08,361.16,363.87,373.51,L5
2008-11-22 22:03:27+00:00,,363.29,364.50,361.72,361.14,364.92,365.51,367.76,372.45,L7
2008-12-31 22:10:01+00:00,,,,,,,,,386.75,L7
2009-01-01 21:59:19+00:00,337.50,348.99,352.02,346.61,339.47,342.21,348.46,352.57,360.58,L5
2009-01-17 21:59:20+00:00,347.68,351.07,352.60,353.70,354.48,353.85,356.19,355.27,360.90,L5
2009-01-25 22:04:21+00:00,340.61,345.60,345.04,338.56,,359.66,359.21,363.46,378.31,L7
2009-02-01 22:10:10+00:00,336.86,345.48,346.06,349.87,361.80,363.27,367.27,357.87,,L7
2009-02-26 22:04:13+00:00,343.71,347.24,345.48,338.11,346.42,359.79,361.91,356.20,367.04,L7
2009-03-14 22:04:21+00:00,338.61,350.09,351.64,344.60,347.35,366.33,362.66,362.57,372.79,L7
2009-03-30 22:04:52+00:00,347.09,352.58,349.53,343.49,346.17,361.46,,,,L7
2009-05-01 22:04:37+00:00,338.66,351.82,357.03,350.15,351.26,359.93,367.89,371.59,382.41,L7
2009-06-02 22:05:03+00:00,307.79,346.19,353.71,355.17,361.02,372.23,367.36,371.81,377.70,L7
