dates,satname,sar1221-0000,sar1221-0001,sar1221-0002,sar1221-0003,sar1221-0004
1984-05-06 09:33:51+00:00,L5,167.18,159.77,171.09,178.25,153.76
1984-08-19 09:30:15+00:00,L5,163.70,152.85,166.40,170.10,152.95
1984-08-26 09:36:33+00:00,L5,159.11,153.76,166.57,171.71,146.89
1984-09-04 09:30:25+00:00,L5,171.90,164.38,176.19,178.71,150.64
1984-09-11 09:36:38+00:00,L5,159.39,155.11,160.86,172.27,149.64
1984-09-20 09:30:28+00:00,L5,,,,369.92,356.06
1984-09-27 09:36:39+00:00,L5,173.86,163.66,163.00,178.36,171.35
1984-10-29 09:36:32+00:00,L5,158.70,147.77,147.41,167.17,150.93
1985-06-26 09:36:35+00:00,L5,173.61,166.33,183.24,187.75,179.62
1985-07-12 09:36:29+00:00,L5,166.08,162.32,175.40,179.54,163.20
1985-07-28 09:36:22+00:00,L5,173.46,169.05,182.93,182.91,179.10
1985-08-13 09:36:12+00:00,L5,163.88,162.17,173.57,180.83,166.97
1985-08-29 09:36:02+00:00,L5,173.97,163.73,174.55,180.86,175.61
1985-09-14 09:35:49+00:00,L5,165.64,156.07,162.12,178.82,159.95
1985-12-03 09:34:43+00:00,L5,,132.46,148.07,154.82,156.44
1986-01-04 09:34:08+00:00,L5,155.09,,145.24,152.00,132.99
1986-03-25 09:32:25+00:00,L5,,,,,155.76
1986-04-19 09:25:41+00:00,L5,155.24,,,,
1986-05-05 09:25:17+00:00,L5,161.55,161.16,176.55,180.09,165.81
1986-05-12 09:31:17+00:00,L5,174.62,171.71,186.11,183.85,174.97
1986-05-21 09:24:51+00:00,L5,175.10,166.43,183.52,182.41,155.98
1986-05-28 09:30:50+00:00,L5,161.36,154.52,169.86,171.24,149.40
1986-06-29 09:29:50+00:00,L5,165.23,156.65,170.45,173.35,163.87
1986-07-08 09:23:21+00:00,L5,162.63,153.66,173.88,174.88,160.07
1986-07-15 09:29:17+00:00,L5,164.83,158.69,170.07,173.37,164.12
1986-07-24 09:22:47+00:00,L5,171.94,156.30,166.50,168.79,154.15
1986-07-31 09:28:43+00:00,L5,167.17,161.20,171.99,177.53,167.72
1986-09-01 09:27:32+00:00,L5,165.14,155.71,166.72,176.92,167.67
1986-09-17 09:27:01+00:00,L5,170.95,160.25,159.65,178.28,157.53
1986-10-12 09:20:02+00:00,L5,,156.51,158.12,166.29,139.10
1986-10-28 09:19:29+00:00,L5,157.26,150.49,151.48,170.49,166.21
1986-11-04 09:25:25+00:00,L5,,,,321.36,418.86
1986-12-22 09:25:33+00:00,L5,,120.78,142.63,145.08,135.99
1987-01-07 09:26:01+00:00,L5,159.08,146.78,170.77,148.39,128.89
1987-06-16 09:31:07+00:00,L5,163.82,155.28,170.98,165.80,147.14
1987-07-02 09:31:27+00:00,L5,167.81,162.20,169.49,175.20,168.52
1987-07-18 09:31:44+00:00,L5,175.22,165.88,178.48,181.57,170.09
1987-08-19 09:32:41+00:00,L5,164.51,159.21,167.44,175.86,162.65
1987-09-04 09:33:07+00:00,L5,161.27,157.57,163.83,175.14,152.13
1987-09-20 09:33:30+00:00,L5,168.30,162.03,166.17,178.64,162.83
1987-10-06 09:33:50+00:00,L5,160.98,158.21,157.94,164.48,152.97
1987-11-07 09:34:26+00:00,L5,170.87,154.41,158.55,172.83,170.61
1987-12-09 09:34:58+00:00,L5,,122.90,142.81,150.82,153.94
1987-12-25 09:35:13+00:00,L5,,134.64,148.97,159.41,163.55
1988-01-10 09:35:29+00:00,L5,,134.82,151.57,164.44,169.34
1988-02-11 09:36:05+00:00,L5,168.00,140.23,156.24,169.24,170.50
1988-04-15 09:36:38+00:00,L5,170.18,159.95,165.58,175.29,160.70
1988-05-01 09:36:45+00:00,L5,164.52,159.47,167.28,170.62,151.47
1988-05-17 09:36:55+00:00,L5,174.52,165.23,185.39,184.96,175.00
1988-06-02 09:37:02+00:00,L5,143.34,140.20,157.06,157.04,147.25
1988-07-04 09:37:12+00:00,L5,165.37,153.99,167.58,178.45,146.99
1988-07-20 09:37:15+00:00,L5,166.28,160.60,,,
1988-08-05 09:37:16+00:00,L5,172.19,165.45,180.40,185.90,161.60
1988-08-21 09:37:17+00:00,L5,171.95,168.08,174.99,183.52,169.13
1988-09-06 09:37:19+00:00,L5,166.96,156.46,166.84,168.18,147.08
1988-09-22 09:37:13+00:00,L5,169.08,167.10,165.64,182.25,169.73
1988-10-08 09:37:09+00:00,L5,162.66,148.79,159.68,170.42,146.41
1988-10-24 09:37:05+00:00,L5,173.42,93.05,120.25,120.06,98.63
1988-12-11 09:36:57+00:00,L5,,136.04,154.14,163.06,169.24
1988-12-27 09:36:51+00:00,L5,,,140.75,153.76,147.36
1989-01-12 09:36:44+00:00,L5,,102.73,136.83,141.36,125.58
1989-03-01 09:36:18+00:00,L5,162.31,156.07,167.20,161.85,144.09
1989-04-02 09:35:35+00:00,L5,169.90,157.93,176.92,173.22,158.05
1989-04-18 09:35:31+00:00,L5,162.81,156.41,172.18,170.16,155.36
1989-05-20 09:34:56+00:00,L5,174.74,166.20,184.19,182.13,175.48
1989-05-29 09:28:41+00:00,L5,,,,,
1989-06-21 09:34:19+00:00,L5,156.32,144.12,167.80,163.82,154.81
1989-07-23 09:33:45+00:00,L5,159.59,153.68,170.32,175.64,161.97
1989-08-24 09:33:03+00:00,L5,168.24,162.14,173.72,178.57,168.13
1989-09-25 09:32:16+00:00,L5,167.32,160.70,162.08,189.10,178.04
1989-10-04 09:26:00+00:00,L5,169.42,161.52,165.60,186.84,178.20
1989-10-11 09:31:53+00:00,L5,159.41,156.76,158.10,174.12,163.71
1989-10-27 09:31:15+00:00,L5,166.42,151.02,157.22,174.24,169.26
1989-11-12 09:30:54+00:00,L5,,,151.90,158.33,148.71
1990-01-15 09:28:57+00:00,L5,,122.59,146.07,149.71,149.79
1990-01-31 09:28:30+00:00,L5,157.53,123.23,151.38,153.99,142.85
1990-02-09 09:22:02+00:00,L5,,344.69,,,
1990-02-16 09:27:59+00:00,L5,156.77,130.67,149.98,158.52,169.17
1990-02-25 09:21:33+00:00,L5,152.33,129.63,156.78,163.72,169.42
1990-03-04 09:27:26+00:00,L5,167.71,136.32,147.46,157.02,168.23
1990-04-21 09:26:46+00:00,L5,161.74,149.33,156.66,167.10,168.91
1990-05-07 09:26:43+00:00,L5,165.44,151.01,171.32,174.59,171.02
1990-05-23 09:26:44+00:00,L5,164.20,151.75,166.98,164.61,150.55
1990-06-08 09:26:43+00:00,L5,166.47,151.55,174.75,192.78,175.09
1990-06-24 09:26:42+00:00,L5,163.55,153.27,174.08,173.38,161.48
1990-07-10 09:26:40+00:00,L5,159.94,150.84,167.94,168.82,168.51
1990-08-11 09:26:31+00:00,L5,165.86,160.68,175.21,184.48,168.49
1990-09-12 09:26:23+00:00,L5,160.15,156.00,158.65,173.02,156.23
