dates,nzd0310-0000,nzd0310-0001,nzd0310-0002,nzd0310-0003,nzd0310-0004,nzd0310-0005,nzd0310-0006,nzd0310-0007,nzd0310-0008,nzd0310-0009,nzd0310-0010,nzd0310-0011,nzd0310-0012,nzd0310-0013,nzd0310-0014,nzd0310-0015,nzd0310-0016,nzd0310-0017,nzd0310-0018,nzd0310-0019,nzd0310-0020,nzd0310-0021,nzd0310-0022,nzd0310-0023,nzd0310-0024,nzd0310-0025,nzd0310-0026,nzd0310-0027,nzd0310-0028,nzd0310-0029,nzd0310-0030,nzd0310-0031,nzd0310-0032,nzd0310-0033,nzd0310-0034,nzd0310-0035,nzd0310-0036,nzd0310-0037,nzd0310-0038,nzd0310-0039,nzd0310-0040,nzd0310-0041,nzd0310-0042,nzd0310-0043,nzd0310-0044,nzd0310-0045,nzd0310-0046,nzd0310-0047,nzd0310-0048,nzd0310-0049,nzd0310-0050,nzd0310-0051,nzd0310-0052,nzd0310-0053,nzd0310-0054,nzd0310-0055,nzd0310-0056,nzd0310-0057,nzd0310-0058,nzd0310-0059,nzd0310-0060,nzd0310-0061,nzd0310-0062,nzd0310-0063,nzd0310-0064,nzd0310-0065,nzd0310-0066,nzd0310-0067,nzd0310-0068,nzd0310-0069,nzd0310-0070,nzd0310-0071,nzd0310-0072,nzd0310-0073,nzd0310-0074,nzd0310-0075,nzd0310-0076,nzd0310-0077,nzd0310-0078,nzd0310-0079,nzd0310-0080,nzd0310-0081,nzd0310-0082,nzd0310-0083,nzd0310-0084,nzd0310-0085,nzd0310-0086,nzd0310-0087,nzd0310-0088,nzd0310-0089,nzd0310-0090,nzd0310-0091,nzd0310-0092,nzd0310-0093,nzd0310-0094,nzd0310-0095,nzd0310-0096,nzd0310-0097,nzd0310-0098,nzd0310-0099,nzd0310-0100,nzd0310-0101,nzd0310-0102,nzd0310-0103,nzd0310-0104,nzd0310-0105,nzd0310-0106,nzd0310-0107,nzd0310-0108,nzd0310-0109,nzd0310-0110,nzd0310-0111,nzd0310-0112,nzd0310-0113,nzd0310-0114,nzd0310-0115,nzd0310-0116,nzd0310-0117,nzd0310-0118,nzd0310-0119,nzd0310-0120,nzd0310-0121,nzd0310-0122,nzd0310-0123,nzd0310-0124,nzd0310-0125,nzd0310-0126,nzd0310-0127,nzd0310-0128,nzd0310-0129,nzd0310-0130,nzd0310-0131,nzd0310-0132,nzd0310-0133,nzd0310-0134,nzd0310-0135,nzd0310-0136,nzd0310-0137,nzd0310-0138,nzd0310-0139,nzd0310-0140,nzd0310-0141,nzd0310-0142,nzd0310-0143,nzd0310-0144,nzd0310-0145,nzd0310-0146,nzd0310-0147,nzd0310-0148,nzd0310-0149,nzd0310-0150,nzd0310-0151,nzd0310-0152,nzd0310-0153,nzd0310-0154,nzd0310-0155,nzd0310-0156,nzd0310-0157,nzd0310-0158,nzd0310-0159,nzd0310-0160,nzd0310-0161,nzd0310-0162,nzd0310-0163,nzd0310-0164,nzd0310-0165,nzd0310-0166,nzd0310-0167,nzd0310-0168,nzd0310-0169,nzd0310-0170,nzd0310-0171,nzd0310-0172,nzd0310-0173,nzd0310-0174,nzd0310-0175,nzd0310-0176,nzd0310-0177,nzd0310-0178,nzd0310-0179,nzd0310-0180,nzd0310-0181,nzd0310-0182,nzd0310-0183,nzd0310-0184,nzd0310-0185,nzd0310-0186,nzd0310-0187,nzd0310-0188,nzd0310-0189,nzd0310-0190,satname
1999-08-21 21:47:20+00:00,328.90,327.71,331.85,329.74,322.50,314.25,304.46,304.08,316.33,321.96,320.82,313.88,316.96,309.66,307.73,320.66,331.38,335.12,331.81,332.05,336.71,342.30,343.48,345.65,355.48,367.46,368.86,355.06,356.84,358.43,354.53,343.80,335.11,329.08,322.24,313.95,314.93,311.74,316.08,319.46,322.35,321.12,,,,,,,,,,,,,377.25,384.15,,410.26,415.44,426.47,435.31,445.07,456.84,462.85,459.05,458.90,454.18,449.16,444.08,428.05,424.84,420.79,409.52,405.87,409.45,407.99,405.40,396.06,381.17,374.25,374.94,377.22,386.49,383.70,378.96,353.04,341.70,337.07,,,,296.23,314.73,337.86,344.57,355.76,360.15,368.73,375.50,379.15,377.90,377.84,383.67,389.87,389.73,393.46,396.98,404.69,411.48,414.65,422.13,431.57,437.43,445.51,458.86,461.04,465.18,473.15,466.27,461.29,452.05,433.33,412.53,401.75,389.46,381.18,369.42,360.66,350.75,350.71,350.73,354.47,354.98,353.25,353.76,352.03,359.33,358.65,367.78,369.65,377.18,380.48,387.82,388.20,394.60,,,,,,,388.78,381.40,368.62,368.85,356.89,359.87,351.96,,,,,,,339.17,341.63,342.01,349.17,353.53,356.22,364.19,367.57,375.08,380.06,380.64,387.04,396.03,,,,,,,,,,,,,,328.01,L7
1999-09-22 21:47:24+00:00,335.78,335.49,328.70,317.79,303.65,325.44,333.56,329.13,329.70,323.48,316.86,305.39,304.15,308.36,316.04,325.38,325.94,324.17,333.86,333.60,343.42,347.49,342.12,340.07,350.93,360.19,363.31,359.04,357.45,351.38,351.86,351.95,341.30,332.10,326.56,322.65,319.88,314.26,315.09,317.54,314.73,312.10,320.23,325.55,324.10,328.98,331.98,,,,354.08,,,,374.81,387.19,,412.48,420.52,428.42,450.09,451.61,466.78,466.83,459.48,444.54,448.46,447.45,434.59,416.76,415.38,417.76,413.52,405.74,399.44,406.47,402.78,400.77,391.02,372.87,359.31,360.15,368.33,370.51,371.08,349.71,341.27,331.88,,,,317.36,328.43,347.27,355.96,367.57,358.97,365.84,372.62,380.74,384.81,398.70,399.48,398.62,402.24,402.82,405.56,407.06,412.76,418.39,433.01,443.16,452.70,460.96,464.12,477.99,489.02,502.52,495.28,486.75,464.61,440.38,416.86,403.06,400.25,397.10,388.63,369.58,363.11,360.15,367.30,361.46,359.44,363.57,368.10,369.89,370.06,371.56,373.68,376.65,385.23,396.75,396.93,401.40,399.12,403.88,406.77,415.57,411.54,405.88,402.16,392.51,380.13,377.80,372.75,371.10,365.32,357.38,353.20,348.31,347.26,342.60,336.26,335.63,336.09,353.55,362.00,362.22,361.28,360.37,358.97,364.89,364.43,363.92,368.97,385.48,399.03,417.88,412.13,402.86,382.55,377.17,357.65,339.29,336.29,353.77,355.74,367.32,365.27,356.22,338.19,L7
1999-09-29 21:53:40+00:00,333.18,330.73,321.87,320.78,315.79,311.18,316.80,315.51,315.13,316.11,312.99,309.52,298.51,296.11,305.70,304.39,311.19,310.38,,314.88,326.15,327.65,336.72,338.74,348.67,357.06,362.68,356.38,357.44,354.24,347.83,338.57,336.82,332.75,321.98,316.69,311.14,313.22,311.32,309.81,307.83,315.97,320.95,324.69,323.64,331.38,329.44,334.91,340.73,345.68,350.21,355.19,359.77,365.41,369.60,381.24,392.51,403.08,416.67,431.25,443.17,455.72,461.08,472.35,460.29,460.82,447.90,448.06,438.90,440.63,426.82,415.08,406.91,406.16,407.26,406.41,410.24,404.98,397.31,392.63,372.07,370.11,369.68,370.25,358.00,349.09,342.53,333.76,293.90,162.57,,,316.22,341.02,352.43,363.64,366.38,363.80,367.32,374.23,381.03,388.36,391.40,392.21,390.52,391.89,395.73,399.25,404.36,414.42,422.05,426.43,430.51,437.03,435.50,449.83,467.91,474.32,480.44,460.47,453.33,433.27,417.41,418.52,408.59,389.31,372.70,359.14,356.79,364.03,359.86,363.61,364.40,365.01,364.82,369.78,368.41,372.96,372.09,376.65,382.65,384.99,383.86,387.98,389.14,399.85,402.77,409.57,409.11,403.31,390.79,380.14,379.08,374.36,370.64,367.25,368.18,362.48,358.49,349.05,346.72,343.97,349.95,344.75,350.63,357.79,357.37,359.62,361.79,362.77,371.43,371.50,372.66,373.81,393.00,391.59,402.20,414.51,409.83,400.35,397.42,368.45,372.83,374.79,364.32,359.82,352.61,337.07,325.95,335.24,329.30,L7
1999-10-24 21:47:20+00:00,327.03,322.69,320.73,321.48,330.05,330.96,321.88,313.41,307.56,313.09,320.51,308.46,309.67,313.41,307.32,312.62,316.10,322.32,326.72,327.44,323.87,330.53,338.29,345.10,348.91,357.17,367.02,354.93,356.76,360.97,341.05,345.38,338.85,337.14,333.43,319.63,320.03,314.39,318.51,314.77,310.66,316.63,314.25,315.85,328.24,325.10,332.97,339.78,343.52,342.45,357.57,360.71,363.86,366.48,375.25,392.00,396.62,406.16,425.07,427.82,437.39,442.65,467.08,471.13,459.17,446.90,445.37,439.01,425.46,418.87,419.28,414.24,409.91,401.43,405.42,403.27,393.24,388.55,379.22,366.71,361.75,357.35,365.39,355.53,349.12,367.85,378.81,,290.32,197.97,407.14,,,375.92,366.77,359.68,370.83,383.85,380.81,392.07,396.12,411.74,409.17,401.18,398.35,403.17,407.02,412.38,412.11,421.05,432.91,439.21,460.15,463.41,474.82,490.55,490.27,497.28,484.72,482.48,456.23,445.45,431.27,415.80,401.85,394.62,388.98,379.33,367.10,368.09,368.95,359.40,363.50,371.35,361.73,373.16,368.12,382.16,385.89,383.92,393.88,395.52,399.09,403.01,407.51,404.16,415.70,420.04,411.32,403.79,396.31,390.06,380.87,383.77,383.34,374.78,367.61,356.85,362.67,361.23,348.13,347.68,347.45,354.37,354.09,351.82,370.67,369.80,379.11,374.65,360.24,358.69,359.01,367.26,366.81,378.73,404.31,418.56,398.36,387.98,378.29,377.40,363.96,355.15,355.21,359.09,359.98,359.49,354.12,336.25,329.31,L7
1999-11-25 21:47:14+00:00,319.36,309.09,307.38,306.71,302.51,297.65,296.49,293.20,290.21,299.64,297.02,298.82,,,289.93,285.63,293.65,301.56,291.86,305.50,307.84,308.39,324.35,332.88,333.25,347.36,347.13,336.67,335.36,331.63,324.60,312.93,316.00,313.69,306.76,299.75,300.57,298.33,295.95,293.44,290.63,297.25,302.54,306.28,,,,315.48,318.96,324.74,327.77,,,,,,,,,,,,,,,,,,,,,,,385.52,,,,,,,,,,,315.49,314.53,315.16,286.94,,,,,282.01,,,326.28,338.63,332.49,335.09,,,,343.19,,,,,,,,,,,,,,,,,,,,383.45,,,,,,,,,,,,,,,,,,,,,,,,,358.73,364.72,354.86,351.48,,,,,,,319.25,316.13,307.04,313.82,317.69,318.01,316.43,319.80,322.10,327.08,332.49,335.42,331.66,340.50,338.78,346.37,351.52,370.89,389.61,396.93,416.01,409.40,387.49,382.77,364.79,366.78,360.00,353.77,345.87,337.31,330.50,321.97,329.74,322.21,L7
2000-01-19 21:53:25+00:00,339.26,345.74,310.12,300.72,296.24,301.73,309.74,307.10,310.37,282.88,280.47,275.80,287.62,294.13,278.64,303.12,300.20,301.08,298.25,298.93,300.40,321.14,316.27,302.46,321.45,337.65,340.33,338.66,337.70,338.93,322.94,310.17,314.01,311.81,314.84,306.68,297.02,291.42,308.81,309.35,309.97,294.00,288.86,302.74,307.48,313.48,325.29,324.44,324.81,325.34,324.86,328.55,336.23,350.92,371.08,379.58,388.20,391.57,398.12,405.57,410.08,420.32,425.54,430.38,432.84,420.89,426.01,403.23,400.38,385.33,389.11,383.24,381.05,374.55,364.72,359.68,349.87,346.87,347.24,345.03,351.02,343.40,353.91,371.41,344.96,348.16,322.68,270.49,,,392.33,,386.07,384.88,393.05,362.99,364.26,367.81,370.39,382.85,376.31,372.95,374.17,372.50,398.46,418.79,399.55,388.15,389.04,412.66,420.90,420.39,428.59,446.92,454.02,462.93,467.14,485.11,475.34,460.80,428.30,421.14,419.72,411.66,386.04,367.24,365.40,353.35,344.11,335.76,336.79,334.03,340.97,345.33,342.65,341.88,347.00,346.10,345.25,354.45,367.90,372.16,374.32,375.90,379.58,383.33,389.85,396.47,383.28,376.05,388.25,386.64,387.40,386.78,378.74,358.56,339.48,330.94,327.98,331.91,329.66,335.28,316.13,315.65,319.05,318.10,324.93,335.79,336.57,346.72,351.37,348.22,346.77,342.63,350.63,370.84,386.39,398.58,379.31,386.14,365.01,354.76,338.28,340.16,337.73,330.04,323.09,323.11,317.96,304.84,306.20,L7
2000-02-20 21:53:17+00:00,363.41,352.22,338.33,326.58,318.79,323.91,328.86,329.13,322.60,307.17,308.18,309.99,313.34,316.15,319.66,324.02,325.50,329.41,328.89,334.88,335.44,328.53,337.32,348.87,353.47,365.61,368.81,360.26,351.73,349.43,348.79,350.70,348.75,338.27,331.33,328.62,322.07,321.06,321.99,318.70,318.10,328.10,329.68,333.86,333.14,337.01,344.52,344.58,339.02,340.00,340.53,351.81,369.16,386.48,393.63,397.74,405.32,413.65,417.53,421.89,429.98,437.50,445.98,451.48,445.21,441.41,435.63,430.81,427.65,422.37,414.39,408.61,398.22,387.23,381.88,383.64,384.00,378.91,373.72,367.59,355.86,364.29,374.90,377.53,371.64,322.73,285.48,252.06,,,,332.84,357.79,362.79,370.19,374.12,377.77,384.53,385.58,381.22,381.55,383.55,389.24,396.79,399.76,400.44,405.52,411.00,416.85,419.74,424.04,431.06,436.29,443.90,451.21,461.38,469.41,478.23,472.39,465.05,452.53,441.59,431.12,410.86,396.21,380.40,368.36,360.65,354.83,351.64,357.88,359.11,360.21,360.41,359.65,358.22,358.86,360.61,366.05,370.92,369.59,373.80,378.48,386.89,391.49,397.03,398.32,407.06,402.43,395.18,389.29,386.64,384.72,368.37,363.09,355.90,352.67,358.90,362.41,354.87,344.14,343.54,344.49,342.55,341.34,340.30,347.65,360.55,364.34,361.09,361.68,363.36,369.82,379.04,389.61,401.93,412.53,423.98,409.59,396.45,382.34,381.83,371.45,358.89,349.52,351.18,343.39,332.65,323.61,319.78,315.43,L7
2000-05-03 21:46:43+00:00,364.26,349.39,337.05,331.54,331.29,323.75,310.31,313.00,311.74,308.12,301.91,301.37,311.10,316.83,315.12,316.96,320.14,321.09,322.30,319.90,330.12,338.18,342.79,348.81,352.88,359.72,362.99,368.53,359.02,353.00,343.04,338.96,328.21,326.52,325.84,321.58,322.39,320.90,325.02,324.40,323.71,314.56,317.23,324.73,320.70,323.22,322.19,331.11,335.21,338.63,344.57,355.41,364.36,372.84,385.38,,,,,,,,,,,,,,,406.22,409.65,395.32,380.62,383.08,383.31,378.89,368.22,374.14,376.97,383.31,382.29,364.98,369.07,,,,,,,,,,358.31,365.06,369.28,367.55,368.33,372.06,376.63,380.39,,,,,,,,,,,,,,,,,,480.18,469.52,466.37,450.65,434.32,421.01,399.47,383.01,373.02,372.55,362.65,352.37,347.04,347.32,344.56,344.30,346.28,350.64,354.04,356.77,359.43,359.64,363.11,367.98,375.05,375.05,380.62,392.37,392.76,400.26,401.97,395.45,389.45,381.87,375.65,375.30,369.25,368.55,364.50,351.96,352.80,348.90,343.41,338.39,334.93,327.62,331.27,329.56,334.47,343.40,349.17,351.89,355.97,352.09,359.38,365.69,369.22,368.95,390.25,398.01,405.16,390.85,378.52,363.41,360.74,343.88,332.29,335.96,330.89,331.64,334.85,317.17,295.81,301.93,L7
2000-05-26 21:52:36+00:00,361.92,352.15,347.74,341.73,331.76,327.79,319.77,320.72,318.53,319.36,318.57,,,,,326.97,331.57,322.34,330.64,335.34,341.88,339.36,344.18,354.02,359.36,370.74,381.87,377.96,370.94,361.18,351.62,345.37,342.02,337.58,336.42,336.00,334.44,330.75,329.74,331.22,330.28,334.82,332.42,333.93,334.33,336.44,337.19,344.02,349.31,353.32,361.52,367.23,379.54,393.23,400.64,404.42,411.65,415.95,420.87,430.39,443.84,450.69,458.35,463.68,461.23,452.49,443.93,437.88,429.84,429.61,419.32,407.71,402.45,399.05,393.15,386.80,389.26,390.67,390.75,385.59,384.12,378.56,368.52,363.03,358.55,349.66,267.57,,,310.05,348.99,360.61,364.41,373.89,379.45,387.06,389.08,,,,,,,,,,,,,430.13,435.90,437.11,449.05,452.16,456.88,462.01,476.86,486.70,478.42,466.64,449.07,438.84,420.04,413.93,396.83,380.25,371.10,367.05,360.66,356.02,354.47,349.36,352.24,355.21,357.27,357.30,366.23,364.16,367.20,368.44,375.37,383.03,381.34,391.79,395.89,400.05,404.72,403.16,405.24,401.70,395.89,386.13,379.16,377.56,372.51,363.44,364.56,358.21,354.09,350.81,347.03,344.80,340.19,345.04,347.77,351.39,352.95,354.29,360.63,362.00,360.66,368.56,370.58,380.44,388.24,397.57,406.09,417.99,,388.67,382.00,362.72,356.45,348.59,338.56,336.68,335.00,328.06,310.82,307.78,310.52,L7
2000-07-13 21:52:07+00:00,334.49,324.77,322.25,314.40,312.60,306.78,304.82,298.37,288.44,279.86,273.42,,,,283.33,290.90,293.82,315.87,322.94,327.44,333.79,334.84,341.38,350.71,356.47,366.30,365.60,358.85,345.31,336.54,333.00,338.01,330.43,322.56,318.86,313.41,305.15,299.57,306.60,305.01,300.92,298.36,299.74,301.17,305.77,302.86,301.36,304.21,308.24,313.68,323.62,330.41,335.22,343.88,350.39,359.51,367.83,386.51,397.14,407.39,416.18,420.83,440.47,444.57,440.42,426.03,422.30,417.96,409.23,399.28,401.04,393.63,386.95,380.72,376.93,375.05,371.19,364.94,366.35,365.16,365.47,362.03,368.11,,,,,,,,,,,,,,,,,,,,,,,,389.91,391.34,399.11,407.73,413.21,423.15,428.70,439.42,447.43,452.37,457.58,467.98,455.75,443.76,424.28,404.01,395.88,370.16,361.01,350.16,348.59,340.55,326.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.35,,,,,,,318.22,317.64,325.61,330.98,330.50,338.72,339.73,341.70,347.21,350.06,357.26,372.82,378.79,396.49,379.88,377.24,365.83,362.32,348.73,337.22,325.31,318.87,309.45,304.95,302.48,285.40,289.79,L7
