dates,satname,nzd0310-0000,nzd0310-0001,nzd0310-0002,nzd0310-0003,nzd0310-0004,nzd0310-0005,nzd0310-0006,nzd0310-0007,nzd0310-0008,nzd0310-0009,nzd0310-0010,nzd0310-0011,nzd0310-0012,nzd0310-0013,nzd0310-0014,nzd0310-0015,nzd0310-0016,nzd0310-0017,nzd0310-0018,nzd0310-0019,nzd0310-0020,nzd0310-0021,nzd0310-0022,nzd0310-0023,nzd0310-0024,nzd0310-0025,nzd0310-0026,nzd0310-0027,nzd0310-0028,nzd0310-0029,nzd0310-0030,nzd0310-0031,nzd0310-0032,nzd0310-0033,nzd0310-0034,nzd0310-0035,nzd0310-0036,nzd0310-0037,nzd0310-0038,nzd0310-0039,nzd0310-0040,nzd0310-0041,nzd0310-0042,nzd0310-0043,nzd0310-0044,nzd0310-0045,nzd0310-0046,nzd0310-0047,nzd0310-0048,nzd0310-0049,nzd0310-0050,nzd0310-0051,nzd0310-0052,nzd0310-0053,nzd0310-0054,nzd0310-0055,nzd0310-0056,nzd0310-0057,nzd0310-0058,nzd0310-0059,nzd0310-0060,nzd0310-0061,nzd0310-0062,nzd0310-0063,nzd0310-0064,nzd0310-0065,nzd0310-0066,nzd0310-0067,nzd0310-0068,nzd0310-0069,nzd0310-0070,nzd0310-0071,nzd0310-0072,nzd0310-0073,nzd0310-0074,nzd0310-0075,nzd0310-0076,nzd0310-0077,nzd0310-0078,nzd0310-0079,nzd0310-0080,nzd0310-0081,nzd0310-0082,nzd0310-0083,nzd0310-0084,nzd0310-0085,nzd0310-0086,nzd0310-0087,nzd0310-0088,nzd0310-0089,nzd0310-0090,nzd0310-0091,nzd0310-0092,nzd0310-0093,nzd0310-0094,nzd0310-0095,nzd0310-0096,nzd0310-0097,nzd0310-0098,nzd0310-0099,nzd0310-0100,nzd0310-0101,nzd0310-0102,nzd0310-0103,nzd0310-0104,nzd0310-0105,nzd0310-0106,nzd0310-0107,nzd0310-0108,nzd0310-0109,nzd0310-0110,nzd0310-0111,nzd0310-0112,nzd0310-0113,nzd0310-0114,nzd0310-0115,nzd0310-0116,nzd0310-0117,nzd0310-0118,nzd0310-0119,nzd0310-0120,nzd0310-0121,nzd0310-0122,nzd0310-0123,nzd0310-0124,nzd0310-0125,nzd0310-0126,nzd0310-0127,nzd0310-0128,nzd0310-0129,nzd0310-0130,nzd0310-0131,nzd0310-0132,nzd0310-0133,nzd0310-0134,nzd0310-0135,nzd0310-0136,nzd0310-0137,nzd0310-0138,nzd0310-0139,nzd0310-0140,nzd0310-0141,nzd0310-0142,nzd0310-0143,nzd0310-0144,nzd0310-0145,nzd0310-0146,nzd0310-0147,nzd0310-0148,nzd0310-0149,nzd0310-0150,nzd0310-0151,nzd0310-0152,nzd0310-0153,nzd0310-0154,nzd0310-0155,nzd0310-0156,nzd0310-0157,nzd0310-0158,nzd0310-0159,nzd0310-0160,nzd0310-0161,nzd0310-0162,nzd0310-0163,nzd0310-0164,nzd0310-0165,nzd0310-0166,nzd0310-0167,nzd0310-0168,nzd0310-0169,nzd0310-0170,nzd0310-0171,nzd0310-0172,nzd0310-0173,nzd0310-0174,nzd0310-0175,nzd0310-0176,nzd0310-0177,nzd0310-0178,nzd0310-0179,nzd0310-0180,nzd0310-0181,nzd0310-0182,nzd0310-0183,nzd0310-0184,nzd0310-0185,nzd0310-0186,nzd0310-0187,nzd0310-0188,nzd0310-0189,nzd0310-0190
1999-08-21 21:47:20+00:00,L7,336.50,335.31,339.45,337.34,330.10,320.58,310.79,310.41,322.66,329.56,328.42,321.48,323.29,314.41,314.06,326.09,337.71,341.45,338.14,339.65,344.31,349.90,351.08,353.25,363.08,375.06,376.46,362.66,364.44,366.03,362.13,350.13,342.71,336.68,328.57,320.28,321.26,319.34,322.41,325.79,328.68,328.72,,,,,,,,,,,,,383.58,390.48,,416.59,421.77,434.07,442.91,452.67,463.17,470.45,465.38,466.50,460.51,456.76,451.68,437.55,432.44,427.12,415.85,412.20,415.78,414.32,413.00,403.66,388.77,381.85,381.27,384.82,392.82,390.03,384.39,358.47,347.13,343.40,325.12,278.57,144.86,302.56,321.06,344.19,350.90,362.09,366.48,374.16,380.93,383.90,382.65,383.27,389.10,395.30,395.16,398.89,402.41,410.12,416.91,420.08,426.88,435.37,440.88,448.43,460.32,462.85,468.98,476.32,471.02,464.74,457.48,438.76,417.28,409.35,397.06,387.51,373.64,364.88,356.18,357.04,356.16,360.80,361.31,359.58,360.09,358.36,365.66,364.98,373.21,375.08,382.61,385.23,392.04,392.42,399.35,,,,,,,394.21,386.83,374.05,374.28,362.32,366.20,358.29,,,,,,,346.77,349.23,348.34,355.50,359.86,362.55,371.79,375.17,382.68,387.66,390.14,394.64,403.63,,,,,,,,,,,,,,335.61
1999-09-22 21:47:24+00:00,L7,355.78,355.49,348.70,337.79,323.65,342.11,350.23,345.80,346.37,343.48,336.86,325.39,320.82,320.86,332.71,339.67,342.61,340.84,350.53,353.60,363.42,367.49,362.12,360.07,370.93,380.19,383.31,379.04,377.45,371.38,371.86,368.62,361.30,352.10,343.23,339.32,336.55,334.26,331.76,334.21,331.40,332.10,340.23,345.55,340.77,345.65,348.65,,,,370.75,,,,391.48,403.86,,429.15,437.19,448.42,470.09,471.61,483.45,486.83,476.15,464.54,465.13,467.45,454.59,441.76,435.38,434.43,430.19,422.41,416.11,423.14,422.78,420.77,411.02,392.87,375.98,380.15,385.00,387.18,385.37,364.00,355.56,348.55,388.30,237.07,251.69,334.03,345.10,363.94,372.63,384.24,375.64,380.13,386.91,393.24,397.31,412.99,413.77,412.91,416.53,417.11,419.85,421.35,427.05,432.68,445.51,453.16,461.79,468.65,467.97,482.75,499.02,510.85,507.78,495.84,478.90,454.67,429.36,423.06,420.25,413.77,399.74,380.69,377.40,376.82,381.59,378.13,376.11,380.24,384.77,386.56,386.73,388.23,387.97,390.94,399.52,409.25,408.04,412.51,411.62,418.17,421.06,429.86,428.21,422.55,418.83,406.80,394.42,392.09,387.04,385.39,381.99,374.05,369.87,364.98,363.93,359.27,356.26,355.63,356.09,373.55,378.67,378.89,377.95,377.04,378.97,384.89,384.43,383.92,393.97,405.48,419.03,437.88,437.13,422.86,407.55,397.17,382.65,364.29,361.29,378.77,375.74,383.99,379.56,376.22,358.19
1999-09-29 21:53:40+00:00,L7,303.18,300.73,291.87,290.78,285.79,286.18,291.80,290.51,290.13,286.11,282.99,279.52,273.51,277.36,280.70,282.96,286.19,285.38,256.73,284.88,296.15,297.65,306.72,308.74,318.67,327.06,332.68,326.38,327.44,324.24,317.83,313.57,306.82,302.75,296.98,291.69,286.14,283.22,286.32,284.81,282.83,285.97,290.95,294.69,298.64,306.38,304.44,309.91,315.73,320.68,325.21,330.19,334.77,340.41,344.60,356.24,367.51,378.08,391.67,401.25,413.17,425.72,436.08,442.35,435.29,430.82,422.90,418.06,408.90,403.13,396.82,390.08,381.91,381.16,382.26,381.41,380.24,374.98,367.31,362.63,347.07,340.11,344.68,345.25,336.57,327.66,321.10,308.76,268.90,137.57,,241.10,291.22,316.02,327.43,338.64,341.38,342.37,345.89,355.48,362.28,366.93,369.97,370.78,369.09,370.46,374.30,377.82,382.93,392.99,403.30,411.43,416.87,425.49,429.73,442.69,452.91,461.82,461.69,446.83,431.90,411.84,398.66,388.52,378.59,364.31,356.03,342.47,335.36,339.03,338.43,338.61,339.40,340.01,339.82,344.78,343.41,347.96,350.66,355.22,361.22,366.24,367.19,371.31,370.39,378.42,381.34,388.14,384.11,378.31,365.79,358.71,357.65,352.93,349.21,345.82,343.18,337.48,333.49,324.05,321.72,318.97,319.95,314.75,320.63,327.79,332.37,334.62,336.79,337.77,341.43,341.50,342.66,343.81,355.50,361.59,372.20,384.51,372.33,370.35,359.92,338.45,335.33,337.29,326.82,322.32,322.61,312.07,304.52,305.24,299.30
1999-10-24 21:47:20+00:00,L7,349.43,345.09,343.13,343.88,352.45,349.63,340.55,332.08,326.23,335.49,342.91,330.86,328.34,327.41,325.99,328.62,334.77,340.99,345.39,349.84,346.27,352.93,360.69,367.50,371.31,379.57,389.42,377.33,379.16,383.37,363.45,364.05,361.25,359.54,352.10,338.30,338.70,336.79,337.18,333.44,329.33,339.03,336.65,338.25,346.91,343.77,351.64,358.45,362.19,361.12,376.24,379.38,382.53,385.15,393.92,410.67,415.29,424.83,443.74,450.22,459.79,465.05,485.75,493.53,477.84,469.30,464.04,461.41,447.86,446.87,441.68,432.91,428.58,420.10,424.09,421.94,415.64,410.95,401.62,389.11,380.42,379.75,384.06,374.20,365.12,383.85,394.81,412.22,308.99,216.64,425.81,422.64,392.71,394.59,385.44,378.35,389.50,399.85,396.81,406.07,410.12,427.74,425.17,417.18,414.35,419.17,423.02,428.38,428.11,437.05,446.91,450.41,470.33,472.03,479.13,495.88,501.47,506.61,498.72,492.66,472.23,461.45,445.27,438.20,424.25,413.29,401.42,391.77,383.10,386.76,384.95,378.07,382.17,390.02,380.40,391.83,386.79,400.83,401.89,399.92,409.88,409.52,411.53,415.45,421.51,420.16,431.70,436.04,429.99,422.46,414.98,406.06,396.87,399.77,399.34,390.78,386.28,375.52,381.34,379.90,366.80,366.35,369.85,376.77,376.49,374.22,389.34,388.47,397.78,393.32,382.64,381.09,381.41,389.66,394.81,401.13,426.71,440.96,426.36,410.38,406.29,399.80,391.96,383.15,383.21,387.09,382.38,378.16,370.12,358.65,351.71
1999-11-25 21:47:14+00:00,L7,303.76,293.49,291.78,291.11,286.91,284.65,283.49,280.20,277.21,284.04,281.42,283.22,,,276.93,274.49,280.65,288.56,278.86,289.90,292.24,292.79,308.75,317.28,317.65,331.76,331.53,321.07,319.76,316.03,309.00,299.93,300.40,298.09,293.76,286.75,287.57,282.73,282.95,280.44,277.63,281.65,286.94,290.68,,,,302.48,305.96,311.74,314.77,,,,,,,,,,,,99.76,109.92,,,,,,,,,,372.52,,,,,,,,,,,304.35,303.39,304.02,273.94,128.80,,,220.04,269.01,294.02,302.42,313.28,325.63,321.35,323.95,330.67,322.48,318.41,332.05,,,,,,,,,,,,,,,,,,,324.46,373.70,,,,,,,,,,,,,,,,,268.32,304.54,258.49,318.36,,321.50,323.12,319.94,347.59,351.72,341.86,338.48,331.48,322.79,329.91,316.14,307.38,280.44,306.25,303.13,294.04,300.82,304.69,302.41,300.83,304.20,306.50,314.08,319.49,322.42,318.66,324.90,323.18,330.77,335.92,351.39,374.01,381.33,400.41,389.90,371.89,363.27,349.19,347.28,340.50,334.27,326.37,321.71,317.50,310.83,314.14,306.61
2000-01-19 21:53:25+00:00,L7,369.66,376.14,340.52,331.12,326.64,327.06,335.07,332.43,335.70,313.28,310.87,306.20,312.95,313.13,303.97,324.83,325.53,326.41,323.58,329.33,330.80,351.54,346.67,332.86,351.85,368.05,370.73,369.06,368.10,369.33,353.34,335.50,344.41,342.21,340.17,332.01,322.35,321.82,334.14,334.68,335.30,324.40,319.26,333.14,332.81,338.81,350.62,349.77,350.14,350.67,350.19,353.88,361.56,376.25,396.41,404.91,413.53,416.90,423.45,435.97,440.48,450.72,450.87,460.78,458.17,451.29,451.34,433.63,430.78,423.33,419.51,408.57,406.38,399.88,390.05,385.01,380.27,377.27,377.64,375.43,376.35,373.80,379.24,396.74,366.67,369.87,344.39,295.82,400.83,421.38,417.66,422.15,411.40,410.21,418.38,388.32,389.59,389.52,392.10,401.85,395.31,394.66,395.88,394.21,420.17,440.50,421.26,409.86,410.75,434.37,439.90,435.59,442.41,458.61,459.87,470.17,482.34,497.78,494.34,474.62,450.01,442.85,438.72,442.06,416.44,392.57,382.29,370.24,365.82,361.09,358.50,359.36,366.30,370.66,367.98,367.21,372.33,371.43,366.96,376.16,389.61,391.16,391.21,392.79,398.58,405.04,411.56,418.18,408.61,401.38,413.58,408.35,409.11,408.49,400.45,380.27,364.81,356.27,353.31,357.24,354.99,360.61,346.53,346.05,349.45,348.50,350.26,361.12,361.90,372.05,381.77,378.62,377.17,373.03,388.63,401.24,416.79,428.98,417.31,416.54,403.01,385.16,376.28,378.16,375.73,368.04,353.49,348.44,339.67,335.24,336.60
2000-02-20 21:53:17+00:00,L7,365.41,354.22,340.33,328.58,320.79,325.58,330.53,330.80,324.27,309.17,310.18,311.99,315.01,317.40,321.33,325.45,327.17,331.08,330.56,336.88,337.44,330.53,339.32,350.87,355.47,367.61,370.81,362.26,353.73,351.43,350.79,352.37,350.75,340.27,333.00,330.29,323.74,323.06,323.66,320.37,319.77,330.10,331.68,335.86,334.81,338.68,346.19,346.25,340.69,341.67,342.20,353.48,370.83,388.15,395.30,399.41,406.99,415.32,419.20,423.89,431.98,439.50,447.65,453.48,446.88,443.41,437.30,432.81,429.65,424.87,416.39,410.28,399.89,388.90,383.55,385.31,386.00,380.91,375.72,369.59,357.53,366.29,376.57,379.20,373.07,324.16,286.91,253.73,163.20,,272.71,334.51,359.46,364.46,371.86,375.79,379.44,385.96,387.01,382.47,382.80,384.98,390.67,398.22,401.19,401.87,406.95,412.43,418.28,421.17,425.29,432.06,437.20,444.67,451.59,461.86,470.41,479.06,473.64,465.96,453.96,443.02,432.37,412.86,398.21,382.07,369.47,361.76,356.26,353.31,359.31,360.78,361.88,362.08,361.32,359.89,360.53,362.28,367.48,372.35,371.02,375.05,379.59,388.00,392.74,398.46,399.75,408.49,404.10,396.85,390.96,388.07,386.15,369.80,364.52,357.33,354.34,360.57,364.08,356.54,345.81,345.21,346.49,344.55,343.34,342.30,349.32,362.22,366.01,362.76,363.68,365.36,371.82,381.04,392.11,403.93,414.53,425.98,412.09,398.45,384.84,383.83,373.95,361.39,352.02,353.68,345.39,334.32,325.04,321.78,317.43
2000-05-03 21:46:43+00:00,L7,386.26,371.39,359.05,353.54,353.29,342.08,328.64,331.33,330.07,330.12,323.91,323.37,329.43,330.58,333.45,332.67,338.47,339.42,340.63,341.90,352.12,360.18,364.79,370.81,374.88,381.72,384.99,390.53,381.02,375.00,365.04,357.29,350.21,348.52,344.17,339.91,340.72,342.90,343.35,342.73,342.04,336.56,339.23,346.73,339.03,341.55,340.52,349.44,353.54,356.96,362.90,373.74,382.69,391.17,403.71,,,,,,,,,,,,,,,433.72,431.65,413.65,398.95,401.41,401.64,397.22,390.22,396.14,398.97,405.31,400.62,386.98,387.40,,,,,,,,,,376.64,383.39,387.61,385.88,386.66,387.77,392.34,394.14,,,,,,,,,,,,,,,,,,489.35,483.27,476.37,466.36,450.03,434.76,421.47,405.01,391.35,384.77,374.87,368.08,365.37,363.03,362.89,362.63,364.61,368.97,372.37,375.10,377.76,375.35,378.82,383.69,388.80,387.27,392.84,406.12,408.47,415.97,417.68,413.78,407.78,400.20,391.36,391.01,384.96,384.26,380.21,370.29,371.13,367.23,361.74,356.72,353.26,349.62,353.27,351.56,356.47,361.73,367.50,370.22,374.30,374.09,381.38,387.69,391.22,396.45,412.25,420.01,427.16,418.35,400.52,390.91,382.74,371.38,359.79,363.46,358.39,353.64,353.18,332.88,317.81,323.93
2000-05-26 21:52:36+00:00,L7,355.92,346.15,341.74,335.73,325.76,322.79,314.77,315.72,313.53,313.36,312.57,,,,,322.68,326.57,317.34,325.64,329.34,335.88,333.36,338.18,348.02,353.36,364.74,375.87,371.96,364.94,355.18,345.62,340.37,336.02,331.58,331.42,331.00,329.44,324.75,324.74,326.22,325.28,328.82,326.42,327.93,329.33,331.44,332.19,339.02,344.31,348.32,356.52,362.23,374.54,388.23,395.64,399.42,406.65,410.95,415.87,424.39,437.84,444.69,453.35,457.68,456.23,446.49,438.93,431.88,423.84,422.11,413.32,402.71,397.45,394.05,388.15,381.80,383.26,384.67,384.75,379.59,379.12,372.56,363.52,358.03,354.26,345.37,263.28,119.96,,305.05,343.99,355.61,359.41,368.89,374.45,382.06,384.08,,,,,,,,,,,,,425.84,432.15,434.11,446.32,449.85,455.73,460.58,473.86,484.20,474.67,463.91,444.78,434.55,416.29,407.93,390.83,375.25,367.77,363.72,356.37,351.02,350.18,344.36,347.24,350.21,352.27,352.30,361.23,359.16,362.91,364.15,371.08,379.28,378.01,388.46,392.14,395.76,400.43,398.87,400.24,396.70,390.89,381.84,374.87,373.27,368.22,359.15,359.56,353.21,349.09,345.81,342.03,339.80,334.19,339.04,341.77,345.39,347.95,349.29,355.63,357.00,354.66,362.56,364.58,374.44,380.74,391.57,400.09,411.99,,382.67,374.50,356.72,348.95,341.09,331.06,329.18,329.00,323.06,306.53,301.78,304.52
2000-07-13 21:52:07+00:00,L7,356.89,347.17,344.65,336.80,335.00,325.45,323.49,317.04,307.11,302.26,295.82,,,,302.00,306.90,312.49,334.54,341.61,349.84,356.19,357.24,363.78,373.11,378.87,388.70,388.00,381.25,367.71,358.94,355.40,356.68,352.83,344.96,337.53,332.08,323.82,321.97,325.27,323.68,319.59,320.76,322.14,323.57,324.44,321.53,320.03,322.88,326.91,332.35,342.29,349.08,353.89,362.55,369.06,378.18,386.50,405.18,415.81,429.79,438.58,443.23,459.14,466.97,459.09,448.43,440.97,440.36,431.63,427.28,423.44,412.30,405.62,399.39,395.60,393.72,393.59,387.34,388.75,387.56,384.14,384.43,386.78,,,,,,,,,,,,,,,,,,,,,,,,405.91,407.34,415.11,423.73,427.21,434.35,438.88,448.04,451.74,457.70,468.78,477.31,469.75,453.94,440.28,420.01,409.88,392.56,383.41,368.83,361.03,352.99,342.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.02,,,,,,,340.62,340.04,344.28,349.65,349.17,357.39,362.13,364.10,369.61,372.46,385.26,395.22,401.19,418.89,407.88,399.64,393.83,384.72,376.73,365.22,353.31,346.87,331.85,323.62,318.48,307.80,312.19
