dates,satname,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
1999-08-17 22:12:26+00:00,L7,,,,,,,428.74,437.39,,409.15,,,390.37,386.55,384.96,387.00,384.35,378.87,367.53,366.06,367.89,373.76,388.20,392.68,398.72,404.90,386.81,381.84,393.80,398.55,413.38,,,,,,,,,
1999-08-26 22:06:20+00:00,L7,385.34,397.02,393.46,384.81,378.28,372.60,372.29,371.49,367.15,360.37,363.31,358.96,356.83,355.35,348.55,347.08,343.57,339.32,339.48,335.72,336.38,334.97,334.62,336.45,346.10,350.88,353.66,350.97,352.54,347.85,349.53,353.84,351.45,351.21,343.53,335.61,324.79,314.68,301.84,284.63
1999-10-13 22:06:24+00:00,L7,432.55,433.28,425.06,412.14,406.57,401.97,405.00,403.47,392.96,387.50,394.71,398.21,383.23,379.42,370.28,372.92,372.84,372.36,361.90,360.61,357.67,356.40,358.05,363.80,367.25,367.64,378.31,376.19,374.17,368.79,361.95,367.07,373.82,376.57,380.55,385.53,384.79,354.35,302.45,285.54
1999-11-21 22:12:24+00:00,L7,367.39,383.50,392.02,383.12,379.35,369.65,366.50,364.59,359.26,356.80,354.56,349.61,347.80,338.26,338.51,340.35,335.89,333.97,336.68,335.29,335.34,333.08,326.57,330.15,335.91,336.02,336.94,339.40,344.45,348.03,350.39,346.39,346.50,342.31,338.27,328.07,310.47,271.76,254.52,261.57
2000-01-17 22:06:11+00:00,L7,,,,,,,,400.03,390.91,385.65,390.99,393.01,385.53,373.85,366.06,365.89,360.14,362.96,368.78,382.68,367.76,360.67,358.25,370.00,371.92,366.89,368.69,366.80,362.12,365.36,379.68,381.21,377.82,373.40,369.09,371.58,365.02,,,
2000-02-09 22:12:19+00:00,L7,411.87,458.54,447.68,450.09,445.89,429.32,430.33,430.08,414.35,404.66,403.38,409.22,411.67,401.20,393.95,385.70,377.74,379.24,382.74,388.75,394.81,403.44,403.28,400.31,389.10,386.41,387.88,385.19,385.66,388.46,399.31,403.97,411.25,398.16,399.20,413.05,,,,445.32
2000-03-12 22:12:09+00:00,L7,456.48,448.18,463.98,473.14,487.98,482.24,451.01,440.87,432.13,428.57,425.54,453.62,454.73,447.81,426.77,414.08,409.18,408.51,402.57,401.56,404.54,415.32,424.46,433.54,419.46,411.15,405.54,405.95,410.59,393.81,398.23,406.75,408.51,409.79,421.04,425.09,441.80,388.47,343.82,332.86
2000-03-21 22:06:01+00:00,L7,377.03,388.45,388.81,388.81,385.85,388.48,379.93,378.76,369.97,368.04,363.71,357.31,357.79,357.58,354.24,349.73,347.55,347.16,344.75,344.74,346.14,340.22,344.97,352.32,351.88,348.90,347.93,346.68,346.71,342.82,343.24,347.49,351.03,349.31,339.21,332.23,316.25,300.86,281.51,269.23
2000-04-13 22:11:54+00:00,L7,426.06,438.63,429.93,414.47,419.46,424.96,423.18,426.27,421.92,411.59,400.63,392.59,393.78,401.52,411.42,403.09,388.90,386.63,377.14,369.98,368.00,368.95,371.01,373.63,378.14,387.11,389.20,385.63,377.56,375.89,376.21,378.23,378.55,378.75,377.36,376.37,366.36,358.64,341.80,322.90
2000-05-24 22:05:22+00:00,L7,,,,,,,415.67,408.16,415.99,414.16,428.63,432.90,436.03,431.83,432.06,410.23,408.15,387.76,381.41,393.76,402.99,406.71,394.50,389.59,391.16,389.00,388.86,391.48,394.04,391.54,396.62,386.71,396.68,391.33,385.95,398.60,402.07,408.94,433.00,
