dates,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039,satname
1999-08-17 22:12:26+00:00,,,,,,,406.99,415.64,,384.29,,,371.04,364.80,365.63,367.67,362.60,357.12,345.78,344.31,346.14,354.43,366.45,370.93,376.97,383.15,361.95,356.98,372.05,376.80,391.63,,,,,,,,,,L7
1999-08-26 22:06:20+00:00,442.14,444.35,434.03,425.38,413.78,408.10,407.39,411.31,407.72,392.62,398.81,390.52,379.72,377.83,372.87,373.15,370.84,365.97,360.38,357.76,359.01,360.48,368.28,371.44,379.29,384.76,378.09,374.26,380.05,380.08,388.33,389.34,383.01,382.77,375.09,376.18,365.36,362.01,,,L7
1999-10-13 22:06:24+00:00,434.75,436.65,427.69,416.90,408.55,403.41,405.51,407.62,398.49,389.67,395.13,392.92,379.92,377.27,371.04,372.11,370.42,367.02,359.80,357.63,357.48,358.16,363.79,367.81,374.19,377.97,376.93,373.67,377.00,375.23,378.45,376.58,376.97,378.23,376.38,379.00,373.22,356.01,297.25,,L7
1999-11-21 22:12:24+00:00,431.36,434.82,429.42,419.26,410.73,404.07,404.69,405.80,399.03,391.67,393.53,389.08,379.84,376.46,370.86,372.12,370.73,367.69,362.96,360.98,360.88,359.83,363.42,367.33,373.56,376.42,377.14,375.31,377.80,377.37,380.38,378.43,377.41,376.85,374.27,375.64,365.92,343.82,304.49,,L7
2000-01-17 22:06:11+00:00,431.36,434.82,429.42,419.26,410.73,404.07,404.69,406.54,399.72,392.64,395.27,392.17,382.66,377.84,371.58,372.56,370.51,368.65,366.02,367.22,364.16,361.69,364.29,369.77,375.13,376.42,377.63,375.78,376.57,376.87,382.14,381.50,379.62,378.09,375.08,377.34,368.41,343.82,304.49,,L7
2000-02-09 22:12:19+00:00,423.19,438.00,431.63,424.61,417.46,408.32,408.17,409.09,400.76,393.07,395.24,394.11,386.28,380.36,374.09,373.53,370.34,369.04,367.44,369.44,367.89,367.43,369.41,373.48,376.08,376.71,377.76,375.78,376.71,377.42,383.62,384.35,384.48,380.64,378.44,382.60,368.41,343.82,304.49,,L7
2000-03-12 22:12:09+00:00,416.27,430.21,431.62,429.05,429.45,420.30,412.71,409.31,399.64,394.35,395.34,402.07,397.93,389.61,380.45,377.12,372.66,372.91,372.03,375.28,373.52,375.12,375.62,381.06,378.23,375.12,377.19,376.42,376.90,374.39,379.41,382.58,384.91,381.38,382.96,386.38,380.02,340.97,303.60,280.36,L7
2000-03-21 22:06:01+00:00,415.78,427.99,428.31,426.26,425.33,418.53,410.75,408.05,399.07,394.35,393.90,398.02,394.64,388.10,379.49,375.96,372.31,372.45,371.32,374.02,372.79,372.71,374.35,380.10,377.67,374.58,376.69,375.85,375.70,372.96,377.22,380.56,382.67,379.44,379.08,381.74,372.53,338.61,307.27,297.80,L7
2000-04-13 22:11:54+00:00,415.69,430.06,430.14,427.58,428.66,423.88,415.14,412.47,404.62,399.08,395.51,397.63,396.96,392.41,386.90,381.55,375.61,375.45,374.48,376.21,375.14,375.35,377.13,382.37,380.11,378.45,379.22,378.13,376.89,374.77,380.22,383.05,384.02,380.36,379.10,380.92,369.70,340.94,318.61,306.50,L7
2000-05-24 22:05:22+00:00,413.46,429.78,429.46,428.49,432.05,428.50,414.47,410.99,404.07,398.64,399.11,403.74,403.88,399.26,394.71,385.41,378.90,375.67,373.19,377.20,377.66,379.85,379.70,383.52,380.57,378.54,377.88,376.81,376.40,373.27,379.17,381.02,384.60,380.75,379.27,382.68,376.02,357.73,320.91,306.50,L7
2000-05-31 22:11:30+00:00,413.46,427.73,427.21,425.92,426.16,423.20,413.47,410.22,405.39,399.50,398.14,401.63,401.29,397.67,393.23,385.71,379.60,376.15,373.87,377.05,377.53,377.84,378.36,381.74,379.62,378.17,378.71,378.06,376.95,373.14,378.30,381.49,386.43,380.75,379.27,382.68,376.02,357.73,320.91,306.50,L7
2000-08-03 22:10:43+00:00,413.46,427.73,427.21,425.92,426.16,423.20,413.36,409.92,405.09,401.23,400.19,402.98,400.58,397.07,392.37,385.12,380.75,379.58,377.64,376.68,379.75,384.60,380.84,381.81,379.49,382.21,376.49,383.22,377.84,370.26,373.09,377.80,384.56,378.42,376.28,384.59,376.05,358.51,320.91,306.50,L7
2000-08-19 22:10:38+00:00,418.39,422.78,421.07,417.74,418.12,420.52,411.44,407.06,403.60,401.05,400.36,402.04,398.12,394.01,389.64,383.76,380.93,380.29,378.12,375.60,377.55,381.92,378.39,380.14,379.22,380.95,374.22,381.06,375.83,367.74,369.48,372.55,378.83,374.95,372.91,379.41,371.93,353.81,320.91,306.50,L7
2000-09-13 22:04:02+00:00,416.84,421.80,413.78,407.97,401.70,405.22,405.07,401.84,401.18,398.54,397.05,392.75,388.63,386.01,383.28,379.29,377.48,377.16,376.73,373.85,374.71,376.72,372.20,373.32,374.56,377.53,372.40,378.59,371.34,367.08,367.80,369.19,374.62,369.72,366.12,370.71,351.49,344.37,321.77,321.25,L7
2000-09-20 22:10:03+00:00,408.45,416.39,407.11,399.82,394.37,398.20,402.09,398.08,397.36,394.21,394.19,392.51,388.01,383.52,382.41,379.47,376.18,376.91,375.61,370.53,371.52,376.63,370.03,370.84,372.23,374.70,369.72,376.18,369.34,365.95,366.18,366.26,371.49,365.68,365.30,373.14,353.73,346.94,323.50,333.09,L7
