dates,nzd0067-0000,nzd0067-0001,nzd0067-0002,nzd0067-0003,nzd0067-0004,nzd0067-0005,nzd0067-0006,nzd0067-0007,nzd0067-0008,nzd0067-0009,nzd0067-0010,nzd0067-0011,nzd0067-0012,nzd0067-0013,nzd0067-0014,nzd0067-0015,nzd0067-0016,nzd0067-0017,nzd0067-0018,nzd0067-0019,nzd0067-0020,nzd0067-0021,nzd0067-0022,nzd0067-0023,nzd0067-0024,nzd0067-0025,nzd0067-0026,nzd0067-0027,nzd0067-0028,nzd0067-0029,nzd0067-0030,nzd0067-0031,satname
1999-10-04 22:10:38+00:00,,,,,421.97,417.99,419.32,419.61,411.30,406.53,,412.15,411.77,,,408.56,379.35,392.24,,,384.63,,,372.49,374.53,389.13,392.98,391.18,371.17,357.65,343.89,346.37,L7
2000-03-28 22:10:31+00:00,397.15,423.78,435.18,433.53,423.30,418.90,417.78,418.72,413.77,406.53,,396.68,408.54,377.30,,408.56,367.38,392.24,,,384.63,,,372.49,374.53,389.13,392.98,391.18,371.17,357.65,343.89,346.37,L7
2000-04-29 22:09:53+00:00,402.48,423.15,430.80,432.52,422.90,419.27,417.23,418.54,421.39,420.23,414.37,393.29,399.39,387.35,396.29,397.50,366.36,391.33,385.90,382.76,384.31,386.47,380.86,388.65,390.39,393.14,391.69,384.99,371.08,368.87,358.45,368.03,L7
2000-06-16 22:09:50+00:00,402.48,423.15,430.80,432.52,422.90,419.27,417.23,435.43,430.65,420.23,414.37,393.29,399.39,387.35,396.29,397.50,366.36,391.33,385.90,382.76,384.31,386.47,380.86,388.65,390.39,393.14,391.69,384.99,371.08,368.87,358.45,368.03,L7
2000-08-03 22:08:44+00:00,400.04,419.36,428.23,432.06,427.23,424.38,424.37,435.63,429.70,419.43,411.21,394.99,399.91,393.36,405.79,406.97,381.73,396.18,389.37,387.77,389.87,392.14,388.46,394.61,393.00,392.74,388.05,386.68,378.25,374.60,363.11,363.69,L7
2000-08-19 22:08:38+00:00,400.41,416.81,426.87,432.29,427.13,424.60,422.51,430.32,422.60,413.33,409.34,395.37,397.64,393.88,399.63,399.07,380.77,383.35,382.18,383.20,382.41,384.60,381.62,387.41,388.30,389.38,386.35,383.60,374.73,367.64,358.00,353.72,L7
2000-09-04 22:08:22+00:00,396.94,414.82,425.78,431.81,427.99,425.50,421.64,427.47,421.89,414.34,413.72,395.37,401.02,400.80,404.31,398.79,381.45,386.73,386.33,386.35,385.68,387.88,383.45,385.73,381.95,381.62,381.69,381.65,374.65,367.48,349.96,346.82,L7
2000-11-07 22:07:53+00:00,392.99,409.48,422.66,430.82,430.26,428.84,424.99,430.33,421.77,411.11,410.68,396.56,398.19,403.65,401.40,395.21,383.79,383.34,385.11,385.99,386.24,388.13,383.70,384.49,380.05,379.65,381.19,382.82,376.96,365.51,348.35,340.36,L7
2001-05-18 22:07:50+00:00,413.54,425.82,429.40,435.95,434.76,430.15,423.38,417.14,414.37,408.53,396.07,389.08,387.94,402.45,407.72,410.97,401.74,401.78,409.95,400.05,404.90,414.10,407.19,,,,,,,,,,L7
2001-06-03 22:07:16+00:00,411.38,421.62,429.40,431.51,434.76,423.74,415.47,409.33,404.70,400.15,392.67,386.44,387.56,396.24,394.63,395.65,394.81,385.67,391.45,388.97,392.32,398.27,392.18,378.53,380.15,387.25,387.04,380.43,368.66,354.20,351.49,325.23,L7
2001-08-06 22:06:37+00:00,415.94,426.28,429.40,435.83,434.76,423.74,415.47,409.33,404.61,404.21,400.74,397.28,395.25,398.29,394.89,390.44,395.09,385.67,382.61,387.37,390.45,393.81,390.04,384.64,387.06,390.13,386.53,380.09,368.96,357.36,348.44,339.33,L7
2001-11-26 22:06:33+00:00,417.14,426.51,,435.77,,417.32,407.56,401.53,399.73,413.16,412.96,410.57,411.75,396.21,388.48,380.17,407.25,392.03,368.93,381.02,383.22,383.67,381.47,384.64,387.06,390.13,386.53,380.09,368.96,357.36,348.44,339.33,L7
2001-12-12 22:06:14+00:00,413.36,421.05,403.37,424.46,411.64,412.38,415.62,419.21,407.39,419.28,419.14,416.80,416.12,401.81,398.12,386.70,411.19,414.51,364.20,378.00,380.57,381.26,379.49,383.79,387.08,384.29,380.85,376.30,365.52,357.50,347.44,348.44,L7
2002-02-14 22:06:29+00:00,411.35,413.45,412.01,413.66,417.49,415.98,419.55,422.41,416.11,423.01,421.54,416.46,421.01,412.94,414.74,404.76,423.22,400.40,379.76,381.48,381.06,382.86,380.28,382.38,387.50,383.03,381.76,379.85,369.97,360.07,356.68,351.08,L7
2002-03-18 22:06:22+00:00,410.14,415.14,416.10,419.57,421.04,419.47,420.93,421.07,418.71,423.27,422.82,416.94,419.90,412.86,416.60,405.25,420.62,395.27,382.05,380.59,381.22,382.09,379.06,381.13,387.44,384.02,383.16,382.03,372.29,358.58,358.31,352.09,L7
2002-05-21 22:06:17+00:00,409.76,415.68,416.10,419.81,421.04,416.67,417.44,418.85,417.67,419.64,420.04,416.01,417.14,409.26,412.51,400.79,411.25,388.14,384.06,382.52,382.70,383.89,378.25,379.97,385.20,383.65,384.92,383.75,375.36,358.30,353.05,346.30,L7
2002-07-08 22:06:24+00:00,414.95,421.71,422.46,424.00,425.74,414.10,412.20,413.15,410.99,409.89,410.75,405.95,406.46,404.57,406.83,403.25,401.89,379.35,390.92,378.06,377.66,385.98,379.93,381.01,386.87,386.34,388.00,387.39,379.88,359.57,354.24,347.25,L7
2002-08-25 22:06:00+00:00,412.92,422.14,424.27,424.02,428.15,412.28,408.44,403.94,402.04,398.60,397.46,395.41,394.17,391.27,389.70,381.80,385.95,375.88,388.36,364.17,359.84,384.92,376.21,377.55,382.90,384.27,388.08,387.65,380.75,356.52,349.42,341.52,L7
2002-10-12 22:05:14+00:00,415.53,423.96,,421.56,,405.18,400.83,399.13,394.74,390.11,387.73,387.75,381.16,384.33,383.70,375.85,376.10,368.25,386.53,362.72,357.43,381.14,375.36,374.74,373.03,375.21,379.84,375.66,368.23,351.99,340.12,328.96,L7
2002-10-28 22:05:22+00:00,415.53,423.96,,421.56,,406.33,396.71,399.13,398.07,394.40,391.25,391.04,384.32,386.87,386.21,378.79,377.48,372.54,383.52,364.61,361.11,380.22,376.55,375.24,372.45,375.15,377.25,369.29,361.73,349.98,345.76,342.54,L7
2002-11-13 22:05:30+00:00,415.53,423.96,413.70,420.97,417.81,408.67,399.66,398.29,396.36,394.65,391.61,390.40,386.51,388.67,388.65,380.92,377.81,372.54,381.35,364.92,363.31,379.32,374.67,373.99,371.97,373.53,373.67,364.85,357.99,346.68,344.53,340.49,L7
2003-01-16 22:06:02+00:00,427.73,431.29,425.12,425.12,422.72,416.69,408.47,402.60,400.52,401.92,399.22,397.99,391.19,394.22,393.70,388.90,375.96,389.25,384.23,368.17,365.85,379.15,379.04,379.49,374.60,372.44,369.69,359.62,352.77,347.99,353.24,353.50,L7
2003-05-08 22:06:20+00:00,427.73,421.63,425.12,423.61,422.72,418.52,415.36,400.43,403.97,404.79,407.00,403.43,404.38,403.81,402.81,400.72,374.91,395.24,384.69,380.67,383.92,384.52,382.11,384.13,379.92,376.06,371.95,365.21,360.02,353.27,353.87,353.83,L7
2003-05-24 22:06:17+00:00,427.73,421.63,441.21,435.51,433.11,421.08,415.22,406.03,419.05,412.98,416.74,415.60,412.32,411.74,408.81,411.06,380.78,401.10,397.97,398.50,397.69,395.16,395.26,395.64,390.28,385.90,376.48,372.05,380.46,373.30,369.13,368.05,L7
2003-08-28 22:05:57+00:00,,411.98,445.87,436.64,438.59,418.74,408.62,397.43,405.19,403.73,406.20,405.39,407.38,405.17,401.63,399.96,378.83,393.21,396.17,400.94,401.14,398.45,389.28,388.77,391.05,388.38,380.17,376.11,388.84,375.67,367.66,368.08,L7
2003-11-16 22:06:11+00:00,407.65,,445.87,454.88,438.59,426.50,416.23,411.51,404.91,406.93,407.98,407.78,407.95,404.86,398.20,402.60,378.25,398.72,394.92,419.92,415.66,408.56,391.90,388.29,390.58,385.98,372.97,348.66,377.19,371.72,368.69,358.83,L7
2004-04-08 22:06:49+00:00,407.65,,,432.40,,427.19,420.21,414.19,407.39,405.88,405.84,403.98,399.78,398.31,386.53,389.06,366.91,380.83,375.16,,,371.07,362.78,368.98,370.90,370.75,365.07,359.50,354.02,350.68,347.50,334.03,L7
2004-04-16 21:57:19+00:00,407.65,,,432.40,,427.19,420.21,414.19,407.39,405.88,405.84,403.98,399.78,398.31,386.53,389.06,366.91,380.83,371.75,383.66,390.83,375.17,369.30,369.26,369.27,370.75,365.07,359.50,354.02,350.68,347.50,329.03,L5
2004-05-18 21:58:14+00:00,434.21,438.29,438.48,435.10,438.34,429.56,425.68,426.44,419.02,418.46,416.10,412.51,414.37,412.61,406.35,404.11,388.76,393.93,387.50,394.06,394.95,380.11,375.69,369.42,369.65,373.11,370.98,372.29,364.54,357.10,355.43,335.22,L5
2004-05-26 22:06:45+00:00,434.21,438.29,438.48,442.76,438.34,434.03,429.68,428.82,424.82,424.38,423.84,422.66,424.31,422.99,421.71,415.95,397.68,393.93,387.50,394.06,394.95,385.45,379.87,369.42,369.65,373.11,370.98,372.29,364.54,357.10,355.43,335.22,L7
2004-06-11 22:06:38+00:00,447.69,453.83,458.96,452.40,438.34,442.81,439.35,438.76,424.82,424.38,423.84,422.66,424.31,422.99,421.71,415.95,410.42,393.93,387.50,394.06,394.95,385.45,379.87,369.42,369.65,373.11,370.98,372.29,364.54,357.10,355.43,335.22,L7
2004-07-21 22:00:04+00:00,439.99,445.65,452.49,448.61,435.82,441.04,437.48,438.76,424.82,424.38,423.84,422.66,424.31,422.99,421.71,415.95,410.42,393.93,387.50,394.06,394.95,385.45,379.87,369.42,369.65,373.11,371.68,369.46,361.46,355.99,355.43,335.22,L5
2004-07-29 22:06:51+00:00,429.73,437.73,452.49,442.67,435.82,441.04,437.48,438.76,416.55,415.63,414.52,413.62,416.44,422.99,421.71,415.95,400.61,393.93,379.98,385.20,383.02,379.67,375.44,369.42,369.65,373.11,371.68,369.46,361.46,355.99,355.43,335.22,L7
2004-08-06 22:00:22+00:00,427.51,437.28,448.60,441.30,434.39,438.41,434.73,433.78,416.12,413.92,414.63,415.51,418.19,422.04,424.23,414.24,399.45,400.90,379.98,385.20,383.02,379.67,375.44,369.42,369.65,373.11,371.68,369.46,361.46,355.99,355.43,335.22,L5
2004-08-30 22:06:20+00:00,429.45,437.59,446.32,440.10,433.73,437.22,434.30,433.78,416.12,413.92,414.63,417.58,420.28,423.37,422.07,417.29,402.63,405.83,381.89,386.78,385.02,379.70,375.18,367.92,367.84,373.11,371.68,369.46,361.46,355.99,355.43,335.22,L7
2004-11-02 22:06:28+00:00,429.45,435.58,442.90,439.07,431.85,436.84,434.58,433.59,417.66,415.96,417.17,420.56,423.95,427.84,427.76,423.79,408.87,415.43,386.40,390.16,386.62,384.46,380.98,380.08,376.28,379.37,372.98,366.65,358.89,353.51,357.30,348.62,L7
