dates,nzd0483-0000,nzd0483-0001,nzd0483-0002,satname
1999-08-26 22:07:08+00:00,381.26,385.67,384.68,L7
1999-10-13 22:07:36+00:00,372.56,358.42,369.92,L7
1999-11-30 22:07:23+00:00,367.60,371.02,372.50,L7
1999-12-16 22:07:33+00:00,367.96,376.20,377.66,L7
2000-05-08 22:06:20+00:00,378.66,379.38,385.43,L7
2000-06-25 22:05:55+00:00,382.44,389.73,389.87,L7
2000-07-11 22:06:05+00:00,358.34,371.85,375.36,L7
2000-07-27 22:05:48+00:00,381.82,383.86,385.04,L7
2000-08-12 22:05:41+00:00,373.96,374.16,382.82,L7
2000-09-20 22:10:50+00:00,367.63,369.27,376.17,L7
2000-11-16 22:04:56+00:00,364.85,364.58,374.27,L7
2000-12-18 22:04:37+00:00,378.98,385.97,387.64,L7
2001-01-03 22:04:36+00:00,378.30,381.09,387.86,L7
2001-02-20 22:04:36+00:00,368.23,368.21,376.05,L7
2001-03-08 22:04:56+00:00,361.84,360.42,386.01,L7
2001-07-14 22:03:57+00:00,364.02,371.12,381.87,L7
2001-08-15 22:03:02+00:00,376.77,382.81,386.11,L7
2001-11-03 22:02:34+00:00,370.78,366.97,379.51,L7
2002-03-11 22:03:07+00:00,367.66,370.75,379.97,L7
2002-04-12 22:03:25+00:00,378.09,371.49,388.17,L7
2002-05-14 22:02:55+00:00,376.85,370.69,375.16,L7
2002-05-30 22:03:13+00:00,375.96,376.73,379.22,L7
2002-06-15 22:02:43+00:00,378.78,378.69,390.21,L7
2002-08-18 22:02:45+00:00,361.14,361.28,373.35,L7
2002-11-22 22:02:45+00:00,373.50,364.90,371.69,L7
2002-12-08 22:02:27+00:00,367.31,371.04,374.44,L7
2002-12-24 22:02:33+00:00,364.39,372.05,375.78,L7
2003-02-26 22:02:52+00:00,351.54,355.39,361.27,L7
2003-08-05 22:02:35+00:00,339.35,347.31,,L7
2003-08-13 21:51:08+00:00,373.64,384.11,,L5
2003-09-14 21:51:42+00:00,362.80,360.62,377.69,L5
2003-09-30 21:52:18+00:00,357.86,362.08,366.63,L5
2003-10-16 21:52:31+00:00,368.93,375.58,398.60,L5
2003-11-17 21:52:57+00:00,364.11,372.68,376.96,L5
2003-12-27 22:03:30+00:00,373.34,370.07,377.83,L7
2004-01-12 22:03:31+00:00,,,381.99,L7
2004-05-03 22:03:47+00:00,372.13,365.90,371.15,L7
2004-05-19 22:03:23+00:00,362.97,363.36,372.85,L7
2004-06-12 21:55:59+00:00,396.82,395.11,398.15,L5
2004-06-28 21:56:28+00:00,385.65,382.76,388.22,L5
2004-07-06 22:03:36+00:00,356.84,371.33,380.50,L7
2004-07-30 21:57:15+00:00,377.81,373.10,385.58,L5
2004-08-15 21:57:37+00:00,363.22,365.04,376.46,L5
2004-09-08 22:02:53+00:00,374.90,378.43,383.16,L7
2004-09-24 22:02:48+00:00,371.86,370.90,373.11,L7
2004-10-18 21:58:47+00:00,370.82,374.79,376.92,L5
2004-11-03 21:59:06+00:00,371.47,374.11,378.22,L5
2004-12-29 22:03:32+00:00,371.54,,,L7
2005-03-11 22:01:31+00:00,375.12,375.66,398.13,L5
2005-03-19 22:03:54+00:00,356.21,362.99,369.40,L7
2005-04-12 22:01:18+00:00,363.03,359.69,370.27,L5
2005-04-20 22:04:08+00:00,373.25,373.08,377.83,L7
2005-05-05 22:07:37+00:00,334.70,,356.51,L5
2005-05-14 22:01:30+00:00,344.65,354.75,371.43,L5
2005-06-07 22:04:06+00:00,383.79,376.19,389.65,L7
2005-06-23 22:03:37+00:00,378.19,370.59,416.89,L7
2005-08-26 22:03:51+00:00,371.52,369.95,375.04,L7
2005-09-19 22:02:44+00:00,360.04,359.05,378.88,L5
2005-09-27 22:03:16+00:00,373.53,374.65,377.90,L7
2005-10-05 22:02:17+00:00,360.00,363.89,374.22,L5
2005-11-06 22:02:22+00:00,374.73,370.21,380.37,L5
2005-11-14 22:04:05+00:00,361.57,359.20,368.40,L7
2006-02-26 22:05:22+00:00,363.20,366.77,380.93,L5
2006-03-22 22:04:18+00:00,372.74,377.64,379.86,L7
2006-05-17 22:06:45+00:00,374.99,379.88,380.68,L5
2006-07-04 22:07:05+00:00,364.26,373.19,375.68,L5
2006-07-28 22:03:54+00:00,380.21,373.89,384.99,L7
2006-08-05 22:07:31+00:00,383.88,382.35,394.97,L5
2006-08-21 22:08:07+00:00,397.01,381.06,382.64,L5
2006-08-29 22:03:50+00:00,,,379.47,L7
