,dates,per0138-0000,per0138-0001,per0138-0002,per0138-0003,per0138-0004,per0138-0005,per0138-0006,per0138-0007,per0138-0008,per0138-0009,per0138-0010,per0138-0011
0,1984-12-25 14:41:08+00:00,205.1463173524089,203.43232063571267,210.39885011191964,191.48703367073247,195.27765930687124,197.78137179621885,203.55250250177184,200.2318213212659,202.08112874449276,208.32955264998233,,207.30400711913012
1,1986-04-10 14:42:40+00:00,213.19098222029274,201.4855388986171,207.3010717534135,188.464439055731,194.97479409697806,193.75770972354158,209.1410701622272,201.6245103709437,206.25546131826542,212.6764263812635,,
2,1986-04-19 14:36:16+00:00,185.49769250467375,147.486644709197,,,173.16309794732882,,190.59193673735408,227.19800808703795,,231.2953207631205,,200.0266983401591
3,1986-05-05 14:35:53+00:00,200.810511289775,183.83416035003196,186.8783553116924,174.10261276323104,180.50141136265668,176.301722777393,177.4570041222526,182.22829593105462,174.27423493429424,,164.89770232891487,
4,1986-08-09 14:32:48+00:00,,,,,,,,,,,,
5,1986-08-25 14:32:12+00:00,,,,,,,,,,,,
6,1986-09-10 14:31:38+00:00,,,,,,,,,,,,
7,1986-09-26 14:31:09+00:00,,,,,,,,,,,,
8,1986-10-12 14:30:38+00:00,,,,,,,,,,,,
9,1986-12-15 14:29:44+00:00,,,,,,,,,,,,
10,1987-02-08 14:37:40+00:00,194.13343835693883,182.5865304129567,197.9035555424183,175.63346148100138,187.39086544359824,186.03967170190282,207.47595967076663,209.8824007255954,205.27213581769288,210.95576980750207,203.72290886527767,203.6099502025779
11,1987-03-05 14:32:27+00:00,192.4707469767441,186.56890245697488,204.2060965925588,189.8176211218328,201.30234246105016,192.13606337431924,197.35388120989705,198.1347450437051,199.1452846728132,198.73030905518792,201.97914742039634,213.14357681085787
12,1987-03-28 14:39:28+00:00,,,,,,,,,,,,
13,1987-04-06 14:33:36+00:00,,,,,,,,,,,,
14,1987-05-24 14:35:00+00:00,184.17720988014256,166.6288813070943,174.008554322356,175.22144199897943,177.9450624075455,173.41207855249533,179.42370668699473,181.81195162455543,170.9465516553835,175.07095460426177,174.01646606977337,171.68561853684295
15,1987-07-27 14:36:25+00:00,,,,,,,,,,,,
16,1988-01-03 14:39:48+00:00,197.6021721525507,192.0126135918897,203.39480651191673,185.6517239982116,184.29409130766197,189.78937584083673,204.41010500667304,207.47223486956335,204.6519305368765,213.9433541966059,207.48248275244012,207.70759956646478
17,1988-02-04 14:40:24+00:00,,,,,,179.22000072491267,206.2434031051774,,197.5648875652996,201.72622036920575,,
18,1988-03-23 14:40:56+00:00,183.94657474469852,176.82622856975402,191.76366429609035,174.88425989579116,183.38413206766023,169.55988668990858,183.5427290916087,179.1973734489492,181.85213141294912,188.34914244570783,181.62073559746435,175.7182594699503
19,1988-04-08 14:41:02+00:00,192.2359257936774,175.71386885233358,188.6284052082261,172.21428106101183,180.78174839695617,167.9480717165798,182.22944670822383,187.1932268913051,190.1633531451604,195.58976432511946,199.55826526658814,191.36136060075916
20,1988-05-10 14:41:17+00:00,,,,,,,,,,,,
21,1988-06-11 14:41:30+00:00,,,,,,,,,,,,
22,1988-09-15 14:41:41+00:00,,,,,,,,,,,,
23,1988-11-02 14:41:33+00:00,181.87980965178184,174.7080641887502,179.49778937488338,161.30361246463085,171.37065299431407,171.95708754986418,177.37530813948467,164.8664899495069,161.06713141094195,189.77245434738077,188.80885293628788,187.53183667162898
24,1989-03-01 14:46:53+00:00,174.92178966618175,165.08036786108897,164.26683036598465,126.78940895187714,,,174.13283878850928,,,,,161.36688597284618
25,1989-03-10 14:40:26+00:00,184.4031477595449,167.9741067187211,173.31546070853082,154.37467078097686,162.869694138163,,140.48274428313985,167.5176849909354,176.4533712164124,186.76168826155526,176.55457679982936,180.66266149800495
26,1989-04-27 14:39:44+00:00,,,,,,,,,,,,
27,1989-05-13 14:39:30+00:00,194.5149646885218,177.47562156286486,187.84764169141886,176.73494690911255,186.43648901786787,182.73852299641908,190.7148757549607,184.6942725558311,183.40517364706722,190.02400343418392,180.2547191614815,174.6641580462691
28,1989-06-14 14:38:51+00:00,,,,,,,,,,,,
29,1989-07-16 14:38:17+00:00,,,,,,,,,,,,
30,1989-10-04 14:36:35+00:00,190.41662476100495,200.1079510526454,183.5451485190167,169.84871496393723,177.52903694836718,174.22500182706722,170.91269163250786,163.3424099863757,,,,132.74659375039008
31,1990-01-24 14:33:08+00:00,202.89102073997753,,,,,,,,,,,
32,1990-02-09 14:32:37+00:00,213.11803233172336,198.63821080774605,201.6986606959557,177.29900383538055,176.6502543466991,175.7326035639199,191.53269756144064,200.4039435567588,199.5443758545655,204.46007418293092,204.64444071876267,206.9074040046749
33,1990-03-13 14:31:33+00:00,187.41112187874316,178.0064911865701,188.76798936426147,180.3051378939843,185.67324982791737,172.0261708049318,172.1029202869636,179.8022381299775,178.87755841913514,192.02317818507245,188.3163629940074,186.5838906000648
34,1990-03-29 14:31:02+00:00,197.30585602537997,181.99642154379998,196.14870852117224,185.47765448456403,195.3256050407471,184.4808787744014,195.66864839869356,195.55090231337374,195.4849154325479,200.95804178662513,203.00436231610897,201.42419389553663
35,1990-04-14 14:31:10+00:00,187.1939376008032,174.99411645230407,186.5476245868832,180.63502133194106,186.3291119898814,179.64935564706147,184.15254135743845,186.08960044101974,189.61041752431672,200.61517727636775,202.533198789599,193.75801260353856
36,1990-04-30 14:31:01+00:00,,,,,,,,,,,,
37,1990-05-16 14:31:13+00:00,,,,,,,,,,,,
38,1990-06-17 14:31:06+00:00,,,,,,,,,,,,
