,dates,jap0057-0000,jap0057-0001,jap0057-0002,jap0057-0003,jap0057-0004,jap0057-0005,jap0057-0006,jap0057-0007,jap0057-0008,jap0057-0009,jap0057-0010,jap0057-0011,jap0057-0012,jap0057-0013,jap0057-0014,jap0057-0015,jap0057-0016,jap0057-0017,jap0057-0018,jap0057-0019,jap0057-0020,jap0057-0021,jap0057-0022,jap0057-0023,jap0057-0024,jap0057-0025,jap0057-0026,jap0057-0027,jap0057-0028,jap0057-0029,jap0057-0030,jap0057-0031,jap0057-0032,jap0057-0033,jap0057-0034,jap0057-0035,jap0057-0036,jap0057-0037,jap0057-0038,jap0057-0039,jap0057-0040,jap0057-0041,jap0057-0042,jap0057-0043,jap0057-0044,jap0057-0045,jap0057-0046,jap0057-0047,jap0057-0048,jap0057-0049,jap0057-0050,jap0057-0051,jap0057-0052,jap0057-0053,jap0057-0054,jap0057-0055,jap0057-0056,jap0057-0057,jap0057-0058,jap0057-0059,jap0057-0060,jap0057-0061,jap0057-0062,jap0057-0063,jap0057-0064,jap0057-0065,jap0057-0066,jap0057-0067,jap0057-0068,jap0057-0069,jap0057-0070,jap0057-0071,jap0057-0072,jap0057-0073,jap0057-0074,jap0057-0075,jap0057-0076,jap0057-0077,jap0057-0078,jap0057-0079,jap0057-0080,jap0057-0081,jap0057-0082,jap0057-0083,jap0057-0084,jap0057-0085
0,1984-08-16 00:43:37+00:00,205.4490011256421,204.1032267592918,199.16643107234253,190.1604063654982,187.645707633403,182.06613756121294,183.37493627930823,181.48889456551422,179.17854966698576,176.12999854313227,168.6933682332902,162.44109481035747,159.1209318854818,150.969756645134,142.15216737513794,139.03420557113034,136.9916392384512,142.2871849862631,140.4295561964238,139.24754427347997,129.78781804860935,123.68321495543304,116.38362627325066,112.16849077133296,108.00410246759944,103.86416123071176,99.80478033548336,96.29795883726953,105.12620861721906,106.88683984756057,109.80305530982945,109.68305041992511,108.19890564106005,116.43872932687843,122.31553620351197,125.82333229194471,127.17701420918932,125.20477928033496,127.84573688638115,128.7214653328591,122.4518824050212,110.40126249741313,86.33354673193458,99.1678396382644,107.05354324491238,91.7775190968531,84.34163942783759,83.77533749554188,83.62320249360478,83.71637569431934,78.80876756751812,74.84507337226407,75.4098218107984,74.44936832246555,85.57389141799689,87.35372614333653,91.06657531046562,95.19473610100984,95.0643997338382,104.94490542968427,95.1487924144708,90.49846780301584,90.696738287174,82.66728469174241,83.74511758495537,84.79331216884007,84.49089153462157,85.82578137473044,73.40283592309953,67.72737043056485,64.2449276125412,48.863485447455005,39.15252840837773,37.143446725701274,44.810198906198984,42.82518619878932,37.256183713658004,39.25767473628012,38.53519102130806,38.81881727234809,22.005804211817573,18.047698170620688,,22.29273020040865,21.365043363971946,24.245596143853763
1,1985-01-07 00:44:07+00:00,232.84394353438424,227.40674228304735,224.6724260402134,217.4934484858658,207.6217127667154,200.2391525420457,204.79961539317708,203.58236800265405,199.38602384473685,200.79831335194595,194.6182500481011,191.3861768998029,181.29579295028495,171.46298536591522,167.7298848516171,164.0870576778201,170.05540159676573,170.22790257552722,164.29372886972692,158.63830464289384,156.91188454614948,151.52859294287742,139.15634199509987,131.30376172494266,123.77794632682,123.09160979294741,121.78817818369701,121.97329316910707,126.63279073207285,128.96209374749944,125.52327909721764,131.79917473400093,136.84830870170606,144.86486705673377,149.30269815410367,147.79769230884574,152.52981834936654,153.59265201570824,156.7369735372807,141.49486976446096,138.00001699496633,134.19483696597888,59.026005853104074,105.00048705841071,113.26173028751442,115.48334053055348,115.87445963780515,110.56247190831284,106.85157088131625,110.62683785410641,103.96573805816033,105.18115909288834,108.43371755226765,106.82701881054183,109.68084632764253,108.88444421147892,108.57659642915856,114.0195763891042,118.3882698989423,120.01937513448084,117.69383455995573,116.65821817617567,114.27104321010219,109.09487208310864,105.27575485108402,106.50396602889401,104.75124150159456,100.94598869667581,89.05138530231108,82.22672085074737,74.29352504098321,67.48029541738705,68.18798289553149,65.60701681392602,69.82374245476109,64.44433623020471,62.119285109075854,66.4238249438208,63.078418365173064,62.56656654380436,52.645561167677315,60.18960602199952,65.83363268415185,65.83254970330292,51.873058948747484,39.73075630780332
2,1985-03-12 00:44:15+00:00,207.7935062878918,202.03224628900526,198.0728603276576,191.431773225507,186.12094838612043,182.51775501794717,183.2670468495675,181.38188258155972,175.53350454986554,171.66606944523286,170.54883686103418,159.9716451152767,157.2431117055673,136.2476180885643,137.80904867387795,136.0829842967079,137.8216931858379,144.26152284122148,136.3665294868194,136.87364263421816,128.43258802606533,118.07772510317082,106.92314789010176,104.00572970611925,99.11372403885716,95.7818966965371,90.98238894229269,95.81018524112605,94.28406054206359,96.58698696034116,,,99.73357055922904,110.6825917564079,119.71328452533042,116.34052508322102,108.93168560900627,117.79234329061981,114.55103235412152,116.81867595783123,107.62023101633203,104.39735922362424,44.9033017856207,65.21098121193879,76.39396815438407,90.85523809367817,86.89562470907107,84.1830206997368,83.36430261703192,76.41851147729108,71.71554259167613,73.19516429642758,72.17256529681711,71.36978914290724,77.66701528062994,81.19297033451684,83.93906562986609,84.91603103861405,90.7356362841288,99.33802082079836,90.64706087494955,92.88582620456287,93.16169451896616,86.33999560889858,85.2686348870514,81.01670039583257,79.56174625842978,77.58371776919427,67.46611218336933,59.88158305430161,51.115350580790526,37.03586568212906,29.8707909726,32.374205683314365,37.43832296702199,41.6108461292546,39.14636815241818,41.74302864763291,41.277256067604895,47.87946638781467,37.07135530807933,39.807567849912694,40.020429862868966,40.711055344041036,23.35572743854887,1.7961215138314053
3,1985-05-31 00:44:21+00:00,209.07182891332522,210.7932932837367,206.91203719496406,198.9628346589323,193.43526877010785,189.30114586574564,189.78233158941444,186.44586122731948,182.73917243299942,182.5503301074533,175.89962455449208,168.8583786136118,168.27502432163507,157.8639254834399,149.9150094004594,151.6368611822984,147.72234482075925,147.95147987907302,147.99123853654032,142.22088573514577,129.86609933971027,126.10392721151484,116.6956353504403,113.83362283870677,112.70528896022589,108.46241716753637,102.32995534552393,98.36179553580068,109.6488753217147,117.02258423142293,117.06838810473484,119.36279737860298,118.07937191502087,120.11689820642057,124.50432094062086,126.94029528959052,131.05562143975862,128.92287376818047,129.72152917603145,122.09252136487126,117.73374274068009,115.26762720536499,107.50374705680389,93.79742738421375,91.8129648431272,94.54607424534042,91.76846350626002,100.78200424722304,98.54733505609589,93.50383826498388,88.52250721379178,84.39894974965654,86.75440997409936,81.43944230547913,91.72719224307392,95.59031330619122,93.81553519582225,100.16391835573597,102.66165283247486,107.17450575807172,102.53914008066025,100.28678116252094,96.09814163119769,95.15384195292856,89.93834197184728,84.10943927401257,86.01486048940444,91.95924428434303,83.02714614876662,73.93021650430033,65.59437148119223,54.63771841234954,48.96973011672152,49.1949999889113,46.451396577742116,50.47234635038478,46.19131889879777,45.44305102452945,51.2413112213702,55.87998226751185,41.746354330024566,35.81590790217167,40.21510478418386,37.0837287778373,37.02712493646805,32.98287913192313
4,1985-06-16 00:44:19+00:00,210.50587369664098,207.5033989630584,203.93955933477966,190.94774728091394,185.53225452399894,178.67478384031728,185.04444853358962,183.71560773086148,180.23183182270773,175.18548449522257,172.2837916275501,165.7913601151031,157.6542453928313,150.41983864197647,143.21630349128745,143.41023594737442,143.90597814954492,146.80041718280876,146.84033943740167,139.81220096136138,129.03958319014632,122.51639213122854,115.37964992274134,112.31487284192073,106.15062369075645,106.24325871789809,99.6735310219648,100.50155779427135,103.95281881575745,112.1308039367813,118.18315950824595,117.01259835075435,114.86802657882006,122.6776620852394,124.3115288090643,126.73357210002342,122.9595144678524,121.30943248346215,127.93409958808004,127.08628993415161,122.54804115251072,124.3227404438977,111.33208907423337,100.7418247512716,98.24983982050958,97.06495565686978,88.56402541302758,95.03263302583349,88.72926931452346,88.43963054909823,87.52716475723152,84.82889716417041,80.48730761691972,79.8062809642406,82.63198327369334,83.26554641552966,91.38308159046517,97.22697410060795,97.38160941798753,105.2837595459947,95.59806170736115,92.20156045854453,89.4349983490807,83.94189571014424,84.42344024267378,79.65857946169065,81.29972118250815,82.41167711788675,76.26810834918889,68.35112496760259,63.68915739400952,51.232267092325344,38.681834547251825,43.251200581663426,45.21251569759952,49.70513937228075,46.328065439046945,47.11623278216834,50.09374305098563,51.93697375925992,37.721975254209035,34.20906704874354,30.17017191285401,40.29988351373863,37.718798555740136,37.28569036711572
5,1985-08-19 00:43:51+00:00,210.31906541664085,206.75934663561446,204.59804040507797,194.4786783886414,189.85956498530348,184.48739711297492,184.84337528490963,178.0964073688404,176.59152655153028,176.53294786200152,171.2201080272848,164.58872703380194,157.34015997147839,153.5019673929254,147.4318701244512,147.02282706250895,145.18813833027397,146.72211579221604,142.621979640154,141.46951189117252,135.2153871320097,128.83097109287442,116.49141462300561,112.54700978441392,109.91390170835548,110.04511398689246,104.11870628051597,99.9080197361901,102.68288510074696,109.14828957582513,117.05756825534694,118.93513317171204,119.8049004348018,124.85692315946558,126.44676985886905,130.43588066852908,127.95419146957512,132.31134680327256,133.87301556516638,129.91392782248747,124.88538767828798,120.04901670998588,114.13879030859614,102.53514125710221,100.97386794035049,101.40107358862011,101.24455505811729,100.63505571938917,96.90642311840499,92.3787491048582,93.45434336262069,92.50228615357318,87.53038653116305,91.03616080855207,95.51822453288823,101.55018483826598,102.41707953660996,110.72743109668293,107.60700574634262,113.43211583651889,107.73714502138542,105.36736624342439,99.80693760631758,93.65007513463087,89.0006910398407,87.84328017544415,90.32682919405352,89.15492813203456,83.28879766394424,79.12710393671809,67.35545372972291,62.14432739242962,54.36962690958447,58.236707000228705,57.688513664531456,61.97837178799599,54.31149414840292,49.87468068093003,54.879372094542376,55.2760205836916,43.11369770289565,43.165067390581754,41.19312727511341,40.64274519447051,36.98618911923006,37.79752921231213
6,1986-03-15 00:40:19+00:00,200.56647799571027,192.83598194720804,193.2066851663858,185.80111215971147,180.58113748231074,173.17624705970346,169.597381509271,169.88743560054897,172.12318253383026,169.9896312069114,161.3970306143207,154.967098093267,148.22665058651248,136.47076056845842,130.04603795502737,,,131.8897824851803,134.38776190655446,128.01445866344113,117.76483417882393,111.40236400811928,101.36572272019086,104.15425656513045,105.74631853682592,97.28593076056744,92.55804019359842,87.4503741781694,87.36030872866091,90.0726861885386,100.69416577953044,107.932317116408,101.43711918993871,101.00550747992114,112.1627371017106,113.61482984167708,108.35034127843497,,,,,100.48383291645395,86.5942308737779,64.04653414162259,70.15486394591946,77.90214288485895,79.25045976016165,82.23424954743732,81.77596346875622,82.13693158745286,74.65013472979533,73.22413633904884,74.24142508415522,72.75158757656207,76.71783908375647,82.0176568460985,85.38917527470034,86.99606055696545,94.0685231979431,96.76865749587039,89.68309258865885,88.20156375673203,92.91879768027977,93.40036829843837,88.710521595159,81.00362609187735,73.9593144239094,73.30011786540781,66.0835563565146,61.075716839700426,52.04471901495371,42.11999307666997,34.70148061286974,36.10878647724577,40.50306702346103,42.308101182979506,39.781765618203146,41.37389324715685,44.64832713251736,50.655308010809556,39.506285624869975,43.13582066939171,36.466785805878956,37.22708384724231,23.149848928013412,-1.8232897365826024
7,1986-04-16 00:39:15+00:00,211.26543603339735,202.84284701999397,200.6120591689382,192.05975656361028,190.82563388119564,175.96483031835993,171.97370371647133,180.08443013841517,178.52270798513968,177.61371151545978,168.17352638484041,166.4926083103668,156.84354010366613,147.19249574913061,145.05719891935286,140.38510405335487,144.53770437203931,145.95069607949287,145.5181308705375,137.62662202639655,129.11615894734905,121.91812604335249,116.43419798180317,116.97361278480419,112.37058668733599,109.43524315239198,101.54822627354689,100.56398114239298,104.8437709211587,105.4858691716168,108.3757063719586,116.95565484491209,119.24291074124413,116.44054853322909,123.15751317462794,124.80539610177112,123.99887331056536,127.2840156522718,131.14509237660513,127.19588772771797,123.23244251324202,118.27407823768628,110.65254118844854,99.05861057286374,86.5415860021589,102.80081432854445,97.15200157321297,91.89907826099927,84.29289338760832,87.12218031757712,86.30772238471523,86.38525381402373,85.50884529348097,84.96750016885687,88.92508735065105,92.02384164153094,94.31501846756859,97.43549132042776,102.7541668722344,107.57516014261243,101.06404410165588,97.70191399932365,95.82300641572105,94.4129065062114,92.55231816259065,90.59221189269353,85.80334581779927,85.11783305653563,77.46880316522962,71.73249150242825,66.70273936618766,53.73757699997398,49.04432702767093,47.81852726015315,53.95097407830051,54.234929201538456,51.8320553247747,52.90690155902506,58.98032571634803,57.56841502793211,44.56917731672561,44.29055538141056,42.149822673620456,43.64900890329476,28.973280140249695,19.347316907794635
8,1986-09-23 00:34:09+00:00,204.20804626230446,199.1791431615118,195.9833599842874,185.84689825319157,175.55093245578135,174.41509000674387,172.43843919307707,177.33761182768035,174.32399505080136,168.5189802923059,164.47561450603112,154.50258437676825,150.38490234227297,141.63155455122748,140.80198976420218,136.05460326263088,136.94842795305692,134.89265497776012,134.4116964961121,132.14380746531603,126.30489598301507,117.76873608732801,107.98960578756012,103.78915314586663,95.8473102155158,93.60844965766906,90.31406067679168,91.77000726430182,98.54731521198204,101.96784440718311,106.14097756629187,111.14508731315473,113.65661734643137,116.68661171051542,120.40864793761835,119.66074884929742,114.79631958028328,119.77459778690731,125.90186051734723,123.49931091992131,115.24994299577722,106.9682227802004,107.64204447571319,91.79725781467029,92.30049533296435,83.07851116895918,85.19217107285434,86.04473311913462,81.08593618887957,71.18275612539136,70.94628087406434,72.76622116851138,73.88611455327298,75.78027421523257,81.58349049970877,86.4030250097907,86.87575951805366,92.27563832922256,98.25075450630358,103.85296595769329,96.85546074569498,96.0808412056504,93.47431011866011,84.1337814392235,81.77326653520885,78.98044834591568,76.00099622956245,77.91422197702111,72.5885273078583,67.90469040890716,67.22018331977006,56.49324971011738,47.260388771835665,43.44934915909856,48.77169672990681,48.852396130870275,46.9026107828453,47.07487698855151,42.385791549567536,42.169508513775526,32.544493865419255,31.08561814278839,27.880143514397357,29.888967432065122,25.034553194555833,26.8621751924965
9,1986-10-09 00:33:38+00:00,191.7598052183524,190.15816230188284,186.79785642425927,179.5926735660397,171.0309791178053,165.5524994822058,167.67159093670384,167.66410269625172,171.0087980726094,168.63054238873764,164.6558018636956,151.31179183648464,145.00718806396574,131.30570925450692,137.46935709489554,134.85692135375146,121.30382340931689,130.08671174408946,128.67612876561802,130.4471849849784,126.53987074260587,111.93579460320764,104.61954417102547,97.20088742087616,91.67796361366975,88.31111380463086,87.17587506767863,84.50499509283539,88.90185964720163,87.9277829657647,94.00849872371344,104.71436182645405,104.18970270800179,106.60473178213246,118.51636432274236,119.68105495375266,117.38662522770707,117.47119289406103,113.71341697871657,108.01221178877834,104.85107693656975,104.7178100641926,102.82876917572378,84.84486604104714,71.22818778012106,66.08244881685917,68.47083736208525,61.92624125762321,67.43507066762724,72.05393292513338,69.83989077058709,67.0916088423788,64.88901845138359,64.34390632890957,68.1043262335619,80.10394038260321,81.25631313409707,80.84528317634893,92.65758218090025,88.65383236888799,89.98081581599276,89.71309459169944,93.21255630314818,86.0164081572175,81.9178025276102,74.13305055234797,70.32460105197575,71.84340392991709,68.31998788910194,66.67844843918121,54.01448034657866,41.81667571073742,38.449715022351675,40.94366103338035,39.112802052562714,41.48802698771539,36.95930262714041,28.69622094053949,31.93620239720241,37.01121172213482,31.101800871598037,31.160292406662165,30.406744469744417,24.776613665620346,20.74460659232283,21.974724654775322
