,dates,chi0031-0000,chi0031-0001,chi0031-0002,chi0031-0003,chi0031-0004,chi0031-0005,chi0031-0006,chi0031-0007,chi0031-0008
0,1985-03-28 14:12:49+00:00,201.52930216960956,205.1591084110979,204.13616690643613,201.10957626327792,210.15242765115792,206.74480707005742,206.8851348995173,204.56989758013836,199.7105435347111
1,1985-08-03 14:12:13+00:00,212.27379186294607,220.913555944365,219.18112468406161,218.75598198604655,221.89440880605665,215.31334951195115,216.18565012054643,216.1533478637802,216.07079683245502
2,1986-07-21 14:04:59+00:00,212.66994999782037,224.9180730648544,221.77780927272755,215.24272792178203,224.82445910742857,221.74057048149967,221.98734029785297,219.4463105390615,219.24458943230925
3,1986-08-06 14:04:24+00:00,209.9252587577384,215.66661127739212,207.58897502388254,203.03669137939073,217.1585532189216,218.98569132474447,208.00573598428258,,
4,1986-10-09 14:02:13+00:00,203.9298034214277,212.85368813394203,204.8085244363187,209.29209072182914,213.21371474218537,203.7285815549111,208.9028220037224,206.70183150072523,204.38352661451484
5,1986-10-25 14:01:41+00:00,203.51034060673197,206.83329333971378,204.51644929883176,203.418200590184,207.90442710043286,211.40017368017558,215.20857138573407,217.15427117896436,209.62244061995224
6,1986-11-26 14:00:41+00:00,201.86395733659776,213.21866020202762,208.34004853182756,206.2682532368336,212.39912938149195,210.39233655710302,208.8306941078185,211.19371144822713,204.8019916941286
7,1986-12-28 14:01:38+00:00,195.02124254691026,203.97106171940626,200.66765408489138,199.9746485382344,203.3610440977557,203.4326015250682,200.972533505883,202.17157621445298,195.52886308860744
8,1987-01-29 14:02:34+00:00,200.33961311857192,212.68534681742855,210.6102506124429,208.25794073973773,217.3340651620787,213.0493870882646,212.43911509413027,215.3649530884886,209.22040661024232
9,1987-03-18 14:04:25+00:00,206.68371706729891,218.74111961591558,213.6417052003178,214.2152140706151,221.97693356139274,218.90891716073423,218.6832697589747,218.3735112938599,222.40410684879464
10,1987-11-29 14:10:45+00:00,199.97542896383538,208.44895547812285,199.11458760633138,207.8075923284335,210.08722402560892,202.76550492763363,202.66725641151532,207.36516889733488,202.2956503420592
11,1987-12-15 14:10:59+00:00,199.0593414114316,207.96909479881617,205.90544022230318,200.33818422673775,202.29994665753455,197.60804779744916,204.820817835752,203.55219283748218,204.35122422767193
12,1987-12-31 14:11:15+00:00,206.62006883095634,211.74066740264973,209.74300055377196,206.34548970897916,215.46421422816056,209.45643160941995,212.99646142979,204.98433638657826,207.65401888413615
13,1988-02-01 14:11:50+00:00,206.42856195682577,220.63630394285576,209.5706910684143,211.9130828135165,220.2934754600873,216.0563475769742,215.31504836869016,214.96723604425063,213.20015241403837
14,1988-02-17 14:12:05+00:00,206.16043894417902,214.2169335237437,209.02345762560884,214.23099198233328,220.02009738774456,214.8080237640391,215.9164056319019,205.87081431269152,211.19322017699415
15,1988-03-04 14:12:15+00:00,206.9220741217402,220.79332905666806,210.60266888617326,215.87736539430395,219.2321664732806,218.46255858651475,216.2214569147563,217.36563498075165,213.50237254921473
16,1988-06-08 14:12:58+00:00,205.17007646791134,217.08011389203338,210.02673518936527,212.63869989353404,213.11811518842708,210.46904844332562,207.55703591244563,212.5051388177831,204.07855671932973
17,1988-07-10 14:13:07+00:00,203.01177491188525,210.08577916740177,207.994087361154,208.26398660413565,215.38114525088818,213.3256879890247,209.73483114648144,208.74865274899514,205.89689426485268
18,1988-10-14 14:13:00+00:00,210.2219653098632,220.60942267342554,210.02526922645973,213.51304996434203,219.04424986171537,218.43745631816276,217.54764596541924,215.91692578399426,215.37623369065747
19,1988-12-17 14:12:47+00:00,207.65973354515765,217.01105247970224,211.10459203068365,210.31949567632262,220.72005953602954,213.46111687582135,215.88721946264928,214.28883032447357,211.2964720394409
