,dates,jap0110-0000,jap0110-0001,jap0110-0002,jap0110-0003,jap0110-0004,jap0110-0005,jap0110-0006,jap0110-0007,jap0110-0008,jap0110-0009
0,1984-07-31 00:43:53+00:00,,,,,,,,,,
1,1984-08-16 00:44:25+00:00,153.08276212633436,147.82616830465568,,194.28038443569847,196.07970617024716,196.21778603987795,194.54909310751682,189.6360628973202,195.65751042854407,185.44970051644654
2,1984-09-17 00:44:44+00:00,167.20669827418882,171.31258065286673,176.84667594681045,181.47987118975135,179.50551544374136,171.85173563568412,180.3618071691304,184.7966980900858,177.8112435299864,162.49867811325961
3,1985-06-16 00:44:43+00:00,167.09582017476305,181.85687295402877,186.80384838618224,190.50861195205624,202.23650506459285,200.46962120120054,200.50825315111956,196.01964351849796,189.1928073203357,179.12950266139586
4,1985-08-19 00:44:15+00:00,178.4366366110089,186.30865930351024,197.0849919687706,200.06653552842627,202.48206441787838,197.7002471122367,194.68412581003938,186.90146157625,183.4690904888039,178.59645910398842
5,1986-04-16 00:40:02+00:00,,,175.07364399582826,176.8617346609297,171.17963004090743,172.79964131608887,177.76669751153173,168.30700175221216,152.64812274624543,154.8199559271995
6,1986-09-23 00:34:56+00:00,152.26237516612974,166.898971374506,181.70074658184512,179.4834693757318,182.51984267932502,174.58396672853604,172.32010225682302,170.06999665711515,164.86607461531338,152.0158374584041
7,1986-11-10 00:33:17+00:00,,,,,,164.81642887658148,161.58198450748333,151.08553517606893,145.54420719659095,149.276237621856
8,1986-11-26 00:32:52+00:00,,,,,,,,,,
9,1987-04-03 00:37:09+00:00,160.6719894851393,163.36330522707163,164.940765315971,173.13364062509444,175.43019653946797,172.92251246907813,171.2532464482333,156.3116390715012,159.39404437451628,157.898826268613
10,1987-05-05 00:38:10+00:00,165.87414434311103,163.01382196671625,169.18091361429592,189.63371588536899,172.958700833381,172.68783383387995,171.13931486037916,178.31218330719034,160.19665696109513,163.62035192310816
11,1987-05-21 00:38:35+00:00,169.38105908188868,169.13647078617248,179.85627848964663,187.1408022519367,177.90610505832564,177.77728143658985,169.9494958375681,155.59421931889435,151.67575889332394,152.0264339851064
12,1987-06-06 00:38:59+00:00,110.63546253043111,105.20485023473411,136.73998263276997,141.76107059513043,125.20966946054781,130.42363896858558,152.36835326960733,134.51606381705022,129.41528414461257,117.30094450444946
13,1987-06-22 00:39:20+00:00,,,,,,,,,,
