dates,satname,nzd0011-0000,nzd0011-0001,nzd0011-0002,nzd0011-0003,nzd0011-0004,nzd0011-0005,nzd0011-0006,nzd0011-0007,nzd0011-0008,nzd0011-0009,nzd0011-0010,nzd0011-0011,nzd0011-0012,nzd0011-0013,nzd0011-0014,nzd0011-0015,nzd0011-0016,nzd0011-0017,nzd0011-0018,nzd0011-0019,nzd0011-0020,nzd0011-0021,nzd0011-0022,nzd0011-0023,nzd0011-0024,nzd0011-0025,nzd0011-0026,nzd0011-0027,nzd0011-0028,nzd0011-0029,nzd0011-0030,nzd0011-0031,nzd0011-0032,nzd0011-0033,nzd0011-0034,nzd0011-0035,nzd0011-0036,nzd0011-0037,nzd0011-0038,nzd0011-0039,nzd0011-0040,nzd0011-0041,nzd0011-0042,nzd0011-0043,nzd0011-0044,nzd0011-0045,nzd0011-0046,nzd0011-0047,nzd0011-0048,nzd0011-0049,nzd0011-0050,nzd0011-0051,nzd0011-0052,nzd0011-0053,nzd0011-0054,nzd0011-0055,nzd0011-0056,nzd0011-0057,nzd0011-0058,nzd0011-0059,nzd0011-0060,nzd0011-0061,nzd0011-0062,nzd0011-0063,nzd0011-0064,nzd0011-0065,nzd0011-0066,nzd0011-0067,nzd0011-0068,nzd0011-0069,nzd0011-0070,nzd0011-0071,nzd0011-0072,nzd0011-0073,nzd0011-0074,nzd0011-0075,nzd0011-0076,nzd0011-0077,nzd0011-0078,nzd0011-0079,nzd0011-0080,nzd0011-0081,nzd0011-0082,nzd0011-0083,nzd0011-0084,nzd0011-0085,nzd0011-0086,nzd0011-0087,nzd0011-0088,nzd0011-0089,nzd0011-0090,nzd0011-0091,nzd0011-0092,nzd0011-0093,nzd0011-0094,nzd0011-0095
2001-09-23 22:06:03+00:00,L7,433.82,432.92,438.25,430.33,441.45,441.34,445.98,447.77,448.56,443.58,442.95,437.88,432.98,422.34,394.23,437.33,434.39,429.97,430.89,420.42,423.28,419.07,402.81,412.36,404.13,412.73,408.31,411.34,422.09,413.39,412.64,419.15,425.63,413.57,409.98,412.27,399.97,,405.11,404.60,397.99,373.55,383.44,398.64,389.55,384.83,394.80,401.56,401.41,382.05,392.59,392.41,388.60,391.24,396.73,403.02,405.41,402.31,402.49,401.72,393.69,400.75,406.45,404.46,408.20,412.62,415.92,422.08,426.94,427.12,423.72,416.72,421.61,427.50,418.03,419.62,415.09,418.47,412.86,419.42,420.06,420.97,418.16,413.34,425.69,431.94,432.49,431.47,435.26,435.04,430.82,431.23,396.74,408.87,397.90,430.32
2001-12-12 22:06:14+00:00,L7,,,,,,400.38,401.20,402.67,408.85,405.30,401.48,400.00,405.99,392.86,379.59,404.29,402.17,399.86,,,,,367.74,366.32,354.39,,368.25,375.11,375.02,364.57,363.47,369.26,,,,,,,,,,,,,349.43,354.54,364.41,367.67,365.29,346.20,362.51,346.41,350.63,358.87,357.52,356.59,360.85,355.07,361.47,365.92,373.55,377.04,380.79,376.94,375.56,379.38,378.87,384.41,390.06,391.76,393.26,388.61,384.38,378.44,366.14,371.69,377.52,382.84,386.50,384.50,387.79,384.74,373.70,357.69,370.42,396.97,399.76,397.78,398.22,403.14,402.50,402.00,369.90,361.29,362.20,389.49
2001-12-28 22:06:14+00:00,L7,392.56,398.12,397.28,394.30,409.86,402.17,404.54,400.15,404.34,401.42,401.84,399.15,400.13,393.81,374.68,399.88,401.17,392.74,395.70,391.75,390.88,378.80,373.70,379.49,360.96,375.72,371.22,382.94,386.24,381.46,379.65,387.98,390.27,385.57,387.04,388.15,371.87,357.23,371.60,365.20,365.24,347.26,359.25,366.43,351.17,354.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.10,367.97,373.88,378.79,382.91,390.86,393.55,395.63,392.03,387.53,375.03,383.94,398.67,403.49,404.11,405.11,408.80,405.74,401.26,368.98,370.72,369.57,390.48
2002-03-18 22:06:22+00:00,L7,406.40,408.43,412.25,417.65,428.85,423.01,425.53,417.71,422.47,407.31,412.88,389.63,406.04,397.89,368.83,416.66,402.82,402.68,403.79,396.89,393.35,382.92,395.91,394.92,377.32,379.84,372.70,389.69,397.63,396.21,390.20,404.71,403.86,403.03,412.73,403.08,391.32,373.38,383.26,364.19,379.93,377.23,362.06,385.70,382.64,383.37,383.32,389.02,401.79,380.92,390.16,370.67,369.10,365.15,360.31,365.50,368.48,372.57,374.70,382.73,382.22,394.40,388.21,392.08,391.21,392.02,391.20,396.19,400.39,401.32,404.59,403.10,395.14,397.24,374.47,380.60,388.89,401.75,403.90,404.28,404.49,403.56,398.72,378.32,394.51,404.63,412.02,414.00,413.28,409.15,411.71,412.57,379.31,380.67,369.35,385.90
2002-05-21 22:06:17+00:00,L7,452.62,455.98,467.41,460.13,475.86,474.60,473.49,473.59,477.18,469.94,,,,,,,,,,,,,,,,,,,,,,,,,421.69,432.23,,,423.54,383.02,423.39,,398.20,415.62,,400.35,395.49,411.77,430.39,409.30,418.09,,,,,,,,376.06,379.99,388.46,391.54,378.48,389.90,391.40,426.34,,,,,,,,,,,,432.77,446.27,,,,,,,,,,453.62,442.29,,451.17,,380.94,357.55,
2002-06-22 22:06:03+00:00,L7,421.02,421.89,422.22,414.07,425.59,415.84,414.52,413.49,422.17,415.06,420.92,411.65,423.30,414.62,393.97,411.90,408.21,396.03,367.76,,391.97,383.01,,,,,,385.18,390.78,387.87,373.00,385.13,398.04,384.79,395.37,405.57,392.19,377.74,395.40,385.79,390.95,367.36,369.59,381.97,372.20,354.34,381.01,383.68,377.02,351.26,378.19,372.05,365.17,377.60,359.30,373.29,371.04,370.48,375.01,381.87,389.00,392.14,392.54,391.28,394.21,397.70,398.83,402.84,404.24,401.34,399.49,400.03,396.87,389.45,,,,402.14,,,,408.02,404.32,,404.88,416.33,,420.58,422.86,422.78,,431.14,390.41,391.31,374.43,397.17
2002-07-24 22:05:50+00:00,L7,388.46,386.76,381.76,373.23,390.54,376.76,378.25,381.81,397.52,380.99,384.76,375.77,389.42,372.46,346.77,377.39,378.37,371.34,366.16,362.27,363.85,353.22,351.74,354.09,343.79,349.90,353.89,363.42,369.75,361.95,357.15,366.02,361.59,355.29,357.08,358.43,,331.48,356.54,342.06,352.21,314.60,322.01,341.98,330.12,307.44,351.76,352.86,337.16,308.34,343.32,333.54,321.73,337.21,332.51,353.07,347.44,342.77,353.88,349.38,349.38,357.90,355.68,357.48,357.92,358.58,364.41,369.68,375.60,374.67,368.43,365.86,359.97,,,350.58,,367.13,,,372.09,368.58,367.20,341.74,352.64,369.65,382.15,383.02,386.13,387.31,384.01,382.89,329.41,352.31,338.21,358.44
2002-08-09 22:05:46+00:00,L7,350.57,362.51,354.31,341.98,365.22,350.02,358.15,353.64,363.47,351.43,355.78,352.14,350.75,326.84,,343.78,352.08,335.46,332.97,329.86,327.07,313.40,297.28,303.01,304.55,313.02,320.64,332.08,345.35,329.64,323.92,330.70,336.85,331.30,332.34,328.96,,,316.25,309.43,311.31,279.69,287.34,303.98,280.94,297.00,317.19,327.12,302.24,265.28,300.49,301.71,296.38,307.61,309.94,324.86,317.45,310.98,314.55,305.70,314.62,326.44,331.93,338.81,342.84,346.40,344.92,345.37,347.58,348.58,339.63,340.51,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-12 22:05:14+00:00,L7,,,441.61,443.01,438.24,435.88,438.58,439.35,439.82,438.77,439.88,437.16,437.49,435.91,412.67,423.65,426.31,418.23,418.14,419.98,423.10,414.44,405.06,409.90,390.81,407.86,391.30,370.69,386.24,398.44,396.80,383.47,383.41,391.65,394.84,398.19,,387.54,390.02,386.33,388.80,376.32,383.22,398.17,394.16,378.19,380.78,383.71,368.41,347.31,372.44,376.08,375.90,389.53,395.08,395.36,396.35,402.13,407.04,404.97,409.98,413.69,411.82,407.31,400.04,401.66,402.69,399.15,397.82,400.07,402.09,400.62,395.16,401.73,396.37,388.01,395.57,398.95,400.71,408.88,421.52,423.14,420.19,,405.11,424.85,430.00,430.35,428.21,432.41,442.06,450.04,426.22,411.19,391.94,
2002-10-28 22:05:22+00:00,L7,435.33,432.97,442.56,442.47,439.96,437.52,439.43,438.21,441.36,443.67,443.72,440.23,442.40,432.70,417.60,424.43,418.35,417.90,421.08,423.45,429.89,428.06,421.88,424.59,413.88,417.34,410.75,411.56,411.89,407.88,401.02,400.91,402.36,399.12,403.57,409.77,393.59,402.47,409.29,402.68,405.95,399.74,396.64,397.67,387.85,386.75,396.94,397.95,392.67,370.90,376.71,379.92,383.57,395.91,402.05,404.46,402.27,406.39,412.55,410.39,412.29,416.32,418.51,416.60,409.19,407.19,404.16,402.42,402.14,402.41,402.05,402.02,404.26,405.79,396.65,,,,,,,,,,,,,,,433.40,442.04,445.44,396.91,,,
