,dates,per0156-0000,per0156-0001,per0156-0002,per0156-0003,per0156-0004,per0156-0005,per0156-0006,per0156-0007,per0156-0008,per0156-0009,per0156-0010,per0156-0011,per0156-0012,per0156-0013,per0156-0014,per0156-0015,per0156-0016,per0156-0017,per0156-0018,per0156-0019,per0156-0020,per0156-0021,per0156-0022,per0156-0023,per0156-0024,per0156-0025,per0156-0026,per0156-0027,per0156-0028,per0156-0029,per0156-0030,per0156-0031,per0156-0032,per0156-0033,per0156-0034,per0156-0035,per0156-0036,per0156-0037,per0156-0038,per0156-0039,per0156-0040,per0156-0041,per0156-0042,per0156-0043,per0156-0044,per0156-0045,per0156-0046,per0156-0047,per0156-0048,per0156-0049,per0156-0050,per0156-0051,per0156-0052,per0156-0053,per0156-0054,per0156-0055,per0156-0056,per0156-0057,per0156-0058,per0156-0059,per0156-0060,per0156-0061,per0156-0062,per0156-0063,per0156-0064,per0156-0065,per0156-0066,per0156-0067,per0156-0068,per0156-0069,per0156-0070,per0156-0071,per0156-0072,per0156-0073,per0156-0074,per0156-0075,per0156-0076,per0156-0077,per0156-0078,per0156-0079,per0156-0080,per0156-0081,per0156-0082,per0156-0083,per0156-0084,per0156-0085,per0156-0086,per0156-0087,per0156-0088,per0156-0089,per0156-0090,per0156-0091,per0156-0092,per0156-0093,per0156-0094,per0156-0095,per0156-0096,per0156-0097,per0156-0098,per0156-0099,per0156-0100,per0156-0101,per0156-0102,per0156-0103,per0156-0104,per0156-0105,per0156-0106,per0156-0107,per0156-0108,per0156-0109
0,1984-12-25 14:41:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985-01-26 14:41:44+00:00,67.77943049099356,63.07919796327863,59.298342356294775,,85.51689112869727,94.83639442079897,81.22916785323737,,,,126.77982767720712,,,134.5258531664658,130.72417683603243,138.73468365249448,150.4673195437564,141.23429355135204,155.01374924278707,152.40861400867834,152.75005580937636,143.64716274316754,153.78332319749245,,145.07621375318553,137.54793990300462,134.96202214398795,135.74420028210756,129.9382680078981,125.38265937032281,128.40362833230904,122.01885337809458,114.70714602591124,121.89768532993571,126.03474409990932,118.10959475559378,123.14099551069927,120.82304558409751,126.34931859053984,126.25065616594938,124.21641260861935,127.01939753758793,125.63785887607008,138.54329416478004,133.88753988006025,148.77439917622192,147.85185955070602,153.10034887386044,152.90771893565508,154.43946622170103,151.8100876907461,149.27255579056552,163.56727181936495,161.61989990601703,160.08070107065993,161.70450853990297,,,160.9809579923568,159.26482638546415,,158.87344613218048,,153.96743491082032,,,159.7989229491029,161.82022574779327,155.9753740143505,161.54883162389908,164.26253875958713,169.82159849199755,164.67344720823473,172.51947400017758,169.97794112610305,167.58060511038275,171.02072042630053,170.08568004463166,177.15309961718873,170.34403062875845,173.9813378216237,174.8485658150809,174.6444399418156,171.72508256867613,175.43957156587598,181.97732442559763,180.59270676382988,181.39295109857497,177.65162423727878,183.719311545413,184.14145852274146,183.51805869281344,184.6487258008798,187.43124614870723,,,187.45024259330606,189.75977898523288,191.59013299483883,189.64494462453237,192.0998070167503,188.53614791865238,194.6247627883303,187.06345130293434,184.92626464780426,181.69581789279107,179.38454014830043,171.44464318927658,164.73529174851993,161.0273434866772
2,1986-02-14 14:37:39+00:00,,,,,,,,,,,143.7294989043529,,,,,172.81549673598556,175.6686401289555,179.07844243043147,195.801665749019,182.39783437664417,167.89812017591623,177.0455748059461,160.67162388421596,113.03116197004934,110.63494323969383,161.32726495263006,144.82710926720387,136.1958474113887,143.77425637339883,137.22334045205247,145.53351940726998,146.05408396700884,151.85681234746215,131.82060516224612,132.76078652992877,130.26766518929705,128.91796239683183,129.45788213556344,130.5799374937501,143.8079779688086,147.19165624106014,141.42237587435645,150.72166545969284,139.4242990747882,142.4222505095143,145.69029998489785,133.83940338990817,154.37462456968245,146.54620956566197,148.00729374139175,152.82963329463064,155.74953955475877,157.8362715495613,136.04885099411894,140.09536199900094,123.89859408889873,,117.96519706480348,144.17115663659507,139.723388638235,,132.79024985293674,,,122.77202802676324,,158.30210090041192,,165.06776396264854,176.48031901641653,168.40337602729795,162.22463681045514,167.6330682137266,166.96714414925316,167.5454368126683,161.89871688128036,169.20495770669672,165.8472225769835,170.20530809937432,174.65118849091502,171.05326796780733,176.6860996662629,177.07358047312675,180.19283127810058,174.80736296847988,200.51022076645492,180.50732822659938,188.0270774539271,189.81930634769125,187.85393450647308,184.87142837652095,183.04781463135478,173.35971463291324,158.1319870753952,,144.48923802021432,,182.45473617167235,185.15493054008928,182.00781198667812,,,,165.88056997578371,169.1363760435418,181.1508722637564,171.26274534499453,166.20628347013977,150.44104206396634,141.44074870368706
3,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-05-05 14:36:17+00:00,57.973216731104,57.1390945321414,60.012797898392144,63.57177503244356,68.67696834454573,77.58306011361123,81.13371725850571,88.54008052350464,99.67421829432368,101.63989444204381,116.36136198943066,115.37905583761545,124.43970210010077,121.06900947975646,125.56261409467369,,122.75288932810872,127.03517521121363,126.47000848289345,134.878735205625,134.59776007934732,143.7159930551185,141.24272980549208,140.61036262684777,131.06699623308404,125.83594856031829,130.58356507187264,129.94201242625147,125.24540461191033,124.86201281994273,120.83090850462291,116.87398325611137,112.49283502377297,108.34445521356227,103.99173258733481,103.06421320918815,101.25135232676928,105.7009883317423,110.62896185724253,114.60614167783234,117.69570422354063,129.62497324155277,126.01278795879865,132.18957831449734,138.80841279556233,140.1603142111331,135.94951830033773,142.90251055672016,139.92227832791386,144.5184759932827,145.83717076235817,141.11790768391884,140.13747389751202,141.04060556597253,150.33154528782003,150.33858520086127,153.2870925014284,148.8778361756574,148.30278957125665,150.08952216011357,145.7561514298534,150.60525801857182,151.20897564713965,154.9452434943648,155.46699291538914,154.0828301861277,154.74594548556482,159.68723803747568,159.51275994766448,159.58344984647837,157.11078908709635,155.22706567335217,157.50092844065338,155.83875814847,154.80516520365268,156.36596539964492,159.43722099644606,159.64608647641967,164.0978889811569,164.11449333143977,159.77831960462683,169.02592916485634,172.14202025382926,176.65124717057418,174.08103037784926,172.86390485545817,172.1313624411727,175.6653411433769,172.29397415823615,174.38293569418056,177.89837838960378,170.57327090491506,171.35667675462653,170.89585880760822,171.38692958698437,168.94773621870345,172.38264114468427,166.61103468371766,168.7604543941144,172.54162188879988,179.27336312213794,181.61492010965395,176.5526561580808,174.51913630781382,169.09427302734807,164.66718850689338,161.28763113436966,157.32881388146967,148.4210322589414,136.5720080384212
5,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
