dates,nzd0024-0000,nzd0024-0001,nzd0024-0002,nzd0024-0003,nzd0024-0004,nzd0024-0005,nzd0024-0006,nzd0024-0007,nzd0024-0008,nzd0024-0009,nzd0024-0010
1999-07-25 22:04:15+00:00,176.35015807476168,167.33394157579048,176.63231123721883,186.1879666634877,179.28352156309077,181.25495441172777,170.5961784357312,176.08346106005402,179.03959645286238,178.01180243237556,186.64583992499755
1999-08-17 22:10:26+00:00,169.16168653106072,176.95292597831445,179.98981826853526,187.15003976548752,185.07565545004536,185.58813857200488,178.49584799350333,177.5887697810933,181.0629297099149,185.6517527665571,186.71194807782123
1999-08-26 22:04:21+00:00,189.04176354709222,186.68678234066115,199.83171926879865,201.90032611841093,195.7440463159045,195.2528418617229,187.6948653945367,187.7384398736423,192.5205542825115,194.29972545647996,198.38731419709993
1999-09-27 22:04:25+00:00,195.32926421804353,199.16590338812907,205.19331412034333,201.71496736222835,207.1516632043577,198.9072325850474,193.31751964821774,193.5420403871027,197.0136633814421,195.16504158970446,204.24894195507767
1999-10-13 22:04:24+00:00,188.91430257270483,189.63713249674424,184.33854769823304,195.18779181159704,198.85545915930106,193.98008196624795,186.31178541979827,186.56385665377488,193.6522039378877,193.19855967465685,198.73875553327488
1999-11-14 22:04:18+00:00,171.63385748224977,169.92829916398176,181.43386750220094,185.59798431177336,192.48784138206216,185.90130625097905,177.90461342319222,182.9110687615314,188.19224166719584,187.22620815928823,194.25019198555663
1999-12-07 22:10:30+00:00,175.67304662783272,171.81451813484983,181.01634410014788,188.24206715711054,187.90913937804908,187.1632790901912,178.6710270040979,180.75320042680636,185.2358183442796,189.36563167832537,199.28756328788361
2000-02-09 22:10:19+00:00,186.661829561823,192.29183721544683,198.2594209201546,204.69636474545752,202.90081633077463,197.73466976317303,191.2453666829445,188.42520532923368,196.23585016133262,200.29626886398913,209.6999539117172
2000-04-29 22:09:53+00:00,176.89161713911992,180.21373096956827,188.40177846376386,195.222750700616,198.84434893123185,201.2005940768904,200.69775058554305,204.7089374717694,209.81020928709103,212.25316448841673,210.6784654092641
2000-05-15 22:09:42+00:00,148.75115317091075,147.82027329841497,164.06729987975368,178.66613104936204,179.53958097572135,178.60684365772937,172.01328669723202,175.31811904937624,180.51749411018272,186.44945137631836,194.61353066970392
2000-08-03 22:08:44+00:00,160.19611262209338,173.77729325809847,189.06505281401618,192.05615423309817,192.67333920333067,191.1892165893017,177.81913132925902,183.936025077847,191.62994812802071,191.1698036016909,204.19238416035978
2000-10-06 22:07:59+00:00,168.04026471466864,171.30946289723994,181.9442409351265,188.74181192234752,176.8378027943845,176.60056830925464,177.155506582372,181.1650398181868,184.8360052802481,181.85209031070303,183.7009310632196
2000-11-07 22:07:53+00:00,161.55358199191798,163.37194703103745,178.9569928196038,181.00414757448993,177.12605959981423,174.8531322972803,172.81821657516258,176.36452404890045,183.86991385424741,183.2821907439977,190.68876045519264
2001-01-26 22:08:07+00:00,175.9951864101526,174.4423550447877,184.776490170718,182.30133753614126,192.59359210205648,194.278227633489,193.77861267623018,191.00926665730782,199.32885701352214,198.94779187921543,207.2298744630563
2001-02-04 22:01:50+00:00,,,,,,,,,,,
2001-03-08 22:01:45+00:00,,,,172.8338708644859,181.3749821277663,181.33871403406013,191.6742638197578,,,194.73262185810506,194.27751937212898
2001-03-15 22:07:52+00:00,168.86667757775288,172.6158200367462,178.78817904446475,180.40585089522554,183.68146696817325,183.0166999504948,178.20204086864823,180.1160457580537,187.10191652236236,186.73099861314768,186.5158107315163
2001-05-11 22:01:21+00:00,,,,,,,,,,,
2001-06-03 22:07:16+00:00,141.5049001746902,164.93388335612275,170.2748688509786,181.4154320514281,180.2935278428502,170.69241785951343,166.8268520224753,170.40887398840005,180.0078154570117,183.7626733052447,188.3606364662225
2001-06-19 22:07:05+00:00,114.24690123202389,149.67978466308296,163.3822570430086,174.01565920346903,168.77306220020233,164.9717740291426,165.44877435163124,165.880563480468,176.7751928794249,181.5402887950203,185.35352124134454
2001-11-19 21:59:56+00:00,,,,,,184.1630754059368,190.23518174894372,184.29258515707718,187.76708034441685,190.8249316205574,194.23651083126214
2002-01-22 22:00:16+00:00,187.2247085096048,187.2446975005555,192.56176177500507,192.6128634135398,182.22702305891994,175.29728709063397,178.36220046126567,183.9597183292393,186.506187997111,188.99231462424487,197.81815217483293
2002-01-29 22:06:21+00:00,167.96538763981434,164.9131201237433,175.19947299176465,178.10112154164793,176.29259869609734,173.00016088327192,168.21865699881366,172.4822288578084,181.7627870353771,182.92419467743588,191.64940002343965
2002-04-12 22:00:13+00:00,180.00898325507393,185.31558961675677,,180.94358609757896,181.90615471309087,181.54286335575307,,,,188.64429669528204,198.0341359579396
2002-04-28 22:00:14+00:00,164.49820623622347,167.44586965223542,176.7344655197803,175.07171089192659,188.42512740923718,186.48563255266964,179.6457336343376,180.4852953854934,184.2392442016153,189.42472720716583,198.92126982661506
2002-05-14 22:00:07+00:00,254.85661255857275,,,,,,,,,,
2002-05-30 22:00:02+00:00,,,,,,,,,,133.12271904049203,166.94515026508319
2002-06-15 21:59:55+00:00,,,,,,,,,,,
2002-06-22 22:06:03+00:00,,,133.1045142915234,151.61647542329902,151.1018221558599,154.71875232873307,153.36344383801824,158.6268721272704,168.50019337630425,170.87432592350004,169.00855397250686
2002-07-01 21:59:51+00:00,,,,,,165.32964334207776,170.44613856262762,169.2791799363727,176.84474432274894,178.97358501973375,182.34855343619685
2002-07-17 21:59:44+00:00,,,,,,,,,,96.4255227964327,110.08253142048314
2002-08-02 21:59:37+00:00,,,,,,,,,,,
2002-08-09 22:05:46+00:00,169.55276460422346,176.52184834227634,186.05437052196416,193.3748287363067,192.13458612415062,191.69930534346517,186.7776314202935,185.10175198540298,191.20738220656625,197.77003612259287,214.3112040607088
2002-08-18 21:59:33+00:00,147.73612358178087,165.2200371491566,176.7668636856675,181.94713471173142,184.28956523325434,186.3443761426767,175.43516523080285,176.36766788978693,184.16833568076052,193.4462209387472,183.78427129717448
2002-09-03 21:59:24+00:00,,,,,,,,,,,
2002-12-08 21:59:39+00:00,188.6882451062755,192.41613976484163,193.0299354337964,194.60432444037957,193.31973246224905,184.98358192514058,186.1726884053639,184.85820789682177,191.77687608351155,193.60208826024157,199.49256436000218
2003-01-25 21:59:54+00:00,,,,,,,,,,,
2003-02-26 22:00:04+00:00,,,,,,,,,,171.81169234472523,198.4372940438241
2003-05-08 22:06:20+00:00,158.21172104347073,151.92441843192054,160.40361236627015,165.94325122911843,174.06117198230737,166.05547041762742,160.73970878866362,172.15319905284326,183.6650718521893,182.01559969201915,191.3839144169302
2003-05-24 22:06:17+00:00,,,144.03104314694923,156.2259044281397,159.07909444723052,166.63164614330123,161.82867040877406,168.19643134827976,178.3988532951445,179.90568011636418,184.5315447048828
2003-07-28 21:48:04+00:00,153.5060065822824,158.42129832877475,179.11963808288195,178.94596637685848,184.08548865107144,176.77041979633745,165.96461409653824,180.04412266156123,186.5429171934631,176.44248993013133,183.77544311485946
2003-08-28 22:05:57+00:00,,,176.0088307003559,180.20795318807924,183.64475107460675,184.24555913820367,178.60559792097214,181.69005413653173,190.2237452906922,188.5270080332605,202.82547327192546
2003-08-29 21:48:38+00:00,171.44770335593765,171.45309826906566,178.43831547828606,183.90775834487454,183.78631652776255,186.19736522568098,187.6470194891299,186.44757114549893,194.3890842292338,198.88466960741047,202.4480271546096
2003-09-30 21:49:06+00:00,192.35519609820597,187.96261398849688,183.6779393106152,187.58531502255408,183.0407557865748,198.3828470192348,196.4403051337493,195.59393185687202,204.3995406337043,204.892650551129,217.0780846462971
2003-11-16 22:06:11+00:00,,,,,,,,,,191.19605878330523,196.868924015407
