dates,nzd0024-0000,nzd0024-0001,nzd0024-0002,nzd0024-0003,nzd0024-0004,nzd0024-0005,nzd0024-0006,nzd0024-0007,nzd0024-0008,nzd0024-0009,nzd0024-0010,satname
1999-07-25 22:04:15+00:00,381.62,381.56,390.18,395.74,390.16,390.59,381.70,383.99,387.25,384.66,388.38,L7
1999-08-17 22:10:26+00:00,380.80,381.39,387.50,394.40,389.92,389.60,381.76,382.36,386.10,386.83,390.71,L7
1999-08-26 22:04:21+00:00,385.16,385.72,391.71,399.58,393.83,393.09,384.51,386.64,389.72,391.50,395.74,L7
1999-09-27 22:04:25+00:00,387.93,389.65,396.67,401.47,398.00,396.19,386.25,388.81,392.26,394.26,397.79,L7
1999-10-13 22:04:24+00:00,387.56,389.10,394.08,400.39,398.41,395.80,385.19,388.17,392.45,394.44,397.90,L7
1999-11-14 22:04:18+00:00,385.58,386.45,392.85,398.62,398.10,395.17,384.72,387.85,392.35,394.17,397.71,L7
1999-12-07 22:10:30+00:00,383.89,384.09,391.05,397.11,396.68,393.98,383.41,386.72,391.24,393.56,397.46,L7
2000-02-09 22:10:19+00:00,384.67,385.47,392.35,399.00,398.94,395.19,384.13,387.41,392.71,396.33,400.87,L7
2000-04-29 22:09:53+00:00,378.95,380.36,390.20,396.08,398.05,395.70,388.15,391.37,397.05,400.67,405.13,L7
2000-05-15 22:09:42+00:00,375.52,377.07,386.81,394.87,395.44,393.56,387.69,390.37,395.72,400.35,407.26,L7
2000-08-03 22:08:44+00:00,371.29,377.22,388.76,396.19,396.87,394.76,386.60,391.05,397.34,401.25,409.24,L7
2000-10-06 22:07:59+00:00,367.30,373.11,384.95,391.53,389.75,388.99,385.29,389.63,394.58,395.82,402.63,L7
2000-11-07 22:07:53+00:00,363.47,367.75,381.25,387.27,383.49,381.48,377.61,381.34,387.13,387.34,396.54,L7
2001-01-26 22:08:07+00:00,366.63,371.09,384.61,387.28,385.69,384.47,379.50,383.56,390.26,390.12,393.62,L7
2001-03-08 22:01:45+00:00,369.18,371.28,383.46,382.17,382.62,381.88,382.26,383.87,390.01,390.62,390.36,L7
2001-03-15 22:07:52+00:00,369.13,371.71,381.95,382.02,383.03,382.28,380.99,382.64,389.48,390.08,389.34,L7
2001-06-03 22:07:16+00:00,367.43,374.70,380.81,382.11,386.89,383.99,380.60,381.36,390.60,393.29,389.91,L7
2001-06-19 22:07:05+00:00,363.02,373.27,379.82,381.91,385.29,382.14,379.77,379.47,389.20,392.36,389.94,L7
2001-11-19 21:59:56+00:00,352.28,373.32,377.63,385.12,382.66,378.86,380.67,377.82,386.26,390.21,392.90,L7
2002-01-22 22:00:16+00:00,390.46,390.56,395.01,395.62,386.54,383.67,385.67,386.76,389.70,393.17,400.91,L7
2002-01-29 22:06:21+00:00,379.58,378.19,386.87,388.30,384.43,381.64,378.86,382.80,387.66,391.20,399.61,L7
2002-04-12 22:00:13+00:00,380.13,380.10,386.20,387.19,384.85,381.64,378.86,382.80,387.66,391.54,398.99,L7
2002-04-28 22:00:14+00:00,375.24,376.00,383.50,384.38,385.97,382.83,377.30,381.81,386.55,391.52,398.82,L7
2002-05-30 22:00:02+00:00,375.24,376.00,383.50,384.38,385.97,381.60,373.67,385.65,385.75,390.68,398.70,L7
2002-06-22 22:06:03+00:00,375.24,376.00,383.50,380.56,385.97,381.60,373.67,382.36,384.08,388.14,396.69,L7
2002-07-01 21:59:51+00:00,375.24,376.00,383.50,380.56,385.97,377.99,373.27,380.45,382.92,386.79,394.68,L7
2002-08-09 22:05:46+00:00,369.31,373.61,381.56,379.75,389.02,381.62,375.89,380.80,383.11,388.03,396.27,L7
2002-08-18 21:59:33+00:00,372.76,373.61,382.82,382.23,389.87,385.67,378.94,382.16,385.34,390.49,395.11,L7
2002-12-08 21:59:39+00:00,380.40,385.51,389.64,388.68,395.40,387.23,382.46,380.75,388.02,391.88,396.26,L7
2003-02-26 22:00:04+00:00,391.95,397.82,397.89,404.48,401.74,392.64,386.65,390.70,396.60,400.45,402.44,L7
2003-05-08 22:06:20+00:00,378.01,378.84,381.97,389.33,390.40,382.56,376.50,383.29,393.23,394.29,399.72,L7
2003-05-24 22:06:17+00:00,370.69,374.23,376.82,383.76,385.44,381.19,376.81,382.53,392.43,392.65,398.75,L7
2003-07-28 21:48:04+00:00,359.48,362.08,371.67,376.18,380.37,377.80,371.34,379.73,390.10,385.99,394.92,L5
2003-08-28 22:05:57+00:00,359.48,362.08,369.57,375.10,378.05,376.66,369.34,377.11,387.33,385.26,391.96,L7
2003-08-29 21:48:38+00:00,361.79,363.76,370.97,377.22,379.56,378.76,371.87,378.82,388.70,388.54,394.16,L5
2003-09-30 21:49:06+00:00,366.79,367.20,372.44,378.82,379.63,381.57,374.79,381.08,390.86,391.20,397.25,L5
2003-11-16 22:06:11+00:00,367.47,369.03,373.72,379.75,379.75,383.39,376.48,382.12,391.06,391.71,397.66,L7
