,dates,chi0345-0000,chi0345-0001,chi0345-0002,chi0345-0003,chi0345-0004,chi0345-0005,chi0345-0006,chi0345-0007,chi0345-0008,chi0345-0009,chi0345-0010,chi0345-0011,chi0345-0012,chi0345-0013,chi0345-0014,chi0345-0015,chi0345-0016,chi0345-0017,chi0345-0018,chi0345-0019,chi0345-0020,chi0345-0021,chi0345-0022,chi0345-0023,chi0345-0024,chi0345-0025,chi0345-0026,chi0345-0027,chi0345-0028,chi0345-0029,chi0345-0030,chi0345-0031,chi0345-0032,chi0345-0033,chi0345-0034,chi0345-0035,chi0345-0036,chi0345-0037,chi0345-0038,chi0345-0039,chi0345-0040,chi0345-0041,chi0345-0042,chi0345-0043,chi0345-0044,chi0345-0045,chi0345-0046,chi0345-0047,chi0345-0048,chi0345-0049,chi0345-0050,chi0345-0051,chi0345-0052,chi0345-0053,chi0345-0054,chi0345-0055,chi0345-0056,chi0345-0057,chi0345-0058,chi0345-0059,chi0345-0060,chi0345-0061,chi0345-0062,chi0345-0063
0,1985-01-25 14:04:27+00:00,192.44309396763992,196.9796928490461,200.7917588211147,213.60953668684488,215.95648866723394,221.94214207917378,228.99571706471573,217.9935537339294,206.14775653751508,214.54852733529853,223.5808511329983,203.49226235053206,186.2797024578511,183.74843351252352,201.28582436931399,213.42409248561228,202.41426179406437,202.6820161261761,215.0277783487954,198.198830396961,201.271328222882,209.014876867759,204.46493369553468,202.74274970389735,211.08104346559088,213.02504665145315,210.96467334879839,220.83343729794515,216.21440687774867,216.80234838873253,207.67011453710865,205.48259115439515,189.45985471200564,198.78617955010515,200.5184192052442,213.5232384107603,206.86105148241586,216.71028693223138,203.0300867917386,204.77590246608946,213.1872794690915,236.2764624654668,241.22500517732968,245.96756523430435,243.3259863926315,248.92815555680266,242.18577842753683,,239.22437511015357,225.0794438969949,,212.51669571773144,218.32078981092815,209.8242939079661,205.6260175568513,212.1352481954266,210.72996124831863,207.263153531464,206.5762714908509,204.3031673832838,203.5206039998608,216.64819194233385,205.09124424035141,202.1050716281829
1,1986-01-28 14:01:10+00:00,220.40066500881235,213.15677443577152,210.17161775089664,205.93300533878815,229.09177592585255,233.3188236573294,237.70574237132317,234.0996626522963,232.89710702500554,215.88125529367832,209.66156051554842,200.0535284673014,201.3719393622444,194.28110374350535,219.09591986725326,224.52521942809116,207.76373074900036,211.9146298312301,221.52076987559548,213.61045141646974,214.72664562940633,218.5629356660043,230.86955553174016,238.7464223836028,235.62574711196544,226.5560233651912,218.55955461876724,230.3693925610719,221.7773441932196,228.06518138684527,220.51765994632598,217.4500787647741,201.59938328865138,215.7086642539711,205.28351920105354,194.9837663253383,205.65629865496538,222.0513352339314,217.5644314623313,218.1758740065987,224.4704160499616,210.06937385956067,214.4576273474131,232.16828502076558,233.64974449083107,222.6681639147106,219.5109932603648,,206.11394491220784,214.30055047543107,,215.09620190113893,206.2674089623298,207.09341491446108,204.70635716555137,194.85464415127876,184.80899561637344,190.17428917658546,196.69575538856108,206.6051074818598,217.10102935649923,217.39273812769778,201.65804102110567,203.1939997317453
2,1986-03-17 14:00:06+00:00,,,202.63667158550538,174.47213478367735,203.40366804533147,231.20837151133304,239.6898164574599,236.08898405305942,242.43120518099934,224.9534243990572,224.3874938893639,209.73624271367098,,,221.7351756275363,205.9315537651014,212.87570628474123,175.5947798118896,176.68225782329125,183.52150753439426,,,,,,,,257.97291001075394,205.4083611433188,243.7634181860498,218.4022834249606,250.78850287001535,,,,224.51736467398365,240.1274485805763,214.41791885259562,,197.06803245442677,229.60416526876907,239.47667405940416,,,,,,,191.4194361492196,195.37149946628548,153.82321347034625,,,,,,,,121.53890712116596,,,,,
3,1986-05-04 13:59:02+00:00,209.3246864515272,201.43877557989708,198.84577586392797,200.64112341511134,208.1115167964172,211.38556835508763,213.7238087514187,220.77928125447875,213.1172821390088,207.55918583590793,202.04422646794893,199.2910418834456,193.75432130438736,194.3876814162936,204.6180710966907,210.80400528708225,,196.22365990105888,211.9353568375053,197.0728148451183,200.1109394947394,213.60249309906564,218.06179496963966,213.7138780208159,212.75423068149377,215.3116372780216,210.06576959966412,223.3957265395744,216.0361499419052,223.3925874754522,218.37355949224866,223.41413731114767,221.49159617138537,228.8870201515369,222.07954495640425,223.18860891336266,224.1343231993607,234.25950693954798,219.79204861412148,214.6191372664478,215.38715360198074,214.52081505322627,218.96822981797055,239.41329720376262,241.6971908689469,238.6069194068171,228.6973728744951,229.2078723521702,218.20546908357508,210.67804679272024,176.7144122275646,,,,,,182.45482236053124,171.61949457367416,129.15482114312306,188.64876317012892,200.05650942574476,211.422438277207,191.00785010002858,197.40056109171087
4,1986-07-23 13:56:32+00:00,190.7964575374768,184.37735149885435,170.63052688880873,,201.3258491999242,198.9123989054312,189.0768599764763,189.45350551928175,,,,,,165.01149916343874,187.81886913390525,199.6918157424833,,164.40414065007917,185.03151616748025,168.21324155249852,174.3937428834252,191.7304312060583,196.7564169658403,195.16585721823537,199.46884900473123,202.52829132022663,195.98545882025678,207.80922854992116,201.70275170835367,207.988559807995,190.11317153184285,179.54106952589652,170.29363357257833,189.7029855011831,182.8626737212101,,211.41192835551186,227.76666831424518,216.52967851323575,218.10023649812464,,,204.95531516159812,224.5178276703308,225.9442370777328,,188.88098382461567,219.93652742109433,,,,,,,,,,,107.05961661900969,176.83404597766287,182.96281604660754,198.1722751844132,,
5,1986-08-15 14:01:29+00:00,214.49656961617106,210.47288698174935,197.05317235663952,202.79457839079436,220.12942243400894,227.99212559779096,242.09121286891764,244.81765889574146,226.2086663420965,198.25263628563795,175.79823565868193,199.76035578285058,213.32692979882006,,,220.88850856679642,,,221.77005891911978,209.07075632175187,194.08346941715956,217.51148063844695,217.89185182134656,211.08562475187347,217.4009438692795,221.56064231045133,214.7992306137555,220.51729209510927,214.60934915194346,219.3450376784901,211.16839781399037,200.8885611226124,190.47472424671886,210.9329638224371,216.2501887064865,225.59111315487783,237.15222620567556,247.76214638587953,249.77648058162623,253.06628065083845,,,,,,274.1531139878896,,256.264717203289,248.98961326419598,239.38055187540527,,225.44083688392527,,,,,,,116.45173374680205,212.67450372809148,,213.41072944633007,197.0705038568468,223.69391051763102
6,1986-08-31 14:00:53+00:00,192.86863816711454,202.99553518828054,192.69379195242465,180.2222787962719,204.04149686307164,208.40190222686067,219.0371662324515,217.43421032748782,199.0125568253865,,,142.45191085262928,,159.90326319443534,185.6010056445735,,,,,,,,,,,207.03163729459885,200.00637848179588,206.77793438813433,203.7403972213806,206.0873580462281,194.8378431478144,183.304665406418,171.30991836359635,188.75973325909035,190.04159771703684,,214.23754655057556,215.0166795363043,218.0543463966597,216.35781911271044,,,,224.79909141372212,241.4610402273435,236.4339474605242,,220.49486460586442,,,,,,,,,145.1482082366813,,124.5527097152654,,180.78272428329035,199.18979139636826,176.59165177498247,169.79707244402786
7,1986-09-16 14:00:22+00:00,187.86891652655456,203.7873414442836,192.56018435782016,150.46927884296082,213.12342072310292,213.72732742351212,221.08593354734066,215.88594034645283,202.09361240254387,193.67877193365445,183.61576777398517,176.86712913587192,179.13935220250306,187.81412848870028,201.80736647080874,207.6205054928688,199.2703006605767,191.7437487081741,202.80769494832919,189.74560182280595,184.6144277319587,200.57819861192647,200.39649414916352,195.91842126460938,207.31375837876334,204.18985233455655,197.7493851955163,208.15431864667485,204.55574086322744,211.67243851297695,199.63317230154064,196.26176778241916,184.97589359505724,187.81820924984117,187.46147774355788,199.45299545200686,208.58714970524332,227.21335726825927,230.30011102491522,233.7905012241241,,229.68624365421974,219.27750136181365,234.7122523604375,258.8476657124766,248.72933370983074,,237.8871490317374,229.69570029709246,227.74616202232298,208.31024199190142,201.43133475437256,191.50948371785358,181.61856646597892,170.69104544356048,170.9331926627482,169.37057243791216,157.5415940412872,154.28184299227286,,192.5190806840828,204.13153720155648,186.45870259711864,186.57314243669128
8,1986-09-25 13:54:18+00:00,203.82519984778435,208.49371748405835,196.13449535033433,181.9924323037986,217.44681834311876,216.47749081725192,218.93993860943348,215.0707669109736,201.5453596223669,203.83225747014527,178.52235730230666,178.07375711076352,202.91340087290797,214.4620033053892,222.44482730202967,231.44171239601053,212.0585110719027,199.6558564027471,216.2046783716916,207.9939042553135,194.07597952074815,204.75896881820591,206.36842644278536,207.7457399492257,216.04494709274329,209.6047163229098,202.6694520749535,218.53992613992574,208.2902251828038,209.0717658708297,198.29206542916046,195.869594385407,182.90826219145566,190.36054400144985,180.80881144056985,188.60017231747275,,,,,,,,217.8716286965944,,,168.92005134867912,,,,182.84455731549036,180.58297195580786,182.54149344456113,184.60506276118852,180.41213018453342,175.24233064099357,176.27006518111565,,,,,,,
9,1986-10-11 13:53:47+00:00,,209.904818893247,204.86566766489491,208.3758042653003,224.65208023315364,231.56453569999684,235.85375712678044,230.92185965957555,223.85145722579313,215.09962845446324,206.97524140929212,208.75995564591688,200.09701261669062,207.043412438087,220.6736336762456,220.24106038815128,215.55693740105227,210.67940431244457,220.4751617814866,214.17376038540345,221.36474930658284,219.36046290777017,212.31613397657048,204.64283562478244,213.79475710043369,219.34401969910218,210.4887496438184,223.56526524386373,218.81133637382476,219.62167600255117,214.5815634816043,206.14616561814796,189.6796973009656,203.42602736626046,206.05821607909022,219.56514767996404,213.54349387828438,228.80256274429453,234.04044680246335,233.549199598362,,260.44566133567093,257.6972510962972,257.44698243092347,266.69609858362537,260.58716134052577,260.13326220774104,255.21788693122653,246.87924884707704,239.25975078185576,228.5242900335868,225.74859574483742,211.74693176006411,203.86637708979927,200.6803220398784,195.32040625952504,188.90958168435364,173.7875888138203,196.65114295238774,215.84296180357967,218.8585026851189,217.95624295655895,203.6121945099714,214.77826832905913
