dates,nzd0265-0000,nzd0265-0001,nzd0265-0002,nzd0265-0003,nzd0265-0004,nzd0265-0005,nzd0265-0006,nzd0265-0007,nzd0265-0008,nzd0265-0009,nzd0265-0010,nzd0265-0011,nzd0265-0012,nzd0265-0013,nzd0265-0014,nzd0265-0015,nzd0265-0016,nzd0265-0017,nzd0265-0018,nzd0265-0019,nzd0265-0020,nzd0265-0021,nzd0265-0022,nzd0265-0023,nzd0265-0024,nzd0265-0025,nzd0265-0026,nzd0265-0027,nzd0265-0028,nzd0265-0029,nzd0265-0030,nzd0265-0031,nzd0265-0032,nzd0265-0033,satname
1999-08-05 21:46:59+00:00,251.82,243.04,236.37,222.31,215.36,222.18,223.05,221.49,222.41,208.57,198.17,194.85,204.46,211.79,207.20,209.94,236.44,257.73,257.01,252.89,249.75,249.83,245.58,244.86,251.86,266.31,270.74,276.25,301.68,339.74,327.89,327.73,329.40,346.04,L7
1999-08-21 21:46:56+00:00,258.86,251.52,243.06,227.65,218.37,225.56,228.10,225.59,224.61,212.16,205.45,200.75,207.97,214.28,211.74,217.99,241.13,260.78,260.23,255.76,257.07,251.08,253.33,252.62,256.02,266.87,265.12,274.89,304.65,345.76,328.83,323.03,331.95,344.58,L7
1999-09-06 21:46:59+00:00,264.03,253.42,242.97,232.94,229.32,227.18,232.38,228.70,225.48,220.12,212.89,207.39,213.04,219.50,213.03,222.27,244.43,267.84,271.20,266.01,257.21,257.94,257.60,264.22,262.39,264.15,264.95,279.64,311.36,348.70,340.00,322.92,330.70,344.99,L7
1999-09-22 21:47:00+00:00,271.31,258.42,244.62,233.08,228.94,231.26,235.13,230.61,228.68,221.87,215.07,210.79,216.44,222.51,213.47,222.74,247.13,269.85,274.56,270.58,258.62,258.90,259.34,265.18,264.00,263.21,265.95,283.96,318.19,351.67,342.55,329.45,331.52,347.61,L7
1999-10-24 21:46:56+00:00,270.76,255.98,244.14,234.22,229.45,231.92,236.57,232.03,229.17,222.44,216.25,210.78,215.61,221.45,212.50,221.76,248.02,269.07,275.04,269.25,256.99,257.34,257.82,261.82,263.12,264.73,266.96,286.69,318.35,348.26,339.22,329.20,332.07,346.66,L7
2000-01-12 21:46:54+00:00,272.42,256.41,243.93,235.34,230.99,232.78,237.22,233.30,230.43,225.16,218.67,212.07,216.03,222.35,213.33,222.82,249.47,271.64,276.71,269.87,258.34,258.44,259.67,262.92,265.91,266.92,270.28,290.03,319.80,346.46,337.56,330.78,333.19,346.92,L7
2000-02-13 21:46:48+00:00,273.60,255.86,242.13,234.52,230.92,231.75,236.08,232.57,230.50,226.27,218.46,210.94,212.89,219.10,210.28,220.79,248.12,269.80,275.29,268.01,256.13,255.85,259.09,262.23,265.95,265.01,267.99,290.27,318.95,342.35,333.61,327.70,331.15,344.62,L7
2000-04-01 21:46:34+00:00,270.38,252.22,241.19,234.59,228.66,229.41,232.09,232.09,230.34,224.34,215.65,207.07,207.87,213.14,206.54,215.56,245.28,264.92,269.20,260.62,249.90,249.37,253.95,254.56,262.32,267.03,271.09,290.40,312.21,330.53,318.22,321.66,328.08,339.62,L7
2000-05-19 21:46:07+00:00,274.82,257.00,241.77,232.30,225.24,226.26,228.04,228.96,228.92,222.97,213.70,206.70,206.60,212.75,205.90,214.80,243.09,263.97,263.47,256.58,249.77,249.38,254.01,254.59,260.31,266.38,270.36,284.39,309.92,331.65,319.27,320.77,326.53,338.76,L7
2000-08-07 21:45:08+00:00,272.17,255.58,241.24,230.94,222.74,222.01,223.52,227.10,228.87,220.72,209.93,205.46,206.12,211.23,205.06,214.31,240.00,256.61,253.77,250.39,247.06,246.82,249.80,251.67,254.25,263.72,266.65,278.94,304.67,329.87,317.98,317.49,325.39,336.66,L7
