,dates,mex0445-0000,mex0445-0001,mex0445-0002,mex0445-0003,mex0445-0004,mex0445-0005,mex0445-0006,mex0445-0007,mex0445-0008,mex0445-0009,mex0445-0010,mex0445-0011,mex0445-0012,mex0445-0013,mex0445-0014,mex0445-0015,mex0445-0016,mex0445-0017,mex0445-0018,mex0445-0019,mex0445-0020,mex0445-0021,mex0445-0022,mex0445-0023,mex0445-0024,mex0445-0025,mex0445-0026,mex0445-0027,mex0445-0028,mex0445-0029,mex0445-0030,mex0445-0031,mex0445-0032,mex0445-0033,mex0445-0034,mex0445-0035,mex0445-0036,mex0445-0037,mex0445-0038,mex0445-0039,mex0445-0040,mex0445-0041,mex0445-0042,mex0445-0043,mex0445-0044,mex0445-0045,mex0445-0046,mex0445-0047,mex0445-0048,mex0445-0049,mex0445-0050,mex0445-0051,mex0445-0052,mex0445-0053,mex0445-0054,mex0445-0055,mex0445-0056,mex0445-0057,mex0445-0058,mex0445-0059,mex0445-0060,mex0445-0061,mex0445-0062,mex0445-0063,mex0445-0064,mex0445-0065,mex0445-0066,mex0445-0067,mex0445-0068,mex0445-0069,mex0445-0070,mex0445-0071,mex0445-0072,mex0445-0073,mex0445-0074,mex0445-0075,mex0445-0076,mex0445-0077,mex0445-0078,mex0445-0079,mex0445-0080,mex0445-0081,mex0445-0082,mex0445-0083,mex0445-0084,mex0445-0085,mex0445-0086,mex0445-0087,mex0445-0088,mex0445-0089,mex0445-0090,mex0445-0091,mex0445-0092,mex0445-0093,mex0445-0094,mex0445-0095,mex0445-0096,mex0445-0097,mex0445-0098,mex0445-0099,mex0445-0100,mex0445-0101,mex0445-0102,mex0445-0103,mex0445-0104,mex0445-0105,mex0445-0106,mex0445-0107,mex0445-0108,mex0445-0109,mex0445-0110,mex0445-0111,mex0445-0112,mex0445-0113,mex0445-0114,mex0445-0115,mex0445-0116,mex0445-0117,mex0445-0118,mex0445-0119,mex0445-0120,mex0445-0121,mex0445-0122,mex0445-0123,mex0445-0124,mex0445-0125,mex0445-0126,mex0445-0127,mex0445-0128
0,1986-03-15 17:13:55+00:00,205.0151809749217,192.8875327428671,186.19795520417165,192.49609863029352,201.76239756194647,221.29333798375876,219.09509713655407,223.96515536027138,241.80870473968676,245.1433106862986,237.37528231789,242.28150285414276,241.20278760498195,245.5156883095992,241.59326713611097,247.37445726129442,238.27903326855085,249.6552398852108,233.16545514930925,235.68265846557833,231.47810455168428,218.6177920900665,220.01124638607237,216.98534051378198,222.8137212261469,233.02657095528133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1986-04-23 17:19:16+00:00,205.51306346836833,194.53639418290737,194.78166593303106,198.0398678961981,208.01032032371955,223.37485812384313,218.6346547290714,234.07373073119635,239.28095381420277,237.57397690766697,232.8190732903285,233.75918422914714,239.40482380201792,241.42020400531402,241.80648282915524,235.86101530909895,238.536906448725,241.69235943630014,245.06363903571992,237.5178588273739,241.07716180915807,238.53872036449218,233.9936602485545,236.7918342532164,237.27119703267147,243.31424822521828,256.7748342421919,268.17722137523225,278.4353827742347,271.7891918461423,261.2156257636491,249.86437442070365,237.3300363658159,233.80677226622427,221.73058590252668,213.8754062750786,204.0295279502474,204.8517045809288,212.02766369647804,219.82252096284918,233.10502939837136,242.0756254780756,240.8519382427565,241.4257895848263,233.13009920611393,226.03995693222845,222.48181407439583,219.34346723366136,218.89900251860797,219.67614712884665,217.34835080489,222.64160572260243,225.55068112843,220.37890520696445,214.57400159671215,209.34680688980563,200.65536286656948,200.19411230541,199.56008155681525,206.44098631629925,208.90898942836026,219.94617256643653,218.24761602916513,227.57838231752697,224.21043364972576,232.50552200396083,229.95151162124859,226.37978715996616,218.23865062608428,213.89447987540927,213.748871524014,215.55588823151072,209.87371853937196,201.83472298976534,197.6209356794784,191.57151929775347,199.98588523652904,207.07354096647128,203.52661964983633,204.4971296097085,205.00450255587506,205.34921181500295,210.30933034943723,209.14920925755354,206.62723815180786,205.4130886225087,205.3202984048434,207.67618736342766,205.93456479649728,207.53201471843585,200.2008977669967,190.24455183638682,179.81655705728474,179.4338485690867,184.82773996339375,183.6167283770502,187.04755538955902,186.5102749757516,,191.93767441626545,203.25994869196902,201.9692464558729,203.54202582168193,208.72966913564272,212.18137771621022,220.2380628305914,220.86728978702138,218.67754758575524,213.99106135624137,213.08860712015144,208.46691214169266,205.662207394638,208.74530136023904,212.3746362060417,213.1590811603869,221.15258865215424,220.955613497926,226.8610504263324,222.34038329762365,228.95989152289977,228.58294826535158,228.18062566460253,219.95313301012084,221.86285011611741,214.4695661265136,215.3638369518676,205.52882952600345,210.67348842609732,210.0204200364762
2,1990-04-11 17:08:02+00:00,221.7969786009147,215.9304934581641,224.54248941376096,215.9307040973247,213.76012672535077,225.32755715793314,221.759836806375,228.76831397923846,236.65637738354133,236.31044099287388,231.560335741346,239.1037207268331,236.02493992813066,240.2600470538054,233.21632136102045,243.72759085501005,240.96108670763834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1990-04-18 17:14:16+00:00,237.21611104305964,235.32030460765804,225.83856965882205,230.7464492801681,222.5174330041985,242.71517833116286,226.92253231075244,242.58859726317758,246.27137875582088,244.90747472738008,240.14256407002034,245.29718186928608,244.03155347387514,246.77426929583788,252.51559138922153,254.88558735238453,245.05455371925007,251.93868528074904,241.23182347372642,243.03723694185425,242.9156084753697,232.92817773917398,236.4431722983974,242.97080048542483,246.18404568750375,255.8579362754927,259.7008361725696,268.75099351925496,273.28421773129094,265.6057572492025,258.4843191399034,248.8627121272214,244.9084464405189,228.29101752976214,220.26508122105685,218.21576312619578,217.14382487412237,218.28976870270634,221.562653605269,226.11497883776786,231.95610589387599,242.08004466574457,242.82486803778443,241.20231950575854,237.31498807226046,231.54675941246842,230.1314603273986,231.08432222573936,238.76127809259089,242.8379509576797,241.13810219056376,241.8949068975004,239.49113092912472,235.34696468358652,230.72197096609784,233.3478124156488,229.287054958373,227.0894056445831,212.13558110397912,218.5827253384888,226.37839182869556,229.6029529162688,226.5067564744469,240.20094994743596,238.41046961107872,236.61891476335393,233.66191699903982,226.97522304669968,215.0856642233453,207.81481540869527,214.06896296178425,218.0732479014075,221.42483213785033,210.53306386370065,199.50934961641656,195.06643083977747,185.74572358117393,214.1312066627815,205.56071128163245,211.05664102084273,213.93575080229212,215.9574537200234,217.04053396465156,214.365423685599,218.91507761329393,211.72921852063558,210.86542668565409,216.1226845078503,213.2154700305092,219.62006216562088,223.64150462054076,210.73803935844978,212.83656268806155,211.7858229666955,202.83299693054022,214.07211375679907,219.04483831013385,222.91478274374776,229.95888228810605,228.06888149932976,223.851771872389,229.90266460830728,237.45800842240504,239.27850037195225,242.17824282235836,246.44974019778144,248.94900754267022,235.3557455877906,235.634252477691,240.39186470576044,232.2070266550386,233.45675141894878,231.54340208299232,238.0643880025092,244.96686122963717,240.51211756952392,249.5302190715504,243.35484859770497,255.45922400743444,249.04447531162754,254.38561261762368,244.63163285406787,233.49310530472167,238.25684467064525,233.02387102311098,234.17587770914523,222.39593151146684,221.34908908776418,220.1649680784397
4,1990-04-27 17:08:01+00:00,222.86233928885602,222.7394709226589,209.82449815849623,207.3797927752307,206.91222948916197,219.11047065712697,213.0873595112387,223.20181602904518,226.60526664574752,232.80933687448425,224.88053322964342,230.4152754070497,239.334556427802,239.21757263073005,236.66062512796583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1990-05-04 17:14:10+00:00,237.10537246651916,225.30158429261212,223.680170963794,224.0283017813435,225.58993681224433,239.3784868007816,230.62072755549906,240.6425639890076,245.12749516692335,243.9994200332128,240.20051571635224,241.60484397468042,246.84793776629493,246.16127948772504,249.75239634159124,250.05811479917173,254.99714189783128,248.10828267034384,245.01835644188208,240.6446956457998,244.49106501959943,242.34389868190704,239.7133034153166,242.97444882663717,245.73154177511782,245.46662039964883,261.8930835475943,267.39007416070694,275.71550462833636,265.4518262267172,259.09809336317574,246.05230927665673,241.1978388034633,224.86436162444053,226.3140959570597,213.3168097371423,207.82231496291277,209.90678523084262,222.98048188372493,222.73529174452864,235.27275165700894,235.3282049436679,242.41043029935724,234.87798963267932,234.7550128197878,230.7945181777307,230.76782668357237,229.61645709120876,235.86362143650484,231.06572307083314,237.67005581788288,244.06154173080802,239.0353754509423,239.59425943445652,231.7071484405302,229.6098764384808,223.45423890255836,219.11194465116904,219.1321078075792,214.0873663858808,217.26115962176777,220.0760437164419,229.7606073917279,238.93734896579937,238.74871945541918,235.2370316474477,232.27853340867443,218.15658990825756,217.06693195260607,210.24789257529557,213.52922985370753,217.21016066482167,220.62584756998723,202.83401198031953,201.18248535583194,194.33388127269575,186.91606188120247,211.48196265714583,211.09353288982362,213.75622660624703,213.81529326909398,219.76384072721274,214.33121671006163,214.56349087427364,206.94542444136943,213.94363261550563,211.02203832874892,216.19896798035933,209.11708526919801,219.4280291006271,214.3266662683837,212.40938994144068,212.1362248046937,210.6913522723432,203.06833305465528,209.5852659135992,207.27226607365856,212.8477382472778,223.1409609019761,224.50177070912167,224.46915139524083,231.75206870241595,234.1680830352911,237.58662233625222,241.38831668160793,247.92536757395334,236.62324470899813,235.80368439906857,232.51667047526985,227.7471768058312,222.6326144453393,226.97555925321728,232.31058897231597,234.57229744647174,237.4450197616054,241.7921537521816,241.54986222437785,241.52018982363597,246.92065301656862,247.00677981074762,250.56086208913533,237.9261774234604,235.47392108196834,227.31630842877394,225.98993025688264,220.28453864990882,223.59135116623452,221.3271897735247,217.1536005199339
6,1990-05-13 17:08:07+00:00,240.77530817328827,226.84241189573876,224.9479353205191,221.15263024273628,224.80573784506439,227.07506134538897,223.6926191682325,230.5306136221748,235.86943870041526,237.78028126163355,235.6461279975536,239.297246725604,241.71330382560413,251.81812815282422,249.10256693941142,248.29466888804808,239.9369527379537,246.6195570277617,237.19018935655419,239.83035488128078,236.31024732371372,233.04556093973486,241.23889452532535,242.25935266389808,247.57901088105052,242.13458162915907,256.7566539988715,260.48336630387627,268.17711724031767,259.7823071645297,250.62062817436825,244.1398803456994,233.20736561612063,223.14681459906478,224.75095437469054,211.8027143157542,207.4152534241044,214.14571347526743,213.4772501984034,217.83976340306918,222.03876129188134,230.89217522437767,231.75534939180733,232.06492280213325,224.49631047006767,230.6188664372278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1991-01-08 17:07:53+00:00,241.5063285048837,237.33691613278182,242.98737791806636,244.0582607554283,238.80111874055416,244.61786683068067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1992-08-29 17:16:22+00:00,206.1968307760629,199.3270759794293,194.11999312764925,200.3008860852632,206.39552834603612,211.49269997073247,206.0056425981834,220.01144836948347,219.18364526736022,221.92408217358394,214.49891522491333,221.10654379910545,219.37626777898305,226.35001319671704,230.0173868487095,225.05076329959775,223.9821648286901,221.19732118047511,220.52228236263795,209.3371646156557,204.31572983023676,191.72586421456262,191.03947787282124,203.87800327984934,214.05767910064554,217.52881326940616,237.00116281666465,233.35760907623205,231.65185060799854,228.32575072616328,230.9875919961084,216.81948013991172,208.6928616289187,204.01091810665682,193.56570105049727,190.94788398295373,185.27134788562526,189.37044757643793,199.41705625428636,211.29287180717913,215.11469748464907,214.77945527242952,205.81342489049092,199.93005404631023,190.63136712548146,188.38876993714536,189.84123341659594,191.32767786036402,195.14944247234797,195.77936521280728,199.1771695604882,205.39806893417563,200.70524830041083,201.84202387675944,194.0176020158998,194.6552583790179,186.21906864983632,184.4663250046202,187.79845938759436,191.4600116166884,195.74000470156417,197.50449244705993,203.07790261134676,207.50790677394895,203.70597286602904,199.58464181850468,197.08097618329523,185.2218064677096,177.91272675197888,175.19676380505615,179.9176868411907,179.20822200643352,181.94346568369653,168.02733351996434,173.7027613825769,167.38689820284185,168.99442936122358,189.25197708068498,177.3176488459161,157.97351677223213,151.8194746696601,162.95376370696846,161.2938791320322,165.48003571391476,161.49453879233727,178.16229945548136,174.71285779171134,168.63515662610337,171.4968190219003,170.0133018786847,165.30289015707183,163.44453222447447,160.73735917392173,163.66554411871934,160.76850175797261,157.8825846332083,154.94245337622903,166.09127845510878,167.23717335348402,170.61444245430283,165.8388783234825,174.36417474331165,181.73532984515663,190.63196525865854,193.3080066450357,197.02128434813602,189.98104538375628,190.07261140552592,186.30040701982128,188.81108707062938,181.10438801333117,183.4128374813247,184.19455993162504,181.28277551292695,183.5151668813542,185.834020470604,190.8508570180647,183.85008323810422,183.9988493084612,185.17664830613694,185.01251920722947,179.8659141766145,183.26520967302474,175.228006114944,,,159.49482515243253,146.4877851870101,
9,1992-09-07 17:10:04+00:00,214.15593289709724,209.61274275201959,214.7370515325419,206.66421694106242,214.71802240132706,224.6342709293744,221.1315117784949,230.44040405464153,235.88926768027937,232.6733340094535,230.76689549791473,230.7236702883612,239.05571146523283,237.1689021526904,243.53109426730916,233.41256148991718,226.63836646233878,229.68570668349213,219.5825021093721,217.88422773498024,207.39831078085865,194.79529683971305,192.10824692081178,213.7305636424124,224.88577731853542,229.7189928155533,237.88909861590847,235.99198515641194,239.05755738214125,240.12963119244296,235.49532515287493,229.9142575601415,222.90255291339676,208.99509010661458,202.39599214861593,201.68422092111564,198.61639294088764,199.89383683138834,207.40323370188872,210.26247474346442,217.78132556544008,218.4374726000401,217.63657527745983,215.01109692573286,206.71605431403458,201.79472537029883,199.17087001697956,202.5062437032265,207.69226406556294,205.3556750564279,204.3495900570036,207.38098231935712,208.9419166647304,206.8824742801452,199.40557283148286,198.10199200986918,192.40848452611647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
