dates,satname,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0036,nzd0347-0037,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0055,nzd0347-0056,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0066,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070
1999-08-28 21:53:59+00:00,L7,334.07,333.31,327.26,321.21,331.72,339.43,343.41,342.48,353.03,367.01,360.56,357.13,349.80,354.70,352.85,342.31,329.78,333.94,343.41,346.74,350.36,347.30,349.66,365.51,373.79,374.20,359.91,351.07,348.89,342.54,354.36,377.03,367.03,353.14,346.61,349.87,361.62,360.72,363.52,371.40,370.37,355.15,343.18,348.11,350.55,354.01,351.96,346.95,340.68,349.96,365.18,358.69,357.46,361.25,348.90,345.25,359.35,365.11,368.80,369.87,365.58,363.33,363.01,372.20,372.77,360.46,347.53,342.01,341.74,345.48,
1999-09-29 21:54:04+00:00,L7,325.25,311.29,298.00,292.59,310.79,319.19,322.21,320.11,333.87,341.79,340.91,341.43,323.26,326.65,321.31,305.97,309.18,310.65,325.08,314.70,321.17,332.27,335.28,347.91,351.84,354.67,342.45,334.51,334.83,333.36,343.67,354.54,340.70,341.25,333.43,339.48,348.60,345.97,346.96,352.62,348.01,340.76,334.07,337.80,333.77,333.25,327.88,323.96,327.87,334.80,349.33,343.41,339.26,340.76,339.73,332.35,339.18,346.50,349.51,349.82,345.51,349.97,349.42,354.13,357.12,343.82,329.96,328.31,325.03,327.20,336.35
2000-01-19 21:53:49+00:00,L7,358.14,342.58,325.39,325.26,346.83,351.01,354.95,350.04,354.93,372.97,386.36,386.87,359.24,356.01,347.05,346.86,342.78,354.03,359.75,346.63,354.26,364.42,369.95,376.57,375.42,374.89,368.36,363.50,365.07,364.78,368.68,386.05,380.63,365.30,366.84,368.89,374.72,363.34,369.38,390.62,389.19,386.05,370.43,368.22,354.06,350.96,359.71,348.75,351.16,365.19,368.97,377.45,369.41,368.02,362.23,369.65,375.38,378.02,365.48,365.42,363.62,367.95,368.74,368.85,373.27,365.11,351.63,348.78,350.66,353.62,361.96
2000-05-26 21:53:00+00:00,L7,335.85,332.18,313.18,315.98,334.92,341.75,350.15,361.27,360.64,370.86,374.15,360.57,343.15,348.50,338.08,329.59,334.30,341.22,346.40,339.13,338.88,353.89,352.84,362.24,358.42,358.81,343.40,341.22,346.90,346.65,360.84,379.22,363.47,349.48,352.27,345.33,352.73,362.31,366.20,357.70,360.55,358.83,350.60,341.05,343.39,342.68,343.94,338.86,342.35,361.72,359.33,348.96,357.51,363.07,347.22,341.87,354.34,362.60,359.83,359.92,356.89,355.71,359.41,354.18,359.80,344.85,334.19,334.01,335.70,336.45,345.66
2000-07-13 21:52:31+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,373.94,,,,,,,,,,,,,,,,,,370.08,355.09,353.19,370.22,362.14,357.14,361.26,361.14,372.77,370.77,361.70,367.24,367.00,367.41,350.38,364.86,377.94,374.50,372.47,370.55,364.98,372.49,370.02,359.86,351.60,345.50,350.91,350.09,363.86
2000-07-29 21:52:14+00:00,L7,336.20,329.48,322.79,327.77,346.42,350.73,349.77,357.73,370.47,375.67,368.36,357.78,357.93,365.47,356.89,335.21,339.92,350.12,355.99,353.85,350.48,366.24,370.97,377.33,376.60,375.10,367.87,,,,,,,,,,,,,,,,366.77,354.27,358.45,369.86,380.55,364.99,367.71,370.93,378.94,375.35,371.44,369.83,366.41,372.50,369.18,366.14,370.88,378.48,383.86,378.82,376.89,377.65,377.05,361.64,350.30,347.50,354.68,358.88,364.80
2000-08-14 21:52:08+00:00,L7,333.32,330.26,319.22,310.97,331.72,337.93,338.57,341.68,351.78,356.72,350.21,346.43,333.77,332.48,327.61,327.64,334.10,341.90,346.14,339.18,335.92,352.09,350.35,357.31,358.03,360.85,358.05,356.93,349.96,341.31,355.72,376.40,363.11,350.21,340.85,347.07,359.96,352.40,354.96,360.61,363.02,361.34,348.87,345.84,341.36,347.80,344.30,343.44,342.90,350.89,358.53,350.62,350.93,355.12,348.03,350.45,357.97,361.41,362.65,363.94,361.81,360.50,358.28,361.44,364.53,354.17,340.15,335.76,338.04,341.43,349.02
2000-12-04 21:51:22+00:00,L7,336.21,316.49,306.24,315.06,327.94,338.38,344.65,349.38,361.22,364.40,356.36,352.60,335.29,335.61,325.21,320.76,319.23,333.07,337.35,331.63,330.25,350.02,352.61,350.35,352.46,356.81,344.62,339.97,344.66,334.58,338.21,361.96,352.07,344.34,343.38,348.42,357.82,339.24,342.39,353.66,353.04,354.24,350.07,346.25,332.75,336.68,336.96,335.32,340.48,350.49,353.41,349.85,345.21,345.74,342.86,,,,,,,,,,,,,,,,
2001-01-05 21:51:28+00:00,L7,354.66,333.94,334.03,333.11,350.46,358.97,367.90,372.07,383.01,380.91,375.27,379.06,359.69,352.60,353.99,343.69,343.35,356.13,366.13,366.84,365.77,370.68,372.47,374.59,374.33,376.45,366.33,358.01,364.81,357.38,372.97,394.24,375.26,360.78,362.46,361.84,370.23,368.18,374.14,377.65,378.01,373.88,369.49,362.56,351.15,361.51,364.38,357.38,361.70,371.42,375.23,366.19,370.62,369.30,366.09,361.80,372.94,377.41,373.37,369.83,370.47,374.54,372.31,368.70,369.23,358.92,348.92,346.85,345.53,349.56,359.60
2001-04-27 21:51:07+00:00,L7,325.60,315.01,306.43,305.19,312.99,322.74,327.71,331.88,343.59,356.61,357.40,350.35,336.29,333.61,324.18,312.51,316.35,329.28,335.44,331.55,329.19,335.62,343.73,350.13,347.83,346.55,342.71,345.18,342.81,332.01,344.61,364.13,358.17,344.10,346.22,350.50,352.53,346.12,347.29,348.45,349.04,352.82,355.28,351.36,335.82,336.21,333.75,330.09,336.90,344.02,350.52,341.65,339.25,344.88,341.72,332.16,340.53,347.89,348.33,348.03,350.03,353.99,354.10,352.96,352.09,339.74,330.52,327.31,324.94,326.52,337.63
