dates,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0036,nzd0347-0037,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0055,nzd0347-0056,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0066,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070,satname
1999-08-28 21:53:59+00:00,332.36,332.05,326.00,319.95,330.01,337.58,341.23,340.08,350.85,365.01,358.56,355.13,347.40,352.52,350.85,340.13,327.60,331.94,341.41,345.03,348.51,345.59,347.95,363.51,371.94,372.35,358.31,349.36,347.18,341.04,352.36,374.85,364.63,350.96,344.61,347.69,360.02,359.22,361.92,369.90,368.87,353.44,341.68,346.51,349.05,352.41,350.36,345.35,339.42,348.25,363.33,356.98,356.05,359.25,347.40,343.40,357.64,363.11,367.09,368.27,363.87,361.73,361.01,370.35,370.59,358.46,345.93,340.41,339.89,343.48,,L7
1999-09-29 21:54:04+00:00,333.81,325.36,315.69,309.95,325.40,333.77,338.09,337.10,348.73,359.24,355.57,354.12,342.33,345.95,341.92,329.41,324.75,327.13,339.08,334.87,340.23,343.93,346.62,361.54,367.27,368.89,355.04,346.94,346.00,341.58,353.85,371.06,359.66,352.47,344.86,349.95,358.98,356.97,359.11,365.63,362.81,352.10,342.25,346.82,345.78,347.50,343.78,339.32,337.33,346.52,361.72,355.20,351.77,355.84,347.94,343.26,353.41,360.64,363.30,363.71,359.69,360.51,361.05,367.62,370.22,356.98,342.61,339.02,337.85,341.18,349.08,L7
2000-01-19 21:53:49+00:00,338.11,328.29,316.11,312.25,328.73,335.41,338.86,336.08,345.94,359.37,361.39,360.59,342.63,344.45,339.18,330.38,325.91,331.65,341.53,334.98,340.80,346.95,350.58,362.11,365.89,366.79,355.93,348.65,348.55,345.98,354.35,371.21,361.32,351.90,347.74,351.41,360.67,355.76,358.97,370.63,368.27,359.61,348.31,350.40,345.21,345.09,345.54,338.91,339.13,348.94,360.03,358.80,354.52,355.46,349.37,347.95,356.92,361.99,360.22,360.72,357.19,359.44,359.17,363.93,366.39,355.24,342.06,338.72,338.01,340.88,348.25,L7
2000-05-26 21:53:00+00:00,342.71,334.23,316.13,317.46,336.59,341.76,347.10,349.65,352.33,366.91,375.25,368.72,345.19,346.80,337.57,332.77,333.09,342.62,348.08,338.60,341.95,354.87,357.11,364.40,362.31,362.24,351.88,348.07,351.70,351.96,359.76,377.18,366.05,351.94,354.56,351.65,359.73,359.07,363.79,370.41,371.12,368.15,356.76,350.63,344.98,342.82,347.83,339.80,343.60,359.17,359.54,358.92,359.93,360.54,350.98,351.14,360.57,365.31,358.37,358.67,355.97,357.83,359.08,356.90,361.08,349.98,338.91,337.39,338.56,340.03,348.36,L7
2000-07-13 21:52:31+00:00,342.71,334.23,316.13,317.46,336.59,341.76,347.10,349.65,352.33,366.91,375.25,368.72,345.19,346.80,337.57,332.77,333.09,342.62,348.08,338.60,341.95,354.87,357.11,364.40,363.36,362.24,351.88,348.07,351.70,351.96,359.76,377.18,366.05,351.94,354.56,351.65,359.73,359.07,363.79,370.41,371.12,368.15,358.91,349.68,345.42,349.51,350.15,343.14,347.56,357.21,361.13,360.25,358.36,359.72,354.02,353.75,354.56,362.10,362.27,361.50,358.85,359.63,357.99,359.28,360.73,350.22,340.70,337.65,339.86,340.33,350.19,L7
2000-07-29 21:52:14+00:00,331.67,327.62,314.77,318.66,336.31,341.55,344.42,353.40,360.01,368.18,366.17,354.09,344.44,351.44,342.40,326.86,331.56,340.59,346.11,342.13,339.99,355.71,357.55,364.70,363.71,362.26,351.57,344.08,349.76,349.15,364.17,382.86,367.47,353.12,355.60,348.97,355.40,364.81,368.87,360.20,363.05,361.69,357.65,344.98,346.84,355.77,357.06,348.51,353.04,359.07,364.40,359.50,359.00,360.27,355.38,354.65,352.44,358.09,364.03,365.81,365.55,363.21,360.65,362.16,361.93,349.00,340.21,337.18,341.15,342.03,351.08,L7
2000-08-14 21:52:08+00:00,330.17,326.99,314.75,314.59,332.74,338.14,339.86,346.63,354.66,361.97,358.46,349.15,338.02,342.51,335.08,324.51,329.80,338.63,343.73,339.10,336.43,352.46,353.10,359.85,360.63,359.59,351.82,347.44,346.79,342.54,356.36,375.72,360.99,347.75,344.64,344.11,354.81,355.91,359.05,357.72,360.35,358.44,354.11,343.77,344.13,352.34,352.44,345.81,349.37,355.49,361.28,355.75,355.72,357.19,352.19,351.94,352.29,357.12,362.15,363.91,363.08,361.10,358.26,360.32,360.62,348.50,338.76,335.39,338.72,340.09,348.61,L7
2000-12-04 21:51:22+00:00,330.96,322.25,312.92,314.77,331.08,337.73,338.87,343.60,355.70,360.60,353.31,347.27,336.33,339.06,331.57,322.41,325.63,336.70,341.49,337.27,334.27,351.83,353.69,356.66,359.68,359.64,352.85,347.81,346.67,337.38,346.22,368.36,356.69,346.45,341.37,346.93,358.29,345.25,348.08,356.58,357.47,357.15,354.42,345.53,341.90,351.31,351.15,345.39,349.27,353.19,360.34,356.47,353.06,353.44,351.54,354.27,350.65,354.19,361.97,364.35,364.19,362.00,356.77,361.35,359.68,348.61,339.40,334.97,338.70,340.19,348.38,L7
2001-01-05 21:51:28+00:00,336.24,324.70,317.73,318.88,335.28,342.35,345.31,349.81,361.71,364.93,358.05,354.47,341.27,341.63,336.42,326.92,329.24,340.81,346.90,344.02,341.45,355.90,357.75,360.39,362.06,363.15,355.62,350.35,351.86,343.30,354.13,375.90,361.68,350.14,347.40,350.81,361.47,352.15,355.96,362.85,363.56,361.87,356.98,348.46,343.30,352.87,353.32,347.31,351.38,356.32,362.76,357.90,356.14,356.01,354.00,355.46,355.58,359.25,364.18,365.12,365.12,364.54,359.90,362.49,361.25,350.44,341.18,337.34,339.71,341.78,350.37,L7
2001-04-27 21:51:07+00:00,341.87,324.06,317.81,320.03,333.51,343.31,350.63,355.38,366.49,370.86,366.57,364.23,348.02,344.49,338.02,329.53,330.19,343.05,349.86,346.39,345.02,355.16,359.32,361.91,361.49,363.22,354.06,350.77,353.81,343.99,355.49,377.32,366.10,353.62,354.24,357.47,363.04,353.85,357.45,362.59,362.70,363.36,360.95,356.23,342.57,347.64,347.87,343.77,348.61,358.36,363.00,355.61,354.20,356.86,352.89,349.28,358.88,365.15,363.00,360.93,362.39,366.26,365.71,363.13,363.39,351.83,341.72,339.08,337.54,340.54,351.35,L7
