dates,nzd0106-0000,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0012,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125,satname
1999-08-26 22:04:44+00:00,,,355.72,369.89,354.85,352.39,345.33,343.87,345.95,344.24,341.13,347.70,352.68,362.83,366.85,370.51,369.47,369.53,368.82,365.99,362.25,363.64,360.74,365.37,369.26,361.43,369.24,368.29,372.62,370.86,374.26,378.68,379.37,378.41,378.92,380.89,382.94,379.13,381.23,377.17,376.37,370.13,375.59,381.04,391.62,396.87,393.84,388.96,388.47,390.90,387.30,384.61,377.28,381.75,382.47,376.24,377.43,380.10,372.63,374.77,370.06,362.99,362.42,365.91,364.16,374.46,382.21,382.18,374.97,377.74,387.00,393.29,390.42,392.62,391.44,387.88,382.83,382.80,371.15,368.67,373.39,378.47,377.25,381.82,380.31,386.72,390.71,384.33,382.36,381.14,381.86,375.98,378.71,384.74,391.39,390.71,387.52,386.59,383.99,384.67,384.68,384.37,388.69,393.10,395.40,397.67,397.92,398.12,399.54,397.58,391.62,385.66,385.50,392.82,394.81,391.80,393.92,392.90,391.08,389.23,387.73,387.73,390.22,388.19,384.13,376.89,L7
1999-09-27 22:04:48+00:00,,,365.31,381.54,357.34,350.06,346.17,347.03,350.63,348.52,344.68,351.62,354.07,359.34,365.95,366.43,371.52,369.14,368.23,368.80,369.44,365.27,366.58,367.00,367.72,364.95,367.97,366.50,369.48,371.75,368.49,379.01,378.93,377.47,377.38,380.38,379.60,377.81,377.53,372.24,373.94,372.32,373.98,379.51,386.54,391.50,387.85,386.29,386.80,386.03,384.25,379.63,378.50,379.36,379.27,372.58,375.77,376.84,369.72,369.99,365.99,359.08,362.62,363.59,367.09,372.64,381.28,380.01,376.42,379.13,386.35,389.61,389.69,389.32,388.10,388.19,379.62,376.85,372.04,368.19,368.92,379.37,376.03,379.45,376.96,383.71,387.83,385.66,384.66,378.04,378.84,376.28,372.98,381.06,387.64,384.71,383.65,383.12,384.72,385.24,384.14,384.18,385.16,388.28,390.12,390.65,393.26,391.82,391.27,393.49,390.25,387.61,387.64,395.36,399.58,394.81,395.16,397.02,395.53,388.34,387.24,384.51,385.52,386.04,384.81,383.18,L7
1999-11-14 22:04:42+00:00,,,365.31,381.54,355.84,350.74,344.71,345.62,349.40,346.05,344.08,350.40,354.44,361.57,364.41,364.83,366.30,367.95,367.40,368.75,368.27,364.95,365.70,364.87,364.94,363.69,367.87,366.06,369.87,371.03,368.60,376.43,375.42,376.08,374.73,379.70,378.24,375.00,375.04,371.14,371.17,371.42,374.16,377.80,383.31,387.76,385.22,384.03,384.03,383.43,381.75,379.52,376.70,376.47,376.68,369.85,373.11,371.37,368.11,366.75,365.23,359.23,361.08,365.03,366.69,371.75,378.10,380.51,374.69,376.26,382.74,387.69,388.35,388.09,386.08,386.48,378.43,376.28,368.96,366.43,368.23,376.53,374.18,377.47,374.93,381.13,385.81,383.46,381.52,376.13,374.85,373.08,371.07,378.70,385.85,382.23,380.07,380.08,380.90,381.44,380.78,381.35,382.35,385.06,386.43,387.27,389.84,387.73,386.04,388.72,386.89,382.65,382.28,390.90,394.95,390.52,390.43,391.79,390.09,386.20,387.63,385.90,384.19,384.68,386.49,382.83,L7
2000-02-18 22:04:29+00:00,,,365.31,381.54,355.84,349.71,345.31,344.37,347.11,343.03,343.25,349.66,353.23,361.17,363.62,364.51,366.08,367.09,366.83,367.53,366.68,363.89,363.57,363.36,365.50,363.14,368.68,367.21,370.38,370.94,368.62,374.73,374.05,374.38,374.82,378.03,377.16,374.80,374.33,372.26,371.98,371.82,375.18,377.45,382.19,385.71,383.26,382.75,382.98,382.35,379.66,379.70,375.62,376.52,375.54,370.69,371.94,369.94,366.89,364.31,364.80,359.65,360.74,364.91,366.03,372.07,377.54,380.79,376.24,376.98,382.65,386.62,387.69,386.69,385.73,385.69,378.28,376.99,369.38,366.89,368.96,375.98,374.60,376.54,375.43,381.46,384.41,381.74,380.22,376.21,373.69,372.92,371.64,379.23,386.05,382.30,379.76,379.04,378.92,379.36,379.38,379.99,381.90,385.04,386.73,386.75,388.47,386.56,386.00,388.27,386.08,382.31,382.01,389.06,392.53,388.54,388.87,389.68,388.93,385.73,386.68,385.63,384.06,384.53,386.60,381.59,L7
2000-05-24 22:03:46+00:00,,,,,,346.62,347.11,340.61,340.22,333.97,340.77,347.45,349.61,359.94,361.25,363.55,365.41,364.51,365.13,363.87,361.89,360.71,357.19,358.82,367.21,361.97,370.31,369.78,370.63,370.15,369.77,370.90,370.69,371.39,378.00,375.69,375.77,374.07,376.61,377.19,374.54,371.43,377.47,375.85,378.30,379.53,377.48,381.62,380.31,382.63,375.93,380.64,374.16,376.68,372.11,370.61,368.38,366.68,364.00,362.16,365.67,361.37,359.90,365.50,366.51,374.32,375.22,382.70,380.88,379.66,383.41,384.48,387.40,384.27,384.35,385.19,378.01,378.90,370.28,368.52,372.27,375.81,375.59,375.86,377.92,382.82,381.54,378.47,378.24,377.05,374.04,372.50,373.80,381.14,386.22,383.35,377.49,376.46,377.09,379.24,379.34,377.63,381.73,384.81,385.74,386.21,385.59,383.58,387.34,386.39,383.80,379.95,379.90,383.97,385.75,383.50,384.84,385.28,387.50,386.94,385.07,387.51,386.53,385.42,386.77,377.94,L7
2001-01-03 22:02:12+00:00,,,411.19,413.41,365.92,357.36,348.65,345.20,343.78,342.49,339.22,338.94,347.69,354.14,352.62,348.01,354.64,357.95,362.09,348.51,348.38,353.68,352.10,349.74,349.46,356.79,354.94,355.85,361.02,363.82,366.00,363.28,360.48,364.95,369.55,369.24,368.03,360.70,358.25,352.98,361.75,360.62,367.58,367.99,367.84,374.28,369.14,373.39,373.15,376.41,366.55,365.14,372.82,367.65,363.64,364.45,364.05,368.38,359.11,351.76,357.84,356.39,353.41,355.39,353.81,361.45,362.43,367.37,375.89,371.46,366.11,370.71,372.05,379.94,378.23,373.58,371.88,367.31,359.25,362.36,366.40,364.04,367.22,365.79,361.51,363.66,374.69,370.66,371.88,360.72,357.27,357.76,365.68,373.33,380.15,377.62,378.93,369.30,371.28,373.30,373.66,374.55,372.37,378.69,377.69,373.13,373.68,375.46,383.24,381.77,377.23,369.78,370.20,379.94,379.82,376.63,376.62,376.45,376.15,374.69,370.01,373.35,380.07,384.02,395.34,391.98,L7
2001-03-24 22:01:59+00:00,,,399.41,402.68,367.34,355.68,349.17,342.75,342.00,338.76,337.57,338.32,342.51,351.05,348.06,349.81,350.93,355.94,357.10,350.61,345.98,351.51,349.24,349.94,347.54,353.18,355.85,353.31,356.73,359.10,364.00,360.49,361.28,362.29,363.76,366.25,361.38,359.20,358.88,355.95,359.51,361.21,364.35,364.75,367.75,370.73,367.75,367.89,370.28,371.08,365.83,364.91,370.50,364.51,361.94,362.77,363.02,361.39,357.10,352.19,351.05,353.13,352.57,354.85,356.30,359.56,365.52,371.51,371.84,371.16,368.75,370.75,374.25,376.94,375.87,375.66,373.28,367.77,360.62,362.41,366.12,367.07,363.18,366.87,365.63,365.48,372.59,371.89,368.88,364.00,361.00,362.41,366.94,372.07,378.94,378.77,378.35,372.28,373.30,373.21,373.11,373.80,373.15,377.50,377.03,375.15,376.69,374.20,378.47,376.55,372.65,367.87,365.38,376.78,374.85,374.00,371.53,372.29,376.85,374.79,372.83,372.18,374.00,378.49,387.35,391.98,L7
2001-08-15 22:00:38+00:00,,,387.64,391.95,368.76,353.99,349.69,340.31,338.38,334.04,335.05,332.92,335.94,341.36,344.11,347.19,346.76,351.33,352.00,350.35,344.66,345.94,342.24,343.86,342.66,343.21,349.13,353.77,352.44,354.38,361.99,357.69,362.08,359.63,357.97,363.26,354.74,357.71,359.51,356.62,357.08,357.59,361.40,361.67,363.67,365.83,367.41,365.03,366.81,366.50,365.50,368.61,365.81,359.22,358.51,354.74,358.09,352.09,353.44,349.01,341.78,350.77,345.53,352.00,350.58,354.87,368.61,375.65,367.79,370.86,371.38,370.79,376.44,373.94,373.50,377.75,374.68,368.89,367.68,362.27,365.68,367.46,365.45,368.68,371.54,366.69,370.44,376.91,366.85,365.46,365.75,367.54,365.53,369.10,377.94,375.21,378.84,376.10,366.92,374.52,373.48,372.27,374.79,378.16,378.53,381.63,381.60,376.70,377.06,376.32,370.17,367.97,362.87,376.85,380.73,370.74,367.28,372.38,376.21,367.00,368.00,371.01,367.94,372.95,379.35,,L7
2002-01-22 22:00:40+00:00,549.78,454.92,401.79,383.02,376.87,363.07,361.12,357.70,344.15,339.50,338.19,336.25,341.98,345.69,352.06,351.39,356.26,360.41,360.99,357.48,353.98,352.12,349.29,348.94,349.37,350.82,353.95,363.55,372.21,369.60,373.03,385.54,388.58,387.42,385.68,382.74,372.52,381.17,376.96,366.21,365.12,364.59,369.39,370.77,370.89,373.01,375.56,375.59,376.16,375.75,375.39,378.42,373.44,369.44,369.78,364.35,367.24,362.04,362.40,361.74,356.95,361.82,352.10,357.41,355.17,362.39,380.07,377.60,372.85,376.21,377.44,375.64,382.00,388.78,389.64,393.18,397.96,378.41,376.32,367.63,369.28,370.23,375.06,372.14,373.70,373.66,379.10,383.52,375.00,370.80,370.48,369.70,369.37,374.03,383.33,378.91,383.01,376.72,366.71,375.86,372.25,372.16,376.23,378.88,380.75,383.42,383.65,385.91,386.94,385.99,379.49,377.13,371.77,380.51,389.38,375.59,372.44,375.88,376.27,365.36,366.46,372.49,378.43,388.48,400.64,419.11,L7
2002-03-27 22:00:37+00:00,549.78,454.92,401.79,383.02,376.87,363.07,352.85,349.77,343.23,337.28,337.32,338.88,343.02,348.59,349.25,349.59,355.72,357.60,358.86,358.72,354.67,354.80,353.47,351.63,352.91,353.86,352.73,356.65,359.97,358.18,364.15,371.48,372.78,370.46,370.56,369.31,372.52,381.17,376.96,378.10,373.36,375.80,377.09,379.71,382.13,381.53,382.68,383.49,386.12,384.25,384.91,384.31,383.45,381.81,382.78,380.31,380.30,374.31,363.16,363.01,362.56,359.33,353.61,356.60,359.87,365.16,370.11,371.30,368.35,370.54,370.40,369.02,373.72,377.07,376.51,380.76,384.60,374.78,366.36,363.29,363.29,364.05,365.84,366.90,366.52,373.78,378.33,378.49,373.39,361.64,374.18,371.37,365.94,368.71,376.16,374.89,373.51,371.91,369.56,370.76,365.98,366.86,371.17,371.78,374.46,375.42,376.65,381.68,381.58,378.15,376.06,374.95,370.06,375.99,380.73,374.38,369.25,367.19,368.69,364.81,365.81,370.69,378.12,386.62,392.28,395.96,L7
