dates,satname,nzd0106-0000,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0012,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125
1999-08-26 22:04:44+00:00,L7,499.07,475.10,356.22,370.29,355.10,352.57,345.51,344.02,346.13,344.41,341.31,347.88,352.85,363.01,367.03,370.71,369.67,369.71,369.00,366.17,362.45,363.81,360.94,365.55,369.43,361.63,369.44,368.46,372.82,371.11,374.41,378.83,379.54,378.58,379.07,381.03,383.11,379.30,381.41,377.34,376.51,370.31,375.77,381.17,391.79,397.02,393.99,389.13,388.64,391.07,387.47,384.78,377.45,381.95,382.64,376.39,377.56,380.27,372.77,374.92,370.21,363.09,362.59,366.06,364.36,374.66,382.41,382.38,375.10,377.87,387.15,393.46,390.59,392.76,391.62,388.10,382.93,382.97,371.32,368.81,373.52,378.69,377.38,382.00,380.46,386.87,390.89,384.51,382.58,381.36,382.06,376.16,378.85,384.92,391.56,390.84,387.62,386.70,384.14,384.81,384.85,384.52,388.82,393.23,395.53,397.80,398.06,398.25,399.66,397.69,391.73,385.76,385.63,392.96,394.96,391.93,394.06,393.04,391.22,389.40,387.90,387.90,390.39,388.33,384.31,377.11
1999-09-27 22:04:48+00:00,L7,,337.71,326.40,354.39,335.57,330.09,329.38,335.27,337.67,336.64,330.58,337.91,339.29,338.21,347.40,342.95,354.17,351.11,349.99,353.96,357.24,350.73,353.01,351.00,350.01,349.07,347.29,348.55,346.93,348.38,347.80,364.43,362.31,360.35,360.92,366.02,360.09,360.31,356.19,351.13,357.66,356.88,354.73,365.06,365.29,371.20,366.94,367.45,368.95,365.00,365.03,358.48,363.55,357.57,359.90,354.00,361.19,357.41,352.95,350.28,346.99,345.46,346.66,346.35,350.62,351.42,360.96,358.44,364.93,367.60,370.78,369.75,372.79,372.16,367.12,366.95,366.70,354.73,356.76,353.84,351.52,358.70,361.89,359.45,358.69,365.78,367.32,369.36,365.40,353.39,356.42,358.94,353.38,359.73,367.72,365.78,370.54,369.43,370.53,371.95,367.43,369.07,368.70,370.53,371.90,370.71,374.74,372.60,370.87,379.18,378.66,379.86,376.85,384.03,389.43,384.88,382.54,387.29,386.13,371.28,370.58,365.13,364.65,370.04,367.84,367.91
1999-11-14 22:04:42+00:00,L7,,,,,341.86,344.10,333.79,336.03,338.95,333.78,334.90,339.96,347.84,358.04,353.35,352.84,347.06,357.58,357.76,360.65,357.12,356.97,355.16,352.60,352.05,352.36,358.88,357.83,361.87,358.60,362.06,364.50,361.08,365.97,362.67,372.03,368.20,362.07,362.06,361.61,359.34,361.62,366.52,368.51,369.53,373.51,373.19,372.17,371.18,370.88,369.43,371.98,365.78,361.89,364.16,357.63,361.92,353.11,358.61,353.52,356.95,355.14,350.67,361.13,357.08,361.16,362.92,372.71,365.38,364.64,368.74,376.53,378.33,379.34,374.04,373.28,371.66,367.80,355.47,356.64,360.97,361.09,364.59,365.50,364.11,369.19,373.75,371.04,365.46,362.51,358.08,358.68,360.96,365.98,374.93,371.41,368.71,369.38,366.48,367.54,366.73,368.91,370.85,372.74,373.18,374.62,376.70,373.66,370.09,374.57,375.56,368.33,365.69,375.69,378.92,376.07,374.67,375.04,372.90,374.59,381.08,381.35,374.20,375.66,381.85,372.36
2000-02-18 22:04:29+00:00,L7,,,,,,347.17,347.66,341.07,340.77,334.47,341.32,348.00,350.11,360.49,361.80,364.15,366.01,365.06,365.68,364.42,362.49,361.21,357.79,359.37,367.68,362.11,371.71,371.16,372.48,371.42,369.12,370.06,370.43,369.80,375.54,373.47,374.43,374.69,372.74,376.12,374.83,373.55,378.79,376.79,379.34,380.04,377.84,379.44,380.31,379.63,373.90,380.72,372.87,377.28,372.61,373.64,368.83,366.12,363.65,357.42,363.97,361.21,360.21,365.01,364.65,373.64,376.46,382.24,381.26,379.54,382.87,383.89,386.20,382.93,385.22,383.98,378.12,379.62,371.12,368.71,371.55,374.99,376.28,374.29,377.39,382.92,380.77,377.12,376.98,377.13,370.79,373.00,373.79,381.37,387.17,382.91,379.15,376.23,373.45,373.57,375.66,376.36,380.96,385.40,388.03,385.62,384.79,383.44,386.26,387.25,383.97,381.57,381.59,383.99,385.73,383.00,384.61,383.76,385.87,384.83,384.34,385.32,384.16,384.51,387.50,378.52
2000-05-24 22:03:46+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,363.06,357.43,364.52,364.73,364.38,363.39,367.04,368.36,367.28,369.32,377.07,374.77,373.45,369.79,376.47,374.58,371.11,365.30,372.15,371.97,373.60,375.64,373.72,380.12,376.65,381.97,374.29,376.89,371.79,,,364.19,365.01,363.57,361.21,363.51,363.98,359.33,355.93,362.59,363.98,370.60,369.57,378.76,377.56,376.85,380.56,381.39,384.93,382.47,379.48,381.50,375.71,374.51,365.77,365.19,370.07,371.73,371.96,373.42,375.06,379.34,378.30,375.81,374.61,372.09,372.89,367.99,370.67,376.91,381.59,380.85,373.74,374.37,377.34,381.76,379.35,375.52,379.57,381.30,380.52,383.86,383.24,380.78,385.67,383.23,381.32,376.14,375.29,380.80,382.38,381.06,381.92,383.66,385.98,385.39,382.14,386.04,385.23,383.19,382.04,372.46
2001-01-03 22:02:12+00:00,L7,413.28,489.36,420.19,420.61,370.42,360.63,351.92,347.97,347.05,345.49,342.49,342.21,350.69,357.41,355.89,351.61,358.24,361.22,365.36,351.78,351.98,356.68,355.70,353.01,352.46,360.39,358.54,358.85,364.62,368.32,368.77,366.05,363.48,367.95,372.32,371.81,371.03,363.70,361.52,355.98,364.32,363.89,370.85,370.39,370.84,377.05,371.91,376.39,376.15,379.41,369.55,368.14,375.82,371.25,366.64,367.22,366.45,371.38,361.68,354.53,360.61,358.19,356.41,358.16,357.41,365.05,366.03,370.97,378.29,373.86,368.88,373.71,375.05,382.51,381.50,377.58,373.68,370.31,362.25,364.93,368.80,368.04,369.62,369.06,364.28,366.43,377.96,373.93,375.88,364.72,360.87,361.03,368.25,376.60,383.15,380.02,380.64,371.19,374.05,375.87,376.66,377.32,374.77,381.09,380.09,375.53,376.25,377.86,385.49,383.66,379.12,371.58,372.60,382.51,382.59,379.03,379.19,379.02,378.72,377.69,373.01,376.35,383.07,386.59,398.61,395.98
2001-03-24 22:01:59+00:00,L7,,360.07,372.14,379.55,361.01,348.35,344.05,335.54,334.59,329.86,330.28,332.07,332.16,342.32,337.86,345.40,341.02,348.28,346.47,347.07,337.37,344.18,340.17,344.49,340.45,343.36,350.56,345.60,346.24,346.63,357.22,352.92,356.91,354.46,353.20,358.83,349.57,352.54,353.87,353.75,352.85,356.16,355.48,357.39,362.50,362.40,361.60,357.22,362.25,360.58,359.94,359.52,363.02,355.18,355.07,356.32,357.87,349.23,350.66,347.86,339.49,346.78,346.56,349.53,352.59,351.46,362.41,369.45,363.66,366.73,366.61,365.62,371.27,369.51,367.86,370.86,371.58,363.06,356.81,358.03,361.72,363.21,355.01,362.30,364.99,362.53,364.85,367.49,358.99,360.38,358.54,361.42,363.76,365.17,372.57,375.80,374.81,372.01,370.56,368.69,367.38,368.28,369.81,372.19,372.25,373.05,375.27,368.81,369.81,368.07,364.82,362.86,356.43,369.19,365.10,367.24,362.02,363.71,373.11,369.72,370.48,365.84,362.77,368.52,373.71,
2001-08-15 22:00:38+00:00,L7,,,,,,,,,353.45,348.56,351.08,345.05,350.05,351.67,361.62,361.38,364.90,365.65,368.80,364.89,364.36,358.03,356.70,354.49,355.21,355.46,360.10,372.27,,,,,,,,,,,,369.81,370.18,370.29,378.60,374.23,375.16,378.80,382.76,383.18,381.71,382.74,381.38,388.03,378.93,375.66,372.28,362.70,366.57,365.28,365.08,359.71,353.61,360.97,354.84,364.02,360.96,370.67,,,,,,,,,,,,385.06,388.88,375.38,377.91,385.48,384.17,386.33,387.64,380.39,387.31,397.60,388.49,384.32,385.37,384.94,376.16,384.29,393.64,382.89,388.78,386.71,372.83,389.22,389.90,385.80,388.05,392.41,393.08,398.48,396.78,392.86,392.04,391.11,382.06,379.28,377.57,393.37,405.89,382.50,381.41,389.91,388.17,374.62,375.86,,,,,
2002-01-22 22:00:40+00:00,L7,569.78,468.25,411.79,391.02,381.87,366.71,364.76,360.78,355.41,349.26,345.84,348.00,352.73,360.27,363.05,364.01,370.23,375.73,373.73,370.62,366.19,365.03,364.48,363.94,362.36,368.78,370.40,373.67,376.21,374.60,376.11,388.62,391.91,390.75,388.76,385.60,375.85,384.50,380.60,381.43,376.22,379.44,380.73,382.38,385.46,384.61,385.76,386.82,389.45,387.58,388.24,387.64,386.78,385.81,386.11,383.39,382.97,377.64,375.87,381.15,377.68,373.97,368.18,368.20,371.98,376.72,384.07,381.60,375.52,378.88,380.52,378.97,385.33,391.64,393.28,397.62,399.96,390.59,382.60,376.03,375.72,380.08,381.02,378.51,377.16,384.32,391.44,389.99,386.61,382.40,378.18,375.01,378.72,384.33,391.86,390.00,388.01,378.62,377.98,378.65,373.44,375.91,379.48,380.42,383.49,383.44,386.67,394.03,395.96,392.77,388.82,386.29,381.04,383.81,390.27,383.75,379.62,377.99,380.53,374.93,375.88,375.82,381.76,391.34,404.28,423.55
2002-03-27 22:00:37+00:00,L7,,,,,,,347.67,344.46,337.77,331.46,335.54,336.48,339.47,343.64,342.18,342.56,348.61,346.19,350.72,353.55,350.55,350.73,349.86,346.05,349.63,346.33,342.45,345.80,351.13,351.00,357.89,360.04,359.82,356.32,358.06,358.31,,,,,,,,,,,,,,,,,,,,,,,355.74,350.57,353.15,348.38,345.19,350.70,355.16,361.00,363.55,368.39,366.12,367.14,365.98,365.24,368.26,367.79,366.47,372.13,372.93,365.13,356.28,355.84,355.80,356.24,355.60,362.03,361.59,368.94,371.94,373.71,368.40,349.10,,,358.45,359.81,366.62,364.73,362.53,369.11,366.84,368.17,364.67,363.51,367.80,368.09,370.37,372.34,371.93,374.27,371.84,367.44,367.20,367.31,364.03,373.46,376.89,369.95,364.16,361.69,362.14,360.85,361.90,371.71,380.65,387.20,387.02,376.58
