dates,nzd0106-0000,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0012,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125,satname
1999-08-26 22:04:44+00:00,,,355.72,369.89,354.79,352.32,345.29,343.80,345.91,344.21,341.12,347.70,352.67,362.81,366.81,370.47,369.42,369.49,368.76,365.92,362.20,363.63,360.72,365.33,369.21,361.41,369.22,368.24,372.62,370.91,374.24,378.65,379.34,378.40,378.90,380.86,382.96,379.13,381.21,377.17,376.36,370.11,375.59,381.00,391.61,396.80,393.70,388.95,388.46,390.82,387.30,384.60,377.23,381.75,382.44,376.22,377.34,380.10,372.60,374.75,370.03,362.94,362.42,365.88,364.18,374.44,382.21,382.21,374.95,377.65,386.93,393.28,390.45,392.58,391.42,387.85,382.68,382.72,371.10,368.61,373.32,378.49,377.18,381.80,380.24,386.65,390.67,384.33,382.38,381.14,381.81,375.96,378.65,384.72,391.38,390.67,387.44,386.50,383.94,384.61,384.65,384.34,388.65,393.06,395.35,397.58,397.86,398.05,399.46,397.52,391.55,385.54,385.41,392.74,394.78,391.76,393.88,392.86,391.05,389.22,387.70,387.68,390.19,388.16,384.11,376.97,L7
1999-09-27 22:04:48+00:00,,,374.90,393.19,365.42,354.34,350.94,356.83,359.23,356.04,349.06,355.55,356.93,357.61,368.96,365.77,378.42,372.67,372.81,378.21,381.49,368.37,374.57,372.56,371.57,370.63,368.85,370.11,366.33,367.78,363.97,382.07,381.71,377.99,377.79,382.19,375.01,377.18,375.59,368.00,372.58,376.28,372.37,381.23,382.93,392.76,394.65,385.09,386.59,389.25,381.20,376.12,385.11,376.97,379.30,370.17,382.75,373.58,369.12,367.15,364.63,360.38,362.83,363.99,368.26,372.98,380.36,374.61,379.85,389.16,392.34,387.39,386.65,389.80,386.52,391.20,390.95,378.98,378.32,373.24,370.92,378.10,381.29,378.85,380.25,387.34,388.88,387.00,384.80,374.95,380.67,378.34,372.78,379.13,385.36,381.95,388.18,388.83,389.93,391.35,386.83,386.71,384.87,386.70,389.54,392.27,394.14,392.00,390.27,395.35,396.30,401.42,398.41,405.59,407.07,401.05,400.18,404.93,402.30,388.92,389.98,386.69,384.05,386.21,387.24,381.77,L7
1999-11-14 22:04:42+00:00,,,,,355.40,355.10,343.57,345.81,348.73,342.58,343.28,347.96,355.84,366.84,363.13,363.19,358.06,367.36,368.11,371.65,368.12,364.97,364.94,362.38,361.83,362.14,368.66,367.61,370.67,367.40,369.39,372.50,369.88,373.97,370.32,379.36,374.97,369.72,370.86,369.26,366.11,370.42,374.52,375.84,377.53,383.29,385.76,380.17,379.18,381.88,376.76,379.98,375.56,370.69,372.96,364.96,371.70,360.44,365.94,361.17,364.95,361.91,358.00,369.13,365.08,370.94,371.72,380.04,372.15,374.42,378.52,384.53,384.62,387.34,382.84,384.28,382.66,378.80,365.25,365.44,369.77,369.89,373.39,374.30,373.89,378.97,383.53,379.04,374.26,372.29,369.08,367.48,369.76,374.78,382.93,378.74,376.71,378.18,375.28,376.34,375.53,376.91,378.18,380.07,381.18,384.40,385.50,382.46,378.89,381.90,383.56,378.11,375.47,385.47,386.92,383.40,382.67,383.04,380.23,382.59,389.88,391.13,383.00,382.99,390.65,378.65,L7
2000-02-18 22:04:29+00:00,,,,,,346.42,346.99,340.40,340.10,333.87,340.75,347.45,349.56,359.89,361.13,363.44,365.26,364.39,364.97,363.67,361.74,360.66,357.12,358.70,367.01,361.44,371.04,370.49,371.88,370.82,368.62,369.51,369.83,369.25,375.02,372.97,373.97,374.17,372.14,375.60,374.37,372.95,378.24,376.29,378.79,379.37,376.98,378.89,379.76,378.88,373.40,380.17,372.20,376.68,372.01,373.14,368.16,365.62,363.15,356.90,363.42,360.75,359.71,364.46,364.10,372.97,375.86,381.74,380.80,378.87,382.20,383.34,385.77,382.38,384.62,383.23,377.37,378.87,370.45,368.11,370.95,374.39,375.68,373.69,376.72,382.25,380.10,376.57,376.38,376.46,370.04,372.40,373.19,380.77,386.62,382.41,378.60,375.63,372.85,372.97,375.06,375.81,380.46,384.90,387.48,384.95,384.19,382.84,385.66,386.75,383.42,380.90,380.92,383.32,385.18,382.50,384.06,383.21,385.37,384.28,383.74,384.65,383.56,384.01,386.90,378.09,L7
2000-05-24 22:03:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,368.62,362.99,370.08,370.29,369.38,368.39,371.21,372.91,372.28,373.87,381.42,378.94,377.30,374.14,381.47,378.93,374.96,370.30,376.70,376.14,378.15,381.20,380.86,384.67,381.20,388.22,378.46,381.44,377.35,,,368.36,370.57,367.74,365.38,367.86,368.53,363.18,360.10,367.14,368.53,376.16,374.57,382.93,381.41,382.41,386.12,385.94,388.50,387.02,384.48,387.75,381.96,380.76,371.33,370.19,375.07,376.73,376.96,378.42,380.62,384.90,383.86,380.36,379.61,377.65,379.14,372.99,375.67,381.91,386.14,385.02,378.29,379.37,382.34,386.76,384.35,380.07,383.74,385.47,385.07,389.42,388.24,385.78,390.67,387.40,385.87,381.70,380.85,386.36,386.93,385.23,386.47,388.21,390.15,389.94,387.14,391.60,390.23,387.36,387.04,376.03,L7
2001-01-03 22:02:12+00:00,,,411.19,413.41,364.88,356.13,347.92,343.97,343.05,341.89,339.06,338.94,347.42,353.81,351.89,347.37,353.74,357.22,361.12,347.28,347.48,353.41,351.70,349.01,348.46,356.39,354.54,354.85,361.02,364.72,365.77,362.78,359.88,364.68,369.19,368.81,368.26,360.57,357.92,352.85,361.55,360.29,367.58,367.39,367.57,373.05,366.77,373.12,372.88,374.91,366.55,364.87,371.82,367.65,363.04,364.22,362.45,368.38,358.68,351.40,357.34,355.42,353.41,354.89,354.14,361.05,362.43,367.97,375.52,369.86,364.88,370.44,372.48,379.24,377.90,373.08,369.18,365.81,358.25,361.33,365.20,364.44,366.02,365.46,360.28,362.43,373.96,370.66,372.28,360.72,356.37,357.43,364.65,373.00,379.88,377.02,377.37,367.59,370.45,372.27,373.06,374.05,371.77,378.09,376.82,371.53,372.65,374.26,381.89,380.66,375.85,367.58,368.60,378.51,379.32,376.03,375.92,375.75,375.72,374.42,369.41,372.35,379.47,383.59,395.01,393.41,L7
2001-03-24 22:01:59+00:00,,,387.64,391.95,370.55,356.10,350.94,342.43,341.48,336.06,336.18,337.71,337.80,348.52,344.75,352.69,348.77,355.17,353.76,354.82,345.12,349.82,347.06,351.38,347.34,350.25,357.45,352.49,352.44,352.83,362.39,358.56,363.11,360.10,358.59,364.00,354.34,357.93,360.07,359.14,357.62,362.36,361.12,362.56,368.14,369.29,370.46,362.86,367.89,368.33,365.11,365.16,369.91,361.38,361.27,361.49,364.76,354.40,355.83,353.25,345.13,351.55,351.73,355.17,358.23,358.35,368.61,374.62,368.43,373.62,373.50,371.26,375.70,375.15,374.06,378.61,379.33,370.81,363.70,364.23,367.92,369.41,361.21,368.50,371.88,369.42,371.74,373.13,365.19,367.27,366.29,367.62,369.96,371.37,378.21,380.97,380.45,378.21,376.76,374.89,373.58,373.92,374.98,377.36,377.89,379.94,381.47,375.01,376.01,373.24,370.46,369.75,363.32,376.08,370.74,372.41,367.66,369.35,378.28,375.36,376.68,372.73,368.97,373.69,379.91,,L7
2001-08-15 22:00:38+00:00,,,,,,,,,332.78,329.96,333.37,328.14,333.14,333.07,340.95,339.50,341.65,344.98,346.92,341.64,341.11,341.12,336.03,333.82,334.54,334.79,339.43,351.60,,,,,,,,,,,,353.64,355.87,351.69,361.69,358.73,358.25,358.13,356.19,366.27,364.80,359.49,365.88,371.12,358.26,357.06,353.68,347.20,345.90,349.78,349.58,343.54,336.70,346.66,339.34,347.11,344.05,350.00,,,,,,,,,,,,361.81,368.21,356.78,359.31,366.88,365.57,367.73,366.97,359.72,366.64,380.69,369.89,363.65,362.12,366.34,357.56,365.69,376.73,367.39,371.87,368.11,354.23,370.62,371.30,368.89,372.55,376.91,376.17,377.81,378.18,374.26,373.44,375.61,365.15,358.61,356.90,372.70,388.98,367.00,364.50,373.00,372.67,357.71,357.26,,,,,,L7
2002-01-22 22:00:40+00:00,,458.25,401.79,383.02,375.72,361.71,360.32,356.34,350.97,345.26,342.03,344.36,349.09,356.27,358.61,359.30,365.23,371.29,369.02,365.62,361.19,361.39,360.04,359.50,357.92,364.34,365.96,369.23,372.21,370.60,372.78,384.98,387.91,387.11,385.28,382.27,372.77,381.02,376.60,377.95,373.14,375.44,377.09,379.05,381.82,380.17,380.05,383.18,385.81,382.58,384.91,384.00,382.34,381.81,382.11,380.06,378.53,374.31,372.54,377.67,374.04,370.89,364.85,364.56,368.34,372.28,380.07,378.27,372.44,374.44,376.08,375.33,382.47,388.00,389.28,392.62,394.96,385.59,378.16,372.03,371.72,376.08,377.02,374.51,372.72,379.88,387.00,386.35,382.61,377.96,373.18,371.01,374.72,380.33,388.22,386.67,384.37,374.62,373.98,374.65,369.44,372.27,376.15,377.09,379.85,379.00,382.67,390.03,391.96,389.44,385.18,381.85,376.60,379.37,386.63,380.42,375.98,374.35,377.20,371.29,371.88,371.38,377.76,388.01,400.28,420.69,L7
2002-03-27 22:00:37+00:00,,,,,,,343.89,340.68,333.99,328.06,332.30,333.39,336.38,340.24,338.40,338.56,344.36,342.41,346.72,349.30,346.30,347.64,346.08,342.27,345.85,342.55,338.67,342.02,347.73,347.60,355.06,356.95,356.42,353.23,355.10,355.48,,,,,,,,,,,,,,,,,,,,,,,352.91,347.61,350.06,345.76,342.36,347.61,352.07,357.22,360.15,365.56,363.50,363.36,362.20,362.15,365.83,364.70,363.07,367.88,368.68,360.88,352.50,352.44,352.40,352.84,352.20,358.63,357.81,365.16,368.16,370.62,365.00,345.32,,,355.05,356.41,363.53,361.90,359.44,365.71,363.44,364.77,361.27,360.42,364.97,365.26,367.28,368.56,368.53,370.87,368.44,364.61,364.11,363.53,360.25,369.68,373.80,367.12,361.07,358.60,359.31,357.76,358.50,367.93,377.25,384.37,383.62,374.15,L7
