dates,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042,satname
1999-07-18 21:58:49+00:00,,,,,299.41,,,,,,,,283.88,300.48,300.36,296.17,302.44,359.17,293.17,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-25 21:58:52+00:00,340.73,350.11,347.85,344.77,316.99,328.91,324.81,321.48,321.56,317.13,313.34,314.23,297.54,305.65,310.40,310.81,313.02,341.14,310.67,335.30,335.65,335.89,325.21,312.01,310.21,307.01,294.33,,298.55,305.11,316.60,328.50,329.16,336.46,343.31,353.68,353.52,340.05,345.59,344.71,336.39,345.73,339.36,L7
2000-01-01 22:05:01+00:00,349.26,358.24,356.81,351.38,328.55,337.61,334.99,327.69,327.84,326.38,324.49,321.47,309.97,318.39,321.49,321.95,321.03,339.49,321.90,341.75,343.02,340.20,327.00,317.45,319.47,318.76,305.08,302.80,304.51,315.23,323.38,331.39,334.90,340.75,349.97,358.21,358.63,350.48,348.53,347.42,338.32,344.90,340.93,L7
2000-02-18 22:04:53+00:00,352.21,358.91,358.29,356.96,346.22,341.41,336.41,331.77,331.41,329.83,326.87,326.55,325.98,329.00,334.14,336.57,335.31,332.10,336.31,343.05,346.25,344.13,330.94,322.77,319.53,316.35,306.27,293.14,315.91,322.16,328.05,334.16,335.92,344.39,351.39,361.37,359.00,347.66,347.92,348.62,339.02,344.39,340.04,L7
2000-03-30 21:58:33+00:00,353.19,357.16,355.46,353.45,345.59,342.12,338.83,336.35,336.48,333.14,330.96,329.58,328.97,333.92,338.43,338.48,338.56,335.61,338.69,342.55,346.21,346.65,337.94,328.75,323.93,319.26,310.17,299.20,319.25,326.65,332.68,337.19,339.36,347.13,356.88,364.33,361.72,353.40,352.00,352.15,343.05,345.18,339.72,L7
2000-07-04 21:57:38+00:00,357.12,356.08,354.11,355.53,348.05,346.62,342.67,345.02,345.12,339.89,337.43,337.70,334.91,341.84,344.79,342.11,346.80,339.81,339.41,339.95,343.97,347.42,343.22,334.85,324.67,316.57,319.75,302.74,337.29,341.86,345.70,347.38,347.35,348.63,363.79,370.46,364.81,335.76,344.60,356.88,342.76,344.16,329.43,L7
2000-08-05 21:57:08+00:00,357.12,347.18,350.27,355.53,348.05,346.62,342.67,335.08,345.12,339.89,337.43,336.53,336.14,341.14,341.75,338.35,343.50,338.79,333.69,334.84,340.85,344.47,335.22,326.74,319.68,315.16,314.53,285.77,328.31,334.84,344.01,346.29,346.08,346.75,356.75,362.27,361.81,335.76,338.58,347.52,338.04,343.20,328.47,L7
2000-08-12 22:03:18+00:00,357.12,347.18,334.20,355.53,348.05,346.62,342.67,335.08,345.12,339.89,337.43,336.53,336.14,329.72,331.79,333.88,336.45,334.42,328.50,331.65,337.07,339.29,330.26,321.53,314.35,307.38,305.70,272.24,315.41,325.77,336.34,339.12,339.83,341.40,356.75,338.27,339.60,324.57,335.57,344.24,335.19,342.00,327.47,L7
2000-09-13 22:02:50+00:00,341.04,340.65,325.07,333.87,336.77,339.19,332.30,330.41,339.85,338.16,333.05,329.71,332.26,327.16,327.34,331.06,333.36,331.99,327.27,330.07,333.88,336.08,327.90,319.50,312.83,304.39,298.58,263.05,307.07,322.67,334.22,337.68,338.71,340.74,352.50,320.25,323.93,318.48,334.00,342.22,334.56,343.11,327.70,L7
2000-10-15 22:02:20+00:00,331.28,331.91,321.47,327.01,326.35,328.79,318.37,320.38,323.82,327.00,319.19,322.89,323.84,319.43,318.98,326.99,328.41,328.17,322.59,327.33,330.52,331.05,320.59,313.67,306.63,298.26,290.04,252.68,303.68,315.98,328.03,332.63,333.18,335.20,334.30,307.41,315.08,308.97,329.43,337.49,330.26,341.77,327.62,L7
2001-01-03 22:02:36+00:00,350.63,345.85,328.83,337.86,344.83,328.79,331.02,324.94,329.41,334.24,319.19,322.89,323.84,323.73,327.17,329.69,334.23,334.94,329.60,335.36,337.94,336.21,323.98,317.57,312.97,304.87,280.37,237.50,304.33,318.40,330.85,336.92,336.41,340.96,341.23,307.41,325.79,329.01,338.66,341.89,335.87,345.04,336.19,L7
2001-02-20 22:02:36+00:00,355.48,362.74,347.65,343.31,344.29,332.05,334.76,333.13,333.80,333.72,320.08,323.32,316.46,333.92,336.57,334.44,340.25,340.05,340.30,347.86,348.64,347.08,338.54,332.19,325.00,314.86,294.91,248.52,323.02,332.72,339.13,345.19,344.51,350.50,346.16,308.74,340.27,344.33,349.74,349.24,343.25,349.10,344.89,L7
2001-03-24 22:02:23+00:00,364.08,363.99,358.04,351.76,346.99,331.89,336.50,333.68,334.93,335.06,323.38,327.81,323.57,336.28,340.46,338.18,344.27,342.08,340.25,347.56,350.95,351.79,343.89,335.34,327.63,317.82,308.09,259.47,333.49,336.51,341.01,347.63,347.30,352.20,349.32,306.31,339.93,344.44,350.56,350.54,343.69,348.89,346.90,L7
2001-06-21 21:55:29+00:00,373.24,373.85,366.54,359.27,355.04,336.11,342.59,338.24,340.02,318.66,305.83,332.61,334.46,345.03,348.01,341.61,349.51,345.83,345.76,351.23,352.21,352.86,351.06,336.96,328.37,318.81,318.11,260.61,343.95,347.60,348.52,356.50,355.72,360.37,336.80,294.37,330.69,338.47,348.17,349.51,345.33,349.46,342.99,L7
2001-08-08 21:55:01+00:00,365.20,373.90,370.68,359.13,330.58,330.66,335.72,338.06,339.74,290.92,288.33,332.61,334.46,324.93,333.12,332.46,335.32,330.47,332.96,340.34,343.00,341.56,338.38,331.45,324.63,314.93,317.49,260.61,335.77,337.79,338.62,341.13,344.26,351.97,309.89,284.52,306.20,316.94,337.64,346.62,339.22,345.18,337.09,L7
2001-08-15 22:01:02+00:00,365.20,373.90,370.68,359.13,326.55,327.90,325.18,329.33,339.74,279.28,278.78,332.61,328.38,322.58,328.13,330.00,324.75,326.29,330.22,336.47,338.26,334.13,330.57,328.48,324.32,315.34,316.04,273.56,328.24,333.37,335.18,337.03,339.26,346.30,297.27,276.03,296.64,309.68,337.64,347.34,338.63,343.66,334.33,L7
2001-08-24 21:54:48+00:00,360.35,367.76,366.28,358.60,321.18,324.35,314.78,314.32,332.53,269.61,265.69,329.75,328.38,316.72,312.75,325.57,313.86,321.34,328.42,323.77,323.99,317.48,322.13,324.60,322.19,313.61,311.92,273.56,326.39,331.18,332.25,332.83,334.66,342.28,272.38,266.53,272.80,299.03,343.86,354.60,339.77,341.98,335.05,L7
