dates,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042,satname
1999-07-18 21:58:49+00:00,,,,,299.41,,,,,,,,283.88,300.48,300.36,296.17,302.44,359.17,293.17,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-25 21:58:52+00:00,340.73,350.11,347.85,344.77,334.56,328.91,324.81,321.48,321.56,317.13,313.34,314.23,311.20,310.83,320.45,325.46,323.60,323.11,328.17,335.30,335.65,335.89,325.21,312.01,310.21,307.01,294.33,,298.55,305.11,316.60,328.50,329.16,336.46,343.31,353.68,353.52,340.05,345.59,344.71,336.39,345.73,339.36,L7
2000-01-01 22:05:01+00:00,357.79,366.37,365.78,357.98,351.69,346.31,345.16,333.89,334.12,335.64,335.63,328.70,334.84,343.87,343.67,344.22,337.04,336.18,344.36,348.19,350.40,344.51,328.78,322.90,328.73,330.51,315.83,302.80,310.48,325.35,330.15,334.28,340.65,345.03,356.63,362.73,363.74,360.91,351.47,350.13,340.25,344.08,342.49,L7
2000-02-18 22:04:53+00:00,358.10,360.24,361.23,368.14,352.41,349.01,339.25,339.93,338.55,336.73,331.63,336.72,331.91,332.30,338.30,340.03,345.30,337.01,336.40,345.67,352.71,351.98,338.84,333.39,319.64,311.54,308.65,283.48,338.70,336.02,337.39,339.70,337.94,351.67,354.24,367.71,359.74,342.01,346.71,351.02,340.43,343.36,338.27,L7
2000-03-30 21:58:33+00:00,356.14,351.91,346.98,342.92,343.70,344.24,346.09,350.10,351.70,343.06,343.24,338.68,337.92,348.67,351.28,344.19,348.30,346.12,345.82,341.02,346.10,354.21,358.92,346.72,337.12,327.97,321.87,311.32,329.27,340.12,346.58,346.30,349.67,355.37,373.34,373.21,369.89,370.65,364.23,362.73,355.14,347.53,338.74,L7
2000-07-04 21:57:38+00:00,,,,,,,,,,,,,,344.54,,,,336.31,336.00,333.17,333.11,336.08,331.89,324.43,317.26,310.21,328.72,313.43,343.91,349.45,353.13,356.15,354.43,338.84,,,,294.63,322.87,,332.70,341.59,311.28,L7
2000-08-05 21:57:08+00:00,,329.40,342.60,,,,,315.21,,,,334.18,338.60,339.06,335.68,330.84,336.90,335.71,316.54,319.48,331.49,335.62,311.24,302.43,304.69,310.91,298.90,234.84,301.35,313.77,338.94,343.01,342.29,341.14,342.68,345.90,355.80,,320.49,328.81,323.90,340.32,325.58,L7
2000-08-12 22:03:18+00:00,,,285.98,,,,,,,,,,,284.05,301.91,320.48,315.30,316.93,307.72,318.92,321.93,318.58,310.40,300.69,293.05,276.26,270.38,218.12,263.83,289.50,305.67,310.46,314.80,319.96,,266.26,272.97,291.00,323.56,334.39,323.79,337.18,323.49,L7
2000-09-13 22:02:50+00:00,325.94,,324.73,324.81,329.85,334.13,318.51,325.93,328.00,333.26,322.85,316.28,320.25,319.46,320.48,328.75,332.93,324.89,330.25,337.77,336.77,335.90,327.04,323.21,312.02,296.59,273.04,237.56,296.97,320.52,326.77,332.50,332.34,348.38,341.47,295.62,297.06,317.63,338.86,342.94,337.26,348.95,339.43,L7
2000-10-15 22:02:20+00:00,336.63,334.43,332.55,329.22,322.84,323.45,318.22,320.01,319.64,320.75,315.52,318.21,312.68,310.03,317.83,327.88,328.53,327.02,322.42,327.33,329.31,329.07,322.38,317.61,306.15,297.34,279.14,259.47,312.35,306.64,315.64,321.02,322.05,327.70,318.75,321.85,334.49,332.62,341.36,343.83,333.66,340.79,338.32,L7
