dates,satname,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042
1999-07-18 21:58:49+00:00,L7,633.22,538.82,460.12,298.46,311.21,284.55,283.62,287.05,277.45,278.36,276.40,241.56,296.99,310.31,311.09,306.90,314.24,369.90,303.90,280.03,288.93,275.01,,,,,,148.21,153.30,,236.67,235.85,133.02,142.67,149.55,126.71,199.93,,,,,,
1999-09-27 22:05:12+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.61,124.54,,,,,
1999-10-13 22:05:12+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 21:58:52+00:00,L7,323.23,332.61,330.35,324.77,320.56,314.91,312.08,308.75,307.56,301.57,299.34,298.67,295.64,299.16,307.72,312.73,309.60,310.38,315.44,319.74,320.09,321.89,313.54,298.01,296.21,293.01,271.00,238.64,263.55,281.78,299.10,312.94,316.43,320.90,329.31,336.18,339.52,331.30,338.22,335.96,328.61,339.90,332.69
2000-01-01 22:05:01+00:00,L7,364.79,373.37,372.78,365.98,357.29,351.91,350.25,338.98,339.72,341.86,341.23,334.92,341.06,348.54,348.76,349.31,342.64,341.27,349.45,354.41,356.62,350.11,333.45,328.50,334.33,336.11,325.16,312.13,324.48,334.68,337.15,340.50,345.74,351.25,362.23,369.73,369.34,364.41,354.42,353.63,343.36,346.41,345.16
2000-02-18 22:04:53+00:00,L7,320.60,322.74,323.73,325.28,322.41,319.01,311.98,312.66,308.55,303.40,301.63,303.39,298.58,307.30,311.03,312.76,315.30,309.74,309.13,312.34,319.38,321.98,313.84,303.39,289.64,281.54,258.65,233.48,263.70,286.02,299.89,306.37,310.67,318.34,324.24,330.21,329.74,323.26,330.92,332.27,323.76,330.86,323.98
2000-03-30 21:58:33+00:00,L7,359.64,355.41,350.48,346.92,346.50,347.04,348.64,352.65,354.50,346.17,346.04,341.79,341.03,351.00,353.83,346.74,351.10,348.67,348.37,344.13,349.21,357.01,361.25,349.52,339.92,330.77,326.54,315.99,336.27,344.79,350.08,349.41,352.22,358.48,376.14,376.71,372.69,372.40,365.70,364.48,356.70,348.70,340.07
2000-07-04 21:57:38+00:00,L7,249.03,121.25,181.87,191.98,204.73,215.03,217.70,208.27,174.99,217.98,229.33,208.82,202.99,333.54,,,,324.31,324.00,318.50,318.44,322.88,320.89,311.23,304.06,297.01,306.72,291.43,310.91,327.45,336.63,341.48,342.43,324.17,239.96,257.13,263.66,286.38,315.92,,325.37,336.09,304.99
2000-08-05 21:57:08+00:00,L7,329.70,346.40,359.60,199.69,211.69,221.94,232.62,327.57,186.04,234.95,233.06,349.29,353.71,350.39,348.04,343.20,350.50,348.07,328.90,334.59,346.60,349.22,322.57,316.03,318.29,324.51,321.57,257.51,335.35,336.44,355.94,358.12,354.65,356.25,356.28,362.90,369.40,,327.65,337.31,331.46,345.99,332.06
2000-08-12 22:03:18+00:00,L7,256.53,262.18,270.23,200.30,208.56,217.65,218.10,259.83,179.13,239.88,233.58,221.10,203.21,273.55,290.46,309.03,302.70,305.48,296.27,304.92,307.93,305.98,299.90,288.09,280.45,263.66,249.38,197.12,232.33,268.50,289.92,296.46,303.35,305.96,245.81,250.51,260.37,283.12,316.93,326.52,316.79,331.93,317.49
2000-09-13 22:02:50+00:00,L7,293.19,241.27,291.98,287.38,303.65,307.93,294.69,302.11,301.80,304.15,296.65,287.17,291.14,297.63,296.66,304.93,306.73,301.07,306.43,308.66,307.66,309.70,305.21,297.01,285.82,270.39,229.37,193.89,231.47,276.85,294.02,303.39,308.52,319.27,315.27,262.87,270.86,301.26,325.07,326.56,322.70,338.03,326.95
2000-10-15 22:02:20+00:00,L7,306.63,304.43,302.55,294.93,298.84,299.45,296.40,298.19,295.64,294.08,291.52,291.54,286.01,290.03,296.01,306.06,304.53,305.20,300.60,300.66,302.64,305.07,302.38,293.61,282.15,273.34,239.14,219.47,252.35,266.64,285.64,294.35,300.23,301.03,294.75,291.85,310.49,317.62,328.73,328.83,320.33,330.79,326.89
2001-01-03 22:02:36+00:00,L7,409.81,394.23,378.77,382.99,398.19,400.80,371.24,353.51,357.00,366.93,394.14,410.41,392.22,379.73,374.85,355.41,373.88,385.05,385.99,391.54,388.42,378.27,362.53,360.31,365.36,359.64,,383.56,388.13,388.91,387.71,395.83,385.49,385.82,378.41,385.98,385.02,385.04,377.65,369.74,369.86,364.80,361.93
2001-02-20 22:02:36+00:00,L7,348.80,358.80,353.82,335.37,325.67,321.56,330.54,332.54,329.94,313.26,304.87,316.58,325.44,325.98,332.58,325.18,325.08,322.70,322.00,334.12,339.38,344.47,341.73,327.01,315.85,305.27,304.21,287.64,293.13,313.79,325.67,330.74,337.64,339.44,345.43,344.79,343.90,341.65,340.75,340.07,331.89,341.60,339.61
2001-03-24 22:02:23+00:00,L7,325.85,333.26,331.78,319.17,313.05,306.05,300.35,303.03,304.93,307.98,305.16,299.08,303.79,305.88,310.96,318.60,321.38,307.91,304.97,305.91,315.37,327.13,325.42,308.24,294.96,280.84,266.60,255.01,269.84,289.69,299.78,311.59,318.39,324.51,326.49,256.28,268.09,300.84,327.64,330.91,323.68,336.63,334.31
2001-06-21 21:55:29+00:00,L7,249.11,130.45,196.63,188.71,197.27,216.12,226.67,209.30,181.07,222.23,233.27,215.13,193.49,224.07,229.37,226.83,,315.11,317.53,309.12,301.44,303.75,,294.47,279.49,271.68,259.86,211.28,280.22,301.70,308.68,229.08,144.87,200.10,239.09,260.96,267.94,290.22,316.20,321.19,323.79,330.72,308.56
