dates,nzd0230-0000,nzd0230-0001,nzd0230-0002,nzd0230-0003,nzd0230-0004,nzd0230-0005,nzd0230-0006,nzd0230-0007,nzd0230-0008,nzd0230-0009,nzd0230-0010,nzd0230-0011,nzd0230-0012,nzd0230-0013,nzd0230-0014,nzd0230-0015,nzd0230-0016,nzd0230-0017,nzd0230-0018,nzd0230-0019,nzd0230-0020,nzd0230-0021,nzd0230-0022,nzd0230-0023,nzd0230-0024,nzd0230-0025,nzd0230-0026,nzd0230-0027,nzd0230-0028,nzd0230-0029,nzd0230-0030,nzd0230-0031,nzd0230-0032,nzd0230-0033,nzd0230-0034,nzd0230-0035,nzd0230-0036,nzd0230-0037,nzd0230-0038,nzd0230-0039,nzd0230-0040,nzd0230-0041,nzd0230-0042,nzd0230-0043,nzd0230-0044,nzd0230-0045,nzd0230-0046,nzd0230-0047,nzd0230-0048,nzd0230-0049,nzd0230-0050,nzd0230-0051,nzd0230-0052,nzd0230-0053,nzd0230-0054,nzd0230-0055,nzd0230-0056,nzd0230-0057,nzd0230-0058,nzd0230-0059,satname
1999-08-21 21:46:33+00:00,,,,,,,,,,,,,,,,405.70,406.10,,,,,400.87,,,,,403.75,401.72,394.32,380.31,387.91,397.72,384.29,391.31,405.28,398.86,,,,,411.71,400.32,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:46:36+00:00,376.29,369.04,370.96,372.57,368.93,364.32,362.13,361.69,359.87,365.78,367.55,370.33,372.80,373.13,368.19,386.49,386.34,366.81,364.85,361.81,360.22,382.32,364.36,360.89,361.55,363.07,386.49,382.31,376.02,367.38,371.48,378.39,373.34,377.18,386.42,385.40,371.70,376.68,377.51,374.57,392.58,381.61,363.23,358.06,353.59,360.24,373.77,396.28,414.74,,,,,422.89,401.98,408.36,,,,,L7
1999-09-29 21:52:52+00:00,379.18,373.06,374.13,373.70,371.65,366.57,364.50,363.25,360.39,364.13,369.00,370.69,371.06,372.15,368.76,380.38,379.92,365.11,362.79,360.37,359.92,375.15,363.70,360.17,360.75,362.19,379.58,376.18,369.86,362.38,364.81,371.56,369.38,371.81,379.87,380.07,372.74,376.81,376.94,375.02,386.09,377.61,366.23,362.43,360.49,367.14,389.29,412.90,424.21,,,,,439.08,408.49,404.13,325.46,167.26,454.00,444.89,L7
1999-10-15 21:52:49+00:00,377.46,373.38,373.19,372.56,370.12,363.68,361.11,360.73,358.52,360.88,366.81,368.65,368.72,370.39,366.72,375.97,375.73,362.50,361.13,359.30,358.35,370.13,361.15,358.49,358.13,359.94,374.19,371.03,365.23,358.45,359.66,365.71,364.83,366.22,373.84,374.71,368.46,373.33,372.53,370.42,380.00,373.88,364.16,359.65,358.57,364.34,388.46,412.90,424.21,,,,,439.08,408.49,391.52,322.27,165.06,440.10,428.76,L7
1999-10-24 21:46:32+00:00,376.42,372.69,372.84,373.42,369.00,364.30,361.23,360.33,357.93,361.39,366.98,369.53,369.34,369.90,367.76,374.45,374.04,363.95,361.94,360.62,359.83,369.44,362.50,359.40,359.56,360.80,373.15,369.71,364.15,358.35,358.85,365.02,365.16,367.07,373.69,375.27,371.09,375.36,374.07,372.38,378.40,372.87,365.22,360.79,359.91,365.77,390.43,413.90,423.47,,,,,431.92,401.84,398.43,322.27,165.06,435.10,416.53,L7
2000-02-04 21:52:37+00:00,374.80,372.28,372.11,372.82,368.84,364.56,361.33,360.01,358.21,361.31,366.57,367.94,367.61,367.87,366.28,371.95,371.55,362.53,360.50,359.25,358.47,366.49,361.02,357.57,357.81,359.21,370.75,367.64,362.08,357.15,357.11,362.87,364.27,366.18,371.89,373.93,370.86,375.13,373.20,371.12,375.39,371.03,364.05,359.85,360.51,367.44,389.38,409.68,412.87,386.36,,379.83,399.34,422.28,402.16,398.67,322.27,165.06,420.21,403.41,L7
2000-03-16 21:46:15+00:00,374.93,372.28,372.24,372.30,368.11,364.90,361.38,360.36,359.22,361.82,366.48,367.70,367.02,367.23,365.97,365.06,364.36,362.42,360.82,359.54,358.58,359.55,360.58,357.04,357.54,359.17,364.07,361.09,355.86,352.60,351.61,356.42,360.68,362.11,365.56,369.52,371.53,375.16,373.37,370.94,367.66,364.70,364.16,360.50,360.61,368.34,386.54,404.87,405.79,374.51,330.04,389.09,415.40,422.28,411.82,401.57,322.27,165.06,408.16,391.18,L7
2000-05-03 21:45:55+00:00,371.68,371.61,371.13,370.52,366.58,365.90,360.35,360.79,359.21,361.82,365.23,364.74,361.90,362.73,362.96,361.37,360.62,359.87,358.31,357.68,355.60,356.13,356.60,352.27,353.65,356.87,361.73,360.68,354.50,352.23,351.49,356.13,360.76,363.94,364.34,369.07,371.17,373.80,370.68,367.01,362.44,362.37,361.63,360.32,362.01,373.48,378.75,391.32,379.25,374.51,330.04,389.09,415.40,393.36,426.78,407.86,,,367.75,353.15,L7
2000-05-26 21:51:48+00:00,374.18,373.98,374.69,372.73,369.97,369.47,362.93,362.21,360.77,362.99,366.27,366.82,363.74,364.07,365.11,363.44,362.38,361.75,360.96,359.67,358.02,358.75,358.72,355.09,356.07,359.10,361.73,360.68,354.50,352.23,351.49,356.13,360.76,363.94,364.34,369.07,371.17,373.80,370.68,367.01,362.44,362.37,361.63,360.32,362.01,373.48,378.75,391.32,379.25,374.51,330.04,389.09,415.40,393.36,426.78,407.86,,,367.75,353.15,L7
2000-08-07 21:44:45+00:00,378.22,377.53,378.88,375.44,373.08,372.11,364.35,363.85,362.90,365.74,367.96,368.91,367.01,368.32,367.99,366.25,363.52,364.40,364.05,362.61,360.60,361.79,359.98,358.03,358.80,361.65,364.51,364.10,355.88,352.78,353.04,358.13,361.20,365.04,365.07,370.01,371.78,373.59,371.17,367.46,363.49,362.65,362.75,362.44,361.15,372.83,372.31,385.64,377.44,362.67,330.04,398.35,431.47,,450.46,416.05,,,359.97,342.24,L7
