dates,satname,nzd0230-0000,nzd0230-0001,nzd0230-0002,nzd0230-0003,nzd0230-0004,nzd0230-0005,nzd0230-0006,nzd0230-0007,nzd0230-0008,nzd0230-0009,nzd0230-0010,nzd0230-0011,nzd0230-0012,nzd0230-0013,nzd0230-0014,nzd0230-0015,nzd0230-0016,nzd0230-0017,nzd0230-0018,nzd0230-0019,nzd0230-0020,nzd0230-0021,nzd0230-0022,nzd0230-0023,nzd0230-0024,nzd0230-0025,nzd0230-0026,nzd0230-0027,nzd0230-0028,nzd0230-0029,nzd0230-0030,nzd0230-0031,nzd0230-0032,nzd0230-0033,nzd0230-0034,nzd0230-0035,nzd0230-0036,nzd0230-0037,nzd0230-0038,nzd0230-0039,nzd0230-0040,nzd0230-0041,nzd0230-0042,nzd0230-0043,nzd0230-0044,nzd0230-0045,nzd0230-0046,nzd0230-0047,nzd0230-0048,nzd0230-0049,nzd0230-0050,nzd0230-0051,nzd0230-0052,nzd0230-0053,nzd0230-0054,nzd0230-0055,nzd0230-0056,nzd0230-0057,nzd0230-0058,nzd0230-0059
1999-08-21 21:46:33+00:00,L7,422.64,424.14,451.37,467.77,461.03,437.06,420.68,425.89,413.00,424.91,422.25,415.82,422.49,418.95,418.34,409.70,410.10,413.33,417.04,409.17,413.29,404.87,416.69,412.60,419.80,412.21,407.75,405.89,398.32,384.16,391.24,401.17,388.29,394.34,409.83,403.21,419.39,423.67,429.61,425.52,416.97,407.46,,,,,,,,,,,,,,,,,,
1999-09-22 21:46:36+00:00,L7,380.16,373.66,376.41,377.79,374.64,369.32,367.58,366.13,363.74,369.31,372.17,375.33,377.60,377.57,372.81,372.07,371.38,371.25,369.65,366.10,365.22,368.58,369.16,365.69,366.17,367.87,374.03,367.89,362.53,359.08,359.04,363.20,367.18,366.68,373.01,377.17,378.02,383.00,383.51,380.57,379.78,371.46,371.80,367.29,365.59,371.15,390.91,413.42,428.07,432.24,442.51,449.66,457.04,452.89,413.98,420.36,411.61,262.12,435.96,403.30
1999-09-29 21:52:52+00:00,L7,376.01,369.84,368.76,366.67,365.43,360.99,358.32,357.85,354.86,356.95,363.23,363.22,361.81,364.21,362.10,360.65,359.55,356.44,353.20,352.21,351.79,353.27,355.52,351.93,352.73,353.80,358.24,356.09,350.00,345.14,345.22,351.41,353.96,355.38,358.22,361.23,363.88,367.06,366.98,366.07,363.21,356.19,355.79,352.34,348.59,356.96,377.95,402.67,412.79,421.59,429.89,434.69,430.41,408.28,396.20,381.10,287.86,148.46,416.40,397.89
1999-10-15 21:52:49+00:00,L7,370.78,370.18,366.74,365.91,362.28,353.74,349.78,351.99,351.54,351.44,358.56,360.41,360.04,363.17,358.78,358.75,359.16,353.59,353.81,353.61,351.05,351.07,352.05,351.14,349.02,351.43,354.03,351.41,347.34,342.80,340.86,344.72,347.17,346.43,351.22,354.28,354.65,361.10,358.70,356.23,356.47,355.53,352.88,346.39,344.73,349.65,372.52,,,305.87,180.25,308.86,292.22,161.17,172.90,356.30,299.09,152.85,406.20,387.63
1999-10-24 21:46:32+00:00,L7,374.29,371.76,373.16,377.31,367.07,367.40,362.93,360.26,357.14,363.81,368.66,373.41,372.37,369.53,372.06,369.58,368.48,369.42,365.60,365.65,365.52,367.89,367.74,363.33,364.99,364.58,370.18,365.69,361.02,359.12,356.64,363.30,367.66,371.36,374.45,378.82,380.57,383.04,380.20,379.73,373.57,370.98,370.55,366.53,366.95,372.77,400.62,420.19,425.33,438.93,439.06,442.27,449.37,425.10,391.55,422.15,395.22,234.69,431.11,399.58
2000-02-04 21:52:37+00:00,L7,368.03,370.35,368.83,370.09,367.85,365.28,361.39,358.39,359.08,360.75,364.61,361.24,360.38,359.45,360.04,359.11,358.76,356.53,354.42,353.48,352.68,351.41,354.77,349.91,350.51,352.51,358.45,356.97,351.43,350.83,348.11,351.84,359.54,361.48,362.51,366.85,369.52,373.80,369.30,365.70,359.91,361.24,358.82,355.48,362.07,373.41,384.05,395.86,380.18,385.03,373.68,377.83,397.34,391.36,402.30,398.86,392.13,375.29,373.92,362.06
2000-03-16 21:46:15+00:00,L7,379.99,377.52,379.09,375.56,370.93,372.26,367.84,367.19,368.63,368.39,371.29,372.17,369.51,369.10,369.62,369.80,368.43,366.90,367.85,365.81,364.83,364.70,363.83,359.84,361.45,364.44,369.07,368.08,362.41,358.25,359.43,363.71,368.14,371.02,373.47,378.33,382.02,382.48,381.03,376.83,372.49,372.06,374.37,374.17,374.75,385.19,391.74,405.07,392.55,385.34,364.04,432.35,465.47,475.66,464.06,429.65,403.82,386.31,387.17,376.24
2000-05-03 21:45:55+00:00,L7,372.39,373.34,373.03,373.13,368.87,367.07,359.37,362.95,355.27,361.19,366.16,367.73,362.44,365.80,365.61,361.83,361.30,362.33,359.31,359.69,356.22,358.92,357.85,353.70,355.36,360.29,364.31,363.90,356.30,354.00,352.46,358.56,361.23,364.34,364.59,369.25,370.70,373.86,370.01,366.80,363.65,365.66,363.55,364.08,,,,,,,,,,,,,,,,
2000-05-26 21:51:48+00:00,L7,382.31,381.86,386.29,380.20,381.08,381.02,371.56,367.20,366.13,367.08,370.16,373.90,370.07,368.84,372.30,370.45,368.46,368.14,369.68,366.34,366.09,367.43,365.86,364.36,364.13,366.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:44:45+00:00,L7,385.81,386.47,387.85,383.14,382.69,377.91,369.35,366.82,369.20,373.23,373.29,371.67,375.45,378.31,373.50,372.36,365.34,368.99,368.79,367.04,365.07,365.57,361.84,363.65,363.34,364.72,368.78,369.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:50:56+00:00,L7,384.83,383.48,382.02,381.81,380.80,375.76,370.10,368.22,369.35,371.25,372.15,372.21,373.90,375.84,371.74,369.25,369.64,373.04,373.51,366.36,365.23,367.27,363.27,361.71,363.88,364.16,371.39,370.58,364.49,360.81,363.17,365.33,373.96,372.13,377.54,380.25,381.12,382.25,376.31,375.68,370.06,371.86,370.96,369.24,364.00,370.12,,,,,,,,,,,,,,
2000-11-02 21:50:13+00:00,L7,354.57,349.05,354.01,356.96,357.75,352.84,351.28,353.49,351.15,349.23,349.64,348.03,350.67,350.70,351.86,355.52,357.74,355.19,353.04,354.04,353.62,352.97,350.96,346.96,351.45,349.55,353.07,351.94,347.44,344.33,344.47,348.24,351.29,360.01,361.32,371.25,369.51,373.06,368.50,360.60,353.12,344.61,343.27,337.79,330.80,343.54,353.39,347.31,337.23,345.89,341.57,418.56,445.03,455.74,446.55,395.64,,159.43,119.89,288.34
