dates,nzd0230-0000,nzd0230-0001,nzd0230-0002,nzd0230-0003,nzd0230-0004,nzd0230-0005,nzd0230-0006,nzd0230-0007,nzd0230-0008,nzd0230-0009,nzd0230-0010,nzd0230-0011,nzd0230-0012,nzd0230-0013,nzd0230-0014,nzd0230-0015,nzd0230-0016,nzd0230-0017,nzd0230-0018,nzd0230-0019,nzd0230-0020,nzd0230-0021,nzd0230-0022,nzd0230-0023,nzd0230-0024,nzd0230-0025,nzd0230-0026,nzd0230-0027,nzd0230-0028,nzd0230-0029,nzd0230-0030,nzd0230-0031,nzd0230-0032,nzd0230-0033,nzd0230-0034,nzd0230-0035,nzd0230-0036,nzd0230-0037,nzd0230-0038,nzd0230-0039,nzd0230-0040,nzd0230-0041,nzd0230-0042,nzd0230-0043,nzd0230-0044,nzd0230-0045,nzd0230-0046,nzd0230-0047,nzd0230-0048,nzd0230-0049,nzd0230-0050,nzd0230-0051,nzd0230-0052,nzd0230-0053,nzd0230-0054,nzd0230-0055,nzd0230-0056,nzd0230-0057,nzd0230-0058,nzd0230-0059,satname
1999-08-21 21:46:33+00:00,,,,,,,,,,,,,,,,405.70,406.10,,,,,400.87,,,,,403.75,401.72,394.32,380.31,387.91,397.72,384.29,391.31,405.28,398.86,,,,,411.71,400.32,,,,,,,,,,,,,,,,,,,L7
1999-09-22 21:46:36+00:00,376.29,369.04,370.96,372.57,368.93,364.32,362.13,361.69,359.87,365.78,367.55,370.33,372.80,373.13,368.19,367.27,366.58,366.81,364.85,361.81,360.22,363.78,364.36,360.89,361.55,363.07,369.23,362.89,357.73,354.46,355.04,359.06,362.38,363.04,367.56,371.95,371.70,376.68,377.51,374.57,373.46,362.89,363.23,358.06,353.59,360.24,373.77,396.28,414.74,,,,,422.89,401.98,408.36,,,,,L7
1999-09-29 21:52:52+00:00,382.07,377.07,377.31,374.84,374.38,368.82,366.87,364.81,360.92,362.48,370.46,371.05,369.33,371.17,369.33,368.17,367.07,363.40,360.72,358.92,359.62,360.79,363.04,359.45,359.96,361.32,365.76,363.92,357.52,352.37,351.49,357.89,361.48,361.08,366.77,369.40,373.77,376.95,376.38,375.47,373.10,369.62,369.22,366.80,367.39,374.05,404.81,429.53,433.68,,,,,455.28,415.00,399.90,325.46,167.26,454.00,444.89,L7
1999-10-15 21:52:49+00:00,374.01,374.03,371.29,370.26,367.04,357.91,354.33,355.69,354.77,354.38,362.41,364.58,364.04,366.87,362.63,362.75,363.16,357.29,357.81,357.18,355.22,355.07,356.05,355.14,352.87,355.43,358.03,355.58,351.34,346.65,344.19,348.17,351.17,349.46,355.77,358.63,359.91,366.36,363.70,361.23,361.73,362.67,360.02,354.08,354.73,358.74,386.81,,,,,,,,,366.30,319.09,162.85,426.20,412.63,L7
1999-10-24 21:46:32+00:00,373.32,370.61,371.80,376.01,365.64,366.15,361.57,359.15,356.17,362.93,367.51,372.16,371.17,368.42,370.91,368.38,367.28,368.31,364.40,364.58,364.27,366.69,366.54,362.13,363.84,363.38,368.98,364.44,359.82,357.97,355.64,362.27,366.46,370.45,373.09,377.52,378.99,381.46,378.70,378.23,371.99,368.84,368.41,364.22,363.95,370.04,396.33,415.90,422.00,,,,,417.60,388.55,419.15,,,425.11,392.08,L7
2000-02-04 21:52:37+00:00,368.29,370.66,369.19,370.44,368.23,365.61,361.75,358.69,359.34,360.99,364.92,361.57,360.70,359.75,360.35,359.43,359.08,356.83,354.74,353.77,353.01,351.73,355.09,350.23,350.82,352.83,358.77,357.30,351.75,351.14,348.38,352.12,359.86,361.72,362.87,367.20,369.94,374.22,369.70,366.10,360.33,361.81,359.39,356.10,362.87,374.14,385.19,397.00,381.07,386.36,,379.83,399.34,393.36,403.10,399.66,,,375.52,364.06,L7
2000-03-16 21:46:15+00:00,375.60,372.29,372.91,369.65,364.45,366.59,361.66,362.15,364.24,364.39,366.06,366.50,364.07,364.06,364.39,364.36,362.99,361.86,362.41,360.95,359.16,359.26,358.39,354.40,356.22,359.00,363.63,362.41,356.97,353.02,354.90,359.02,362.70,366.90,367.29,372.42,374.86,375.32,374.23,370.03,365.33,362.35,364.66,363.71,361.15,372.83,372.31,385.64,377.44,362.67,330.04,398.35,431.47,,450.46,416.05,,,359.97,342.24,L7
2000-05-03 21:45:55+00:00,371.16,371.88,371.30,371.48,367.06,365.49,357.64,361.54,354.04,360.07,364.70,366.15,360.92,364.39,364.15,360.31,359.78,360.92,357.79,358.33,354.64,357.40,356.33,352.18,353.90,358.77,362.79,362.32,354.78,352.54,351.19,357.25,359.71,363.19,362.86,367.60,368.70,371.86,368.11,364.90,361.65,362.95,360.84,361.16,,,,,,,,,,,,,,,,,L7
2000-05-26 21:51:48+00:00,381.66,381.09,385.38,379.33,380.13,380.19,370.65,366.46,365.48,366.49,369.39,373.07,369.27,368.10,371.53,369.65,367.66,367.40,368.88,365.63,365.26,366.63,365.06,363.56,363.36,365.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-07 21:44:45+00:00,384.46,384.85,385.94,381.31,380.69,376.16,367.44,365.26,367.85,371.99,371.67,369.92,373.77,376.75,371.88,370.68,363.66,367.43,367.11,365.54,363.32,363.89,360.16,361.97,361.72,363.04,367.10,367.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
