,dates,nzd0025-0000,nzd0025-0001,nzd0025-0002,nzd0025-0003,nzd0025-0004,nzd0025-0005,nzd0025-0006,nzd0025-0007,nzd0025-0008,nzd0025-0009,nzd0025-0010,nzd0025-0011,nzd0025-0012,nzd0025-0013,nzd0025-0014,nzd0025-0015,nzd0025-0016,nzd0025-0017,nzd0025-0018,nzd0025-0019,nzd0025-0020,nzd0025-0021,nzd0025-0022,nzd0025-0023,nzd0025-0024,nzd0025-0025,nzd0025-0026,nzd0025-0027,nzd0025-0028,nzd0025-0029,nzd0025-0030,nzd0025-0031,nzd0025-0032,nzd0025-0033,nzd0025-0034,nzd0025-0035,nzd0025-0036,nzd0025-0037,nzd0025-0038,nzd0025-0039,nzd0025-0040,nzd0025-0041,nzd0025-0042,nzd0025-0043,nzd0025-0044,nzd0025-0045,nzd0025-0046,nzd0025-0047,nzd0025-0048,nzd0025-0049,nzd0025-0050,nzd0025-0051,nzd0025-0052,nzd0025-0053,nzd0025-0054,nzd0025-0055,nzd0025-0056,nzd0025-0057,nzd0025-0058,nzd0025-0059,nzd0025-0060,nzd0025-0061,nzd0025-0062,nzd0025-0063,nzd0025-0064,nzd0025-0065,nzd0025-0066,nzd0025-0067,nzd0025-0068,nzd0025-0069,nzd0025-0070,nzd0025-0071,nzd0025-0072,nzd0025-0073,nzd0025-0074,nzd0025-0075,nzd0025-0076,nzd0025-0077,nzd0025-0078,nzd0025-0079,nzd0025-0080,nzd0025-0081,nzd0025-0082,nzd0025-0083,nzd0025-0084,nzd0025-0085,nzd0025-0086,nzd0025-0087,nzd0025-0088,nzd0025-0089,nzd0025-0090,nzd0025-0091,nzd0025-0092,nzd0025-0093,nzd0025-0094,nzd0025-0095
0,1999-08-17 22:10:26+00:00,250.3387989288223,243.11157801826752,235.77333993691116,236.24053833403718,237.50484031641952,237.90546238304213,223.40493611186082,212.85089334122,210.6247080233906,212.23114755889668,213.622781481224,205.29953175680978,196.61730116503583,178.8448472328074,191.42685657601714,181.1021446522442,195.91657033035034,200.42379892400356,209.58978982993136,203.3843947224936,207.14320967515312,210.3499023495848,206.0229669222079,212.91042489516343,212.50192217080294,215.93231191320314,209.3363797780575,207.86146560689792,199.9250385195355,202.84254723586,,,,213.45456222520545,,,221.55436142701407,,,227.03253338651314,222.65158659839,223.83409566968686,,,,,,,,232.78035186923717,,,,,,,,,,,,,,235.6187504256914,232.44640727507274,,,,,,,,,,,,,,230.269312558938,215.39606075006031,,,,,242.30513161298688,,201.94332679674494,246.6355156902811,248.75879345369378,234.62663101474521,267.3739561645269,,262.70535084232955,250.532731418242,254.8627652976382,258.8571610646488
1,1999-11-21 22:10:24+00:00,244.69241594939578,248.68195790906523,230.3257841292071,233.013171898597,251.9815650935984,225.12024221711332,222.24987005039205,210.78798403905245,224.38520628979515,209.4748622021367,220.92346623062244,207.50820638963108,213.98047081178137,187.48915930817864,203.15109581295184,201.18199564232947,205.8501084183852,201.99674575879885,206.4047621110024,199.9166354161927,195.27846763587078,214.43779111974774,225.2584343908865,217.76159688499834,216.63052410831742,211.18551190901402,209.18896536539026,200.6672289453903,202.02894865585876,206.94868931772794,189.60725142951839,177.7595162457825,198.49836130677647,210.67201112011833,201.057016377674,203.00089494827992,223.62978935533698,203.97961641320185,207.03398435051065,219.23643076908368,233.27035369194786,229.24354136173025,228.4601928212996,240.01400218527183,228.86192076107355,231.39936454005672,238.42675152900043,233.8161053476655,235.22151284535676,232.5641500498779,229.94912796465272,239.22859297926166,238.17227956850374,239.11750582611327,245.36946008489966,242.48990560900123,239.42178852429984,238.52240677854203,226.29957812052578,215.90129183529115,236.26070352245216,232.2402640776017,222.12917980579624,256.3721869596633,228.5877927820221,253.99603329871155,238.08689030541203,249.4561693768673,224.51429581766277,248.34855036177277,248.73464883405435,249.27410930780738,251.10223265387472,241.91136009034787,248.13223127662266,252.88591753895514,,229.1467180249052,252.53563329879535,244.49598638949047,,,240.58072940002452,233.08265349746853,263.8020138319043,,228.64164050556198,257.16526756039315,236.12717718754286,243.31141750497468,255.478104665882,,269.7951034831552,254.14388517230773,269.04834760419965,258.0336364422223
2,2000-02-09 22:10:19+00:00,219.29029113880202,220.86914402765063,215.52791519739264,224.21769220346184,226.8223684831203,235.37675091430145,213.1862086623146,212.24373434639136,229.39425108527607,216.00499697846203,217.62348621624363,203.08977905415773,209.1674028827048,187.1036894439448,200.10529315949046,194.65278120300422,202.27877512747048,191.66944687201337,229.3727459819562,214.47079791426026,217.0096826359656,236.73418181726382,221.1688084117935,213.94465578094372,213.92133735072974,223.57519666955022,233.0818785908289,222.79754181451392,225.36108345002103,232.43685957912194,230.4421971523549,216.67424417322243,212.64334980075444,228.03567439662535,204.34043708694102,201.55049393346255,216.86942397293183,201.32919820287594,205.88644618697683,215.54584906193992,219.53509695630194,226.60916945124293,223.45497332301787,239.86210485036034,228.1820077674685,227.29320691417976,246.68594047143222,242.2785784210974,243.12305415066842,235.17183021060222,237.26246756744197,248.34149246011924,232.26942476684502,236.24243077400084,230.34412504586632,230.51197585203505,225.9130152011024,227.1681176059493,222.6134921023242,221.40449820317932,224.76813548714838,241.5301379162568,228.9078976429699,256.8649081382,235.6101734720288,265.1922858941674,233.57409269328977,257.59278903472557,224.3380024363554,259.50413765496006,240.49343352418575,242.71386726083276,248.38436674773902,246.3633268625178,256.5037017956501,224.91430089534845,,228.78924762534604,261.6320632111181,254.43214239758152,,,249.0483688896684,230.73002055413406,256.9619293440331,237.27641486641397,233.37737666775575,258.9836102337542,261.6079888402898,253.62220160903084,,,,,,
3,2000-04-29 22:09:53+00:00,,,253.91340708780731,,,258.38072161694686,253.37030391766336,229.02269132669713,256.4188802967651,240.06868558305894,233.90119347617608,221.90081560782733,229.04471819064227,209.0782328872143,,204.40632185670472,228.02869419913216,208.2732661726774,229.15131395522965,213.9887652578945,217.63124861586536,,229.3002310426824,232.21510987789654,236.12221597985936,,238.07232293904485,224.97859372569783,,228.44117813860635,229.8068964277005,221.17129048387164,,,,223.27202726259355,,220.66352285335262,230.6083932417461,,228.56102419647095,,,249.4210492366039,225.52529300708903,235.65197857687977,249.9064687585904,241.81492894968716,240.8619541381915,241.29387677567297,,262.82920101178485,249.98559575760203,271.0134065943511,266.05447103060493,255.62770705438203,257.8405798598773,256.9207081427963,247.5398396305141,,,258.9335209080296,,,,,,,,,,267.6643331696298,261.6855156594876,247.71505855960373,,245.58106886830745,,229.9453748698939,,257.1654549316785,233.29670275157216,282.8068313158798,,,228.61435416813788,197.88245601185722,253.5494354833148,274.24077438042843,236.9304722375249,253.54474662842773,,,,,,
4,2000-05-15 22:09:42+00:00,245.68691249873845,243.08628880728392,237.64227953767974,241.2354709083737,240.1056167169531,246.04822438667168,239.81440164085834,231.59723146297608,251.31734864252974,241.58006999164243,240.29367498059182,229.54981123313664,220.08045729405603,200.46230702034043,202.7359900230739,205.48136124913216,217.00699879546437,207.75117099810328,221.9756425403248,217.46016342312376,215.280898178088,231.44277833365632,229.81706504846412,224.6806661290112,224.67202818977378,229.0767094405447,231.01581165930006,224.32845900064072,225.69032679446028,228.17756030184708,221.96501162734404,,220.0120902366234,234.07922958269106,221.36912143800575,219.97930077175238,230.40082278777138,223.23885207966592,223.53347727461514,232.12941449061842,229.14788601431232,238.7714973298196,234.23068849830491,241.54890878844662,228.85099890495394,226.91278815490534,236.5441835299005,237.14355007302058,242.80648653369164,241.58304622085782,238.3261515627013,256.4626819796512,253.40384908056689,256.4594860987878,262.4249768574988,261.0127006999166,253.1225040901496,253.10934254720772,245.86441414028673,205.3627088083176,,245.9915394703764,245.91145501220018,268.8761812263938,236.4822469293862,266.3758790300991,259.3104366082139,267.562739496369,238.39258210933824,260.42807651494894,261.36243718677406,257.6574430122466,253.6847192787409,250.86930618643848,251.58211933327382,246.77064919829675,253.39505734337106,227.7049026534318,265.55094895921405,243.70842262346855,238.17071852095074,277.75600168682575,,222.46564420050095,264.66793453831474,191.32536124765585,238.88686341511462,254.54012263751616,249.4830090127918,250.84092052265052,262.89559691547544,246.1884030331366,265.7385326030779,257.45915274383873,264.0374068697755,264.932069463655
5,2000-08-03 22:08:44+00:00,233.26814507048172,236.28861584335158,226.7998160692735,233.11899772280478,242.72898331502105,238.01593215613278,237.80266567433776,223.77087186932215,233.17797711438092,231.4458156279527,225.39236180235227,217.47493485326473,207.91429215206358,200.30181074443644,199.6022153863943,198.3924991524682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.81274321969985,224.4787969958327,230.75860676389874,234.73679993621113,231.9919463456563,228.56699973073435,227.5842388904999,237.77274119486827,238.53175812989687,237.7398675263879,241.17420765484343,236.76060824905278,229.7940327248907,,,,,,,,,,,,,,,,,,,,,,,,,253.3308894096194,246.93577199037995,220.6391228525021,244.945409510377,199.2102530130855,218.04583349659018,237.19427857230332,244.77926953067714,246.42489134268476,255.12753035254534,250.4535864726826,254.29665835981658,247.9767493287238,,
6,2000-08-19 22:08:38+00:00,201.05456552316522,215.8448655124483,213.15849000781319,219.57960205751016,212.71323094002446,204.07860783662193,,,207.6118782242024,200.3511748411422,187.93694776615217,183.5835265061082,179.3689484505178,163.90241135101218,168.3912390659322,171.10646024780866,184.8715274977979,190.72796036088533,191.56399236115226,,,198.80254004227703,204.67798469384596,193.90623947349522,191.72003534188002,,,,,,187.80696922336813,,188.96741894425435,210.86461898581908,205.04342596729916,204.23948767074432,214.06677917057343,207.01232498086083,202.05418304323834,,198.8435307731579,,,207.05058169555264,193.87884361327423,211.80542275086697,219.46878082141058,221.33968641748677,208.68608804872187,194.49453396045743,193.71631480738318,212.65461911570344,211.14920899209926,217.2047954579341,219.53920919885744,217.0567679652489,216.94306710390657,221.6316876668193,211.2518699627993,189.96929004009033,216.32277663020642,209.59760880214566,,,,,,,,,,226.04465487223322,220.93868355023784,216.733973651498,,212.85743019222096,221.87362505883908,,233.37359782334397,219.40697324899784,,230.00782442765825,215.3296451898552,183.22188224231314,212.35291219587265,164.9760213219654,193.27271693624564,230.33212894877443,224.59536673662126,224.0220032995569,232.0425514730348,,,,,
7,2000-09-20 22:08:03+00:00,,,,,,,,256.7472855084755,249.06560915420374,,231.30601024050807,,,,218.7320313424357,219.42422749989055,,226.50946654177298,225.30693381543267,212.78556395012077,211.88167338224056,223.89080174984832,234.93457093373286,,221.62955756619536,222.1641659997453,229.71362121445995,223.61110029000972,229.19231837006078,241.2402025207513,,242.81337096628693,,,,,243.50014855537611,229.26164670963416,231.70327630176578,237.14949217770112,,243.6179575890116,246.63326446589315,249.20018022560583,,,243.85415217993312,244.12740775897493,,,231.32548537451754,229.43418662884616,213.25408777015346,227.1130834995385,235.11529541999653,255.5598537245774,,,,226.01125600681118,,,230.38139055050476,241.35799234175838,232.85708363511966,251.9003360911161,263.35222323807267,263.32746574863614,246.68070095341272,270.64014701152416,270.63301503581835,,,,259.45432023585835,,,250.1476216652523,,258.57518590830375,246.20200125780974,,,262.71969372262805,272.17827288109567,,269.44779823614124,270.83143309055026,257.7734979434757,250.30364628228193,,,,,,267.4648951235262
8,2000-10-06 22:07:59+00:00,,,,,,,,239.19194377917898,262.88239482218677,,251.93344055527166,,,,232.02608622094374,226.24151498478363,,211.7964231090351,221.84970862197702,213.04629862516092,225.3464826175086,232.40177071637407,223.7162937019479,,218.31363926475572,212.29118696402884,205.14735983630797,201.23993638076536,220.53255840895838,240.0664270645359,,236.86350254892858,,,,,243.13656954918736,227.92231581142366,225.0549564001251,230.5665902663211,,247.34199835506604,236.82579998199338,237.7575990638279,,,256.9244275169303,262.0281958922206,,,250.06227856549248,262.7232322325564,246.14481458682826,260.8089468197692,258.4783445811461,261.59787418919933,,,,246.75337134792414,,,257.7492823288026,265.4388930778724,254.51440065764479,268.2748184733908,271.04057182648086,272.46421071458184,258.78650905191176,284.3369904933371,278.1737842160348,,,,278.0904465382345,,,254.39770165529143,,269.6417629963071,243.92599518622654,,,257.19525455300504,271.93713899214157,,250.5126849779307,273.56751004605314,250.85769100489586,253.46678197694348,,,,,,260.9342038878047
9,2000-10-22 22:07:50+00:00,,,,,,,,225.05373570005216,236.93488533504853,,231.34765743532768,,,,223.1259128166108,206.51861036242073,,200.048314719327,217.96915311715014,220.51898279866202,215.8478499740546,221.9845947545581,225.15798429664642,,223.288436218243,220.31467746866312,220.04611278112546,215.376072581908,227.36503519988878,231.62246834972467,,225.24497265791913,,,,,240.45660694008433,226.03547102759813,236.47734462920698,239.03159203182088,,243.26743725916867,236.3379636840723,242.44667089425275,,,258.02374209438346,262.0282090579832,,,239.82859494004208,247.24801813305498,241.6835345983377,251.72912065344406,249.48448865098885,252.18294677824287,,,,217.22148908142552,,,253.87721900490612,257.07804998660816,227.21579910441142,257.785514391036,258.3002936703145,265.61125565188667,251.63975939020384,265.97928552889124,267.92240751982115,,,,,,,224.15237060271215,238.98122662875272,255.68043552045216,245.74721557420594,,,236.98063882078156,268.22845156613784,,243.4206170770802,270.81500594877394,257.47554863244477,246.67500541162042,,,,,,262.47394229790865
