,dates,mex0052-0000,mex0052-0001,mex0052-0002,mex0052-0003,mex0052-0004,mex0052-0005,mex0052-0006,mex0052-0007,mex0052-0008,mex0052-0009,mex0052-0010,mex0052-0011,mex0052-0012,mex0052-0013,mex0052-0014,mex0052-0015,mex0052-0016,mex0052-0017,mex0052-0018,mex0052-0019,mex0052-0020,mex0052-0021,mex0052-0022,mex0052-0023,mex0052-0024,mex0052-0025,mex0052-0026,mex0052-0027,mex0052-0028,mex0052-0029,mex0052-0030,mex0052-0031,mex0052-0032,mex0052-0033,mex0052-0034,mex0052-0035,mex0052-0036,mex0052-0037
0,1985-09-30 16:17:33+00:00,269.58871943854297,232.926305738596,205.09702993339837,188.13853019890252,189.30634740589102,184.06243592686326,189.92116249046532,180.3120510058234,185.8764934294162,180.56253609566204,176.0544519168045,180.62250457443434,177.1655927071917,174.13896453139728,186.14030957333387,181.3894974501174,174.57886076065301,177.60923537150677,176.0031439131568,,167.4422635924577,172.90775272507085,161.28486972747055,,,,155.53136519571586,,,,,157.66497103396586,159.75551887946,168.95956174906433,176.8113105767116,173.47884008335677,145.90139335610007,157.70083517134935
1,1986-01-20 16:15:42+00:00,248.79094195175406,244.85046704296258,228.60685955310535,220.71977497409546,210.97904162467398,203.2211953227019,199.31847408813047,202.7888559919445,200.92345446567066,204.4445966156868,207.28980916141447,204.13445624510274,208.14233714998562,203.95949743794557,205.33822562384893,204.8402870906245,201.5166267016096,198.462220131185,198.59716262930561,202.47699659241403,205.28102334350564,197.86372104348374,194.22642053431764,206.02742581590132,217.824788841403,208.6836729880144,187.75490611150065,176.84491233034976,175.07427106661433,171.63310302296534,177.2805226976252,180.5708588064597,175.2257741756455,172.08034117432175,182.90035599697063,192.1158871526565,176.6625377816922,174.72639100598622
2,1986-03-25 16:14:19+00:00,252.77810745987264,251.83518611085768,240.38583617265758,225.96388709236498,225.0026290361047,219.95110161866282,211.50930337696,211.14661040343495,209.20198547192552,207.42738923822412,205.49752667440143,208.40277658300727,211.16925253976075,206.19166234843453,203.1345043371146,201.06683207253735,200.35907008973953,200.2454404137289,200.9180295319487,204.4400006540177,200.42085230011674,205.9716115389257,201.11626072921064,207.04646597875802,220.32346299088238,214.5097739951887,197.9981646098868,173.05187669749307,168.29934252113807,166.51267999801047,173.82989895826663,177.22403292590897,167.31111239872672,173.12115956898393,181.82082513110342,189.80771870750203,180.28228385958874,172.75208149834938
3,1986-04-10 16:13:58+00:00,246.79875891512995,240.78492979453472,227.73734498495267,228.39426543418455,226.22747632884216,218.9819564204597,209.49600580354567,209.28078571490886,205.5439548326734,203.45212957407588,206.73351355211543,207.53373978617876,208.26976091233485,205.40649243234012,200.42410448972626,201.63196148949604,201.857137610718,198.05359962244432,193.8099698597595,194.21370064807178,199.15865308432316,197.1058569502234,195.42524022069543,212.56948165249094,212.19948694780618,207.1977448245733,191.83849290768524,176.3113229746913,169.20116518134725,165.57282580786165,165.5801882672108,176.70069557263997,170.38251560500527,168.41975468208364,179.93255957638786,179.86647237043616,163.75340593681221,167.984515554126
4,1986-04-26 16:13:36+00:00,239.26105583724484,221.32579932584792,215.1326427207379,212.3231004056433,209.0736595082294,202.62221213500993,198.6307629217676,194.7830630276918,186.9690734510828,195.68897893917892,185.73386181007146,186.45672564640816,189.8538848456373,180.83878569966635,181.3840319559323,180.23165127901137,182.3079027774536,178.979661748186,176.5645639102393,180.98576089907857,178.74149617931872,179.65215102807167,178.10604200118456,175.2350920804056,183.13538628372552,173.94643835943907,165.2308251792799,149.9648906981028,141.98562712515877,139.11433467595134,144.9249374647445,164.8252710059982,160.62547947938168,162.64903961768786,173.68100202894436,178.42454001256414,167.63794684320288,164.8915016884005
5,1987-07-18 16:13:40+00:00,222.1264339764892,195.87735793188148,180.3534364600187,182.04653109699478,187.17101709227438,184.46735832243297,176.12753371376482,180.7086036084817,182.86637137224432,181.3253782340784,182.86333479763624,192.13311865122827,194.31059116739797,184.88545521018688,178.16381885061475,179.535107689412,173.67263451840262,174.25071947754859,168.62149172549488,165.33803685019262,162.5557005749369,162.1808988051766,152.87989283970677,163.9350418043639,166.49704587399597,171.31804223669374,146.33362914207282,140.9653993267758,146.40621319144617,154.15775598142022,167.2530568247969,183.8311993471331,182.143969922461,182.48599150841056,178.7509380701767,161.5469468747772,158.690684145086,157.49262007818731
6,1987-08-03 16:14:08+00:00,213.00355299223318,192.1588438159563,166.8340591000054,170.70207891325828,181.5494338838679,181.1103855466451,173.57468406766924,168.3404118063802,164.80107285709576,167.09394631104075,167.0731900055456,172.0922354326252,173.30818497093756,165.61889092796278,162.37367687060828,161.16336480807016,173.10712878962536,167.73764793637196,163.42706834954373,156.17988430336283,156.640184048084,152.18887854155582,143.56563531339893,137.5386554019965,146.07470817688733,150.93217901888062,140.95856583741966,117.85562850269505,119.64718472430133,129.37512739031678,139.20885069498468,160.93441977078652,163.30761932435604,157.40360795189517,162.72231565778523,,109.11753156065542,118.69424194414083
7,1987-08-19 16:14:36+00:00,212.43360619321558,185.55641223414392,157.0578488045507,158.75037448162342,168.03859573135276,165.65943386605713,164.98670358698337,172.27711056268544,170.4023439459171,170.0894511111427,163.6181523347496,169.07853229151578,174.00009500990188,167.49767352887721,164.18979307508872,161.447504568222,167.0119000386102,158.22212556993276,150.87194059267767,157.41470689005814,161.49923174445772,159.68047437316824,147.83041063616145,135.27681779290873,156.5907285327711,160.8641361647674,146.45941454882544,132.35935938881983,116.12303236217365,117.06525744402182,140.35222349801649,156.98346045988922,168.08391432358337,161.27217285894739,161.955526386502,148.52276863886533,125.47923768348932,130.46429089434443
8,1987-09-20 16:15:25+00:00,233.96200127040407,220.67487930449641,205.6727249198717,201.9193574584837,204.64293202403178,197.06992237749063,202.99908162290737,195.195652501822,190.692604850344,195.14265031759763,193.26145339066903,191.95794870095483,185.9670098090279,203.2448124084723,189.72144075868187,172.10528446836014,185.13842153860045,172.46803406691564,180.59929835423165,158.0486298674757,181.45618814302304,161.70823541243817,171.3451266012408,142.54418427762204,163.79874819335754,184.17043207525558,176.062940221454,164.57247642577914,151.73422330255718,155.8870435001868,164.02308890134947,177.15067519587748,188.65222888697443,191.52377771984192,189.5890401488645,,152.12030258305134,152.47964824318416
9,1990-04-21 16:08:41+00:00,218.64335664308487,205.7939035408187,187.17594093126795,190.5029254652484,191.5235419483702,188.97755050114228,184.83138351972212,189.94917564683806,194.40363403588174,196.85018551615494,196.42525544152474,203.26792682798984,201.4755848776496,197.52854875174359,201.77424404911216,199.3724545901279,198.14345823789796,189.53468614304882,186.04856108530794,178.44306226070938,179.13261238585713,174.78583161067428,168.8650007409775,173.23969223846711,177.34865018316108,168.7828747415689,155.3464491481288,137.09794002777576,135.75364242265584,141.25902155717984,152.47053383183186,163.4620050338429,161.7165456760584,158.6317515080849,175.5991589402181,189.10546022096239,184.74179731929962,192.43875760097143
