dates,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073,satname
1999-09-27 22:04:48+00:00,371.29,361.13,370.57,363.03,326.16,334.30,333.42,336.67,341.84,344.05,353.87,361.28,373.50,382.50,381.54,377.17,389.98,384.24,389.76,375.63,363.96,386.21,387.29,380.65,389.82,388.24,389.11,378.20,396.23,395.45,384.75,372.37,375.46,389.20,385.56,394.06,400.21,397.92,404.54,398.98,406.47,405.16,397.26,382.55,383.82,391.18,398.50,408.24,411.46,411.21,399.82,399.52,385.11,391.13,400.00,400.55,404.11,399.42,403.91,412.59,422.93,466.29,418.87,396.36,396.13,404.74,397.47,391.21,395.07,404.42,413.31,399.37,404.91,402.78,L7
1999-11-14 22:04:42+00:00,362.13,348.33,353.18,354.00,327.12,337.99,337.70,334.24,340.16,343.88,349.38,355.66,369.76,376.25,377.51,372.49,383.46,379.75,385.22,377.37,361.02,379.53,387.68,385.23,385.43,387.35,379.77,372.17,395.63,394.47,384.41,368.49,368.92,389.47,385.54,392.13,397.03,395.06,403.07,395.40,398.85,401.77,397.35,377.33,374.63,384.51,389.63,397.89,407.69,407.74,393.51,398.85,379.50,388.13,391.02,387.83,397.19,397.09,405.01,414.13,422.03,462.31,416.56,397.39,392.24,400.61,396.62,388.51,390.92,401.02,403.93,394.39,401.88,397.09,L7
2000-05-24 22:03:46+00:00,,,,,,,,,,,,,,,,,,371.14,377.10,379.51,352.81,370.75,382.39,377.09,375.24,,,,,,,,,,,,,,,,,,,,,,,397.70,402.06,400.04,389.17,389.00,385.68,400.38,374.70,379.87,380.53,381.09,392.21,398.29,409.20,444.87,409.84,401.15,396.41,404.97,399.54,397.13,400.04,405.89,402.55,396.64,397.62,394.15,L7
2000-08-12 22:02:54+00:00,,,,,,,,,,,,,,354.57,354.37,355.12,368.92,364.40,368.12,368.74,346.70,360.65,373.65,373.34,371.13,358.11,351.82,349.31,381.42,380.22,375.56,356.25,353.27,368.78,362.87,360.68,373.76,377.26,376.52,360.39,368.33,368.75,375.19,352.68,346.49,357.56,366.55,383.45,384.40,383.19,371.33,377.58,370.83,375.99,364.12,366.09,366.46,374.10,381.19,389.45,401.10,444.06,410.75,395.29,386.18,395.30,391.54,391.00,390.82,395.90,391.35,382.29,384.90,380.92,L7
2000-09-13 22:02:26+00:00,347.61,334.04,298.65,303.94,298.78,298.67,309.40,308.67,322.18,336.01,341.53,338.62,350.68,360.42,353.12,352.21,364.06,361.69,368.50,365.86,340.17,356.29,370.90,370.35,372.41,361.05,352.04,349.06,375.60,375.30,369.86,357.03,354.33,368.10,364.25,362.48,371.09,373.62,376.35,362.57,369.77,367.66,370.04,358.21,353.55,364.06,369.20,380.49,385.63,382.32,366.65,371.72,366.75,370.80,359.12,361.64,364.94,371.71,380.56,387.57,397.65,443.70,406.45,390.68,382.28,392.53,386.12,386.34,386.37,391.60,387.59,376.28,379.10,375.13,L7
2000-12-18 22:02:14+00:00,347.61,334.04,298.65,303.94,298.78,298.67,309.40,308.67,322.18,336.01,341.53,338.62,350.68,360.42,353.12,352.21,364.06,356.96,364.20,359.03,333.85,349.07,365.15,366.99,371.00,361.05,352.04,349.06,375.60,375.30,369.86,357.03,354.33,368.10,364.25,362.48,371.09,373.62,376.35,362.57,369.77,367.66,370.04,358.21,353.55,364.06,369.20,371.88,377.41,373.46,355.39,363.08,357.28,356.01,351.33,352.53,357.14,367.02,374.73,382.21,391.88,443.11,404.75,385.45,375.22,386.31,379.41,380.95,375.28,380.01,375.07,361.00,366.34,361.57,L7
2001-01-03 22:02:12+00:00,350.37,336.77,318.87,322.98,316.09,314.63,328.14,323.29,331.93,341.49,340.28,340.24,349.76,362.99,357.73,349.62,362.42,357.65,361.36,360.00,337.24,350.91,367.69,368.00,371.60,362.84,354.00,346.78,371.70,377.06,374.56,360.46,354.39,369.32,365.99,366.64,374.88,373.10,376.15,367.39,373.10,370.44,374.66,363.64,357.37,367.14,370.57,371.37,378.98,379.90,364.51,370.66,361.97,357.98,353.82,355.45,355.77,366.58,375.93,382.68,392.94,442.73,401.54,386.59,377.21,388.21,381.23,380.43,377.71,383.00,377.44,362.17,369.06,364.69,L7
2001-06-28 22:01:09+00:00,357.59,341.94,321.08,341.13,349.32,343.49,339.45,336.14,336.62,340.67,340.52,345.81,354.06,362.12,361.32,348.77,360.81,361.44,369.19,365.77,348.19,362.79,374.23,362.83,366.46,362.88,365.41,351.48,373.27,384.76,384.01,361.28,351.27,368.84,369.37,378.75,382.41,373.00,377.94,371.52,378.99,379.63,387.18,376.06,364.59,371.29,371.71,371.81,384.77,391.34,379.38,379.97,367.36,364.11,359.74,359.69,352.42,365.31,373.13,380.90,394.16,436.91,398.21,391.33,379.97,389.27,386.83,384.71,384.15,388.18,385.04,371.90,381.06,375.86,L7
2001-08-15 22:00:38+00:00,361.62,344.76,323.44,345.77,341.86,345.68,334.61,335.55,331.33,335.07,343.90,348.03,355.57,356.55,354.50,349.88,369.33,371.05,386.18,374.30,363.39,373.02,375.32,354.20,359.83,363.70,368.99,356.44,380.19,385.44,382.02,351.88,346.12,369.48,370.91,377.11,389.15,380.43,381.81,367.52,377.40,377.21,386.02,372.96,361.78,365.32,365.18,374.09,390.15,401.61,378.19,370.63,357.61,364.24,360.57,358.28,349.85,360.55,365.88,377.00,390.00,436.40,406.10,392.48,379.89,386.45,386.51,390.03,383.34,384.41,385.53,378.15,384.92,377.66,L7
2002-01-22 22:00:40+00:00,355.29,340.82,340.41,352.33,337.75,347.24,349.25,351.84,351.82,335.78,367.63,346.31,368.87,371.50,366.83,360.81,381.13,383.43,392.66,379.69,373.43,388.30,391.99,377.40,380.62,377.69,373.57,361.68,386.00,391.03,386.83,365.13,359.07,381.39,377.90,384.45,402.21,392.69,391.38,379.87,385.80,385.17,393.47,382.81,375.25,378.72,379.31,391.15,404.02,418.94,393.44,386.26,370.90,374.31,364.79,366.34,362.12,371.68,377.58,389.89,404.14,447.97,409.88,391.24,383.42,391.03,389.77,385.45,390.75,405.02,399.23,384.97,397.97,402.25,L7
