,dates,mex0542-0000,mex0542-0001,mex0542-0002,mex0542-0003,mex0542-0004,mex0542-0005,mex0542-0006,mex0542-0007,mex0542-0008,mex0542-0009,mex0542-0010,mex0542-0011,mex0542-0012,mex0542-0013,mex0542-0014,mex0542-0015,mex0542-0016,mex0542-0017,mex0542-0018,mex0542-0019,mex0542-0020,mex0542-0021,mex0542-0022,mex0542-0023,mex0542-0024,mex0542-0025,mex0542-0026,mex0542-0027,mex0542-0028,mex0542-0029,mex0542-0030,mex0542-0031,mex0542-0032,mex0542-0033,mex0542-0034,mex0542-0035
0,1985-01-03 17:41:15+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985-01-19 17:41:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1985-11-19 17:39:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-05-14 17:36:04+00:00,191.3589007580512,190.30217279802747,191.08242061322045,195.5271937168128,198.33978056475436,200.6752570882785,201.79135707093266,198.89648035209632,189.4093016703717,193.5904764578484,183.32630468866597,184.24673108855393,192.99527683665377,196.46091035682883,190.39303549135195,190.94885373165954,194.7492512649219,196.43388475918618,196.82739540038273,201.1523032423068,202.5597263440333,197.6467550754521,197.78120907672024,199.86437104631693,199.340860932976,193.55908883678947,202.1034258012721,202.2582405967221,195.20727000863405,189.24711238910038,214.14619043737002,199.7039035949205,187.39771115092447,193.52008891265893,216.8031158998445,229.5393108585193
4,1987-02-10 17:31:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1987-05-17 17:34:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1987-06-02 17:35:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1987-07-04 17:35:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987-07-20 17:36:38+00:00,203.17596239132513,194.61376844787412,192.96401438468374,195.1864730474017,199.09064362935737,197.51436771390627,202.8339381286346,204.07929624701816,198.61324617566066,198.949957915098,191.13130909117564,189.6553606020521,197.11289828155907,199.5014062127384,189.66071594649725,189.98327487481794,187.79416993673453,188.6568362767519,190.92151128364395,192.67829198750343,198.55684836797002,198.1315130250271,195.59708295195986,195.66497546292254,195.47561030534183,199.20239981537827,200.13736141677344,196.93342071725863,192.83066177526058,194.8553914029688,216.93446843915706,204.01707321242782,195.11761473515995,194.86138978339147,207.63899076082757,217.56052588909404
9,1987-08-05 17:36:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1987-09-22 17:38:24+00:00,185.18010702512044,184.7623386741458,186.51871356327845,185.2335280093161,189.89034405817705,187.48826519060992,189.72872968061364,190.4741735978228,187.33606669036348,190.63696165919907,182.60511905755402,177.16203268867116,181.04029386994236,186.4652151896624,181.687167334722,182.98124832791035,181.37369239346765,181.14366531000613,181.43523661272854,188.50626493935783,188.0262981542519,182.99360987794205,190.83876029516063,189.09910235323116,190.25102705851486,190.76254597309426,194.44560037556442,194.7040724335489,182.8919909069004,185.72482543542358,193.82214251788858,194.64577658291864,192.39378839879555,199.4849960299415,198.32857053050662,206.9708529424219
