,dates,per0082-0000,per0082-0001,per0082-0002,per0082-0003,per0082-0004,per0082-0005,per0082-0006,per0082-0007,per0082-0008,per0082-0009,per0082-0010
0,1985-01-24 14:52:53+00:00,171.8003103266853,163.52571291615632,162.31984433907803,182.6403955086695,167.60127083128043,177.2990643651537,192.64365351658392,200.08373661183396,212.75361528026087,214.01039926042517,212.12721027792435
1,1986-03-16 14:48:34+00:00,161.49104279569096,153.05487889099822,149.1039882466781,161.16078849026462,154.32602394327918,164.74922808110793,178.3774003412934,187.86167670047246,200.78717695731672,200.31777990808104,203.21849425205255
2,1986-05-03 14:47:30+00:00,154.13161933076063,135.99280374549338,135.51327722106544,154.66137395566508,141.14605534646046,149.57147428209393,160.00279707805117,169.54408898220208,181.57416498840107,181.9094777813838,188.02569863069738
3,1986-09-08 14:43:16+00:00,152.67318848703434,137.9912671054498,136.73418134810586,149.41723011028057,142.43935266426453,146.68789757440402,160.15264881018138,170.61884666076446,185.79923297634434,187.17762835101044,194.25501034595425
4,1987-04-04 14:45:05+00:00,160.99862196970926,147.09333096046902,141.49422246468544,156.12327187488052,144.78638451895864,156.7398015928237,163.20686330651716,179.48862261321003,189.22024874276386,188.852354373099,196.46403101082123
5,1987-07-25 14:47:55+00:00,166.459579695617,145.9124659145474,149.52972306001638,168.0754383494408,154.81443751589654,164.9322084937396,175.06311555646892,184.17355894123511,192.86165425708523,198.55900277491727,201.91267122419703
6,1987-09-11 14:49:16+00:00,153.10188729947484,144.15521384440535,136.91923764546118,155.22669203368105,149.3228598558243,144.84465079020833,153.82676007789644,163.12999827498248,173.30831100960128,172.56244028513493,151.1606357296455
7,1987-09-27 14:49:38+00:00,172.03802288077603,152.0454173464249,155.58527824524856,164.50039819952488,153.0283503094673,152.8085353230659,171.43710123470723,181.44689881461497,192.58117856146686,192.18683303982093,181.91944261748205
8,1987-10-13 14:49:57+00:00,188.41409349510948,167.6585999467506,168.5319978194759,173.0140382340672,156.0940217162529,161.10752864987717,161.80504870574978,173.4771874757586,193.2053804469562,188.81648247907518,182.28286577827916
9,1987-11-14 14:50:35+00:00,194.33965657982534,171.67959127665745,166.77192619621502,179.1296532664941,163.05660512828652,159.2214647261217,172.322700891617,184.8525506962748,198.6444615782296,200.7160776668706,200.4377481343622
10,1988-01-01 14:51:21+00:00,180.91986252638844,162.87409298529982,164.95506021758007,175.42378533086134,169.23910588373863,176.1314249802126,189.44821095619298,201.35926807743243,208.52110837410015,209.08728931043535,209.94798167295892
11,1988-04-22 14:52:40+00:00,153.71401181117872,138.59815609762632,132.79745529113103,154.17473983044272,138.2324864523595,144.9725499541633,158.68811948558437,174.74299809270346,191.65824799059175,194.06924332734025,195.5798008485703
12,1988-06-09 14:53:02+00:00,166.31821241225944,151.04081147829748,155.9934180462365,160.31871214535957,149.83359547590732,150.0642170579937,161.22313436258796,177.65428832273568,192.93705800712797,192.65726178865125,170.77642577036738
13,1988-06-25 14:53:08+00:00,156.08202287764666,146.37227003241074,149.64370577803075,157.94893309306508,138.21538712301913,145.46328765726713,155.52041536675722,164.0788843690662,174.62176345402895,176.11697247124238,168.70082954843878
14,1989-01-19 14:52:30+00:00,179.33695136904126,156.9185491695761,154.78202524987793,168.49741316493004,165.03788046021504,174.93003158994566,186.01431099129636,197.09671477537506,207.1259400814281,210.84906175292423,216.21823356507628
15,1989-12-05 14:46:15+00:00,168.03448579838127,152.42985390151293,151.54202177342324,165.63026100587737,151.32588776894227,154.8443636330426,165.6559335038778,179.9161843313687,193.36394296571115,195.40232448479264,200.2112581578528
16,1990-01-22 14:44:47+00:00,172.1487979993888,160.65140401330206,150.627151122356,166.16779267119827,166.28659171494093,179.0882298416808,185.14701123558365,199.44640239630039,209.05338198601882,211.9195717691063,212.45951227393277
