dates,nzd0595-0000,nzd0595-0001,nzd0595-0002,nzd0595-0003,nzd0595-0004,nzd0595-0005,nzd0595-0006,nzd0595-0007,nzd0595-0008,nzd0595-0009,nzd0595-0010,nzd0595-0011,nzd0595-0012,nzd0595-0013,nzd0595-0014,nzd0595-0015,nzd0595-0016,nzd0595-0017,nzd0595-0018,nzd0595-0019,nzd0595-0020,nzd0595-0021,nzd0595-0022,nzd0595-0023,nzd0595-0024,nzd0595-0025,nzd0595-0026,nzd0595-0027,nzd0595-0028,nzd0595-0029,nzd0595-0030,nzd0595-0031,nzd0595-0032,nzd0595-0033,nzd0595-0034,nzd0595-0035,nzd0595-0036,nzd0595-0037,nzd0595-0038,nzd0595-0039,nzd0595-0040,nzd0595-0041,nzd0595-0042,nzd0595-0043,nzd0595-0044,nzd0595-0045,nzd0595-0046,nzd0595-0047,nzd0595-0048,nzd0595-0049,nzd0595-0050,nzd0595-0051,nzd0595-0052,nzd0595-0053,nzd0595-0054,nzd0595-0055,nzd0595-0056,nzd0595-0057,nzd0595-0058,nzd0595-0059,nzd0595-0060,nzd0595-0061,nzd0595-0062,nzd0595-0063,nzd0595-0064,nzd0595-0065,nzd0595-0066,nzd0595-0067,nzd0595-0068,nzd0595-0069,nzd0595-0070,nzd0595-0071,nzd0595-0072,nzd0595-0073,nzd0595-0074,nzd0595-0075,nzd0595-0076,nzd0595-0077,nzd0595-0078,nzd0595-0079,nzd0595-0080,nzd0595-0081,nzd0595-0082,nzd0595-0083,nzd0595-0084,nzd0595-0085,nzd0595-0086,nzd0595-0087,nzd0595-0088,nzd0595-0089,nzd0595-0090,nzd0595-0091,nzd0595-0092,nzd0595-0093,nzd0595-0094,nzd0595-0095,nzd0595-0096,nzd0595-0097,nzd0595-0098,nzd0595-0099,nzd0595-0100,nzd0595-0101,nzd0595-0102,nzd0595-0103,nzd0595-0104,nzd0595-0105,nzd0595-0106,nzd0595-0107,satname
1999-08-08 22:19:52+00:00,,379.62,,340.56,,389.82,403.31,391.90,,280.64,254.20,244.34,249.87,268.92,262.22,246.05,,,252.90,,220.78,234.51,228.80,238.08,230.70,229.47,240.74,250.81,242.82,228.82,258.98,250.64,248.57,211.12,225.13,246.50,236.44,240.75,250.59,247.42,253.68,242.91,233.70,253.50,,296.08,290.99,279.31,252.93,259.97,259.52,245.79,260.32,258.78,266.19,254.96,242.34,242.05,254.54,257.34,257.34,257.64,258.92,245.68,246.22,227.03,241.84,239.36,242.63,251.28,254.57,258.65,263.60,269.44,272.21,283.70,268.15,253.03,221.14,255.01,236.58,238.21,263.03,,259.38,259.46,,,,244.04,239.29,250.41,244.42,239.60,,241.43,232.38,241.95,203.37,214.33,216.24,216.52,243.09,231.42,231.97,233.95,257.02,244.89,L7
1999-10-27 22:19:51+00:00,,371.55,322.83,330.42,244.60,386.90,400.01,389.13,,282.33,258.12,252.99,258.19,261.64,253.94,238.24,,,258.50,,218.16,222.45,222.81,224.16,224.10,222.07,235.80,243.50,231.10,222.93,244.94,242.29,240.66,216.23,222.44,233.50,227.92,229.67,244.27,236.99,240.10,231.08,219.33,240.82,223.44,277.88,275.84,261.82,248.70,247.27,248.50,234.64,249.54,246.89,250.25,245.15,236.47,233.61,244.31,246.13,244.48,246.09,245.57,240.62,226.28,227.19,239.98,244.26,237.09,250.45,253.64,250.23,250.52,252.94,258.98,272.14,260.12,242.84,220.08,236.81,223.79,230.48,249.81,229.75,239.93,243.06,,216.04,213.12,234.97,235.97,240.02,238.79,229.58,,237.08,220.20,232.45,209.68,214.99,219.13,220.00,233.89,228.40,221.86,230.93,240.71,237.84,L7
1999-11-05 22:14:04+00:00,,376.21,328.63,330.42,248.22,386.63,406.12,392.98,,289.17,261.41,254.82,261.43,263.52,256.57,237.92,,,262.75,,219.16,223.71,222.60,226.83,228.79,229.83,236.72,245.53,236.38,225.57,248.80,246.55,244.29,218.56,224.26,233.89,232.19,234.17,247.19,238.92,242.13,232.48,221.28,243.25,243.29,286.77,284.03,264.47,251.47,246.15,250.01,235.88,250.79,251.09,255.97,247.77,238.52,235.05,249.80,249.62,249.92,251.05,249.84,243.32,229.53,228.46,240.46,243.82,238.29,252.83,255.79,252.12,254.59,255.97,264.14,274.83,261.92,247.66,229.99,243.49,229.75,234.63,253.37,248.51,247.27,248.87,257.44,234.43,229.07,236.20,238.13,239.93,240.10,231.10,278.10,238.86,223.26,238.32,219.84,220.70,221.71,223.01,235.33,228.16,229.41,237.71,245.09,240.60,L7
1999-12-07 22:14:05+00:00,,376.21,328.63,330.42,245.27,386.63,406.12,392.98,248.52,285.81,254.17,246.43,259.91,259.96,256.90,239.76,432.55,340.08,274.24,,221.87,224.89,225.00,226.49,231.38,230.82,240.53,251.26,238.47,227.60,249.43,248.12,247.43,222.03,225.33,235.86,234.24,235.17,249.78,239.53,242.98,231.40,221.92,242.51,247.87,289.34,285.45,265.21,252.16,246.46,249.66,239.20,252.09,254.04,258.55,251.53,242.22,237.22,250.65,252.08,253.20,253.48,247.07,245.25,227.82,227.71,239.88,242.21,238.49,252.96,260.26,255.15,255.27,255.79,263.56,275.84,265.06,248.68,232.30,243.39,231.64,237.25,254.67,248.77,248.20,254.51,251.90,238.03,230.62,235.82,239.06,239.20,240.54,232.37,277.27,239.54,229.15,245.07,226.86,223.33,225.31,229.65,238.06,229.74,231.94,240.33,247.06,243.84,L7
2000-04-20 22:19:15+00:00,,371.18,329.99,321.04,245.69,386.30,410.24,405.36,248.52,289.19,254.16,247.12,268.70,265.24,259.21,242.54,417.53,320.44,283.46,,223.65,225.30,226.17,224.71,233.39,231.77,241.19,251.41,245.35,228.68,248.16,251.13,249.35,229.46,229.90,237.75,234.97,234.87,251.48,238.96,241.60,229.00,219.03,238.15,247.67,287.12,283.93,261.27,253.42,243.75,247.18,239.13,249.22,253.78,256.16,249.56,246.41,242.79,249.92,251.14,254.36,254.42,243.98,247.14,223.14,229.85,241.76,246.43,238.41,257.46,265.63,258.03,254.96,253.68,261.75,274.01,266.25,247.23,236.77,238.39,233.10,239.62,255.10,249.27,248.38,252.87,251.90,238.03,230.62,233.37,238.98,235.47,241.37,231.14,277.27,240.40,228.07,246.11,234.69,226.34,235.09,234.03,236.38,229.18,231.92,242.46,243.75,243.49,L7
2000-05-22 22:18:57+00:00,,364.51,332.69,321.81,243.16,394.04,408.64,410.63,248.52,287.46,244.12,232.74,266.20,263.53,257.57,245.31,409.08,320.44,277.49,208.39,218.98,224.88,223.42,222.87,230.10,233.52,240.68,248.75,256.44,225.97,248.17,251.20,246.35,232.92,227.43,240.20,236.14,234.57,252.50,241.36,242.08,229.74,219.43,234.74,248.70,287.72,284.17,261.55,252.72,246.39,249.11,247.34,251.28,253.80,256.35,248.50,246.73,245.12,248.89,251.82,254.98,254.55,241.45,244.90,223.26,230.20,247.05,248.08,238.87,256.84,266.81,259.84,257.29,253.42,260.64,274.08,268.54,251.74,233.62,234.66,232.18,236.96,256.55,247.19,239.32,252.97,239.91,234.69,228.72,232.11,236.53,235.80,242.46,234.04,262.85,242.30,231.95,234.26,200.50,212.44,234.34,233.72,237.43,228.39,237.84,243.88,245.93,240.87,L7
2000-05-31 22:12:42+00:00,,364.51,332.69,321.81,243.16,387.16,401.21,399.87,261.74,284.29,243.63,232.63,258.83,261.05,254.69,243.40,408.11,320.44,265.32,211.76,212.65,220.16,223.42,222.87,230.10,233.52,238.28,246.74,248.08,224.78,248.95,246.92,240.10,225.31,217.19,235.19,235.32,233.36,250.50,241.15,241.05,231.14,220.85,234.94,250.52,282.41,279.95,262.42,252.16,246.48,248.17,242.71,251.47,251.02,256.35,238.73,240.72,239.96,247.56,247.74,253.36,254.06,243.09,243.46,222.48,225.66,241.34,242.87,238.02,252.39,261.27,256.30,255.54,251.54,259.26,271.18,265.19,251.74,223.13,234.66,232.18,225.74,253.06,248.27,229.28,249.97,237.17,234.71,229.53,229.33,238.05,233.11,241.18,231.21,266.59,238.94,224.79,226.22,194.46,200.93,221.40,218.72,233.09,224.44,228.43,231.67,237.46,238.15,L7
2000-09-04 22:11:58+00:00,,364.51,332.69,287.25,241.89,387.16,401.21,399.87,256.20,274.10,238.99,231.79,254.31,262.73,250.43,238.82,399.96,300.79,243.90,211.73,206.47,215.31,217.20,217.00,224.39,226.01,233.14,231.46,242.11,220.68,242.80,240.07,231.73,220.60,210.62,228.11,228.22,228.00,241.43,236.92,235.29,230.62,216.32,229.40,248.36,277.52,276.70,252.99,247.56,241.19,240.00,231.62,243.05,239.42,239.74,229.26,230.44,230.32,238.51,236.02,250.14,244.00,236.66,235.05,217.93,220.14,233.81,235.58,230.54,241.64,246.21,244.95,246.03,244.15,251.84,260.51,253.76,215.95,217.36,225.03,222.53,217.16,245.77,245.44,221.94,235.26,226.84,226.17,224.74,224.84,233.87,230.98,237.66,226.15,261.66,233.69,212.03,207.95,174.80,190.42,211.92,203.55,223.42,220.03,218.02,220.39,226.59,226.99,L7
2000-09-27 22:17:24+00:00,,364.51,325.91,275.76,241.18,383.90,401.21,399.87,256.20,274.10,238.99,231.79,258.96,262.73,257.05,243.83,399.96,300.79,250.05,211.73,211.38,222.59,223.13,223.50,231.81,234.12,235.14,231.46,242.11,220.68,248.22,240.07,237.75,221.73,214.28,231.37,231.97,231.64,245.75,236.92,240.59,231.57,218.98,232.64,250.35,277.52,276.70,259.01,251.00,245.03,246.46,236.10,246.78,239.42,246.65,234.27,230.44,230.32,243.13,241.98,253.30,244.00,240.96,235.05,217.93,220.14,235.38,235.58,230.54,241.64,246.21,249.12,250.49,247.91,255.53,265.22,253.76,237.75,225.15,225.03,222.53,224.11,245.77,251.31,233.34,235.26,226.84,226.17,224.74,224.84,233.87,230.98,241.68,230.26,261.66,237.59,210.75,221.98,192.44,205.82,220.79,214.96,229.60,223.00,224.19,229.06,234.28,234.84,L7
2000-10-06 22:11:11+00:00,,364.51,325.91,267.72,240.37,383.90,401.21,399.87,250.96,267.02,234.25,227.81,257.78,260.32,256.76,241.05,399.96,300.79,247.80,218.10,212.12,222.14,222.36,223.30,230.81,233.46,235.46,230.15,239.56,220.17,245.84,239.59,236.37,221.39,214.72,229.56,230.26,230.20,243.10,234.37,238.62,231.22,219.59,232.45,247.27,267.01,272.03,257.74,250.36,243.88,244.30,232.99,244.91,236.98,245.07,235.78,231.79,229.32,241.51,240.97,247.00,243.77,240.04,235.04,221.08,220.84,234.53,232.66,230.19,239.32,243.84,245.74,247.60,246.23,254.08,262.75,251.23,237.22,226.46,228.90,224.30,224.85,245.52,250.35,236.18,237.46,230.77,229.33,228.25,225.34,234.60,231.09,240.95,229.70,262.52,235.66,213.06,224.42,198.58,210.10,220.88,216.95,229.35,220.63,223.52,226.30,232.20,233.18,L7
