dates,satname,nzd0595-0000,nzd0595-0001,nzd0595-0002,nzd0595-0003,nzd0595-0004,nzd0595-0005,nzd0595-0006,nzd0595-0007,nzd0595-0008,nzd0595-0009,nzd0595-0010,nzd0595-0011,nzd0595-0012,nzd0595-0013,nzd0595-0014,nzd0595-0015,nzd0595-0016,nzd0595-0017,nzd0595-0018,nzd0595-0019,nzd0595-0020,nzd0595-0021,nzd0595-0022,nzd0595-0023,nzd0595-0024,nzd0595-0025,nzd0595-0026,nzd0595-0027,nzd0595-0028,nzd0595-0029,nzd0595-0030,nzd0595-0031,nzd0595-0032,nzd0595-0033,nzd0595-0034,nzd0595-0035,nzd0595-0036,nzd0595-0037,nzd0595-0038,nzd0595-0039,nzd0595-0040,nzd0595-0041,nzd0595-0042,nzd0595-0043,nzd0595-0044,nzd0595-0045,nzd0595-0046,nzd0595-0047,nzd0595-0048,nzd0595-0049,nzd0595-0050,nzd0595-0051,nzd0595-0052,nzd0595-0053,nzd0595-0054,nzd0595-0055,nzd0595-0056,nzd0595-0057,nzd0595-0058,nzd0595-0059,nzd0595-0060,nzd0595-0061,nzd0595-0062,nzd0595-0063,nzd0595-0064,nzd0595-0065,nzd0595-0066,nzd0595-0067,nzd0595-0068,nzd0595-0069,nzd0595-0070,nzd0595-0071,nzd0595-0072,nzd0595-0073,nzd0595-0074,nzd0595-0075,nzd0595-0076,nzd0595-0077,nzd0595-0078,nzd0595-0079,nzd0595-0080,nzd0595-0081,nzd0595-0082,nzd0595-0083,nzd0595-0084,nzd0595-0085,nzd0595-0086,nzd0595-0087,nzd0595-0088,nzd0595-0089,nzd0595-0090,nzd0595-0091,nzd0595-0092,nzd0595-0093,nzd0595-0094,nzd0595-0095,nzd0595-0096,nzd0595-0097,nzd0595-0098,nzd0595-0099,nzd0595-0100,nzd0595-0101,nzd0595-0102,nzd0595-0103,nzd0595-0104,nzd0595-0105,nzd0595-0106,nzd0595-0107
1999-08-08 22:19:52+00:00,L7,,374.27,368.11,335.21,392.60,375.55,386.85,379.31,,262.81,242.94,236.11,242.23,259.19,252.03,235.86,365.13,225.29,233.45,213.36,207.40,221.14,218.10,222.79,212.87,211.64,232.18,234.35,223.37,214.55,244.71,231.19,232.11,205.77,218.00,233.13,221.15,227.37,235.30,230.96,232.28,229.54,215.87,234.05,239.61,253.28,255.32,252.56,238.66,244.68,244.23,227.96,238.92,235.00,244.79,240.69,227.05,224.22,235.09,237.89,235.94,239.81,241.09,231.41,222.44,216.84,225.38,230.06,223.18,224.53,227.82,234.87,239.82,245.66,245.46,256.95,241.40,226.28,194.39,219.34,209.83,211.46,236.28,245.44,223.71,223.79,227.03,230.23,230.47,228.75,222.83,237.03,227.96,218.20,226.94,227.16,208.60,206.28,179.59,190.55,194.84,197.07,221.69,217.15,205.22,207.20,221.35,214.32
1999-10-27 22:19:51+00:00,L7,,369.98,329.33,326.78,251.10,401.31,416.71,401.65,,305.70,275.71,271.64,275.80,266.18,258.05,242.81,460.39,226.11,287.74,250.82,231.78,226.65,229.83,228.81,239.17,236.35,241.26,256.20,243.03,234.36,248.22,257.59,252.75,227.83,228.41,236.75,237.97,234.83,256.52,246.55,252.52,235.51,226.63,251.78,266.77,311.67,304.02,276.83,261.81,253.14,256.05,245.16,264.76,263.89,260.31,252.66,249.16,246.83,257.71,258.56,257.63,256.21,253.90,252.89,235.24,239.74,258.12,260.46,255.19,282.13,285.21,270.71,266.33,265.33,278.24,293.09,284.59,265.16,251.52,261.94,243.49,255.24,269.09,266.89,263.81,270.00,262.47,253.18,250.26,244.48,252.65,245.89,253.17,245.57,300.45,250.06,236.91,266.28,244.87,244.53,248.03,247.11,250.69,242.72,244.24,260.41,267.74,267.94
1999-11-05 22:14:04+00:00,L7,,382.74,331.64,264.26,249.04,378.61,409.72,394.08,,293.52,262.12,254.16,263.90,262.19,256.50,231.96,445.27,226.07,261.06,237.37,214.18,219.21,216.57,224.16,228.84,236.02,234.07,240.95,236.74,223.38,249.07,244.89,242.94,220.43,224.19,227.68,232.72,236.19,245.02,234.17,234.98,228.27,215.84,237.93,244.48,282.15,281.74,255.77,249.53,235.90,245.03,229.04,242.08,247.06,256.22,245.56,234.64,228.62,250.62,246.43,249.60,251.64,249.03,241.25,223.58,225.65,232.80,238.08,230.50,243.58,246.10,243.45,250.29,249.58,260.46,266.19,251.53,243.29,235.81,238.18,227.69,228.94,246.49,251.27,243.29,241.82,235.04,236.82,229.03,230.65,233.82,232.73,234.10,222.93,240.77,234.96,216.95,231.38,227.72,219.70,215.65,218.85,227.00,220.21,230.51,237.26,235.17,230.12
1999-12-07 22:14:05+00:00,L7,359.29,248.17,256.99,255.41,240.91,253.23,243.30,227.06,250.07,280.89,235.69,223.63,257.58,252.11,260.82,248.22,453.22,346.97,314.35,486.34,233.85,232.30,235.29,229.92,244.32,238.95,254.44,273.24,250.40,237.84,255.44,258.45,261.62,234.00,230.59,245.61,244.82,242.04,262.01,246.15,251.75,232.02,229.02,245.93,267.35,309.46,300.03,275.17,258.34,251.83,253.04,254.32,262.19,269.79,272.49,266.92,257.72,248.87,258.83,265.09,269.22,265.94,243.94,255.15,229.57,228.41,242.91,240.06,244.74,261.10,281.40,271.14,264.21,262.17,269.59,286.65,282.23,259.49,246.96,253.41,245.06,252.85,266.33,258.15,261.33,281.77,258.76,254.09,242.57,239.11,246.63,240.90,246.63,242.39,297.11,245.70,253.70,275.66,254.82,238.12,242.33,255.23,252.44,238.61,247.27,255.97,263.32,262.41
2000-04-20 22:19:15+00:00,L7,,369.26,337.44,326.56,251.72,401.51,430.30,440.24,,309.98,,,291.81,298.68,280.51,266.22,465.84,321.90,307.05,309.77,239.78,248.04,242.97,244.51,254.59,249.10,251.01,,287.59,245.79,266.57,279.96,270.85,245.59,249.73,265.95,252.93,251.40,270.95,259.72,267.17,245.18,237.98,253.32,278.76,325.20,316.58,287.31,270.66,262.68,263.18,261.35,267.85,278.84,275.64,259.74,272.71,280.18,268.88,270.84,280.97,277.22,262.40,265.92,248.61,244.63,264.00,264.49,259.59,293.03,299.82,291.27,283.45,282.09,288.73,300.10,296.63,,262.77,266.67,266.18,271.43,288.50,277.93,291.76,426.84,431.59,423.67,395.45,247.79,,,262.36,253.68,594.14,257.52,389.52,406.42,395.25,357.96,274.37,,,,,,,
2000-05-22 22:18:57+00:00,L7,,,,399.36,406.83,409.38,413.30,401.14,,305.18,263.81,250.07,263.64,258.16,250.62,240.72,442.86,380.84,247.81,233.72,208.55,219.55,212.20,223.03,225.06,151.07,232.76,240.72,268.05,221.20,249.42,251.93,237.65,229.28,215.43,234.29,239.53,235.51,253.40,249.28,247.71,237.25,224.96,241.70,267.31,309.29,303.22,272.66,256.10,253.52,,,264.20,257.65,261.32,245.77,238.62,239.99,255.68,256.26,255.15,254.16,251.69,240.55,236.48,236.80,265.32,257.25,249.00,266.88,269.70,262.01,269.10,260.89,274.11,286.00,277.26,,241.62,251.22,235.80,237.09,265.32,263.19,232.21,259.84,263.86,245.87,245.43,238.30,242.88,244.06,249.48,246.45,299.92,250.61,233.98,228.53,169.95,210.53,226.72,231.66,243.81,232.44,255.15,258.53,264.20,249.90
2000-05-31 22:12:42+00:00,L7,,,,392.13,373.70,364.85,376.48,370.81,271.75,264.10,235.92,227.51,232.14,247.79,239.94,231.58,362.51,220.64,217.16,193.81,185.65,198.01,104.58,126.24,152.75,128.75,225.96,232.88,211.36,212.67,242.76,222.42,211.50,199.25,182.20,212.15,223.71,221.75,235.34,230.68,225.17,227.35,214.43,223.91,234.68,240.88,245.98,249.03,241.94,237.60,237.16,222.80,239.25,228.48,193.00,200.89,213.55,213.80,231.93,223.86,235.71,241.91,237.33,230.61,205.92,205.94,214.35,221.67,223.83,223.07,228.68,231.43,236.06,231.69,239.10,246.48,239.14,173.75,175.68,124.53,102.37,176.10,226.58,233.24,177.81,222.63,206.08,216.44,212.88,211.85,231.25,219.74,227.47,209.92,231.41,220.35,196.25,188.80,168.18,163.71,169.78,177.09,211.62,208.01,193.63,191.25,199.19,214.43
2000-09-04 22:11:58+00:00,L7,210.81,247.34,251.24,253.24,237.37,248.96,245.71,231.74,238.00,236.81,219.65,219.56,238.09,257.01,241.88,228.01,232.67,219.16,225.04,215.34,206.67,210.42,214.63,209.45,223.85,220.59,232.27,224.32,222.89,218.81,228.20,227.41,225.08,214.20,202.96,214.80,213.56,218.10,222.90,226.16,224.72,227.47,207.57,220.10,218.74,218.99,228.12,232.45,237.29,227.80,225.65,217.69,224.49,218.93,218.67,226.39,213.72,206.96,218.99,214.58,205.65,222.39,214.86,218.85,206.91,204.45,209.71,209.17,211.18,213.08,216.14,221.31,221.73,228.16,234.91,238.96,231.53,218.70,218.87,217.86,211.12,213.54,232.17,241.12,225.32,230.98,219.79,222.75,222.48,218.26,231.01,232.01,229.47,218.15,225.68,222.02,210.96,214.18,191.38,202.14,200.40,206.08,219.43,222.70,211.02,217.13,224.06,223.20
2000-09-27 22:17:24+00:00,L7,348.49,305.14,319.94,253.59,240.54,376.26,431.20,439.61,,301.02,,270.34,278.71,304.17,285.05,265.37,472.50,350.71,277.54,514.13,233.01,253.67,242.52,245.30,256.72,253.00,244.42,,349.12,,272.03,282.07,264.28,227.05,229.99,246.42,249.28,248.19,265.33,,264.98,237.36,232.27,248.51,261.65,324.68,317.77,287.11,266.87,262.68,268.14,252.23,264.92,271.48,270.56,256.43,,,264.52,268.73,265.97,295.99,260.83,,429.60,,244.14,,,284.09,287.58,269.36,271.88,266.51,274.32,288.06,287.34,263.54,260.31,374.04,375.18,255.90,413.76,279.35,284.29,425.60,436.58,427.35,401.60,,,,260.21,249.89,655.35,255.30,210.47,269.40,248.92,255.59,259.49,252.10,251.34,234.03,246.72,259.07,262.66,262.97
2000-10-06 22:11:11+00:00,L7,209.61,232.54,241.67,240.39,234.76,254.49,249.86,226.02,237.27,228.00,213.28,210.96,247.32,244.89,249.24,221.05,226.02,219.08,224.91,215.87,207.82,211.89,212.89,213.38,216.15,220.79,231.92,216.35,217.72,209.60,225.40,226.05,219.63,216.48,212.67,212.52,212.56,214.98,220.70,214.32,215.95,221.43,211.98,219.86,213.64,209.88,236.68,235.40,238.66,229.04,226.50,209.89,222.78,213.01,225.97,234.79,228.06,214.65,221.76,224.27,209.02,232.18,224.81,226.50,219.49,217.52,220.41,215.40,217.17,214.02,218.35,214.59,218.92,223.62,230.79,234.39,225.09,220.16,217.01,219.21,213.58,212.54,228.52,227.27,229.06,222.74,216.94,220.54,220.50,218.22,226.95,223.41,227.48,214.10,221.55,217.49,208.09,212.86,208.93,212.96,208.55,213.25,215.56,202.63,204.85,199.28,202.54,208.26
