,dates,usa_CA_0256-0000,usa_CA_0256-0001,usa_CA_0256-0002
0,1984-04-14 18:25:13+00:00,216.58905879969683,213.02547541670236,216.10258200965836
1,1984-06-01 18:26:05+00:00,207.91248383235055,199.48340180058804,208.220111887432
2,1984-06-10 18:20:05+00:00,222.43968976504215,210.15628461271862,216.45736426462727
3,1984-06-26 18:20:19+00:00,230.19613754619635,222.47182070512952,233.07317887356038
4,1984-08-04 18:27:28+00:00,231.22709826800008,224.8320328297064,225.87616521177023
5,1984-12-03 18:21:48+00:00,198.73671769019003,202.02416723245503,213.15447076788058
6,1984-12-19 18:21:59+00:00,214.51878552293897,214.35131341295332,215.61136214308954
7,1985-05-03 18:28:11+00:00,228.04361932936575,222.9769238070028,229.9954277227942
8,1985-05-12 18:21:57+00:00,223.53428397904386,222.3233396083711,224.3259834615777
9,1985-05-19 18:28:09+00:00,217.21789399877105,206.85094404477402,217.7946595550132
10,1985-06-29 18:21:53+00:00,235.87846562742504,228.7261931038879,239.60090373930296
11,1985-08-07 18:27:46+00:00,246.50248996812414,237.86023564220184,241.40623857405797
12,1985-10-03 18:20:56+00:00,242.19242069739872,231.4273653101003,234.186067496843
13,1985-10-10 18:27:03+00:00,241.73889100654088,234.9348168038086,233.62141427065072
14,1985-10-26 18:26:51+00:00,229.24928842401172,220.9379616898932,222.59980985473592
15,1985-11-11 18:26:37+00:00,220.440424938921,215.67341945958688,
16,1986-02-08 18:18:42+00:00,197.05943789006312,190.7894564673587,197.16475945007755
17,1986-03-12 18:17:59+00:00,192.45481536362388,184.76893987105063,192.97032411490324
18,1986-03-19 18:24:01+00:00,201.55205307113795,204.06571197344516,212.57261430179878
19,1986-04-04 18:23:42+00:00,196.4022978810027,200.136649501153,202.5952688969476
20,1986-04-13 18:17:19+00:00,207.21843218745215,205.74536551457118,209.67208028737608
21,1986-04-20 18:23:20+00:00,224.5952822560223,224.637773738919,228.69864141259606
22,1986-04-29 18:16:56+00:00,211.23406692691208,215.20078622246962,209.48308065027706
23,1986-05-15 18:16:31+00:00,218.5263903936017,219.14272316750234,219.93825649181568
24,1986-07-18 18:14:29+00:00,228.09690701054413,231.64464047016995,233.6926679568356
25,1986-08-19 18:13:20+00:00,230.31771329361482,230.32010806293587,234.95292042451433
26,1986-09-11 18:18:41+00:00,234.1849468342692,223.71412083414506,230.09692250275597
27,1986-09-20 18:12:14+00:00,236.31912502976832,232.82182642307023,235.38411279242794
28,1986-09-27 18:18:12+00:00,226.38434244007001,222.1042489224407,227.002985174294
29,1986-10-13 18:17:41+00:00,216.41719410247532,209.04009036140465,218.40851910201175
30,1986-11-23 18:10:01+00:00,204.46751760199706,204.16809358782837,203.68120208381748
31,1986-12-16 18:16:52+00:00,203.53292134376449,192.16032644528894,198.33769401964233
32,1987-01-10 18:11:26+00:00,196.17860545091284,193.09660607976818,199.60028285058664
33,1987-01-17 18:17:49+00:00,216.70938560577707,212.98427249369996,218.12277163548382
34,1987-02-27 18:13:08+00:00,219.51142120094713,219.3563211441171,215.92468415398196
35,1987-03-15 18:13:44+00:00,201.86056870365084,192.38434928500814,189.47825622140152
36,1987-03-31 18:14:18+00:00,223.79696989282903,229.94684632653767,237.31968368653907
37,1987-04-16 18:14:50+00:00,217.1427136959049,219.38200234567296,218.7739963584209
38,1987-05-02 18:15:19+00:00,212.29033716938085,211.47308098868166,217.8188950817052
39,1987-06-10 18:22:30+00:00,223.38091820102397,206.0557456392987,219.39432229174312
40,1987-07-05 18:16:50+00:00,231.93778958670336,230.95811897032908,240.66674379511733
41,1987-07-28 18:23:33+00:00,237.03160495661382,231.27201040108125,233.32260758194633
42,1987-08-06 18:17:39+00:00,233.74260153483436,229.94752740032288,237.5001053847965
43,1987-08-22 18:18:07+00:00,232.31861311374882,233.8867738006061,237.53057506804547
44,1987-10-25 18:19:28+00:00,229.9649900605208,230.92043878025802,229.73949249676173
45,1988-03-17 18:21:48+00:00,212.9257844016496,208.90852550181683,223.03184292855894
46,1988-03-24 18:28:03+00:00,217.87563290756273,202.73819380548738,205.39504458607485
47,1988-04-09 18:28:08+00:00,226.78279263736863,217.95620228330168,219.3965399092024
48,1988-05-04 18:22:08+00:00,217.33502586978244,213.40855971301076,216.38769495141497
49,1988-06-05 18:22:22+00:00,208.09697380161026,203.21890697955993,204.00125269442498
50,1988-06-28 18:28:41+00:00,227.8789017634029,219.90369115909036,219.06126724304727
