dates,satname,nzd0558-0000,nzd0558-0001,nzd0558-0002,nzd0558-0003,nzd0558-0004,nzd0558-0005,nzd0558-0006,nzd0558-0007,nzd0558-0008,nzd0558-0009,nzd0558-0010,nzd0558-0011,nzd0558-0012,nzd0558-0013,nzd0558-0014,nzd0558-0015,nzd0558-0016,nzd0558-0017,nzd0558-0018,nzd0558-0019,nzd0558-0020,nzd0558-0021,nzd0558-0022,nzd0558-0023,nzd0558-0024,nzd0558-0025,nzd0558-0026
1999-10-04 22:14:13+00:00,L7,302.13,296.62,307.77,302.60,295.85,295.55,291.01,283.01,284.56,283.87,269.76,264.45,280.67,273.08,275.71,275.92,274.16,273.20,278.80,288.91,284.97,282.30,273.29,275.19,273.10,284.92,287.47
1999-11-05 22:14:04+00:00,L7,330.46,314.53,336.79,322.89,308.51,307.01,302.92,303.76,306.54,307.93,298.76,291.97,295.42,285.07,280.84,286.27,288.51,288.14,295.84,302.61,304.86,300.47,296.39,301.93,308.26,306.11,303.68
1999-12-07 22:14:05+00:00,L7,330.61,321.72,340.28,324.42,310.91,314.22,303.93,303.59,310.25,310.88,309.43,302.32,310.21,300.17,290.82,294.09,296.49,307.70,313.22,325.60,321.21,308.88,307.86,315.21,318.03,311.08,321.58
1999-12-30 22:19:45+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,317.09,319.24,316.59
2000-04-20 22:19:15+00:00,L7,344.85,348.83,357.67,349.37,339.23,343.84,333.83,340.63,337.34,337.66,337.34,331.16,333.05,334.74,322.53,320.93,321.83,331.69,328.70,337.83,333.63,332.47,330.07,339.86,341.85,342.41,341.26
2000-05-15 22:12:54+00:00,L7,329.90,321.80,330.73,319.12,307.86,300.63,301.51,294.92,273.79,279.83,288.70,283.98,282.98,275.23,230.81,245.14,245.25,248.28,248.52,234.13,226.94,248.21,236.06,247.47,241.04,235.12,255.69
2000-06-07 22:18:48+00:00,L7,340.82,333.88,343.63,330.57,321.93,,,,,,,313.03,320.85,308.08,256.62,257.02,257.13,255.07,262.84,,,283.70,260.38,268.51,267.74,,
2000-09-04 22:11:34+00:00,L7,336.57,324.45,337.71,326.87,322.10,318.03,312.58,311.55,319.32,320.43,311.14,306.73,311.73,304.70,298.33,299.32,307.17,304.63,303.93,317.35,314.75,309.62,305.76,307.23,315.19,321.52,326.16
2000-09-20 22:11:38+00:00,L7,315.24,314.01,322.46,317.11,308.85,308.04,301.13,294.23,294.97,292.26,296.80,293.66,297.80,288.70,281.44,282.97,284.60,286.74,296.34,301.83,296.83,296.81,292.34,295.12,307.32,306.23,300.34
2000-09-27 22:17:24+00:00,L7,334.78,333.26,345.57,328.51,325.26,322.11,315.63,309.79,313.98,321.49,314.09,308.63,313.16,307.27,305.66,308.41,323.95,324.71,327.45,330.68,328.62,321.84,325.15,328.26,335.32,333.08,333.93
2001-02-11 22:11:36+00:00,L7,334.22,327.46,354.39,333.22,335.34,334.44,323.51,322.19,316.49,312.63,309.10,306.27,313.60,303.14,294.90,299.64,301.44,306.28,317.44,326.58,317.45,311.97,306.48,307.20,315.53,316.92,317.59
2001-03-22 22:17:09+00:00,L7,,,,,,,,,,,,,,,,,,,,,202.77,,,,,,
2001-04-07 22:17:01+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-16 22:11:18+00:00,L7,319.70,317.62,334.80,323.69,315.53,315.91,312.97,307.58,308.10,307.29,303.72,303.14,303.56,293.51,283.36,276.05,275.39,291.19,289.51,301.56,296.80,292.25,287.25,287.86,303.45,298.89,294.70
2001-07-05 22:10:09+00:00,L7,343.31,329.40,350.68,345.20,,,,,255.54,,325.34,313.87,326.37,307.44,258.06,258.34,260.65,252.65,260.84,,,268.92,258.73,259.39,263.47,270.92,
2001-08-13 22:15:49+00:00,L7,318.11,305.74,323.28,316.84,300.53,298.66,298.32,284.79,292.23,294.34,294.56,288.32,289.18,278.98,285.46,289.76,293.45,291.45,301.07,301.09,301.56,293.90,288.48,297.63,305.48,302.07,307.41
2001-11-26 22:09:21+00:00,L7,318.07,321.22,335.34,325.65,319.50,318.29,315.76,317.54,317.11,316.84,315.33,310.55,313.32,305.01,297.15,297.58,295.00,300.22,305.35,306.58,316.73,311.07,307.06,316.16,314.06,319.96,328.64
2002-02-14 22:10:05+00:00,L7,,,,,,,303.51,322.87,323.55,322.63,325.29,320.06,322.78,317.97,318.92,323.27,327.05,325.03,330.79,339.82,326.16,318.08,316.66,324.39,342.46,334.97,347.88
2002-03-18 22:09:57+00:00,L7,315.42,312.02,323.32,315.65,306.27,310.34,,486.75,488.98,,303.07,300.99,304.77,302.96,295.43,293.69,300.01,300.96,304.92,316.72,312.94,307.66,300.31,,,,
2002-05-21 22:09:29+00:00,L7,306.54,304.77,314.89,307.28,,273.07,263.24,270.23,250.73,267.51,,,281.51,262.89,251.42,253.68,257.05,262.73,255.32,,288.84,277.43,270.53,264.57,265.54,270.12,275.93
2002-10-28 22:08:58+00:00,L7,315.04,311.73,319.16,319.84,306.99,305.05,298.19,286.86,285.04,280.30,278.55,275.42,283.81,280.13,273.17,275.11,273.94,282.52,289.01,293.80,295.85,290.75,284.30,281.34,286.91,284.15,286.67
2003-03-21 22:09:27+00:00,L7,335.28,329.13,361.50,346.01,335.94,340.23,333.03,336.59,335.44,333.52,327.89,325.64,332.55,323.58,322.37,316.64,316.52,327.94,329.16,336.43,323.39,321.63,322.19,328.06,334.39,336.69,336.39
2003-08-03 22:15:22+00:00,L7,,,,,,,,,,,,,,,,,,,,,313.18,307.33,301.10,,313.57,328.03,322.31
2003-08-12 22:09:11+00:00,L7,357.50,339.48,356.97,344.66,338.65,339.97,327.08,332.37,332.32,336.74,332.61,329.24,336.59,330.29,319.06,319.03,318.48,,,,,,321.41,335.46,342.69,335.91,338.62
2003-08-28 22:09:09+00:00,L7,346.93,337.61,350.65,330.54,327.77,331.46,316.60,,,,325.47,322.76,328.29,317.31,318.17,314.39,319.08,327.40,320.64,334.20,326.09,319.25,319.76,324.77,334.94,336.56,336.83
2003-10-07 21:58:59+00:00,L5,329.99,325.51,338.57,327.50,313.31,315.03,312.92,308.96,311.46,312.59,306.98,305.61,310.07,297.79,295.34,305.89,318.40,314.15,309.93,322.29,321.04,314.45,313.91,309.85,322.88,313.43,314.09
2003-10-15 22:08:58+00:00,L7,336.59,328.52,346.88,,325.73,327.88,317.76,315.92,317.99,320.30,314.05,313.43,320.37,311.60,307.53,305.15,301.17,315.26,318.34,336.40,326.18,313.94,309.43,316.37,320.86,325.31,327.68
2003-11-16 22:09:47+00:00,L7,316.49,,,315.70,303.92,305.20,297.21,289.72,286.86,289.37,285.78,281.44,285.87,271.12,268.68,271.80,274.34,276.72,292.74,301.45,297.87,292.39,279.57,281.81,283.70,287.37,283.51
2003-12-26 21:59:54+00:00,L5,341.71,342.57,352.65,327.24,315.62,319.01,316.73,309.80,305.12,304.90,297.87,301.52,317.05,307.35,307.87,308.90,313.46,318.17,319.75,330.71,328.26,320.52,313.32,307.38,314.67,317.91,324.43
2004-01-27 22:00:01+00:00,L5,333.44,327.63,350.75,340.15,328.15,331.46,322.75,324.52,324.52,321.16,312.88,312.52,314.09,301.32,298.48,294.49,296.63,305.14,308.20,325.16,321.50,314.79,304.80,295.94,317.09,333.34,315.25
2004-03-23 22:10:04+00:00,L7,344.31,348.77,366.37,,,341.71,334.44,326.01,327.14,322.49,314.64,297.47,291.38,280.72,226.15,240.59,,240.01,,324.78,320.36,316.17,312.01,314.89,326.32,326.53,328.61
2004-03-31 22:00:23+00:00,L5,319.27,313.07,329.44,327.40,320.00,325.60,322.01,312.08,305.95,303.24,311.22,305.12,304.87,290.36,282.98,273.30,284.08,282.57,292.16,306.02,299.54,304.00,293.30,296.99,300.75,307.57,300.48
2004-04-24 22:10:19+00:00,L7,,,,,,,,,,,341.08,339.45,337.23,330.02,329.87,366.87,,325.31,324.12,338.80,316.19,311.50,317.73,319.98,328.86,334.12,337.77
2004-05-02 22:00:57+00:00,L5,325.73,318.98,326.84,317.27,308.20,309.23,301.41,286.73,296.63,299.36,303.89,296.81,299.68,287.50,267.24,270.03,263.14,264.56,285.31,312.24,303.82,290.71,278.35,273.57,292.20,281.34,289.02
2004-05-18 22:01:26+00:00,L5,354.09,,,,,,,,,,,,,,,,,,325.17,337.79,331.79,,,271.81,269.28,,325.34
2004-05-26 22:10:21+00:00,L7,325.74,316.79,335.75,330.38,322.46,,,,265.99,273.74,301.76,297.83,311.11,286.08,260.53,262.10,258.71,262.86,259.82,,,277.85,274.16,273.44,268.28,287.11,
2004-06-27 22:09:48+00:00,L7,321.90,,,298.40,,266.23,253.33,246.50,254.69,263.41,,,263.61,248.58,249.36,254.41,245.44,252.14,248.30,244.81,229.85,265.63,254.34,262.47,253.77,266.99,259.99
2004-07-05 22:03:15+00:00,L5,354.31,347.25,341.55,331.12,261.11,275.78,255.78,253.72,275.03,280.40,282.04,,,311.21,265.37,268.42,269.24,268.73,268.83,258.66,265.58,279.80,261.58,273.56,273.38,275.19,290.39
2004-07-21 22:03:15+00:00,L5,343.42,337.04,345.83,333.56,,,313.87,,259.31,,304.62,304.46,298.60,306.12,259.00,260.40,258.38,259.20,255.92,,,273.07,259.32,266.82,275.51,287.44,283.12
2004-07-29 22:10:02+00:00,L7,328.08,317.70,324.34,322.71,305.31,306.30,302.58,307.01,,,,,,289.31,264.59,260.21,264.60,266.81,267.97,,279.85,281.17,275.54,271.64,275.34,272.81,284.08
2004-08-22 22:04:24+00:00,L5,333.54,326.67,340.02,324.30,317.62,315.43,306.52,304.90,304.96,307.83,308.35,298.72,291.97,278.92,,,,,,275.61,285.67,280.74,,,,,151.90
2005-01-13 22:07:16+00:00,L5,356.78,337.93,353.36,336.14,328.54,331.64,320.37,317.32,320.72,316.39,319.96,314.85,318.11,320.97,317.45,318.11,319.68,326.99,336.11,356.88,343.97,323.99,313.22,314.22,331.24,330.95,340.00
2005-02-14 22:07:45+00:00,L5,326.76,321.71,338.98,336.66,319.06,322.08,328.25,326.52,325.17,324.25,315.86,310.14,306.99,296.13,294.22,287.30,286.28,303.48,307.13,324.46,322.72,315.49,311.54,305.81,317.27,317.18,316.17
2005-03-26 22:10:28+00:00,L7,344.03,333.61,355.40,341.79,340.80,333.59,324.66,324.26,323.19,323.16,,,,,,,,,,,329.34,319.23,312.77,319.80,331.90,336.82,338.76
2005-04-19 22:08:19+00:00,L5,,,,,,,,,,,,,,492.87,502.48,,,,,,,,,,,,
2005-04-27 22:10:21+00:00,L7,343.78,339.43,354.67,340.54,336.20,336.10,329.58,321.05,322.97,323.13,322.58,311.05,317.88,309.00,308.27,299.07,315.50,317.34,321.40,331.63,330.19,,,,,,
