,dates,aus0298-0000,aus0298-0001,aus0298-0002,aus0298-0003,aus0298-0004,aus0298-0005,aus0298-0006,aus0298-0007,aus0298-0008,aus0298-0009,aus0298-0010,aus0298-0011,aus0298-0012,aus0298-0013,aus0298-0014
0,1987-05-22 23:08:32+00:00,211.48656088098195,207.85163745351161,196.21971768662476,202.6012193272781,217.07122090057308,208.57992651024514,211.34711497394738,216.71957989445193,222.60905527565873,231.5823675616433,208.01472517214566,211.71247326201868,225.57079125472583,194.26368180387058,182.53164591489798
1,1987-05-29 23:14:53+00:00,214.01292799478819,207.1227076224296,200.86506117804828,201.43302523033748,212.68702453837903,213.0569764266981,216.9394914577356,221.7254907036973,230.40630300211842,228.668666171036,212.56273163751692,210.6501550085495,226.20929081739797,181.9481913691883,188.695927083026
2,1987-09-02 23:17:14+00:00,201.66887618938304,201.56808244660328,203.37245288355564,204.2863367163934,220.19170062707528,211.23597566044603,210.44073636097144,215.5389639514439,213.54771593907125,223.40866045893515,229.4912848186464,247.09977633059165,237.94275404447424,206.8975029709127,181.9002274549731
3,1987-09-18 23:17:38+00:00,213.33213902839725,217.24420409439492,217.6502250949828,222.20739490695078,240.09425426754845,231.74766257502435,221.74159856056414,235.20119049861694,222.47778991446364,242.188371639182,249.64236161107016,259.70909453033494,261.9926860642351,222.02644871627464,199.42768670324898
4,1987-09-27 23:11:39+00:00,219.59226840916727,215.62458603587976,228.95560469486716,233.46560718038853,244.18719658681363,242.4518440674326,231.21879808988362,235.83289777200432,238.19954500526947,250.38937124395213,252.24527819656146,264.4724358348629,267.9572815288925,221.88890499052786,211.66019962332513
5,1987-10-04 23:17:58+00:00,216.8421425544813,207.66545915533902,213.28935281263082,223.09499543486334,229.3217729926838,232.3019215997145,222.66904237850588,224.00700807731664,228.11819224834016,239.7526683207315,244.07534557029985,250.91765137599307,257.901976535513,226.1782790832989,196.71574776644425
6,1987-10-13 23:11:57+00:00,220.75779605209746,209.44886195153967,214.47701581693363,226.59114824327645,232.71447876236348,241.11498414212164,226.81639856431937,228.958095981116,230.4814277946525,236.65923838253994,247.00820391947786,256.7426972706232,247.576015619166,218.93689748648146,183.51091556952346
7,1987-10-20 23:18:15+00:00,213.1109455788025,204.12659703028422,200.47156292626954,211.0867371476399,226.42759257209534,236.17605273151707,225.41772252631685,220.4730525324295,222.7026352343717,240.09535028530158,243.03032575423825,249.7615039799418,250.5590758119466,215.1888672724459,181.50607383030354
8,1987-10-29 23:12:13+00:00,215.6556415012264,213.28823547260785,206.09808525196445,216.45837582727776,245.47060343194693,229.6730950230395,230.24742017477993,234.9507434253896,228.47500198050912,238.60878562849203,257.0358130576876,262.54712607624117,261.9781099344469,231.61785993545988,181.219896824755
9,1987-11-14 23:12:35+00:00,207.73764241945227,208.88402100066864,195.82697325172597,220.7311048062991,239.64181359096688,221.09521444664074,227.57756171733578,231.54208138882456,222.35274185624766,238.4361982904132,255.18458319329312,260.17687085122685,242.25384642598195,226.71817202740112,200.83590170997005
10,1987-11-21 23:18:53+00:00,221.52799855470928,217.11956578495077,218.7731512508878,235.03611201303258,248.16604620313788,237.80760172887437,239.72871373551243,235.09345066075196,233.9577533203092,247.83470003123895,260.35156259149153,259.499086402408,252.54272856326043,228.3861157231943,216.70862810258146
11,1988-01-08 23:19:38+00:00,221.2506333990392,216.92820164694263,218.42721750070373,221.40894595967106,233.13896182088482,223.57749968748118,221.1600792324673,226.92322261244271,232.7551133230882,246.36645211531697,254.69307519712683,237.36067306088609,213.35568892097388,204.54728465133797,199.19289713979333
12,1988-01-24 23:19:56+00:00,211.0992722400186,217.88052647979842,210.67559344035243,213.26927478108053,219.79699854133372,224.12034406950025,211.0661150487466,212.0393308931249,216.84260913271876,238.4072829419165,222.6572893238956,213.92864674292204,227.2451937485841,193.8770086565968,173.88938637121993
13,1988-02-25 23:20:26+00:00,217.60061582024426,207.93474376593818,206.72331605202544,210.4105572279662,217.55372861349514,221.65536490641236,205.50705884876533,210.13974377767084,219.07960016386735,227.85736232695714,230.67669975923718,226.0345342793913,212.6563882168909,206.75786712516108,167.12434299365665
14,1988-03-05 23:14:21+00:00,226.19365097298171,210.95029745332258,205.45030423918485,213.15058828203553,226.303258760722,223.0173662453638,211.947164851296,215.07773900487638,219.92538077465997,230.19692534259667,237.1585818839806,231.54197666034437,222.83021681724892,193.63611471806087,174.85589306223062
15,1988-03-12 23:20:35+00:00,207.68799075552405,194.06087622595857,188.25431654073452,204.8486199630751,217.09188099108286,216.8333553514046,209.91292411190094,210.90249894752972,216.06083912175725,222.90781170950652,231.86761982009483,226.2748465417038,221.56503014906838,192.73330160914597,178.1611548293381
16,1988-03-21 23:14:29+00:00,207.8592880472053,199.21790130245898,203.68133948976615,206.71589442921768,230.37574931559666,226.30910481172464,222.33686155447757,221.89063622230205,224.5226790244231,235.96893982943575,239.57597552476906,249.12272529915182,242.27455698012596,187.01678744495914,194.56041852498998
17,1988-03-28 23:20:43+00:00,221.4141223317794,200.79252434709866,193.06104484363675,204.92451720954182,219.86902665691315,210.90733524102305,211.3411926479995,216.53431627027604,222.45447203399644,230.50271793615846,237.33381672312817,238.81843233118747,229.7238132912361,182.64426625680608,192.66460562672938
18,1988-04-13 23:20:47+00:00,213.61200820087598,202.3683040343515,194.2042683493811,211.08525025393791,223.9565149750801,211.15638441638387,201.8921550208064,207.56705462818996,213.12954372680812,226.044742689799,224.2408802179473,230.32083353443207,235.74274181522736,201.9256095024446,195.01858034801876
