dates,satname,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0011,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0042,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0059,nzd0384-0060,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073
1999-07-02 21:59:57+00:00,L7,628.45,122.75,,471.82,488.96,343.62,,312.24,317.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.99,,299.27,,191.48,,,,,,,,,,,,,,,,,,,,528.63,,,,,,,,,,,
1999-07-18 22:00:01+00:00,L7,,496.95,,644.24,638.49,645.54,,,,,,,,,,,277.53,,,,,,,,,,,,,307.75,324.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.98,,314.24,333.97,355.65,,
1999-09-04 22:00:09+00:00,L7,311.24,308.34,306.84,304.83,303.01,302.63,295.47,295.89,296.50,300.95,300.85,298.02,305.99,305.50,303.21,299.21,297.65,293.97,293.44,294.45,293.48,292.24,296.93,307.80,309.28,316.01,317.82,317.88,323.99,326.46,327.98,324.30,326.55,331.15,336.09,338.37,327.15,329.13,328.66,329.04,333.93,335.46,337.39,334.63,329.27,325.67,323.88,322.36,321.58,315.61,320.79,322.71,326.12,335.70,342.03,340.98,342.56,344.75,341.30,337.69,346.27,352.10,363.01,358.59,356.83,356.10,343.69,353.87,354.54,357.86,360.06,353.71,345.21,341.54
1999-10-22 22:00:04+00:00,L7,323.21,320.58,315.42,315.76,310.52,309.93,308.56,306.25,307.19,311.32,316.46,316.56,318.11,313.69,317.97,315.17,310.09,306.85,301.47,302.05,305.75,310.84,317.07,324.06,324.74,330.25,332.90,333.09,332.24,334.76,342.60,341.56,339.74,340.63,346.87,353.28,354.62,357.81,353.58,358.02,359.92,352.27,350.50,352.94,351.49,348.55,342.04,340.54,340.07,337.31,337.56,338.80,350.98,355.39,367.73,371.43,368.65,364.72,362.16,361.91,366.13,369.64,366.06,365.67,372.45,365.08,368.28,362.09,367.27,366.39,372.23,366.78,357.12,354.52
1999-12-09 22:00:09+00:00,L7,348.03,318.42,311.08,308.98,308.88,304.22,302.18,294.47,293.94,292.54,298.86,298.49,306.74,313.03,307.56,303.67,302.59,297.45,295.76,302.89,303.08,309.80,313.49,313.61,316.06,322.30,326.96,327.74,325.98,327.01,324.87,322.16,325.61,329.52,333.99,337.33,340.27,343.27,341.91,345.12,339.48,342.91,346.93,343.77,335.75,333.56,333.76,325.70,331.96,331.09,328.21,326.95,336.00,344.09,355.57,353.12,356.23,351.33,350.94,348.52,352.36,355.66,356.40,351.15,353.03,348.07,339.00,338.91,345.32,340.31,351.66,341.75,337.27,342.93
1999-12-25 22:00:04+00:00,L7,319.93,307.09,295.63,286.62,283.05,281.37,279.37,279.45,277.93,285.86,285.23,289.47,290.94,294.73,296.24,293.97,287.24,280.06,284.86,284.02,289.32,288.49,291.01,297.05,302.93,303.72,312.58,308.82,307.24,306.67,312.16,311.42,309.68,313.65,319.53,316.71,316.94,323.44,327.88,332.81,326.80,327.38,329.25,324.99,318.49,319.88,318.26,312.61,312.36,308.61,310.69,316.04,324.31,328.57,335.13,332.85,337.00,329.24,328.44,326.10,328.47,330.79,331.56,332.68,334.08,331.80,329.47,324.15,319.55,323.88,333.80,335.58,334.00,342.46
2000-02-11 21:59:57+00:00,L7,320.32,316.17,312.27,302.51,295.78,289.57,286.61,281.09,286.28,286.67,290.16,294.96,299.15,302.08,301.73,297.31,295.83,291.64,284.12,290.19,292.61,296.41,300.22,308.44,314.53,316.07,316.79,323.52,320.63,323.50,315.59,318.86,317.70,314.41,323.37,325.54,326.83,332.69,334.02,336.47,335.88,334.19,340.93,336.74,331.49,330.26,328.83,326.54,323.24,323.92,322.04,321.86,333.05,336.53,351.39,351.38,350.69,346.44,338.39,340.70,341.14,349.18,346.70,348.39,336.40,336.61,335.97,331.22,330.20,331.01,338.43,333.59,329.99,337.64
2000-02-27 21:59:52+00:00,L7,324.20,316.94,313.84,306.05,303.14,299.35,294.06,291.49,291.76,294.13,295.30,295.50,298.44,299.32,301.23,300.87,296.72,292.18,291.53,290.17,289.94,293.78,299.82,313.33,318.30,318.10,321.17,323.04,322.00,322.87,323.44,323.39,323.15,318.49,324.75,327.94,330.77,340.71,338.79,339.76,342.23,344.59,346.07,336.68,333.56,333.33,328.92,327.32,321.20,327.14,328.66,334.30,336.05,341.75,348.24,349.72,353.19,350.15,343.28,343.41,348.52,353.11,349.88,344.64,349.26,337.46,336.69,334.13,334.11,330.55,346.38,349.28,340.07,351.09
2000-03-30 21:59:45+00:00,L7,329.20,322.55,315.08,310.84,314.13,315.13,308.32,308.90,310.13,308.66,311.29,313.25,309.69,315.56,319.72,318.45,309.84,304.15,300.87,301.63,298.05,302.65,309.83,315.27,322.28,328.79,332.00,333.18,335.02,336.43,337.80,337.87,339.55,335.15,342.34,344.32,348.40,348.93,349.21,344.49,340.10,344.98,344.11,341.01,339.36,343.53,342.11,338.86,336.19,334.02,334.18,332.55,338.38,340.47,354.37,355.10,354.68,352.83,349.59,346.21,347.57,352.27,355.52,358.96,360.61,356.52,350.97,348.05,355.79,354.23,368.77,366.00,368.56,361.07
2000-04-15 21:59:31+00:00,L7,354.43,329.91,313.82,313.20,312.55,310.96,308.36,303.82,313.52,309.24,313.02,314.11,311.28,315.53,310.05,314.55,310.15,305.35,305.47,306.09,303.95,314.67,314.14,317.21,322.66,330.31,336.05,330.14,337.41,335.31,336.92,335.83,336.77,334.41,334.87,345.19,347.76,348.23,353.14,344.94,346.53,351.32,347.78,337.82,337.95,334.28,334.67,331.00,327.20,333.69,333.13,334.35,344.47,347.39,356.07,354.30,355.64,354.43,347.18,345.47,348.79,359.12,355.87,355.18,356.08,356.92,352.36,357.75,357.29,359.15,369.09,369.83,368.06,361.13
2000-05-01 21:59:30+00:00,L7,,,,,319.58,314.85,311.18,309.33,312.35,314.85,318.44,319.79,321.35,322.46,324.38,319.24,315.92,309.93,306.83,311.99,314.33,320.82,325.90,325.96,336.19,338.85,337.07,339.35,346.04,342.56,343.62,340.38,347.29,349.47,350.89,351.45,350.98,355.41,356.47,358.07,353.02,354.76,357.78,361.87,354.10,349.25,347.45,344.58,341.02,340.52,341.79,343.53,349.13,356.86,363.92,360.06,360.31,357.73,356.53,352.37,358.33,367.36,368.58,361.82,367.55,358.94,362.74,356.24,360.09,355.74,372.10,370.97,364.15,355.36
