dates,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0011,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0042,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0059,nzd0384-0060,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073,satname
2000-05-01 21:59:30+00:00,,,,,310.04,305.99,303.43,302.44,303.49,307.10,312.80,312.90,314.82,317.50,318.74,313.04,308.63,303.04,299.08,304.70,307.04,314.29,319.01,319.43,329.30,331.96,330.87,332.06,339.51,335.27,336.33,333.49,340.40,342.94,343.14,344.16,343.69,348.52,348.72,351.87,345.27,347.47,350.89,354.98,347.90,342.72,341.25,338.38,334.82,333.63,334.90,336.64,342.24,349.97,356.17,353.86,353.02,349.46,349.24,345.08,351.04,361.72,363.19,355.62,357.22,348.61,353.88,347.38,346.31,345.41,361.77,364.08,351.75,350.59,L7
2000-06-18 21:59:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.95,332.58,,,,,,,,,,,,,,,,,,,327.30,319.70,321.75,328.19,334.21,338.84,334.27,347.42,341.32,342.08,346.49,334.82,353.74,354.84,359.03,350.90,350.00,L7
2000-08-05 21:58:20+00:00,,,,,309.04,301.74,299.99,292.67,292.80,298.31,298.94,302.94,308.79,307.65,308.35,304.15,307.47,300.82,299.88,298.36,299.72,306.42,306.01,314.55,318.02,321.49,320.13,316.23,320.84,326.73,324.37,320.28,324.88,330.55,331.94,333.96,337.60,342.14,344.54,342.23,342.52,346.17,343.80,344.08,337.65,328.49,330.07,322.88,326.60,329.95,325.32,332.45,337.49,347.72,351.20,348.69,351.60,349.21,345.29,345.59,344.57,348.54,346.16,348.23,355.74,356.17,349.47,352.23,360.23,368.28,373.32,378.52,378.72,370.64,L7
2000-09-06 21:57:58+00:00,,,,,,,,,,,,,,,,,,,297.48,297.23,298.46,299.27,304.86,304.36,317.01,328.32,330.65,328.75,325.79,,,,,,,,,,,,,,,,,,,,,,,,,329.31,343.86,343.43,338.69,339.06,331.72,337.30,333.49,337.58,341.34,346.11,345.95,347.72,345.69,346.62,359.42,366.44,374.20,354.27,358.24,352.29,L7
2000-11-09 21:57:33+00:00,,,,,,,,,,290.35,292.97,293.29,290.74,290.14,291.16,290.94,280.33,288.06,286.68,287.02,290.22,293.11,301.89,303.99,312.55,314.36,320.78,316.00,315.38,321.03,319.88,323.18,329.36,324.97,323.96,327.29,328.21,334.52,333.80,334.66,334.30,334.87,329.80,332.98,333.38,327.80,322.35,321.21,318.07,319.74,321.33,325.72,329.91,341.37,338.81,340.45,341.46,334.48,330.97,329.74,335.02,349.60,352.71,343.43,341.20,337.42,335.49,341.30,328.92,332.33,349.35,342.86,340.78,344.24,L7
2000-11-25 21:57:34+00:00,330.42,316.05,309.31,298.44,297.71,292.51,283.46,271.32,273.25,275.05,284.12,285.77,285.25,288.29,293.00,289.63,286.73,285.34,284.40,283.40,290.06,291.49,297.23,305.44,310.15,314.01,314.45,315.83,318.09,314.83,313.78,305.43,315.28,319.73,320.87,323.15,325.98,329.00,325.66,328.54,325.37,324.27,325.91,324.32,323.45,318.40,317.65,321.46,314.86,312.46,312.92,315.07,321.69,328.74,338.48,335.38,335.12,332.44,334.75,333.75,341.39,339.18,338.42,334.32,333.43,331.15,334.59,330.86,328.45,326.58,339.53,332.24,329.36,336.74,L7
2000-12-11 21:57:36+00:00,339.64,335.93,316.97,309.05,302.86,300.55,296.42,290.85,295.47,299.31,293.40,294.56,296.01,301.74,302.56,301.26,294.08,291.04,284.54,286.79,282.60,294.88,302.24,313.47,311.67,315.22,314.48,310.91,319.39,320.10,316.25,321.52,323.11,322.74,318.89,313.74,316.06,331.57,338.44,342.39,337.55,336.46,334.87,331.19,327.54,326.27,320.79,317.67,316.66,313.27,320.46,321.21,327.60,328.20,336.89,339.67,334.10,328.91,328.34,324.34,333.69,335.91,336.40,336.45,327.17,331.92,332.55,326.41,321.66,,,,,,L7
2001-02-13 21:57:39+00:00,376.42,366.83,352.79,338.63,330.65,320.32,310.26,300.11,302.50,304.63,309.55,312.85,312.43,307.89,307.93,309.38,305.32,303.45,304.08,301.45,306.76,305.29,313.86,323.80,328.23,334.20,335.23,336.45,338.70,337.78,330.73,333.90,335.04,333.66,340.52,340.17,346.96,344.55,349.56,338.89,344.67,344.78,345.82,344.06,341.57,338.00,334.12,330.43,330.91,330.47,330.30,334.12,341.90,345.16,355.66,355.90,354.06,345.63,341.50,338.84,342.95,355.02,353.90,348.91,356.64,348.91,353.09,347.54,350.07,344.76,359.40,354.49,358.00,348.84,L7
2001-06-05 21:56:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.35,333.35,326.29,340.59,341.65,349.38,352.53,353.29,345.76,339.77,340.00,349.30,356.67,352.83,344.05,353.33,347.37,339.59,333.38,335.08,349.64,359.98,356.29,346.26,349.88,L7
2001-07-07 21:56:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.30,353.76,,,,,,,,,,,,,,,,,,,342.82,342.88,346.35,355.65,356.21,359.15,356.36,356.76,355.84,349.81,344.16,345.36,346.89,364.04,353.48,351.31,349.51,L7
2001-08-08 21:56:12+00:00,327.12,320.24,314.60,308.57,310.63,305.03,308.11,295.08,302.86,305.93,308.26,314.04,311.16,310.90,310.72,314.87,307.09,304.11,304.01,303.46,303.97,303.89,310.69,319.33,322.64,326.86,326.82,336.36,333.77,334.12,332.65,331.18,333.16,334.51,337.69,340.86,343.42,339.99,345.51,348.48,344.15,344.28,340.67,344.54,342.90,337.42,332.89,325.46,330.27,335.24,331.24,333.27,343.04,351.65,357.42,360.07,352.51,349.16,350.63,350.74,353.79,370.19,368.94,354.02,360.13,349.09,347.22,344.80,349.99,349.69,356.06,349.90,338.37,347.15,L7
2001-08-24 21:56:00+00:00,,,305.48,301.61,306.15,306.83,296.72,290.69,293.57,296.74,301.11,302.43,301.10,299.88,311.57,306.15,305.20,293.63,296.59,294.59,297.40,298.05,296.78,304.00,312.73,318.45,320.37,317.86,315.28,316.09,319.85,322.34,319.67,324.60,324.01,334.27,337.81,341.01,336.37,326.66,331.17,338.34,329.07,325.79,325.48,322.59,326.78,328.08,328.57,332.53,325.03,320.40,329.77,343.03,354.07,355.34,354.30,347.59,345.77,334.17,336.68,339.54,343.11,346.43,348.17,341.81,333.40,333.39,341.51,338.92,340.96,340.45,348.18,339.13,L7
2001-09-25 21:55:40+00:00,330.88,323.57,311.62,308.72,301.99,307.22,308.60,304.42,308.52,311.48,308.57,311.12,314.73,313.50,319.61,318.77,316.54,312.53,306.26,309.10,308.97,315.71,317.15,319.80,324.93,330.37,333.20,333.25,329.95,333.04,333.08,332.29,332.89,336.83,338.95,341.55,345.89,348.27,351.24,348.91,344.65,344.89,346.55,346.72,341.85,338.87,341.22,341.31,339.19,329.85,336.39,342.32,348.04,356.20,361.34,359.21,350.27,348.18,342.10,345.46,350.74,356.59,357.00,359.30,362.08,362.96,351.13,351.55,358.03,359.62,365.25,361.48,361.42,346.96,L7
