dates,satname,sar2321-0000,sar2321-0001,sar2321-0002
1984-10-13 09:35:49+00:00,L5,233.20,225.58,216.21
1985-06-10 09:35:50+00:00,L5,,,
1985-06-26 09:35:47+00:00,L5,,,
1985-07-28 09:35:58+00:00,L5,,,
1985-08-29 09:35:38+00:00,L5,,,
1985-09-14 09:35:25+00:00,L5,,,
1985-12-03 09:33:55+00:00,L5,244.35,96.68,231.86
1986-01-04 09:33:44+00:00,L5,219.51,233.99,190.82
1986-05-12 09:30:53+00:00,L5,242.14,208.18,231.96
1986-08-16 09:27:20+00:00,L5,238.47,210.14,230.13
1987-01-23 09:25:40+00:00,L5,229.84,105.41,220.99
1987-07-02 09:31:03+00:00,L5,,,
1987-08-03 09:31:49+00:00,L5,218.62,233.78,209.34
1987-09-20 09:32:42+00:00,L5,232.43,212.15,228.08
1987-12-25 09:34:25+00:00,L5,242.01,201.33,230.41
1988-01-10 09:34:42+00:00,L5,245.30,196.88,231.02
1988-03-14 09:35:39+00:00,L5,212.47,210.41,199.99
1988-04-15 09:36:14+00:00,L5,228.84,214.15,230.58
1988-05-17 09:36:08+00:00,L5,229.19,227.66,223.67
1988-07-04 09:36:24+00:00,L5,,,
1988-09-06 09:36:55+00:00,L5,241.58,208.52,227.81
1988-10-08 09:36:21+00:00,L5,,,
1988-10-24 09:36:41+00:00,L5,236.33,210.25,233.38
1989-01-12 09:35:56+00:00,L5,134.31,242.98,127.06
1989-01-28 09:35:43+00:00,L5,242.08,210.65,223.58
1989-02-13 09:35:45+00:00,L5,131.66,217.20,125.46
1989-04-02 09:34:48+00:00,L5,,,
1989-05-20 09:34:09+00:00,L5,237.20,223.66,225.38
1989-08-24 09:32:15+00:00,L5,,,
1989-09-25 09:31:52+00:00,L5,242.53,229.18,212.93
1989-10-11 09:31:06+00:00,L5,213.81,243.83,195.42
1989-10-27 09:30:27+00:00,L5,241.58,95.08,235.12
1989-11-12 09:30:07+00:00,L5,243.42,208.35,225.94
1989-11-28 09:29:40+00:00,L5,226.98,210.06,231.01
1990-01-31 09:27:43+00:00,L5,137.46,207.93,130.75
1990-03-04 09:27:02+00:00,L5,230.62,198.46,233.95
1990-07-26 09:25:48+00:00,L5,,,
1990-08-11 09:25:43+00:00,L5,227.37,207.61,215.14
1990-08-27 09:25:37+00:00,L5,,,
1990-09-12 09:25:35+00:00,L5,,,
1990-09-28 09:25:26+00:00,L5,,,
1990-10-14 09:25:20+00:00,L5,,,
1990-10-30 09:25:11+00:00,L5,,,
1991-04-24 09:27:46+00:00,L5,,,
1991-06-27 09:28:49+00:00,L5,,,
1991-08-14 09:29:15+00:00,L5,,,
1991-09-15 09:30:02+00:00,L5,222.91,200.41,239.76
1991-10-01 09:29:43+00:00,L5,225.89,224.06,206.84
1991-11-02 09:30:16+00:00,L5,235.95,109.24,219.73
1991-12-04 09:30:12+00:00,L5,241.23,212.92,228.96
1992-03-09 09:29:55+00:00,L5,244.16,259.94,225.25
1992-04-10 09:29:42+00:00,L5,384.94,233.90,104.80
1992-05-12 09:29:27+00:00,L5,,,
1992-05-28 09:29:42+00:00,L5,233.42,210.44,228.47
1992-06-13 09:29:08+00:00,L5,,,
1992-07-31 09:28:32+00:00,L5,229.19,230.22,223.23
1992-09-01 09:28:02+00:00,L5,,,
1992-11-20 09:27:06+00:00,L5,,,
1992-12-22 09:27:31+00:00,L5,220.83,228.68,214.96
1993-01-07 09:27:40+00:00,L5,,,
1993-01-23 09:27:51+00:00,L5,368.63,182.15,221.04
1993-02-08 09:27:38+00:00,L5,,410.03,306.58
1993-03-12 09:28:18+00:00,L5,239.15,209.60,229.45
1993-04-13 09:28:04+00:00,L5,206.76,310.64,127.16
1993-07-18 09:28:08+00:00,L5,231.06,225.92,231.45
1993-08-03 09:28:08+00:00,L5,238.39,210.89,228.47
1993-11-07 09:28:10+00:00,L5,220.89,236.00,206.73
1994-03-31 09:26:30+00:00,L5,235.34,216.12,224.77
1994-09-07 09:22:29+00:00,L5,238.79,295.61,197.80
1994-12-12 09:19:28+00:00,L5,224.22,208.71,220.90
1995-05-05 09:13:47+00:00,L5,241.05,213.53,227.03
1995-05-21 09:13:04+00:00,L5,220.12,208.85,208.59
1995-07-08 09:11:17+00:00,L5,238.88,211.19,225.69
1995-09-10 09:07:55+00:00,L5,224.77,114.84,211.74
1995-12-15 09:06:48+00:00,L5,,,
1996-01-16 09:09:29+00:00,L5,235.84,210.17,226.66
1996-04-21 09:15:25+00:00,L5,235.15,213.12,226.64
1996-06-08 09:18:34+00:00,L5,234.84,213.16,227.66
1996-09-12 09:23:18+00:00,L5,,,
1996-11-15 09:26:56+00:00,L5,212.63,243.17,212.70
1997-04-24 09:33:22+00:00,L5,234.01,211.67,228.98
1997-05-10 09:33:55+00:00,L5,239.69,211.18,226.88
1997-07-29 09:36:41+00:00,L5,231.41,102.50,225.08
1997-08-14 09:37:12+00:00,L5,233.77,213.14,231.52
1997-10-01 09:38:36+00:00,L5,,,
1997-10-17 09:39:26+00:00,L5,222.32,209.35,219.70
1997-11-02 09:39:28+00:00,L5,226.57,212.56,221.76
1997-11-18 09:40:14+00:00,L5,230.37,210.07,234.26
1997-12-20 09:40:36+00:00,L5,27.49,,
1998-02-06 09:42:06+00:00,L5,228.92,207.81,221.73
1998-03-26 09:42:52+00:00,L5,222.62,223.89,224.39
1998-08-17 09:44:36+00:00,L5,227.17,214.07,217.07
1998-09-18 09:44:32+00:00,L5,208.20,227.64,198.50
1998-12-23 09:45:11+00:00,L5,383.69,83.51,339.69
1999-01-24 09:44:47+00:00,L5,223.36,214.77,222.47
1999-03-13 09:45:10+00:00,L5,237.84,211.24,224.19
1999-04-30 09:44:50+00:00,L5,240.32,214.88,226.42
1999-06-17 09:43:41+00:00,L5,216.23,226.07,204.66
1999-08-12 09:59:01+00:00,L7,109.71,250.87,103.46
1999-08-20 09:43:15+00:00,L5,,,
1999-08-28 09:58:41+00:00,L7,231.44,213.57,230.87
1999-09-05 09:42:46+00:00,L5,237.47,212.60,225.38
1999-09-13 09:58:35+00:00,L7,242.60,220.24,230.43
1999-10-07 09:42:21+00:00,L5,234.68,225.38,215.99
1999-11-16 09:59:01+00:00,L7,238.98,213.35,231.56
1999-12-18 09:58:40+00:00,L7,226.41,220.63,227.21
2000-01-03 09:58:33+00:00,L7,243.10,207.13,231.67
2000-01-19 09:58:54+00:00,L7,110.13,224.88,102.98
2000-01-27 09:40:13+00:00,L5,255.72,94.26,233.82
2000-02-04 09:58:30+00:00,L7,216.83,212.64,208.38
2000-02-20 09:58:23+00:00,L7,33.96,285.58,88.85
2000-03-07 09:58:42+00:00,L7,240.52,223.86,230.05
2000-03-23 09:58:44+00:00,L7,233.10,233.01,229.09
2000-05-18 09:41:31+00:00,L5,,,
2000-06-03 09:41:49+00:00,L5,,,
2000-06-27 09:57:25+00:00,L7,215.25,235.67,213.72
2000-07-05 09:42:32+00:00,L5,,,
2000-07-29 09:57:19+00:00,L7,108.79,227.31,103.00
2000-08-14 09:57:13+00:00,L7,235.18,232.97,228.50
2000-08-30 09:56:38+00:00,L7,236.19,232.78,227.20
2000-09-15 09:56:19+00:00,L7,242.76,216.04,229.98
2000-09-23 09:44:02+00:00,L5,218.46,337.81,287.04
2000-12-04 09:56:03+00:00,L7,219.34,112.25,219.56
2000-12-20 09:56:33+00:00,L7,234.68,213.23,228.29
2001-01-05 09:56:09+00:00,L7,212.23,222.26,201.57
2001-02-06 09:56:32+00:00,L7,237.21,220.59,226.10
2001-04-11 09:55:50+00:00,L7,36.60,256.07,78.74
2001-05-13 09:56:03+00:00,L7,239.20,221.75,229.27
2001-05-29 09:55:31+00:00,L7,225.51,235.36,220.49
2001-06-14 09:55:19+00:00,L7,217.94,232.71,223.97
2001-06-30 09:55:05+00:00,L7,224.17,235.00,226.97
2001-07-16 09:55:04+00:00,L7,108.89,252.20,103.37
2001-08-01 09:55:16+00:00,L7,239.52,221.49,232.33
2001-08-25 09:45:58+00:00,L5,233.01,197.26,229.67
2001-09-18 09:54:35+00:00,L7,206.51,235.93,193.99
2001-10-04 09:53:59+00:00,L7,233.07,221.01,228.29
2001-12-07 09:54:17+00:00,L7,207.49,234.55,201.81
2001-12-15 09:45:35+00:00,L5,146.74,241.70,132.64
2001-12-31 09:45:20+00:00,L5,,,
2002-01-08 09:54:28+00:00,L7,237.31,219.03,228.51
2002-03-13 09:55:01+00:00,L7,234.77,208.95,233.07
2002-04-30 09:54:58+00:00,L7,205.88,235.96,212.02
2002-05-16 09:54:51+00:00,L7,231.68,235.27,228.31
2002-06-01 09:54:21+00:00,L7,239.38,217.58,231.38
