dates,nzd0426-0000,nzd0426-0001,nzd0426-0002,nzd0426-0003,nzd0426-0004,nzd0426-0005,nzd0426-0006,nzd0426-0007,nzd0426-0008,nzd0426-0009,nzd0426-0010,nzd0426-0011,nzd0426-0012,nzd0426-0013,nzd0426-0014,nzd0426-0015,nzd0426-0016,nzd0426-0017,nzd0426-0018,nzd0426-0019,nzd0426-0020,nzd0426-0021,nzd0426-0022,nzd0426-0023,nzd0426-0024,nzd0426-0025,nzd0426-0026,nzd0426-0027,nzd0426-0028,nzd0426-0029,nzd0426-0030,nzd0426-0031,nzd0426-0032,nzd0426-0033,nzd0426-0034,nzd0426-0035,nzd0426-0036,nzd0426-0037,nzd0426-0038,nzd0426-0039,nzd0426-0040,satname
2001-09-23 22:08:26+00:00,430.67,437.43,436.37,441.91,434.66,405.02,394.68,382.70,396.00,379.96,369.14,379.81,380.53,373.38,384.04,389.49,388.61,392.49,388.34,389.39,392.58,402.41,408.89,413.58,405.99,401.34,390.20,386.19,397.00,394.89,402.35,415.89,428.74,414.07,401.86,394.07,393.58,,,,364.85,L7
2002-01-29 22:08:45+00:00,379.62,409.77,420.98,430.89,438.58,443.88,442.89,429.56,436.87,426.01,416.41,403.84,393.14,390.50,398.09,399.00,396.77,392.22,393.45,395.39,403.62,408.09,407.15,405.74,404.95,406.57,406.94,404.98,403.59,408.77,404.85,414.62,410.49,407.26,397.31,387.25,377.95,376.36,370.07,368.79,369.83,L7
2002-02-14 22:08:53+00:00,387.21,408.06,418.26,435.17,436.38,438.37,436.54,424.43,431.68,414.98,405.59,392.94,385.20,383.51,394.33,395.98,392.75,390.81,390.55,393.57,402.78,403.36,410.67,412.16,410.48,398.11,395.58,393.52,395.47,402.98,394.48,407.42,406.36,409.30,402.24,388.34,383.59,376.63,370.68,368.43,363.50,L7
2002-04-03 22:08:45+00:00,413.25,424.54,430.20,437.48,445.18,441.87,445.20,441.34,446.03,420.70,402.41,401.74,395.51,386.64,402.42,400.13,400.44,401.58,398.64,397.51,401.74,401.67,409.78,412.54,407.31,399.51,389.77,392.91,397.69,399.65,395.34,396.51,402.98,401.25,400.12,390.31,380.55,375.00,367.18,365.13,364.88,L7
2002-09-10 22:07:55+00:00,396.30,419.98,431.01,441.25,443.64,428.16,413.30,400.69,408.94,399.34,395.57,390.42,392.50,409.64,414.41,414.10,386.52,395.84,402.85,400.25,404.30,398.97,409.24,405.83,399.84,395.67,389.67,392.07,392.08,381.69,372.51,377.65,384.73,386.57,385.28,371.14,368.97,361.34,353.11,351.10,351.92,L7
2002-12-31 22:08:20+00:00,383.11,409.08,414.50,430.50,425.10,426.56,421.82,413.51,439.19,436.94,440.15,419.51,419.56,420.34,424.20,419.39,415.68,410.38,409.68,408.64,405.28,399.11,399.62,403.02,404.66,407.46,410.45,407.73,405.35,406.45,401.29,405.65,402.15,402.35,395.63,397.26,395.66,400.51,395.22,396.56,401.26,L7
2003-02-01 22:08:33+00:00,357.80,391.01,403.06,406.47,407.47,408.84,410.40,395.37,419.51,424.32,426.66,413.25,403.15,411.67,422.10,416.70,411.39,400.47,402.59,399.70,398.60,402.21,400.17,401.19,399.77,401.42,405.51,399.04,396.26,393.94,389.51,395.70,394.40,391.15,384.08,382.11,383.23,389.08,383.10,384.43,383.09,L7
2003-08-20 21:57:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.15,401.63,403.12,405.39,415.73,411.43,403.73,390.37,389.70,380.38,380.43,373.77,377.36,L5
2003-08-28 22:08:21+00:00,369.09,385.78,405.24,409.16,410.78,406.04,408.26,,,412.53,414.89,405.87,400.57,396.05,401.84,406.59,402.30,399.57,402.09,402.94,399.49,402.63,408.01,406.07,,403.09,409.82,405.47,401.20,405.78,406.07,414.88,408.65,409.59,400.83,391.50,386.82,387.63,381.91,,369.11,L7
2003-11-24 21:58:27+00:00,385.61,408.66,422.70,433.07,413.74,416.24,414.16,402.69,420.72,418.81,421.47,404.39,381.81,370.64,381.64,381.71,382.13,386.99,392.93,400.88,410.99,412.12,414.09,415.80,417.30,419.01,418.66,400.55,396.12,393.08,396.84,403.77,396.98,398.12,399.23,389.66,388.17,396.73,384.84,388.49,379.33,L5
2003-12-10 21:58:29+00:00,386.10,412.02,422.29,429.15,425.48,419.59,401.98,400.38,425.26,418.62,412.63,404.21,394.84,379.60,391.69,393.77,395.54,396.87,397.30,402.22,410.62,409.29,407.00,404.82,408.54,408.04,406.46,402.44,402.60,402.57,404.23,412.64,412.53,416.72,408.40,403.80,399.80,394.75,385.41,384.16,381.73,L5
2003-12-26 21:58:42+00:00,,,,,413.16,408.32,399.69,405.20,425.49,423.86,411.54,407.22,390.75,369.07,378.86,375.87,377.56,383.84,381.85,391.43,391.28,393.78,406.10,418.30,419.29,404.43,401.45,403.21,397.50,384.59,384.23,388.23,392.62,395.02,394.34,387.48,393.48,394.07,391.33,387.00,381.19,L5
2004-01-19 22:08:59+00:00,370.18,406.86,423.54,433.20,425.24,425.80,429.02,424.13,,,448.11,423.05,413.22,401.23,402.60,406.92,406.39,393.56,408.78,420.71,422.70,421.23,429.08,431.42,,,431.96,421.19,418.55,411.91,411.66,414.02,413.17,412.11,413.87,410.11,411.94,412.06,410.85,,396.74,L7
2004-01-27 21:58:50+00:00,360.92,388.64,411.81,429.94,426.87,412.73,407.13,411.67,439.83,434.98,429.60,426.13,412.12,394.64,398.21,397.83,396.59,401.87,399.80,403.15,409.15,412.58,416.01,424.33,425.49,414.89,404.93,408.16,414.85,399.10,398.91,404.92,410.59,415.59,416.90,408.43,403.46,406.96,404.97,405.01,408.39,L5
2004-02-04 22:09:05+00:00,331.79,368.09,389.58,405.45,406.17,409.03,407.79,405.91,431.08,426.06,430.61,404.44,394.81,384.68,392.14,392.80,,386.68,389.77,399.84,399.99,401.67,404.45,404.65,410.41,407.31,407.01,397.39,395.56,393.07,395.40,,,404.12,398.74,391.98,386.97,389.70,386.93,380.67,376.88,L7
2004-03-23 22:09:16+00:00,,382.20,377.48,380.09,379.06,,,,,388.01,392.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2004-04-08 22:09:12+00:00,,402.37,408.16,411.41,402.26,388.72,397.01,393.73,397.37,393.63,393.38,394.81,390.57,386.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2004-04-24 22:09:07+00:00,322.99,,,,412.72,400.98,406.00,411.24,423.30,414.93,404.80,406.89,395.96,396.43,411.58,414.12,410.68,419.77,,,423.36,425.40,426.51,433.94,433.91,425.07,420.85,424.58,419.01,419.82,414.52,421.58,419.31,415.76,,416.57,412.58,411.79,407.78,401.28,406.10,L7
2004-05-18 22:00:38+00:00,,,,,,429.91,420.49,420.86,437.36,420.39,423.38,410.30,406.63,400.96,425.37,426.41,426.43,423.84,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-10-01 22:08:33+00:00,,424.44,433.41,440.02,435.90,427.70,417.15,413.45,432.40,413.58,414.99,,,386.70,390.59,393.43,388.99,383.12,385.44,387.92,392.75,390.05,401.26,407.74,415.49,412.42,407.47,,407.94,406.85,404.44,407.61,401.28,402.75,404.29,395.83,394.86,398.74,403.00,408.27,410.10,L7
2004-10-17 22:08:38+00:00,,,,,437.51,431.29,420.98,423.34,442.60,430.14,420.18,414.95,401.89,386.47,400.91,394.16,388.11,383.01,377.82,382.66,,392.67,399.13,412.23,409.54,403.95,400.26,400.71,405.71,401.71,400.75,410.27,414.17,409.22,,,408.73,406.66,412.95,413.76,415.18,L7
2004-11-26 22:05:17+00:00,340.51,359.72,382.71,401.54,416.69,422.23,420.93,419.61,449.09,448.42,447.42,432.51,406.50,378.17,383.22,379.78,368.78,357.15,358.45,363.04,365.12,386.86,384.70,384.38,390.76,386.34,395.34,388.35,373.53,372.95,366.98,380.98,382.76,389.51,385.97,392.09,395.30,398.43,403.93,398.80,391.56,L5
2004-12-12 22:05:37+00:00,344.77,361.76,385.36,401.01,405.48,404.31,402.29,395.48,428.46,449.81,455.57,451.29,436.58,414.58,413.35,401.83,388.09,366.51,364.71,368.33,371.52,375.72,379.15,376.21,388.38,404.23,397.54,394.83,392.43,392.32,389.06,400.69,385.00,393.24,391.83,387.88,389.48,396.49,393.21,404.48,407.64,L5
2005-01-05 22:09:22+00:00,331.15,360.77,392.17,411.15,,,402.75,397.33,423.29,420.29,417.08,420.15,409.08,410.29,420.49,412.26,402.12,395.55,387.98,385.34,381.40,,386.37,392.33,395.47,403.75,400.88,397.29,403.20,402.21,401.08,410.26,408.23,415.52,416.49,406.76,,411.98,410.73,402.93,410.61,L7
2005-01-29 22:06:17+00:00,375.58,356.47,354.03,,449.17,,,,,436.01,456.36,,,,,,,390.60,,362.21,391.47,390.88,,,,,,,,,,,406.45,,,,,,,,447.02,L5
2005-02-14 22:06:33+00:00,355.73,369.08,385.58,406.40,414.93,394.62,386.38,391.44,399.70,401.98,397.01,405.44,397.29,405.71,416.69,410.47,410.36,404.95,389.06,394.14,390.20,380.87,380.05,384.48,383.90,382.03,368.78,378.50,376.17,403.69,418.50,416.11,426.73,416.32,418.41,410.38,396.78,393.68,390.63,397.78,406.15,L5
2005-03-02 22:06:47+00:00,358.03,358.49,378.19,400.88,401.91,394.20,395.48,395.82,413.32,408.36,403.68,409.33,397.91,389.06,396.56,399.53,391.91,386.70,382.92,389.77,388.10,392.32,392.46,391.62,394.03,388.24,375.12,379.14,387.09,389.17,388.02,396.07,402.84,,,,,,,,,L5
2005-03-26 22:09:40+00:00,360.14,356.60,374.55,386.39,396.57,405.08,407.62,402.94,,,437.91,422.21,416.61,410.64,420.22,414.33,406.04,399.45,404.50,405.86,401.85,401.44,400.12,400.49,,,410.20,400.87,410.19,409.10,414.47,424.66,419.95,419.19,415.98,415.71,414.74,426.33,424.75,,,L7
2005-07-24 22:07:50+00:00,395.23,,430.29,437.04,427.20,,,,,,432.11,,,,416.89,431.34,401.32,401.26,401.13,385.20,378.80,381.10,375.82,,,,,,373.68,401.24,420.90,,427.95,424.23,408.74,407.45,424.23,,,,407.75,L5
2005-09-10 22:08:07+00:00,358.60,378.87,405.87,413.48,416.30,397.20,388.81,385.16,390.01,378.79,,,375.93,387.52,408.38,407.54,393.74,389.07,378.64,375.41,374.64,373.93,384.51,390.34,387.75,391.28,383.80,387.97,402.12,399.76,393.69,399.14,410.15,405.84,406.09,404.66,404.68,399.87,402.96,403.39,408.50,L5
2005-09-18 22:09:03+00:00,348.46,350.67,376.88,386.49,386.43,391.18,,,377.70,377.98,,,374.05,379.00,381.56,389.26,378.59,357.63,354.83,351.50,351.30,356.59,,,369.09,364.51,374.61,377.50,370.31,377.17,386.29,390.47,395.98,404.11,404.65,391.39,384.82,,378.31,378.33,383.88,L7
2005-10-20 22:09:11+00:00,369.16,388.51,394.06,401.33,408.39,,405.93,396.23,411.96,394.99,388.21,395.18,395.11,396.97,417.86,415.81,416.86,415.64,405.84,398.66,397.38,,400.74,404.57,405.49,404.60,409.19,407.99,411.84,418.72,423.35,434.55,440.29,443.90,444.54,437.56,,431.88,424.31,420.65,421.12,L7
2005-11-13 22:08:20+00:00,348.99,358.57,370.79,376.78,384.65,386.40,385.58,376.69,393.60,373.69,376.11,363.49,365.27,364.81,379.66,380.03,378.46,381.98,379.68,376.03,371.54,370.80,375.50,375.95,379.15,371.68,373.95,375.08,375.46,380.75,,396.53,412.67,417.16,414.31,408.53,400.27,408.09,401.46,391.59,382.71,L5
2005-12-23 22:09:39+00:00,367.59,369.61,387.51,409.29,423.47,419.96,402.95,389.12,393.94,382.83,372.13,377.98,373.12,379.60,,,397.26,401.16,396.42,392.30,395.16,385.90,391.99,398.14,404.08,399.94,392.86,400.20,405.11,404.98,,419.81,428.85,424.49,431.22,425.44,425.04,425.60,431.41,429.90,427.03,L7
2006-01-08 22:09:49+00:00,,,,,,,,,,,,,,371.18,,,394.42,386.44,387.60,380.59,380.18,384.40,383.65,392.91,394.84,391.00,393.29,386.51,402.76,408.40,,414.97,412.05,417.24,417.91,417.08,415.63,421.74,418.81,416.92,424.43,L7
2006-01-24 22:09:56+00:00,372.39,379.77,391.04,403.97,413.52,411.48,408.17,400.14,396.53,374.77,363.44,375.70,378.49,377.64,389.40,,,,395.95,389.73,388.30,394.82,395.06,404.06,409.98,406.01,405.06,410.42,414.71,426.02,430.25,,446.12,443.71,445.83,438.78,443.16,442.07,442.52,437.94,443.27,L7
2006-02-09 22:10:01+00:00,,383.94,386.30,404.87,412.41,411.48,406.62,385.46,400.87,385.24,382.86,372.53,370.88,365.61,376.58,385.38,,,387.46,384.50,382.04,390.70,390.05,391.26,399.60,400.35,399.93,400.14,408.35,405.44,419.21,422.13,,426.72,424.54,426.71,417.67,426.07,424.20,422.57,419.11,L7
2006-06-01 22:10:02+00:00,,402.94,412.93,421.37,414.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.71,421.51,417.69,406.38,433.48,,,,,L7
2006-06-25 22:12:44+00:00,387.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-08-04 22:09:40+00:00,386.30,,,,,,,,,,,,,,,,398.28,401.26,397.69,400.96,,,397.82,398.74,405.06,401.71,401.49,398.44,406.26,407.55,414.41,418.53,427.88,,,,,,,,,L7
2006-09-21 22:09:29+00:00,360.94,380.24,393.32,386.92,377.43,375.76,372.25,363.19,,,382.12,363.90,370.98,357.75,361.44,368.78,361.99,351.02,360.14,372.54,364.42,362.97,359.32,369.20,,385.27,395.52,388.00,386.82,390.23,391.54,407.51,397.30,407.17,399.68,399.96,396.29,410.95,399.29,,406.22,L7
